id	moa	pert_id	pert_iname	pert_type	target_name	aud_q75	aud_med	aud_q25	aud_iqr	cell_id	query
BRD-K89704198	Adrenergic receptor antagonist	BRD-K89704198	vincamine	trt_cp	-666	0.19	0.15	0.13	0.06	-666	1.7
BRD-K42805893	-666	BRD-K42805893	osimertinib	trt_cp	EGFR	0.26	0.22	0.18	0.08	-666	1.69
BRD-K72420232	EGFR inhibitor	BRD-K72420232	WZ-4002	trt_cp	EGFR|ERBB2	0.18	0.15	0.12	0.06	-666	1.68
BRD-K23190681	Receptor tyrosine protein kinase inhibitor	BRD-K23190681	AV-412	trt_cp	EGFR|ERBB2	0.28	0.25	0.22	0.05	-666	1.67
BRD-K26712974	Caspase inhibitor	BRD-K26712974	VX-765	trt_cp	CASP1	0.22	0.19	0.16	0.06	-666	1.65
BRD-K50168500	EGFR inhibitor	BRD-K50168500	canertinib	trt_cp	EGFR|ERBB2|ERBB4	0.21	0.16	0.12	0.08	-666	1.65
BRD-K00077635	DNA synthesis inhibitor|Microtubule inhibitor|DNA alkylating drug|DNA inhibitor|Estrogen receptor agonist	BRD-K00077635	estramustine-phosphate	trt_cp	ESR1|ESR2|MAP1A|MAP2	0.12	0.09	0.07	0.05	-666	1.65
BRD-K38548312	HSP inhibitor	BRD-K38548312	VER-49009	trt_cp	HSP90AA1	0.33	0.28	0.24	0.09	-666	1.64
BRD-K17702546	EGFR inhibitor	BRD-K17702546	PD-168393	trt_cp	-666	0.29	0.25	0.22	0.07	-666	1.64
BRD-K57169635	EGFR inhibitor	BRD-K57169635	dacomitinib	trt_cp	EGFR|ERBB2|ERBB4	0.32	0.28	0.26	0.06	-666	1.64
BRD-K94176593	Glycogen synthase kinase inhibitor	BRD-K94176593	TWS-119	trt_cp	GSK3B	0.2	0.17	0.14	0.07	-666	1.64
BRD-K73391359	Local anesthetic	BRD-K73391359	quinisocaine	trt_cp	-666	0.12	0.1	0.08	0.04	-666	1.62
BRD-K64052750	EGFR inhibitor	BRD-K64052750	gefitinib	trt_cp	EGFR	0.26	0.22	0.17	0.09	-666	1.62
BRD-K67537649	Insulin growth factor receptor inhibitor|IGF-1 inhibitor	BRD-K67537649	PQ-401	trt_cp	IGF1R	0.15	0.13	0.1	0.05	-666	1.61
BRD-K87782578	Bruton's tyrosine kinase (BTK) inhibitor	BRD-K87782578	AVL-292	trt_cp	BTK	0.21	0.19	0.16	0.06	-666	1.61
BRD-K20285085	SYK inhibitor	BRD-K20285085	fostamatinib	trt_cp	SYK	0.21	0.17	0.14	0.08	-666	1.6
BRD-K73309154	EGFR inhibitor	BRD-K73309154	OSI-420	trt_cp	EGFR	0.26	0.22	0.18	0.08	-666	1.59
BRD-K26838195	EGFR inhibitor	BRD-K26838195	AST-1306	trt_cp	EGFR|ERBB2	0.25	0.21	0.18	0.07	-666	1.57
BRD-K66175015	EGFR inhibitor	BRD-K66175015	afatinib	trt_cp	EGFR|ERBB2|ERBB4	0.33	0.27	0.23	0.1	-666	1.57
BRD-K70914287	Tyrosine kinase inhibitor|EGFR inhibitor	BRD-K70914287	BIBX-1382	trt_cp	EGFR	0.14	0.11	0.08	0.06	-666	1.56
BRD-K80480517	TGF beta receptor inhibitor	BRD-K80480517	repsox	trt_cp	TGFBR1	0.22	0.18	0.14	0.08	-666	1.56
BRD-K63828191	Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)	BRD-K63828191	raloxifene	trt_cp	ESR1|ESR2	0.13	0.11	0.08	0.05	-666	1.56
BRD-K08799216	EGFR inhibitor	BRD-K08799216	pelitinib	trt_cp	EGFR	0.37	0.32	0.28	0.09	-666	1.55
BRD-K20722021	RAF inhibitor	BRD-K20722021	CEP-32496	trt_cp	BRAF	0.18	0.15	0.11	0.07	-666	1.55
BRD-K84011460	Ion channel antagonist	BRD-K84011460	nizofenone	trt_cp	-666	0.12	0.1	0.07	0.05	-666	1.55
BRD-A53955690	-666	BRD-A53955690	STOCK4S-14556	trt_cp	-666	0.26	0.23	0.2	0.06	-666	1.54
BRD-K41278234	EGFR inhibitor	BRD-K41278234	CUDC-101	trt_cp	EGFR|ERBB2	0.35	0.31	0.26	0.09	-666	1.54
BRD-K76239644	EGFR inhibitor|VEGFR inhibitor	BRD-K76239644	BMS-690514	trt_cp	EGFR|ERBB2|KDR|ERBB4|FLT1|FLT4	0.23	0.18	0.14	0.1	-666	1.54
BRD-K20958582	DNA alkylating drug	BRD-K20958582	TH-302	trt_cp	-666	0.27	0.24	0.19	0.08	-666	1.53
BRD-K67261995	Contrast agent	BRD-K67261995	adipiodone	trt_cp	-666	0.27	0.23	0.19	0.08	-666	1.53
BRD-A66861218	-666	BRD-A66861218	BRD-A66861218	trt_cp	-666	0.22	0.17	0.12	0.1	-666	1.52
BRD-K02898090	Mannosidase inhibitor	BRD-K02898090	kifunensine	trt_cp	-666	0.18	0.14	0.1	0.08	-666	1.52
BRD-K84163249	Vitamin D receptor agonist	BRD-K84163249	ercalcitriol	trt_cp	VDR	0.19	0.15	0.12	0.07	-666	1.52
BRD-K68336408	EGFR inhibitor	BRD-K68336408	tyrphostin-AG-1478	trt_cp	EGFR	0.35	0.3	0.25	0.1	-666	1.52
BRD-K70301465	BTK inhibitor	BRD-K70301465	ibrutinib	trt_cp	BTK	0.31	0.27	0.23	0.08	-666	1.52
BRD-K26603252	EGFR inhibitor	BRD-K26603252	PD-153035	trt_cp	-666	0.25	0.2	0.16	0.09	-666	1.51
BRD-K61717546	Topoisomerase inhibitor	BRD-K61717546	fleroxacin	trt_cp	-666	0.13	0.1	0.06	0.07	-666	1.51
BRD-K67977190	Angiotensin receptor antagonist	BRD-K67977190	eprosartan	trt_cp	AGTR1	0.1	0.08	0.05	0.05	-666	1.51
BRD-K50590187	TRPV agonist	BRD-K50590187	capsaicin	trt_cp	TRPV1	0.12	0.09	0.06	0.06	-666	1.51
BRD-K64866502	Aurora kinase inhibitor	BRD-K64866502	CYC-116	trt_cp	-666	0.16	0.13	0.11	0.05	-666	1.51
BRD-K99964838	Abl kinase inhibitor|Bcr-Abl kinase inhibitor|Src inhibitor	BRD-K99964838	bosutinib	trt_cp	ABL1|BCR|CAMK2G|HCK|LYN|SRC	0.21	0.17	0.13	0.08	-666	1.51
BRD-K77008974	MTOR inhibitor	BRD-K77008974	WYE-354	trt_cp	MTOR	0.24	0.21	0.18	0.06	-666	1.5
BRD-K06753942	MEK inhibitor	BRD-K06753942	nobiletin	trt_cp	MAP2K1	0.2	0.16	0.12	0.09	-666	1.49
BRD-K46392623	PI3K inhibitor	BRD-K46392623	TG-100713	trt_cp	-666	0.22	0.18	0.15	0.07	-666	1.48
BRD-A64092382	Sodium channel blocker	BRD-A64092382	mexiletine	trt_cp	SCN5A	0.39	0.34	0.29	0.1	-666	1.48
BRD-A79981887	Adrenergic receptor agonist	BRD-A79981887	midodrine	trt_cp	ADRA1A|ADRA1B|ADRA1D	0.26	0.2	0.17	0.09	-666	1.48
BRD-K28542495	Prostanoid receptor antagonist	BRD-K28542495	benzydamine	trt_cp	-666	0.17	0.14	0.11	0.06	-666	1.48
BRD-K90574421	Serotonin receptor agonist	BRD-K90574421	ipsapirone	trt_cp	HTR1A	0.11	0.09	0.07	0.04	-666	1.48
BRD-K68392338	Benzodiazepine receptor antagonist	BRD-K68392338	ZK-93426	trt_cp	GABRA1	0.19	0.16	0.12	0.06	-666	1.47
BRD-K37312348	CDK inhibitor|Glycogen synthase kinase inhibitor	BRD-K37312348	kenpaullone	trt_cp	CDK1|CDK5|GSK3B	0.17	0.14	0.11	0.06	-666	1.47
BRD-K79930101	Receptor tyrosine protein kinase inhibitor|EGFR inhibitor|ErbB2 inhibitor	BRD-K79930101	GW-583340	trt_cp	EGFR|ERBB2	0.25	0.22	0.18	0.07	-666	1.46
BRD-K73293050	EGFR inhibitor	BRD-K73293050	WZ-3146	trt_cp	EGFR	0.37	0.33	0.29	0.08	-666	1.46
BRD-K07106112	EGFR inhibitor|Receptor tyrosine protein kinase inhibitor	BRD-K07106112	BMS-599626	trt_cp	EGFR|ERBB2|ERBB4	0.11	0.08	0.05	0.06	-666	1.45
BRD-K87990216	Glucocorticoid receptor agonist	BRD-K87990216	piretanide	trt_cp	SLC12A1|SLC12A2	0.14	0.11	0.08	0.06	-666	1.45
BRD-K92241597	Peptidase inhibitor	BRD-K92241597	tosedostat	trt_cp	ANPEP|NPEPPS|LAP3	0.31	0.25	0.2	0.11	-666	1.45
BRD-K24187789	Acetylcholine receptor allosteric modulator	BRD-K24187789	VU-0238429	trt_cp	-666	0.37	0.32	0.27	0.1	-666	1.44
BRD-K97746869	ATP channel blocker	BRD-K97746869	chlorpropamide	trt_cp	ABCC8	0.2	0.17	0.14	0.06	-666	1.44
BRD-K86204871	Sterol demethylase inhibitor	BRD-K86204871	terconazole	trt_cp	-666	0.1	0.08	0.06	0.05	-666	1.44
BRD-K39974922	FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	BRD-K39974922	lenvatinib	trt_cp	KDR|FLT4|FGFR1|FLT1|KIT	0.4	0.33	0.28	0.12	-666	1.43
BRD-A44090213	Cyclooxygenase inhibitor|Prostanoid receptor antagonist	BRD-A44090213	indoprofen	trt_cp	PTGS1|PTGS2	0.31	0.26	0.23	0.09	-666	1.43
BRD-K64888243	JAK inhibitor	BRD-K64888243	AZ-960	trt_cp	-666	0.34	0.3	0.25	0.09	-666	1.43
BRD-K81613478	-666	BRD-K81613478	gastrodin	trt_cp	-666	0.27	0.22	0.18	0.09	-666	1.43
BRD-K25244359	RET tyrosine kinase inhibitor	BRD-K25244359	apatinib	trt_cp	KDR|RET	0.14	0.12	0.09	0.05	-666	1.43
BRD-K05444225	PARP inhibitor	BRD-K05444225	E-7449	trt_cp	-666	0.24	0.2	0.16	0.08	-666	1.43
BRD-K09090949	Cannabinoid receptor antagonist	BRD-K09090949	CP-945598	trt_cp	-666	0.23	0.19	0.17	0.06	-666	1.43
BRD-K41876534	Carbonic anhydrase inhibitor	BRD-K41876534	tioxolone	trt_cp	-666	0.18	0.14	0.12	0.06	-666	1.42
BRD-K81548480	PAR agonist	BRD-K81548480	AC-264613	trt_cp	F2RL1	0.24	0.2	0.16	0.07	-666	1.42
BRD-K05638300	Membrane integrity inhibitor	BRD-K05638300	sevoflurane	trt_cp	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1	0.24	0.2	0.17	0.07	-666	1.42
BRD-K14109347	CHK inhibitor	BRD-K14109347	LY-2603618	trt_cp	-666	0.19	0.16	0.13	0.07	-666	1.42
BRD-A20644369	Mineralocorticoid receptor antagonist	BRD-A20644369	canrenone	trt_cp	NR3C2	0.11	0.09	0.07	0.05	-666	1.41
BRD-K80700417	Pim kinase inhibitor	BRD-K80700417	SGI-1776	trt_cp	PIM1|FLT3|PIM2|PIM3	0.2	0.16	0.13	0.08	-666	1.41
BRD-K81528515	Abl kinase inhibitor|Bcr-Abl kinase inhibitor	BRD-K81528515	nilotinib	trt_cp	ABL1|BCR|KIT	0.22	0.19	0.16	0.06	-666	1.41
BRD-K04111260	Dopamine receptor antagonist	BRD-K04111260	raclopride	trt_cp	DRD2|DRD3	0.19	0.16	0.13	0.06	-666	1.41
BRD-K55703048	Glutamate receptor antagonist	BRD-K55703048	latrepirdine	trt_cp	HTR6	0.13	0.11	0.09	0.04	-666	1.4
BRD-K66527818	Glutamate receptor positive allosteric modulator	BRD-K66527818	VU-0364770	trt_cp	-666	0.21	0.17	0.14	0.07	-666	1.4
BRD-K18834913	Farnesyltransferase inhibitor	BRD-K18834913	LB-42708	trt_cp	-666	0.36	0.31	0.26	0.1	-666	1.4
BRD-K72231366	-666	BRD-K72231366	TAME	trt_cp	-666	0.1	0.07	0.05	0.05	-666	1.4
BRD-K96631475	Antitumor agent	BRD-K96631475	10-deacetylbaccatin	trt_cp	-666	0.33	0.28	0.22	0.11	-666	1.4
BRD-K43621685	PDGFR tyrosine kinase receptor inhibitor	BRD-K43621685	CP-673451	trt_cp	PDGFRB	0.18	0.15	0.12	0.06	-666	1.4
BRD-K82091397	P38 MAPK inhibitor	BRD-K82091397	SB-239063	trt_cp	MAPK11|MAPK14	0.29	0.25	0.22	0.07	-666	1.4
BRD-K23984367	FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor	BRD-K23984367	sorafenib	trt_cp	BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET	0.26	0.21	0.16	0.1	-666	1.4
BRD-K51199656	-666	BRD-K51199656	fluoromethylcholine	trt_cp	-666	0.11	0.08	0.06	0.05	-666	1.4
BRD-A94624445	Adenosine receptor agonist|CAMP stimulant	BRD-A94624445	bucladesine	trt_cp	PRKACA	0.2	0.17	0.14	0.06	-666	1.4
BRD-A10039652	HIV protease inhibitor	BRD-A10039652	tipranavir	trt_cp	-666	0.17	0.14	0.11	0.06	-666	1.39
BRD-A55962179	ATPase inhibitor	BRD-A55962179	omeprazole	trt_cp	ATP4A	0.22	0.19	0.16	0.06	-666	1.39
BRD-A83937277	Hydantoin antiepileptic	BRD-A83937277	mephenytoin	trt_cp	SCN5A	0.15	0.13	0.1	0.05	-666	1.39
BRD-K95785537	Src inhibitor	BRD-K95785537	PP-2	trt_cp	LCK|SRC	0.23	0.2	0.17	0.06	-666	1.39
BRD-K81916719	Microtubule inhibitor	BRD-K81916719	triclabendazole	trt_cp	DNMT1	0.34	0.29	0.26	0.08	-666	1.38
BRD-K72327355	Lipoxygenase inhibitor	BRD-K72327355	baicalein	trt_cp	-666	0.15	0.12	0.1	0.06	-666	1.38
BRD-K81801188	Receptor tyrosine protein kinase inhibitor	BRD-K81801188	PP-121	trt_cp	SRC	0.51	0.46	0.41	0.1	-666	1.38
BRD-K16277217	Dopamine receptor antagonist	BRD-K16277217	piperacetazine	trt_cp	-666	0.18	0.15	0.12	0.07	-666	1.38
BRD-K26011976	Topoisomerase inhibitor	BRD-K26011976	licochalcone-a	trt_cp	-666	0.24	0.22	0.18	0.06	-666	1.38
BRD-K86930074	KIT inhibitor|VEGFR inhibitor	BRD-K86930074	cediranib	trt_cp	FLT1|FLT4|KDR|KIT|PDGFRB	0.31	0.26	0.23	0.08	-666	1.38
BRD-K13646352	FLT3 inhibitor|KIT inhibitor|PKC inhibitor	BRD-K13646352	midostaurin	trt_cp	FLT3|KIT	0.35	0.31	0.26	0.09	-666	1.37
BRD-K55462201	Cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist	BRD-K55462201	AM-404	trt_cp	TRPV1	0.17	0.15	0.13	0.05	-666	1.37
BRD-K27184429	Histamine receptor antagonist	BRD-K27184429	levocetirizine	trt_cp	HRH1	0.2	0.16	0.13	0.07	-666	1.37
BRD-K81330143	Glycogen synthase kinase inhibitor	BRD-K81330143	tideglusib	trt_cp	GSK3B	0.22	0.19	0.15	0.06	-666	1.36
BRD-K32730239	JNK inhibitor	BRD-K32730239	SU-3327	trt_cp	-666	0.29	0.27	0.25	0.05	-666	1.36
BRD-K52751261	P38 MAPK inhibitor	BRD-K52751261	TAK-715	trt_cp	MAPK14	0.11	0.08	0.06	0.05	-666	1.36
BRD-K92441787	Retinoid receptor agonist	BRD-K92441787	bexarotene	trt_cp	RXRA|RXRB|RXRG	0.14	0.11	0.08	0.06	-666	1.35
BRD-K77908580	HDAC inhibitor	BRD-K77908580	entinostat	trt_cp	HDAC1	0.27	0.22	0.18	0.09	-666	1.35
BRD-K55305701	P-glycoprotein inhibitor	BRD-K55305701	SC-144	trt_cp	-666	0.28	0.23	0.18	0.1	-666	1.35
BRD-K29542628	Src inhibitor	BRD-K29542628	1-naphthyl-PP1	trt_cp	SRC	0.29	0.25	0.21	0.08	-666	1.35
BRD-K33813875	Bacterial 50S ribosomal subunit inhibitor	BRD-K33813875	valnemulin	trt_cp	-666	0.33	0.29	0.24	0.09	-666	1.35
BRD-A50064262	-666	BRD-A50064262	flumethasone-pivalate	trt_cp	-666	0.16	0.12	0.08	0.08	-666	1.35
BRD-K18375018	-666	BRD-K18375018	spermine	trt_cp	CASR	0.22	0.19	0.17	0.05	-666	1.34
BRD-K19687926	EGFR inhibitor|ErbB2 inhibitor	BRD-K19687926	lapatinib	trt_cp	EGFR|ERBB2	0.25	0.21	0.17	0.08	-666	1.34
BRD-K20755323	Sphingosine kinase inhibitor	BRD-K20755323	SKI-II	trt_cp	SPHK1	0.2	0.17	0.14	0.05	-666	1.34
BRD-K56277358	VEGFR inhibitor	BRD-K56277358	MGCD-265	trt_cp	MET|AXL	0.23	0.2	0.16	0.07	-666	1.34
BRD-K70159787	Pim kinase inhibitor	BRD-K70159787	SMI-4a	trt_cp	PIM1	0.19	0.15	0.12	0.07	-666	1.34
BRD-K37270826	Glucocorticoid receptor antagonist|Progesterone receptor antagonist	BRD-K37270826	mifepristone	trt_cp	AR|NR3C1|PGR	0.21	0.18	0.15	0.06	-666	1.34
BRD-A24397426	Bacterial DNA gyrase inhibitor	BRD-A24397426	nadifloxacin	trt_cp	-666	0.1	0.08	0.05	0.05	-666	1.33
BRD-A47953250	-666	BRD-A47953250	ecamsule-triethanolamine	trt_cp	-666	0.19	0.15	0.12	0.07	-666	1.33
BRD-K42973005	GSK inhibitor	BRD-K42973005	CHIR-98014	trt_cp	-666	0.15	0.13	0.11	0.05	-666	1.33
BRD-K33720171	Glucocorticoid receptor agonist	BRD-K33720171	difluprednate	trt_cp	NR3C1	0.29	0.24	0.2	0.09	-666	1.33
BRD-K87696786	Glutamate receptor antagonist	BRD-K87696786	LY-456236	trt_cp	GRM1	0.32	0.27	0.22	0.1	-666	1.33
BRD-K13087974	EGFR inhibitor	BRD-K13087974	CGP-52411	trt_cp	EGFR	0.28	0.25	0.21	0.07	-666	1.32
BRD-K15567136	Phosphodiesterase inhibitor	BRD-K15567136	papaverine	trt_cp	PDE10A	0.28	0.25	0.22	0.06	-666	1.32
BRD-K78659596	Proteasome inhibitor	BRD-K78659596	ixazomib	trt_cp	PSMB1	0.53	0.47	0.41	0.12	-666	1.32
BRD-K50388907	PPAR receptor agonist	BRD-K50388907	fenofibrate	trt_cp	PPARA	0.11	0.08	0.06	0.05	-666	1.32
BRD-K06814349	Tubulin inhibitor|VE-cadherin antagonist	BRD-K06814349	fosbretabulin	trt_cp	CDH5	0.35	0.31	0.26	0.09	-666	1.32
BRD-K82861010	HCV inhibitor	BRD-K82861010	daclatasvir	trt_cp	-666	0.22	0.2	0.18	0.04	-666	1.31
BRD-K87700323	-666	BRD-K87700323	cetylpyridinium	trt_cp	-666	0.31	0.27	0.24	0.07	-666	1.31
BRD-K36055864	Protein synthesis inhibitor	BRD-K36055864	cycloheximide	trt_cp	RPL3	0.36	0.32	0.26	0.1	-666	1.31
BRD-K49027941	Adenosine receptor antagonist	BRD-K49027941	PSB-1115	trt_cp	ADORA1|ADORA2B	0.12	0.09	0.06	0.06	-666	1.31
BRD-K77634909	HSP inducer|Protein kinase inhibitor	BRD-K77634909	BRD-K77634909	trt_cp	-666	0.23	0.19	0.15	0.07	-666	1.3
BRD-K43449605	Apoptosis stimulant	BRD-K43449605	oncrasin-1	trt_cp	-666	0.33	0.27	0.22	0.11	-666	1.3
BRD-A53134341	NFkB pathway inhibitor	BRD-A53134341	Ro-106-9920	trt_cp	-666	0.38	0.34	0.31	0.07	-666	1.3
BRD-K41859756	HSP inhibitor	BRD-K41859756	NVP-AUY922	trt_cp	HSP90AA1|HSP90AB1	0.58	0.52	0.46	0.12	-666	1.3
BRD-K66097663	RSV fusion inhibitor	BRD-K66097663	TMC-353121	trt_cp	-666	0.24	0.21	0.18	0.06	-666	1.3
BRD-K59929863	DNA inhibitor|DNA synthesis inhibitor	BRD-K59929863	CB-10-277-(free-acid)	trt_cp	-666	0.12	0.09	0.07	0.05	-666	1.29
BRD-K03449891	VEGFR inhibitor	BRD-K03449891	foretinib	trt_cp	KDR|MET	0.29	0.25	0.22	0.07	-666	1.29
BRD-K52075715	Tubulin inhibitor	BRD-K52075715	oxibendazole	trt_cp	TUBB	0.35	0.3	0.26	0.09	-666	1.29
BRD-K95581532	TRPV antagonist	BRD-K95581532	RN-1734	trt_cp	TRPV4	0.34	0.3	0.25	0.09	-666	1.29
BRD-K82122102	Cyclooxygenase inhibitor	BRD-K82122102	amfenac	trt_cp	PTGS1|PTGS2	0.22	0.19	0.16	0.05	-666	1.29
BRD-K96424892	Protein synthesis inhibitor	BRD-K96424892	chloramphenicol-palmitate	trt_cp	-666	0.12	0.09	0.06	0.05	-666	1.28
BRD-K42436189	ATR kinase inhibitor	BRD-K42436189	AZ-20	trt_cp	-666	0.33	0.29	0.25	0.08	-666	1.28
BRD-K52313696	HDAC inhibitor	BRD-K52313696	tacedinaline	trt_cp	-666	0.23	0.19	0.16	0.07	-666	1.28
BRD-K55026842	DNA methyltransferase inhibitor	BRD-K55026842	azacitidine	trt_cp	DNMT1	0.21	0.18	0.14	0.08	-666	1.28
BRD-K76197012	Progesterone receptor antagonist	BRD-K76197012	ulipristal	trt_cp	PGR	0.13	0.11	0.09	0.05	-666	1.28
BRD-K97714174	Ubiquitin specific protease inhibitor	BRD-K97714174	P-22077	trt_cp	-666	0.17	0.14	0.11	0.06	-666	1.28
BRD-A14344385	Glutamate receptor positive allosteric modulator	BRD-A14344385	IDRA-21	trt_cp	-666	0.19	0.16	0.12	0.07	-666	1.28
BRD-K86727142	HCV inhibitor|XIAP inhibitor	BRD-K86727142	embelin	trt_cp	XIAP	0.16	0.13	0.11	0.05	-666	1.28
BRD-K26305185	K-ras inhibitor	BRD-K26305185	K-Ras(G12C)-inhibitor-6	trt_cp	-666	0.19	0.15	0.13	0.06	-666	1.27
BRD-K08303368	Acetylcholinesterase inhibitor	BRD-K08303368	chlorpyrifos	trt_cp	-666	0.2	0.18	0.14	0.06	-666	1.27
BRD-K92723993	Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor	BRD-K92723993	imatinib	trt_cp	ABL1|BCR|CSF1R|KIT|PDGFRA|PDGFRB	0.26	0.23	0.19	0.07	-666	1.27
BRD-K35245662	Glucocorticoid receptor agonist	BRD-K35245662	ciclesonide	trt_cp	NR3C1	0.2	0.15	0.11	0.09	-666	1.27
BRD-K00317371	MDM inhibitor	BRD-K00317371	RITA	trt_cp	MDM2	0.39	0.27	0.2	0.19	-666	1.27
BRD-A43885598	-666	BRD-A43885598	BRD-A43885598	trt_cp	-666	0.2	0.17	0.14	0.06	-666	1.27
BRD-A99888680	Dopamine receptor antagonist|Serotonin receptor antagonist	BRD-A99888680	paliperidone	trt_cp	DRD2|HTR2A	0.19	0.16	0.13	0.06	-666	1.27
BRD-K62607865	Bacterial cell wall synthesis inhibitor	BRD-K62607865	aztreonam	trt_cp	-666	0.18	0.15	0.13	0.05	-666	1.27
BRD-K78496197	-666	BRD-K78496197	SCS	trt_cp	-666	0.2	0.17	0.14	0.06	-666	1.27
BRD-A72711497	Bacterial permeability inducer	BRD-A72711497	lasalocid	trt_cp	-666	0.35	0.32	0.28	0.07	-666	1.26
BRD-K61314889	PARP inhibitor	BRD-K61314889	endo-IWR-1	trt_cp	TNKS|TNKS2	0.27	0.24	0.2	0.07	-666	1.26
BRD-K53414658	VEGFR inhibitor	BRD-K53414658	tivozanib	trt_cp	FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB	0.23	0.2	0.15	0.08	-666	1.26
BRD-K62779383	-666	BRD-K62779383	cholecalciferol	trt_cp	VDR	0.34	0.29	0.24	0.1	-666	1.26
BRD-K21025364	Protein tyrosine kinase inhibitor	BRD-K21025364	NVP-TAE226	trt_cp	-666	0.44	0.39	0.33	0.1	-666	1.26
BRD-K15179879	Proteasome inhibitor	BRD-K15179879	carfilzomib	trt_cp	PSMB1|PSMB10|PSMB2|PSMB5|PSMB8|PSMB9	0.78	0.73	0.67	0.11	-666	1.25
BRD-K26824830	Protein synthesis inhibitor	BRD-K26824830	azomycin-(2-nitroimidazole)	trt_cp	-666	0.15	0.12	0.09	0.06	-666	1.25
BRD-K84892605	-666	BRD-K84892605	IOWH-032	trt_cp	-666	0.16	0.13	0.11	0.05	-666	1.25
BRD-K56032964	ALK tyrosine kinase receptor inhibitor	BRD-K56032964	AP-26113	trt_cp	-666	0.22	0.19	0.15	0.07	-666	1.25
BRD-K80060353	-666	BRD-K80060353	IEM-1754	trt_cp	-666	0.2	0.17	0.15	0.05	-666	1.25
BRD-K83607951	P38 MAPK inhibitor	BRD-K83607951	skepinone-l	trt_cp	MAPK14	0.15	0.12	0.09	0.06	-666	1.25
BRD-K02241333	CHK inhibitor	BRD-K02241333	CHIR-124	trt_cp	CHEK1	0.45	0.38	0.33	0.12	-666	1.25
BRD-K21283037	Glutamate inhibitor	BRD-K21283037	riluzole	trt_cp	SCN5A	0.2	0.17	0.14	0.06	-666	1.25
BRD-K48141473	Opioid receptor agonist	BRD-K48141473	cebranopadol	trt_cp	OPRL1|OPRM1	0.11	0.09	0.06	0.05	-666	1.25
