Gene,Log2FC
TET1,-2.982560889
STAT4,-2.838631719
HECW2,-4.750000852
HNRNPD,2.131141954
RASGEF1B,-3.097602988
FRAS1,-3.381044112
SHISAL1,-3.851112171
PARVG,-4.969160148
RDH16,-2.145530517
DENR,2.104712864
STON2,-3.504977668
PSTPIP1,-2.906103821
MCTP2,-2.817079442
ZFHX3,-2.146745745
ADAMTS18,-6.139338028
GCSH,3.145125504
CDH13,-3.304611548
IRF8,-3.254120571
ANAPC11,2.207322763
ZNF750,-5.04282047
TPGS1,2.408372323
VAV1,-3.148270686
HUNK,-3.230452781
CACNG8,-2.269936292
SIGLEC10,-3.125899287
ZNF593,2.215912238
SYTL1,-3.624520456
CD53,-5.274775012
DPT,-5.015247832
NUF2,2.654040406
PFDN2,2.672990127
LYPLAL1,2.962156602
RORC,-2.920996006
ADAMTSL4,-2.66020897
ANP32E,2.713392552
NUP210L,-3.176918526
SRP9,2.700755159
DEGS1,2.047494914
SYT2,-4.226482692
ATP6V1C2,2.288650079
CALM2,2.712722743
RPS27A,2.133407667
ETAA1,2.643935046
HSPD1,2.195723992
ACKR3,-4.120699275
GADL1,-2.490269089
SLIT2,-3.034674979
VWA5B2,-2.543078877
OCIAD2,2.184057228
SNCA,2.320076444
SPATA5,-3.262585622
NDUFS6,2.219604866
BHMT,-3.161520747
BTF3,2.272467977
CXCL14,2.969008129
LRRTM2,-3.925557863
FGD2,-5.897382079
PHIP,-3.264786628
ABRACL,2.640670335
MTFR2,3.467605424
EGFR,-4.142528488
NLGN4X,-2.096230952
CXorf36,-6.439428825
HMBOX1,-2.280500191
MRPS28,2.229721205
C9orf3,-2.58443558
PAXX,2.593928554
AASDHPPT,1.997777958
ST14,-5.924190627
ESAM,-4.731286227
KIRREL3,-2.744249842
JPH2,-3.29303795
LYPD1,2.146866903
CCDC102B,-3.775427135
CRIM1,-2.261161062
CACNA1C,-4.553989074
TWF1,2.520901515
MAGI1,-2.514056144
FLI1,-3.285704863
CENPU,3.30325948
TMEM267,2.091750187
PTPN14,-3.33668903
ARL11,-3.825992021
ATG10,3.575446709
RASGRP3,-3.369779195
HNRNPDL,2.030092029
UTRN,-2.179528163
RAD17,2.106022745
CENPH,3.344179385
SCOC,3.278264276
PID1,-3.809781281
AK5,-4.618473271
ROBO4,-4.170238689
FAM167A,-5.43889831
ATP5MC3,2.785595991
ADAMTS5,-4.264183777
FGD5,-5.138401865
ZCCHC10,2.58197953
SLC7A7,-2.958238302
PIK3AP1,-3.771145876
TTN,-3.035752366
PDZD9,-3.03351077
FAM126B,-2.28782459
SLC24A2,-5.098267989
SLA,-7.345788906
VBP1,2.865930551
DCK,2.935224929
NODAL,-3.068705434
GHRL,-3.663920922
SLC6A1,-4.069308462
HYDIN,-2.096230952
KCNJ15,-5.608823311
ERG,-5.057163627
DGKI,-3.607920752
TMSB15A,3.699188158
FCER1G,-4.121586269
PTMS,2.046691583
ZNF221,-3.421620684
ABCG1,-3.780576566
GAB3,-3.305935376
FAM207A,2.022015348
CCR5,-4.957509223
HK3,-4.109892116
PLXDC1,-3.855354842
JOSD2,2.46723538
SCIMP,-3.372546723
BCL6B,-5.489648109
EIF4A1,-2.109006536
UBXN1,2.266988996
PDPN,-5.476120137
LAPTM5,-3.302424399
USP1,2.487593364
B3GALT2,-2.284072595
HFM1,3.095241732
ARPC5,2.402515705
RBM15,-3.150350272
DENND2D,-3.695581124
KIF26B,-3.145560298
REL,-3.186578095
TRIM17,-2.579036462
DPY30,2.147707043
KCNF1,3.177118849
ANKRD30BL,-6.804955526
TNFAIP8L2,-4.638237453
ABRAXAS1,2.062256409
SGO2,2.247497586
RPL22L1,2.028580383
WDFY3,-2.340096128
H2AFZ,2.377642178
EMCN,-3.337882574
BSN,-2.42862985
HMGB2,2.243178252
ESM1,-4.080595987
UBLCP1,2.33969024
LEAP2,-2.241718346
RPS14,2.0979986
BMT2,2.483347716
CAMLG,2.566084699
FABP5,2.080747085
TAGAP,-3.5005567
FREM1,-3.022920817
SYK,-6.015247832
ABCA1,-2.534090131
CYBB,-4.262362933
DYNLT3,2.746123118
NDUFB6,3.272645642
AQP3,-3.125899288
FAT3,-4.263931634
SPTSSA,2.501736248
SUGT1,2.099573562
MICU2,2.787374645
RPL10L,3.333664215
PRDX3,2.021998772
HPRT1,2.071228194
JCAD,-6.413574191
BTNL9,-5.515648502
PSMC3,2.275382226
COX11,2.569340675
BORCS7,2.785141137
C11orf65,-3.646525584
BEX3,2.175417334
PCLAF,2.1033106
GREM1,-5.001834504
NOD2,-4.263226579
IGF2,-6.991104967
TUBA1C,2.010729457
LAIR1,-7.345788906
HDGFL2,2.21597576
ANGPTL4,2.723276557
CD320,2.64758981
ATP5PD,2.167393665
NLRC3,-3.372412467
TRANK1,-2.480339898
ENTPD3,-3.434205112
SAC3D1,2.460313925
PBK,3.14521257
POLR2J3,-2.314876659
COA6,2.237561155
MMADHC,2.064479795
HIST1H1E,-6.685629383
FAM107A,-4.000556699
FILIP1L,-4.168485986
IL7R,-4.355399323
TET2,-2.244867127
INPP5D,-2.612708262
COL4A3,-3.006131832
ROR2,-3.457350433
AR,-2.28770823
PARM1,-3.928220687
MN1,-3.27695683
MRPL1,2.261485801
SHE,-4.579675314
RSPH10B2,5.344675507
GPR183,-4.378657987
HINT1,2.002823188
ZFPM2,-2.828113474
HNRNPA3,2.368111213
CCDC144A,-3.896235761
GON7,2.470170222
CDK1,3.053990084
LRRN2,-2.885935261
CD14,-5.085897095
ARL6IP1,2.29940006
EMB,3.171698178
TRIAP1,2.300476596
RNF139,2.205548478
DDI1,-5.006634853
S1PR1,-4.66000114
GIMAP8,-6.345788906
TMEM126A,2.661707749
TMEM126B,2.517808703
CLDN20,-4.150684816
SCAND1,2.370676286
FAM98B,2.10574369
PTGER4,-3.84971624
TBCA,2.262273883
SLFNL1,-3.502607285
ANGPTL7,-2.836314132
LRRC15,-9.856750825
CYCS,2.444838868
ID4,2.579284204
CXCR6,-3.770660212
PAIP1,2.716360204
MCRIP2,2.491186011
SYNPO2,-5.792181712
CHCHD1,2.660555217
TMEM217,-2.502980799
BNC2,-2.457702261
PARP15,-4.891157636
CKS1B,2.489918824
MFSD4B,-2.722471447
ZNF483,-3.365964702
EIF1AX,2.827138418
TOMM20,2.230558892
HAP1,-3.428196153
PHC3,-3.359349733
ATP5MD,2.076386873
RAX2,-3.459232621
GNG5,2.889718809
C9orf131,-6.876050744
CD34,-5.121315416
FAM174A,3.138917947
MGA,-2.184816321
ANKRD36C,-4.55604071
MYO1H,-4.26322658
FUT1,-3.019167613
PCSK1,-3.149593654
LRRC25,-5.410954522
CCDC85B,2.885785948
DOK7,-3.444929757
RNF152,-3.55930239
LRRC37A,-2.816755496
ZNF843,-2.328460147
TYMS,2.260955267
CLVS1,4.207416653
KCNA2,-3.030992705
GPR4,-3.476107978
THAP5,2.710570004
ARL6IP6,2.45721993
NDUFV2,-2.444281209
PLEKHM3,-3.104573883
MCMDC2,2.463930708
PSAPL1,-6.940726713
TMEM139,-3.248119687
GADD45GIP1,3.183289054
C1orf194,-2.718435147
ZNF154,-3.098925956
KCTD4,-3.024491235
PRR26,-7.160081123
HIST1H2BC,-4.974611394
PPA1,2.410087549
NQO1,2.370075591
NME9,-4.016763859
MRPS23,1.951596341
ZBTB20,-6.168248271
SNRPE,3.107576879
UNC5C,-2.908930646
PRR34,-2.143188095
AP1S2,2.888773655
TSHZ2,-2.51308597
RWDD4,2.910437181
CSF1R,-4.084638436
PAPPA,-3.478252798
SLC8A1,-3.008071678
ABAT,-2.350489877
CAMK1D,-3.393925884
NEB,-2.936217056
POTEC,-3.004490916
CTNNA3,-5.794875846
SELENOF,2.703042289
RP1L1,-2.523447647
OLFML1,-3.697968299
LIN9,2.718997526
ADAP2,-5.996913943
CLDN5,-3.761529486
KCNQ3,-4.068705434
PPP1R2,1.99331716
CDR1,-5.698512558
HIST2H2AC,-4.441605913
HIST2H2AB,-5.02386081
HIST1H1B,-6.539814813
NCMAP,-2.348091376
SLITRK6,3.184053848
EFCAB10,2.851893698
HIST1H2BL,-4.729881965
TCEAL9,2.061660306
ZBTB37,-3.399519894
PRKN,-2.652455355
GPRIN3,-4.308567369
KRT6B,-6.023860811
PBX1,-3.700029639
IKZF1,-4.122067408
NPAP1,-4.311648864
ARL17A,-2.512974966
POMK,-4.641940946
TEX38,-3.825992021
KRT10,2.795369616
RPS23,2.075854603
ARHGAP30,-3.523023387
NAP1L1,2.377631671
CMC1,2.258116419
GJA4,-2.87641221
PTMA,2.321051261
PEAR1,-3.024673824
SHISA7,-2.543078876
TPRG1,-3.970745329
MORN2,2.38885836
NUTM2G,-2.878970186
NHS,-3.115929201
TMPPE,-3.974055195
ZNF793,-2.68142471
COMMD6,2.707303859
RALGAPA2,-2.245075169
RHCE,3.562971606
PCDH18,-3.946487972
FOXR2,5.278767364
HMGB1,2.072431808
BLOC1S2,2.401296573
S100A4,2.893209544
FAT4,-3.434205112
SRGAP3,-2.336484858
GIMAP5,-6.66374714
LAMA2,-2.517872871
TCF4,-2.72551962
HIST1H2AG,-4.445429044
POTEI,-2.834607441
KPNA5,2.550814362
ANKRD36B,-4.45373658
ZNF585A,-3.565722315
GMFB,2.754118176
HIST1H4C,-7.72404765
ADAM32,-2.276119757
HIST1H3J,-5.013131197
PSMD12,2.153376764
C1D,2.88417827
HIST1H3D,-5.505749738
KCNMB2,-3.19598609
MPEG1,-5.763848951
ZNF460,-5.244476897
RPS26,2.015536092
TAF13,3.212751747
HIST4H4,-3.189759353
FAM49A,-4.665027973
HRNR,-3.169287791
ZNF347,-3.328460146
S100A6,3.790208455
PRIM1,2.677994962
NRARP,-3.190114313
SLC34A3,-3.614153085
SFT2D1,2.103133838
SELENOT,2.107133514
ARHGEF15,-6.340865692
CCDC152,-2.129448369
CAPZA2,2.442059274
CCDC167,2.490379861
GPR52,-5.284681114
HSD3B1,-3.726686363
RTL8A,2.698750724
NHSL2,-4.335684827
AGAP9,-3.150336871
SMIM5,-3.348277688
SDHD,4.295510697
AIF1,-4.038221152
LST1,-5.005939993
ZNF805,-2.571577617
MZT1,3.405523266
KRT6A,-6.608823312
ETFRF1,2.852891941
C21orf62,-2.899875319
ELOA2,-4.940726713
VGLL3,-4.051768481
DIO2,-3.546601957
SFT2D2,-2.481117561
TRIM59,2.010307919
SMIM30,2.112757644
NUTM2D,-4.791692997
ZNF407,-2.095244683
ZNF579,2.621294335
EBF2,-4.918895496
ZBED8,2.256720516
ZNF844,-2.699573971
ZNF469,-4.462818851
PIGBOS1,3.875217039
AKR1B15,-3.904234161
C19orf24,1.980758028
SAPCD1,2.813322652
BTBD18,-6.166904041
HIST1H2BN,-4.622001424
PINLYP,-2.357614427
AQP1,-2.645526374
CFB,-4.080595987
IFITM10,2.384485037
SELENOP,-3.237802969
CCDC71L,2.398082843
EID1,4.900520921
NPIPB8,-3.401934986
SMLR1,-4.884143184
ZBED6,-6.685239774
CLEC5A,-3.82599202
