Rank_metric,Drug_set,ES,NES,p_value,Position_at_max,FDR_q_value
Pearson.est,microtubule inhibitor,-0.52914,-1.25,0.18,1114,0.478
Pearson.est,mTOR inhibitor,-0.27066,-0.646,0.895,609,1
Pearson.est,NFkB pathway inhibitor,-0.32774,-0.798,0.735,869,1
Pearson.est,opioid receptor agonist,-0.62457,-1.51,0.0473,912,0.327
Pearson.est,p38 MAPK inhibitor,0.24405,0.731,0.775,1023,0.879
Pearson.est,PARP inhibitor,-0.31574,-0.755,0.794,999,1
Pearson.est,PDGFR tyrosine kinase receptor inhibitor,-0.14047,-0.336,1,544,0.999
Pearson.est,phosphatase inhibitor,-0.24784,-0.578,0.95,767,1
Pearson.est,phosphodiesterase inhibitor,-0.26952,-0.648,0.89,1040,1
Pearson.est,PI3K inhibitor,0.30013,0.904,0.538,192,0.949
Pearson.est,PLK inhibitor,0.34821,1.04,0.408,883,1
Pearson.est,potassium channel blocker,-0.50738,-1.19,0.246,775,0.552
Pearson.est,PPAR receptor agonist,-0.53943,-1.31,0.15,725,0.458
Pearson.est,progesterone receptor agonist,-0.56573,-1.34,0.128,880,0.463
Pearson.est,proteasome inhibitor,-0.63782,-1.51,0.0345,963,0.327
Pearson.est,protein synthesis inhibitor,-0.36866,-0.877,0.666,751,0.961
Pearson.est,protein tyrosine kinase inhibitor,0.37487,1.14,0.271,94,0.889
Pearson.est,RAF inhibitor,-0.84487,-2.05,0.00119,1291,0.0157
Pearson.est,RET tyrosine kinase inhibitor,0.32268,0.983,0.452,917,1
Pearson.est,retinoid receptor agonist,0.32887,0.954,0.453,130,1
Pearson.est,ribonucleotide reductase inhibitor,-0.46254,-1.12,0.331,854,0.65
Pearson.est,serotonin receptor agonist,-0.65046,-1.58,0.0337,1281,0.306
Pearson.est,serotonin receptor antagonist,-0.47199,-1.12,0.301,785,0.65
Pearson.est,sodium channel blocker,-0.50788,-1.21,0.226,1058,0.527
Pearson.est,src inhibitor,0.43993,1.25,0.183,162,0.839
Pearson.est,sterol demethylase inhibitor,-0.53232,-1.28,0.171,813,0.479
Pearson.est,SYK inhibitor,0.60178,1.79,0.0122,541,0.126
Pearson.est,TGF beta receptor inhibitor,-0.2245,-0.533,0.969,466,1
Pearson.est,thymidylate synthase inhibitor,-0.59707,-1.46,0.0594,1023,0.336
Pearson.est,topoisomerase inhibitor,-0.3297,-0.792,0.759,703,1
Pearson.est,tubulin polymerization inhibitor,-0.19412,-0.472,0.992,655,1
Pearson.est,tyrosine kinase inhibitor,0.28543,0.843,0.664,94,0.888
Pearson.est,VEGFR inhibitor,0.2728,0.808,0.688,198,0.896
Pearson.est,vitamin D receptor agonist,0.31904,0.943,0.51,120,0.927
