Drug,Pearson.est,Pearson.p,Pearson.q,Spearman.est,Spearman.p,Spearman.q,Slope,Intercept,R.squared,Rank.slope,Rank.intercept,Rank.R.squared,N
alvespimycin,-0.127654246,0.030037101,0.238976495,-0.097172971,0.099212177,0.425027312,-0.00015604,0.841608799,0.016295606,-0.097133397,159.0843426,0.009442586,289
alvocidib,-0.076779748,0.197011119,0.573715652,-0.047193529,0.428212934,0.787868271,-0.000102366,0.69419642,0.00589513,-0.047193183,149.2250286,0.002227229,284
AM.251,0.089339577,0.121952783,0.477263866,0.111010539,0.054367411,0.328016711,0.000156297,0.995083604,0.00798156,0.111010539,134.2374086,0.01232334,301
AM.404,0.048316028,0.545319704,0.838540283,0.085472892,0.284066027,0.650447191,0.000136085,1.048759528,0.002334439,0.085472892,73.16216862,0.007305615,159
AM.580,0.034126752,0.581656139,0.854196844,-0.03111947,0.615392653,0.903188859,6.19E-05,0.963600183,0.001164635,-0.03111947,136.10777,0.000968421,263
ambazone,0.009586959,0.873339143,0.976116207,-0.014736045,0.8064187,0.950744374,2.44E-05,1.151240643,9.19E-05,-0.014736045,142.0630463,0.000217151,279
amfenac,-0.120552742,0.037212563,0.26217491,-0.026548001,0.647516078,0.912311091,-0.000232907,0.972845293,0.014532963,-0.026548001,153.9822002,0.000704796,299
AMG.208,0.114049552,0.057084518,0.329885227,0.097652753,0.103590208,0.430380035,0.000398043,1.299908593,0.0130073,0.097652753,126.3286145,0.00953606,279
AMG.232,0.223451694,0.000150381,0.005994449,0.224346152,0.000141227,0.005112411,0.000629558,1.029397906,0.04993066,0.224346152,110.1428464,0.050331196,283
AMG458,0.152601579,0.008213294,0.117750994,0.103471078,0.074020615,0.383816148,0.000351703,1.070491657,0.023287242,0.103471078,134.4793383,0.010706264,299
AMG900,0.078173747,0.176880055,0.553179957,0.083454705,0.149313656,0.512336904,0.000215712,0.655612607,0.006111135,0.083454705,137.9400669,0.006964688,300
aminoglutethimide,-0.000314745,0.995854461,0.999818557,-0.012486574,0.836688383,0.963807295,-1.69E-07,0.968083685,9.91E-08,-0.011689218,139.6131121,0.000155915,275
aminopurvalanol.a,-0.106902477,0.060947576,0.333971456,-0.121317947,0.03330961,0.252582676,-0.000208879,0.935577834,0.01142814,-0.121317947,173.2436228,0.014718044,308
amisulpride,0.168093392,0.00648897,0.102130744,0.195066178,0.001541583,0.031439599,0.000357231,1.141495204,0.028255388,0.195066178,105.4463307,0.038050814,261
amonafide,0.078447017,0.173922784,0.551844886,0.078436989,0.173977983,0.537143113,0.000292753,1.083484518,0.006153934,0.078436989,139.6167961,0.006152361,302
amoxicillin,-0.003383363,0.954811875,0.986139511,-0.020891154,0.726393989,0.928893857,-6.87E-06,1.145559705,1.14E-05,-0.020891154,144.9665439,0.00043644,283
amprolium,0.069918053,0.263154286,0.653597609,0.081276734,0.193151556,0.563252068,0.000160637,1.392614849,0.004888534,0.081276734,118.9746629,0.006605908,258
amsacrine,0.066609964,0.269235416,0.658443145,0.042618362,0.479924242,0.820262051,9.24E-05,0.656860361,0.004436887,0.042618362,133.0760477,0.001816325,277
anagrelide,0.131254187,0.028377632,0.236851459,0.092290721,0.124067676,0.464211874,0.000175304,0.903589393,0.017227662,0.091807291,127.1469792,0.008517577,279
anastrozole,0.07021178,0.27864202,0.669933563,-0.017465581,0.787788465,0.94665369,0.000194592,1.290929781,0.004929694,-0.017465581,122.6046025,0.000305047,240
anguidine,0.03523657,0.541864203,0.838540283,0.052222707,0.365789889,0.737693258,3.54E-05,0.603728104,0.001241616,0.052222707,143.5882599,0.002727211,302
anisomycin,0.036301681,0.526295514,0.829417325,0.066183832,0.247610822,0.625725079,3.40E-05,0.703958584,0.001317812,0.066183832,143.8076899,0.0043803,307
AP26113,-0.103646732,0.075000902,0.372524233,-0.130273417,0.02500114,0.212773889,-0.000268841,0.941172432,0.010742645,-0.130273417,167.8456024,0.016971163,296
apatinib,0.013992971,0.811168341,0.960464848,-0.029359564,0.616107094,0.903188859,3.37E-05,1.037983961,0.000195803,-0.029359564,151.8305356,0.000861984,294
aphidicolin,0.071089286,0.248812397,0.62876152,0.107000348,0.082105147,0.39501471,9.41E-05,0.751614417,0.005053687,0.107000348,118.7689537,0.011449075,265
AR.12,-0.064461387,0.27306288,0.660091905,-0.051329201,0.382980853,0.754498334,-9.31E-05,0.821289262,0.00415527,-0.051329201,153.4940633,0.002634687,291
AR.42,0.044440598,0.43782623,0.788522863,0.120229199,0.035235981,0.252582676,6.59E-05,0.762229731,0.001974967,0.120229199,135.4847033,0.01445506,307
arctigenin,0.093569534,0.100090338,0.42752451,0.049974472,0.380549178,0.753810137,0.000197423,0.965429205,0.008755258,0.049974472,147.7289696,0.002497448,310
arcyriaflavin.a,0.032801103,0.57339965,0.852446298,0.015997999,0.783654706,0.945568279,8.53E-05,1.053829507,0.001075912,0.015997999,146.6162981,0.000255936,297
aripiprazole,0.068200495,0.781457751,0.953105598,0.035087719,0.886603122,0.974052596,4.92E-05,0.909492184,0.004651308,0.035087719,9.649122807,0.001231148,19
ARRY.334543,-0.297649974,2.30E-07,1.66E-05,-0.301489172,1.58E-07,1.09E-05,-0.000373702,0.866772023,0.088595507,-0.301393725,190.0034838,0.090895721,291
artemisinin,0.097759746,0.090442364,0.40797677,0.075291633,0.19268551,0.563252068,0.000209256,1.013572409,0.009556968,0.075291633,139.6309635,0.00566883,301
artesunate,0.071166672,0.223756806,0.59827907,0.112863152,0.053219347,0.328016711,0.000223774,1.156074531,0.005064695,0.112863152,130.8526851,0.012738091,294
AS.1949490,0.050264788,0.399578248,0.764149592,0.01765249,0.767482449,0.939465602,0.000113237,1.068463191,0.002526549,0.01765249,139.4933464,0.00031161,283
AS.703026,-0.115359518,0.047373318,0.29567485,-0.113338562,0.051417255,0.32511871,-0.000277164,0.814699218,0.013307818,-0.112127459,165.1509276,0.01284563,296
aspirin,-0.116517563,0.054940126,0.323387405,-0.085559016,0.159380393,0.525701161,-0.000303926,1.045790936,0.013576342,-0.085559004,148.178804,0.007320345,272
AST.1306,-0.202693818,0.005400005,0.091602301,-0.255704528,0.00041217,0.010657542,-0.000369821,0.92667247,0.041084784,-0.255704528,118.0362256,0.065384806,187
astemizole,-0.058388236,0.324288317,0.713631432,-0.010675808,0.857093306,0.969222241,-0.000135178,1.15644629,0.003409186,-0.010675808,145.5373163,0.000113973,287
asymmetrical.dimethylarginine,-0.005801889,0.921497431,0.984590721,-0.029121155,0.620786126,0.904056111,-1.19E-05,0.870142853,3.37E-05,-0.029121155,150.2516886,0.000848042,291
AT.7519,-0.264783536,3.19E-06,0.000220042,-0.203170987,0.000389221,0.010436899,-0.000338255,0.781592521,0.070110321,-0.203136565,181.6736213,0.04127845,301
AT.9283,0.056993144,0.356327912,0.737572299,0.033453554,0.588419269,0.892477208,0.000113533,0.783165402,0.003248218,0.033453554,128.0674041,0.00111914,264
AT13387,-0.131506611,0.028937903,0.236851459,-0.103085682,0.087382019,0.40348861,-0.000238346,0.729132743,0.017293989,-0.103063027,152.7742292,0.010626658,276
AT7867,-0.044154551,0.509927392,0.829417325,-0.042689633,0.524080284,0.851703986,-0.000131909,1.176192009,0.001949624,-0.042689633,117.8239286,0.001822405,225
atenolol....,-0.005337981,0.932804292,0.984590721,-0.002697285,0.966016188,0.992336051,-1.93E-05,1.449402658,2.85E-05,-0.002697285,126.8412066,7.28E-06,252
atenolol......,-0.056063029,0.357901457,0.737572299,-0.032599547,0.593121755,0.892765387,-9.63E-05,1.0227489,0.003143063,-0.032599547,140.4335383,0.00106273,271
atipamezole,0.084614573,0.145075111,0.509875632,0.046595333,0.422891418,0.783267195,0.000198917,1.029934938,0.007159626,0.046595333,142.5339977,0.002171125,298
atiprimod,0.026129819,0.657115873,0.884734171,0.046648939,0.427907208,0.787868271,3.13E-05,0.866691254,0.000682767,0.046568281,139.2010309,0.002176124,291
atorvastatin,0.181984142,0.00186002,0.045649303,0.202589067,0.000518274,0.012938975,0.000585335,1.115237653,0.033118228,0.202589067,116.0232908,0.04104233,290
aurora.a.inhibitor.i,-0.064690487,0.26400936,0.654143061,-0.005505397,0.924347464,0.984392518,-6.59E-05,0.881387387,0.004184859,-0.005505395,151.3285619,3.03E-05,300
AV.412,-0.236259322,3.16E-05,0.00161158,-0.332519072,2.79E-09,2.24E-07,-0.000195229,0.881680414,0.055818467,-0.332519072,203.2091584,0.110568933,304
avanafil,-0.01536696,0.805584605,0.959281667,-0.006595479,0.915874404,0.984392518,-2.66E-05,1.099461549,0.000236143,-0.006595479,130.8574122,4.35E-05,259
AVL.292,-0.005669244,0.923154182,0.984590721,-0.002281451,0.969035263,0.992501877,-5.34E-06,0.922023444,3.21E-05,-0.002268244,146.8322977,5.21E-06,292
AVN.944,-0.080380032,0.170730425,0.548905466,-0.038843514,0.508509207,0.840400291,-9.99E-05,0.896243912,0.00646095,-0.038378432,152.1224403,0.001508819,292
axitinib,0.077777914,0.190447705,0.563943306,0.061906628,0.297638736,0.664324391,9.07E-05,0.902355354,0.006049404,0.061465888,134.2103781,0.003832431,285
AZ.628,0.001685042,0.977646667,0.992729575,-0.017402339,0.772280437,0.942791104,2.52E-06,0.906287916,2.84E-06,-0.016581573,142.3214203,0.000302841,279
AZ20,0.087059526,0.131809519,0.491518591,0.055464566,0.337554278,0.709759027,9.95E-05,0.828587966,0.007579361,0.055464566,142.6248505,0.003076318,301
AZ3146,-0.006524104,0.910402987,0.982237506,0.044929833,0.438132636,0.79709774,-1.43E-05,0.958516884,4.26E-05,0.044929833,143.7380602,0.00201869,300
AZ960,0.074731561,0.196776297,0.573715652,0.045011167,0.437303095,0.79709774,0.000127329,0.814094083,0.005584806,0.045011167,143.7258194,0.002026005,300
azacitidine,-0.164736695,0.005145567,0.088699766,-0.108052941,0.06756465,0.366418026,-0.000145001,0.942750506,0.027138179,-0.105672275,159.2168076,0.011675438,287
azalomycin.b,0.004431185,0.938163895,0.984590721,0.029393031,0.606763009,0.901120859,3.56E-06,0.734265701,1.96E-05,0.029393031,150.4440802,0.00086395,309
azathioprine,0.02766861,0.638319535,0.877036812,0.094522496,0.107595009,0.430380035,7.91E-05,1.08242685,0.000765552,0.094522496,132.1997156,0.008934502,291
AZD1480,-0.005796471,0.925461873,0.984590721,0.000884604,0.988608558,0.998320883,-1.12E-05,1.009977861,3.36E-05,0.000884604,131.8832322,7.83E-07,263
AZD2014,-0.049638025,0.396431322,0.762780533,-0.025183194,0.667173425,0.915981652,-7.71E-05,0.84910985,0.002463934,-0.025081251,151.1994846,0.000634193,294
AZD2461,0.110037107,0.059071419,0.329885227,0.102649415,0.078369006,0.392658548,0.00032344,1.05312451,0.012108165,0.102649415,132.8078865,0.010536902,295
AZD2858,0.04575341,0.43446443,0.788522863,0.087744831,0.133356179,0.486397349,8.92E-05,0.872956496,0.002093375,0.087744831,134.5576374,0.007699155,294
AZD3463,-0.086498784,0.132384151,0.491518591,-0.08128935,0.157411779,0.523982197,-0.000104444,0.72846247,0.00748204,-0.08128935,164.8966258,0.006607958,304
AZD4547,-0.053529277,0.41910897,0.776048322,-0.079764966,0.228193393,0.60272578,-0.000187937,1.271157649,0.002865383,-0.079764966,124.7128536,0.00636245,230
AZD5363,-0.079334126,0.166971383,0.544537302,-0.070978616,0.216437053,0.584703084,-0.000219641,0.990502164,0.006293904,-0.070978616,163.8597282,0.005037964,305
AZD5438,-0.036317964,0.532288479,0.832347427,-0.011802386,0.839219791,0.964436712,-2.00E-05,0.820433715,0.001318995,-0.011802386,151.2644566,0.000139296,298
AZD6482,-0.007361528,0.896623289,0.976116207,0.00161227,0.977298797,0.99501873,-7.24E-06,0.769945529,5.42E-05,0.00161227,157.2460674,2.60E-06,314
AZD7762,-0.012071993,0.833150063,0.96507188,-0.014086061,0.805826904,0.950744374,-1.52E-05,0.542569508,0.000145733,-0.014086061,156.1692534,0.000198417,307
AZD8055,-0.043262071,0.456859018,0.804783283,-0.024827975,0.669479973,0.915981652,-5.16E-05,0.627210845,0.001871607,-0.024827975,153.2117823,0.000616428,298
AZD8330,-0.117559453,0.03826308,0.265485759,-0.070070532,0.217857004,0.585510514,-0.000303762,0.536577756,0.013820225,-0.070070532,166.931003,0.004909879,311
AZD8931,-0.475428197,3.86E-17,2.79E-14,-0.466626765,1.72E-16,1.24E-13,-0.000846676,0.890886112,0.22603197,-0.450860326,203.1204456,0.217740537,279
AZD9668,0.068310192,0.243757613,0.623606048,0.099587715,0.088827975,0.404474552,0.000202885,1.03519073,0.004666282,0.099587715,132.3606059,0.009917713,293
azilsartan,-0.012204609,0.836051188,0.965392441,0.006052719,0.918256746,0.984392518,-1.88E-05,0.954199642,0.000148952,0.006052719,144.6193294,3.66E-05,290
azithromycin,-0.091749679,0.125613761,0.481937154,-0.031004586,0.605428912,0.901120859,-9.91E-05,0.883246683,0.008418004,-0.031004586,144.8561444,0.000961284,280
azodicarbonamide,0.133411543,0.022136143,0.205972119,0.111213216,0.056819277,0.337189806,0.000328997,1.213260526,0.01779864,0.111213216,131.0960507,0.012368379,294
azomycin..2.nitroimidazole.,0.096003849,0.118285285,0.470541463,0.091026698,0.138690675,0.495861969,0.000191023,1.14885485,0.009216739,0.091026698,121.3479359,0.00828586,266
aztreonam,0.059510593,0.316765563,0.710401969,0.072882788,0.219962596,0.587337844,0.000123422,1.046408243,0.003541511,0.072882788,132.5777613,0.005311901,285
bafetinib,0.135582056,0.018022941,0.181230689,0.182771508,0.001371399,0.0287795,0.000211406,0.959285735,0.018382494,0.182771508,124.627345,0.033405424,304
baicalein,0.15559327,0.00783703,0.113480199,0.169325879,0.003767516,0.05570026,0.000413485,1.173567289,0.024209266,0.169325879,121.2784216,0.028671253,291
baicalin,0.078512507,0.204386144,0.584714567,0.120367556,0.051196332,0.32511871,0.000177642,1.002289564,0.006164214,0.120367536,116.1114852,0.014488349,263
balapiravir,0.000811969,0.988882459,0.999233636,-0.012469608,0.830547487,0.959037289,2.53E-06,1.020155856,6.59E-07,-0.012469608,150.8579716,0.000155491,297
BAM7,-0.057895325,0.32418244,0.713631432,-0.05641738,0.336707625,0.709683612,-0.00021585,1.174945832,0.003351869,-0.05641738,154.7651462,0.003182921,292
BAN.ORL.24,0.173336932,0.003742847,0.077451804,0.163813796,0.006190209,0.080997641,0.00039529,1.461081431,0.030045692,0.163813796,116.6479755,0.02683496,278
barasertib,0.052039952,0.380586864,0.75643337,0.088513686,0.135364153,0.491593856,6.66E-05,0.911529005,0.002708157,0.086097728,131.1449761,0.007834673,286
barasertib.HQPA,0.01459658,0.802525632,0.959281667,0.067321405,0.248233431,0.625958243,4.16E-05,0.815927691,0.00021306,0.067321405,138.5027714,0.004532172,296
bardoxolone,-0.044344977,0.527810566,0.829417325,-0.008836762,0.899928255,0.979035397,-7.62E-05,0.729177231,0.001966477,-0.008836762,103.9101865,7.81E-05,205
bardoxolone.methyl,-0.16055803,0.006698932,0.103348948,-0.144732541,0.014639115,0.154409634,-0.000200692,0.765058369,0.025778881,-0.144730948,163.1241602,0.020947508,284
baricitinib,-0.071339167,0.223428586,0.59827907,-0.026177866,0.655413819,0.912311091,-0.000175564,0.940474248,0.005089277,-0.026177866,150.8481462,0.000685281,293
batimastat,-0.159316599,0.006189307,0.099579076,-0.135055231,0.020532477,0.191813078,-0.000158472,0.926986629,0.025381779,-0.132900859,167.1028766,0.018239916,294
BAY.11.7082,0.140325734,0.016605029,0.170525407,0.111067757,0.058440612,0.340761981,0.000102324,0.910028381,0.019691311,0.111067743,129.7841095,0.012336047,291
BAY.11.7085,-0.009738708,0.866599659,0.976106648,0.089594773,0.121510561,0.458196072,-1.56E-05,0.848724152,9.48E-05,0.089594773,137.0159866,0.008027223,300
BAY.87.2243,0.012953855,0.822318617,0.962584767,0.045069952,0.434401145,0.79521221,2.57E-05,0.571191144,0.000167802,0.045069952,145.1493673,0.002031301,303
BAY.K.8644..s.....,0.002124078,0.97233868,0.99124103,0.013621484,0.824018945,0.957053782,5.07E-06,1.295504969,4.51E-06,0.013621484,133.1610997,0.000185545,269
beclomethasone.dipropionate,-0.045473786,0.461036225,0.809364251,-0.078439237,0.203080496,0.568794052,-0.000165904,1.013618535,0.002067865,-0.078439237,143.4324185,0.006152714,265
bekanamycin,-0.026541532,0.650380522,0.881564551,-0.002844889,0.961260404,0.991337739,-8.01E-05,1.195602284,0.000704453,-0.002844889,147.9196211,8.09E-06,294
belinostat,0.041501554,0.486821063,0.82350105,0.023093959,0.698880111,0.921444562,5.46E-05,0.860598133,0.001722379,0.02305344,138.7264115,0.000533331,283
bendamustine,0.107979779,0.05920554,0.329885227,0.129454065,0.02352549,0.207712859,0.0002296,1.078657138,0.011659633,0.129454065,133.628801,0.016758355,306
bendroflumethiazide,0.092091477,0.138626774,0.500577478,0.05400353,0.385822553,0.756305943,0.000252364,1.385348599,0.00848084,0.05400353,123.4525394,0.002916381,260
benfotiamine,0.148041742,0.018468721,0.18443247,0.132519996,0.035141708,0.252582676,0.000390259,1.376388502,0.021916357,0.132519996,110.1699605,0.017561549,253
bentazepam,-0.06160423,0.304326085,0.698358434,-0.052379312,0.382580126,0.754498334,-7.61E-05,0.959284728,0.003795081,-0.052379312,147.8592934,0.002743592,280
benzethonium,-0.028999525,0.650823553,0.881564551,-0.031326641,0.624872348,0.9071159,-5.95E-05,0.732378376,0.000840972,-0.031326641,127.3688402,0.000981358,246
benzocaine,-0.033590747,0.628380657,0.876438352,0.008171873,0.906292034,0.983123503,-7.97E-05,1.217391681,0.001128338,0.008171873,104.6378674,6.68E-05,210
benzydamine,0.072824983,0.22032961,0.596331357,0.060808576,0.306306758,0.679222337,0.000215474,1.15544656,0.005303478,0.060808576,134.3043736,0.003697683,285
benzyldimethylhexadecylammonium,0.011295367,0.846296359,0.966969664,-0.014957758,0.797406765,0.950417411,2.23E-05,1.038629251,0.000127585,-0.014957758,151.228706,0.000223735,297
bephenium.hydroxynaphthoate,0.089696003,0.150025557,0.514779635,0.075081675,0.22851965,0.60272578,0.000177112,1.218731959,0.008045373,0.075081675,120.2393822,0.005637258,259
berberine,-0.026678895,0.642029711,0.877036812,-0.003515737,0.951161084,0.989054056,-3.53E-05,0.824517887,0.000711763,-0.003515737,154.0396657,1.24E-05,306
beta.lapachone,-0.049489455,0.385968951,0.756455841,0.00328885,0.954084328,0.989940164,-2.92E-05,0.77447703,0.002449206,0.00328885,154.4902282,1.08E-05,309
betamethasone,-0.124048236,0.04323303,0.287162511,-0.092812591,0.131079273,0.479299969,-0.000397143,1.108105658,0.015387965,-0.092812591,145.8904809,0.008614177,266
betamethasone.dipropionate,-0.090725958,0.118096058,0.470541463,-0.099431839,0.086621605,0.40348861,-0.00030826,1.081453805,0.008231199,-0.099431839,164.36506,0.009886691,298
betulinic.acid,0.025649858,0.681170567,0.905725419,0.047668548,0.444940955,0.797451743,5.20E-05,0.943992366,0.000657915,0.047668548,123.8030888,0.00227229,259
bexarotene,0.085806499,0.14993629,0.514779635,0.12299624,0.038657253,0.273052203,7.32E-05,0.93399022,0.007362755,0.121751409,124.7112999,0.015128075,283
BF2.649,0.007116624,0.9018158,0.97841997,-0.008549483,0.88217898,0.974052596,2.84E-05,1.209314321,5.06E-05,-0.008549483,153.2995213,7.31E-05,303
BGT226,0.047709581,0.4158575,0.774464442,0.004583703,0.937728323,0.987111817,4.51E-05,0.41144421,0.002276204,0.004583703,146.3261957,2.10E-05,293
BI.2536,-0.028597552,0.616537114,0.871822013,0.022877561,0.688734236,0.91855729,-6.87E-05,0.547584597,0.00081782,0.022877561,151.4539781,0.000523383,309
BI.78D3,0.046784068,0.426568762,0.782805779,0.053988089,0.358789899,0.730754487,3.53E-05,0.856674991,0.002188749,0.053988089,138.1177391,0.002914714,291
BI.D1870,-0.036941682,0.530927309,0.831116479,-0.021165941,0.719650089,0.926757758,-0.000109904,1.216095473,0.001364688,-0.021165941,148.5796444,0.000447997,290
BIBR.1532,0.024231977,0.670846274,0.896111997,-0.001551424,0.97829598,0.99501873,4.78E-05,0.918791505,0.000587189,-0.001551424,155.7412465,2.41E-06,310
BIBU.1361,-0.138066167,0.016535258,0.170525407,-0.151358606,0.008533016,0.09910321,-0.000371179,1.01073665,0.019062266,-0.151358606,173.8551495,0.022909428,301
BIBX.1382,-0.181183469,0.002021861,0.048794236,-0.217091858,0.000205206,0.007001074,-0.000375066,0.982032315,0.03282745,-0.217091858,175.8697735,0.047128875,288
bicalutamide,0.040391705,0.52329719,0.829417325,0.050982968,0.42034087,0.782403337,7.71E-05,1.13942385,0.00163149,0.050982968,120.0506545,0.002599263,252
bifemelane,0.010331557,0.86189538,0.97425801,0.040541487,0.494671966,0.832610715,2.19E-05,1.080314941,0.000106741,0.040541487,137.6822967,0.001643612,286
BIIB021,-0.140081171,0.015522363,0.167734196,-0.100084518,0.084563765,0.401957837,-0.000208084,0.817806936,0.019622734,-0.099923388,164.4385465,0.010016911,298
bindarit,-0.017398878,0.776776714,0.950779951,-0.026317807,0.667994885,0.915981652,-3.12E-05,1.113039007,0.000302721,-0.026317807,138.0397451,0.000692627,268
birinapant,-0.002292228,0.968568498,0.99124103,0.0254279,0.661981173,0.915368202,-8.65E-06,0.95765602,5.25E-06,0.0254279,145.6985289,0.000646578,298
