"","Simulation Number","Value Added","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"79",1,"-1","Cell_No_1","TGF beta receptor inhibitor",0.74941,1.95,0.00235,197,0.21
"80",1,"-1","Cell_No_1","thymidylate synthase inhibitor",-0.55108,-1.35,0.162,992,0.811
"81",1,"-1","Cell_No_1","topoisomerase inhibitor",0.27959,0.718,0.777,240,0.994
"82",1,"-1","Cell_No_1","tubulin polymerization inhibitor",-0.41886,-1.06,0.374,1074,0.859
"83",1,"-1","Cell_No_1","tyrosine kinase inhibitor",-0.3861,-0.938,0.484,985,0.89
"84",1,"-1","Cell_No_1","VEGFR inhibitor",-0.25288,-0.628,0.898,1087,0.987
"85",1,"-1","Cell_No_1","vitamin D receptor agonist",-0.55084,-1.37,0.123,1005,0.944
"86",1,"-1","Cell_No_1","35_random_drugs",-0.85976,-2.06,0,1186,0.0575
"87",1,"-0.75","Cell_No_1","EGFR inhibitor",-0.32256,-0.814,0.703,989,0.924
"88",1,"-0.75","Cell_No_1","Abl kinase inhibitor",0.33933,0.867,0.605,462,0.876
"89",1,"-0.75","Cell_No_1","acetylcholine receptor agonist",0.45872,1.17,0.297,460,0.671
"90",1,"-0.75","Cell_No_1","acetylcholine receptor antagonist",-0.51767,-1.34,0.153,876,0.694
"91",1,"-0.75","Cell_No_1","adenosine receptor antagonist",-0.38963,-0.978,0.473,895,0.968
"92",1,"-0.75","Cell_No_1","adrenergic receptor agonist",-0.31261,-0.788,0.682,1149,0.944
"93",1,"-0.75","Cell_No_1","adrenergic receptor antagonist",-0.17802,-0.454,0.984,1151,1
"94",1,"-0.75","Cell_No_1","AKT inhibitor",-0.52869,-1.34,0.157,871,0.694
"95",1,"-0.75","Cell_No_1","ALK tyrosine kinase receptor inhibitor",-0.3251,-0.818,0.668,1086,0.941
"96",1,"-0.75","Cell_No_1","androgen receptor antagonist",0.57775,1.43,0.104,36,0.505
"97",1,"-0.75","Cell_No_1","antioxidant",-0.50497,-1.25,0.206,1078,0.747
"98",1,"-0.75","Cell_No_1","AP inhibitor",0.70416,1.82,0.0128,125,0.263
"99",1,"-0.75","Cell_No_1","ATPase inhibitor",0.29952,0.767,0.747,141,0.913
"100",1,"-0.75","Cell_No_1","Aurora kinase inhibitor",-0.15602,-0.393,0.998,974,0.998
"101",1,"-0.75","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",-0.38022,-0.947,0.508,1105,0.899
"102",1,"-0.75","Cell_No_1","bacterial DNA gyrase inhibitor",0.48684,1.23,0.234,88,0.603
"103",1,"-0.75","Cell_No_1","BCL inhibitor",0.53762,1.34,0.152,256,0.559
"104",1,"-0.75","Cell_No_1","Bcr.Abl kinase inhibitor",0.37451,0.934,0.478,215,0.911
"105",1,"-0.75","Cell_No_1","benzodiazepine receptor agonist",0.43321,1.11,0.333,452,0.742
"106",1,"-0.75","Cell_No_1","bromodomain inhibitor",0.63188,1.59,0.0726,259,0.513
"107",1,"-0.75","Cell_No_1","calcium channel blocker",0.40039,1.02,0.391,110,0.828
"108",1,"-0.75","Cell_No_1","CC chemokine receptor antagonist",0.35909,0.915,0.526,57,0.86
"109",1,"-0.75","Cell_No_1","CDK inhibitor",-0.27389,-0.69,0.84,1112,0.978
"110",1,"-0.75","Cell_No_1","CHK inhibitor",-0.48044,-1.22,0.235,1175,0.775
"111",1,"-0.75","Cell_No_1","cyclooxygenase inhibitor",-0.33294,-0.829,0.651,1042,0.973
"112",1,"-0.75","Cell_No_1","cytochrome P450 inhibitor",-0.62843,-1.55,0.0607,959,0.888
"113",1,"-0.75","Cell_No_1","DNA alkylating agent",0.25136,0.636,0.902,379,1
"114",1,"-0.75","Cell_No_1","DNA inhibitor",0.21033,0.533,0.974,261,0.995
"115",1,"-0.75","Cell_No_1","DNA methyltransferase inhibitor",0.50105,1.26,0.224,112,0.6
"116",1,"-0.75","Cell_No_1","DNA polymerase inhibitor",0.24202,0.627,0.899,87,0.983
"117",1,"-0.75","Cell_No_1","DNA synthesis inhibitor",0.2122,0.552,0.949,318,1
"118",1,"-0.75","Cell_No_1","dopamine receptor antagonist",0.3158,0.809,0.676,336,0.911
"119",1,"-0.75","Cell_No_1","estrogen receptor agonist",0.64556,1.62,0.0527,408,0.591
"120",1,"-0.75","Cell_No_1","estrogen receptor antagonist",0.55682,1.44,0.117,124,0.553
"121",1,"-0.75","Cell_No_1","FGFR inhibitor",-0.41438,-1.07,0.374,1128,0.867
"122",1,"-0.75","Cell_No_1","FLT3 inhibitor",-0.57649,-1.44,0.122,1134,0.818
"123",1,"-0.75","Cell_No_1","glucocorticoid receptor agonist",-0.21641,-0.542,0.949,1222,1
"124",1,"-0.75","Cell_No_1","glutamate receptor antagonist",-0.60242,-1.54,0.0807,1126,0.74
"125",1,"-0.75","Cell_No_1","glycogen synthase kinase inhibitor",-0.52887,-1.34,0.16,1184,0.694
"126",1,"-0.75","Cell_No_1","growth factor receptor inhibitor",-0.30764,-0.757,0.728,1310,0.949
"127",1,"-0.75","Cell_No_1","HCV inhibitor",-0.34925,-0.873,0.603,1035,0.998
"128",1,"-0.75","Cell_No_1","HDAC inhibitor",-0.38461,-0.975,0.454,1088,0.938
"129",1,"-0.75","Cell_No_1","histamine receptor antagonist",-0.21047,-0.538,0.951,1236,0.999
"130",1,"-0.75","Cell_No_1","histone lysine methyltransferase inhibitor",-0.6539,-1.64,0.0504,1307,1
"131",1,"-0.75","Cell_No_1","HMGCR inhibitor",0.56246,1.42,0.136,65,0.467
"132",1,"-0.75","Cell_No_1","HSP inhibitor",-0.33548,-0.832,0.65,1291,0.996
"133",1,"-0.75","Cell_No_1","JAK inhibitor",-0.25615,-0.639,0.884,1052,0.974
"134",1,"-0.75","Cell_No_1","KIT inhibitor",-0.36409,-0.946,0.519,1037,0.871
"135",1,"-0.75","Cell_No_1","MDM inhibitor",-0.54306,-1.36,0.143,774,0.86
"136",1,"-0.75","Cell_No_1","MEK inhibitor",0.35324,0.928,0.504,258,0.877
"137",1,"-0.75","Cell_No_1","MET inhibitor",-0.4393,-1.09,0.349,1211,0.86
"138",1,"-0.75","Cell_No_1","microtubule inhibitor",-0.37747,-0.956,0.469,1104,0.947
"139",1,"-0.75","Cell_No_1","mTOR inhibitor",-0.36962,-0.949,0.473,1096,0.927
"140",1,"-0.75","Cell_No_1","NFkB pathway inhibitor",0.33853,0.88,0.601,81,0.889
"141",1,"-0.75","Cell_No_1","opioid receptor agonist",-0.54534,-1.39,0.129,1160,0.867
"142",1,"-0.75","Cell_No_1","p38 MAPK inhibitor",-0.52089,-1.32,0.155,1143,0.688
"143",1,"-0.75","Cell_No_1","PARP inhibitor",-0.33226,-0.822,0.68,902,0.959
"144",1,"-0.75","Cell_No_1","PDGFR tyrosine kinase receptor inhibitor",-0.31258,-0.785,0.703,1097,0.925
"145",1,"-0.75","Cell_No_1","phosphatase inhibitor",-0.42446,-1.09,0.329,1039,0.86
"146",1,"-0.75","Cell_No_1","phosphodiesterase inhibitor",0.56699,1.46,0.0927,198,0.715
"147",1,"-0.75","Cell_No_1","PI3K inhibitor",-0.33123,-0.833,0.648,1169,1
"148",1,"-0.75","Cell_No_1","PLK inhibitor",0.39572,1.01,0.424,95,0.802
"149",1,"-0.75","Cell_No_1","potassium channel blocker",-0.26903,-0.68,0.845,1281,0.969
"150",1,"-0.75","Cell_No_1","PPAR receptor agonist",0.57059,1.45,0.115,286,0.622
"151",1,"-0.75","Cell_No_1","progesterone receptor agonist",-0.50723,-1.26,0.226,1329,0.775
"152",1,"-0.75","Cell_No_1","proteasome inhibitor",0.29671,0.78,0.716,362,0.926
"153",1,"-0.75","Cell_No_1","protein synthesis inhibitor",-0.25196,-0.625,0.88,1258,0.968
"154",1,"-0.75","Cell_No_1","protein tyrosine kinase inhibitor",-0.34331,-0.862,0.601,1100,0.99
"155",1,"-0.75","Cell_No_1","RAF inhibitor",-0.43474,-1.1,0.346,1159,0.926
"156",1,"-0.75","Cell_No_1","RET tyrosine kinase inhibitor",-0.6649,-1.63,0.0451,1256,0.782
"157",1,"-0.75","Cell_No_1","retinoid receptor agonist",-0.27854,-0.707,0.803,1178,0.976
"158",1,"-0.75","Cell_No_1","ribonucleotide reductase inhibitor",0.19301,0.49,0.981,451,0.982
"159",1,"-0.75","Cell_No_1","serotonin receptor agonist",-0.43985,-1.13,0.309,1065,0.953
"160",1,"-0.75","Cell_No_1","serotonin receptor antagonist",0.50549,1.31,0.167,107,0.562
"161",1,"-0.75","Cell_No_1","sodium channel blocker",0.29089,0.744,0.731,382,0.886
"162",1,"-0.75","Cell_No_1","src inhibitor",0.32496,0.844,0.631,96,0.884
"163",1,"-0.75","Cell_No_1","sterol demethylase inhibitor",-0.28499,-0.725,0.793,1069,0.974
"164",1,"-0.75","Cell_No_1","SYK inhibitor",0.41677,1.07,0.345,40,0.775
"165",1,"-0.75","Cell_No_1","TGF beta receptor inhibitor",0.74941,1.91,0.013,197,0.278
"166",1,"-0.75","Cell_No_1","thymidylate synthase inhibitor",-0.59671,-1.51,0.0697,1000,0.71
"167",1,"-0.75","Cell_No_1","topoisomerase inhibitor",0.29935,0.761,0.71,241,0.891
"168",1,"-0.75","Cell_No_1","tubulin polymerization inhibitor",-0.42642,-1.05,0.409,1084,0.874
"169",1,"-0.75","Cell_No_1","tyrosine kinase inhibitor",-0.39339,-0.983,0.464,1100,0.994
"170",1,"-0.75","Cell_No_1","VEGFR inhibitor",-0.26048,-0.646,0.898,1097,0.988
"171",1,"-0.75","Cell_No_1","vitamin D receptor agonist",-0.45248,-1.12,0.332,1013,0.925
"172",1,"-0.75","Cell_No_1","35_random_drugs",-0.73358,-1.81,0.00771,1223,0.767
"173",1,"-0.5","Cell_No_1","EGFR inhibitor",-0.32505,-0.841,0.659,996,0.902
"174",1,"-0.5","Cell_No_1","Abl kinase inhibitor",0.34082,0.878,0.561,460,0.928
"175",1,"-0.5","Cell_No_1","acetylcholine receptor agonist",0.46021,1.17,0.277,458,0.687
"176",1,"-0.5","Cell_No_1","acetylcholine receptor antagonist",-0.52139,-1.32,0.166,881,0.731
"177",1,"-0.5","Cell_No_1","adenosine receptor antagonist",-0.39335,-1.01,0.418,900,0.87
"178",1,"-0.5","Cell_No_1","adrenergic receptor agonist",0.27899,0.716,0.77,252,0.927
"179",1,"-0.5","Cell_No_1","adrenergic receptor antagonist",-0.18252,-0.467,0.987,1157,1
"180",1,"-0.5","Cell_No_1","AKT inhibitor",-0.53242,-1.33,0.182,876,0.771
"181",1,"-0.5","Cell_No_1","ALK tyrosine kinase receptor inhibitor",-0.32957,-0.816,0.683,1092,0.924
"182",1,"-0.5","Cell_No_1","androgen receptor antagonist",0.57775,1.46,0.109,36,0.456
"183",1,"-0.5","Cell_No_1","antioxidant",-0.50869,-1.29,0.171,1083,0.692
"184",1,"-0.5","Cell_No_1","AP inhibitor",0.70416,1.79,0.0235,125,0.345
"185",1,"-0.5","Cell_No_1","ATPase inhibitor",0.29952,0.766,0.742,141,0.982
"186",1,"-0.5","Cell_No_1","Aurora kinase inhibitor",-0.16054,-0.394,0.998,980,0.998
"187",1,"-0.5","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",-0.38543,-0.957,0.505,1112,0.891
"188",1,"-0.5","Cell_No_1","bacterial DNA gyrase inhibitor",0.48684,1.27,0.198,88,0.549
"189",1,"-0.5","Cell_No_1","BCL inhibitor",0.53836,1.39,0.135,255,0.432
"190",1,"-0.5","Cell_No_1","Bcr.Abl kinase inhibitor",0.37526,0.95,0.476,214,0.82
"191",1,"-0.5","Cell_No_1","benzodiazepine receptor agonist",0.43471,1.11,0.338,450,0.762
"192",1,"-0.5","Cell_No_1","bromodomain inhibitor",0.63262,1.63,0.0541,258,0.427
"193",1,"-0.5","Cell_No_1","calcium channel blocker",0.40039,1.02,0.403,110,0.759
"194",1,"-0.5","Cell_No_1","CC chemokine receptor antagonist",0.32914,0.841,0.625,57,0.96
"195",1,"-0.5","Cell_No_1","CDK inhibitor",-0.27916,-0.707,0.824,1119,0.982
"196",1,"-0.5","Cell_No_1","CHK inhibitor",-0.48416,-1.21,0.252,1180,0.831
"197",1,"-0.5","Cell_No_1","cyclooxygenase inhibitor",-0.3382,-0.857,0.615,1049,0.922
"198",1,"-0.5","Cell_No_1","cytochrome P450 inhibitor",-0.6329,-1.61,0.054,965,0.64
"199",1,"-0.5","Cell_No_1","DNA alkylating agent",0.25286,0.643,0.893,377,0.964
"200",1,"-0.5","Cell_No_1","DNA inhibitor",0.21108,0.545,0.96,260,0.987
"201",1,"-0.5","Cell_No_1","DNA methyltransferase inhibitor",0.50105,1.29,0.197,112,0.558
"202",1,"-0.5","Cell_No_1","DNA polymerase inhibitor",0.24202,0.631,0.901,87,0.947
"203",1,"-0.5","Cell_No_1","DNA synthesis inhibitor",-0.21467,-0.534,0.962,1321,1
"204",1,"-0.5","Cell_No_1","dopamine receptor antagonist",0.28423,0.731,0.81,333,0.969
"205",1,"-0.5","Cell_No_1","estrogen receptor agonist",0.64705,1.63,0.0414,406,0.427
"206",1,"-0.5","Cell_No_1","estrogen receptor antagonist",0.55682,1.41,0.122,124,0.44
"207",1,"-0.5","Cell_No_1","FGFR inhibitor",-0.4196,-1.06,0.373,1135,0.867
"208",1,"-0.5","Cell_No_1","FLT3 inhibitor",-0.58098,-1.48,0.0942,1140,0.96
"209",1,"-0.5","Cell_No_1","glucocorticoid receptor agonist",-0.22093,-0.576,0.942,1228,1
"210",1,"-0.5","Cell_No_1","glutamate receptor antagonist",-0.47359,-1.2,0.254,1133,0.802
"211",1,"-0.5","Cell_No_1","glycogen synthase kinase inhibitor",-0.5326,-1.34,0.19,1189,0.819
"212",1,"-0.5","Cell_No_1","growth factor receptor inhibitor",-0.31434,-0.8,0.699,1319,0.903
"213",1,"-0.5","Cell_No_1","HCV inhibitor",-0.24089,-0.603,0.924,324,1
"214",1,"-0.5","Cell_No_1","HDAC inhibitor",-0.37517,-0.942,0.537,1094,0.891
"215",1,"-0.5","Cell_No_1","histamine receptor antagonist",-0.21572,-0.55,0.958,1243,1
"216",1,"-0.5","Cell_No_1","histone lysine methyltransferase inhibitor",-0.66133,-1.66,0.0387,1317,0.651
"217",1,"-0.5","Cell_No_1","HMGCR inhibitor",0.56246,1.46,0.112,65,0.456
"218",1,"-0.5","Cell_No_1","HSP inhibitor",-0.34221,-0.857,0.616,1300,0.922
"219",1,"-0.5","Cell_No_1","JAK inhibitor",-0.26065,-0.666,0.883,1058,0.971
"220",1,"-0.5","Cell_No_1","KIT inhibitor",-0.36933,-0.921,0.517,1044,0.903
"221",1,"-0.5","Cell_No_1","MDM inhibitor",-0.5438,-1.4,0.119,775,0.823
"222",1,"-0.5","Cell_No_1","MEK inhibitor",0.37691,0.979,0.458,257,0.801
"223",1,"-0.5","Cell_No_1","MET inhibitor",-0.44376,-1.12,0.315,1217,0.951
"224",1,"-0.5","Cell_No_1","microtubule inhibitor",-0.38269,-0.976,0.464,1111,0.88
"225",1,"-0.5","Cell_No_1","mTOR inhibitor",-0.41688,-1.04,0.403,1102,0.838
"226",1,"-0.5","Cell_No_1","NFkB pathway inhibitor",0.40829,1.04,0.422,81,0.808
"227",1,"-0.5","Cell_No_1","opioid receptor agonist",-0.54906,-1.4,0.123,1165,0.823
"228",1,"-0.5","Cell_No_1","p38 MAPK inhibitor",-0.52536,-1.34,0.157,1149,0.819
"229",1,"-0.5","Cell_No_1","PARP inhibitor",-0.33599,-0.848,0.626,907,0.915
"230",1,"-0.5","Cell_No_1","PDGFR tyrosine kinase receptor inhibitor",-0.3171,-0.801,0.668,1103,0.925
"231",1,"-0.5","Cell_No_1","phosphatase inhibitor",-0.42968,-1.09,0.359,1046,0.882
"232",1,"-0.5","Cell_No_1","phosphodiesterase inhibitor",0.56699,1.44,0.109,198,0.436
"233",1,"-0.5","Cell_No_1","PI3K inhibitor",-0.34262,-0.875,0.575,1174,0.944
"234",1,"-0.5","Cell_No_1","PLK inhibitor",0.39572,1.03,0.406,95,0.782
"235",1,"-0.5","Cell_No_1","potassium channel blocker",-0.27646,-0.694,0.8,1291,0.978
"236",1,"-0.5","Cell_No_1","PPAR receptor agonist",0.57134,1.5,0.0672,285,0.515
"237",1,"-0.5","Cell_No_1","progesterone receptor agonist",-0.51244,-1.29,0.191,1336,0.692
"238",1,"-0.5","Cell_No_1","proteasome inhibitor",0.29894,0.791,0.714,359,0.975
"239",1,"-0.5","Cell_No_1","protein synthesis inhibitor",-0.4074,-1.04,0.402,1265,0.838
"240",1,"-0.5","Cell_No_1","protein tyrosine kinase inhibitor",-0.34777,-0.917,0.527,1106,0.882
"241",1,"-0.5","Cell_No_1","RAF inhibitor",-0.43847,-1.1,0.323,1164,0.902
"242",1,"-0.5","Cell_No_1","RET tyrosine kinase inhibitor",-0.6701,-1.7,0.0282,1263,1
"243",1,"-0.5","Cell_No_1","retinoid receptor agonist",-0.28226,-0.719,0.789,1183,0.987
"244",1,"-0.5","Cell_No_1","ribonucleotide reductase inhibitor",0.1945,0.503,0.975,449,0.978
"245",1,"-0.5","Cell_No_1","serotonin receptor agonist",0.26096,0.671,0.853,364,0.958
"246",1,"-0.5","Cell_No_1","serotonin receptor antagonist",0.61727,1.57,0.0732,107,0.454
"247",1,"-0.5","Cell_No_1","sodium channel blocker",0.29238,0.756,0.762,380,0.964
"248",1,"-0.5","Cell_No_1","src inhibitor",0.32496,0.824,0.641,96,0.951
"249",1,"-0.5","Cell_No_1","sterol demethylase inhibitor",-0.28945,-0.721,0.806,1075,1
"250",1,"-0.5","Cell_No_1","SYK inhibitor",0.41677,1.06,0.37,40,0.815
"251",1,"-0.5","Cell_No_1","TGF beta receptor inhibitor",0.74941,1.9,0.00427,197,0.312
"252",1,"-0.5","Cell_No_1","thymidylate synthase inhibitor",-0.58061,-1.46,0.103,1007,0.867
"253",1,"-0.5","Cell_No_1","topoisomerase inhibitor",0.28281,0.724,0.792,240,0.947
"254",1,"-0.5","Cell_No_1","tubulin polymerization inhibitor",-0.43095,-1.1,0.334,1090,0.902
"255",1,"-0.5","Cell_No_1","tyrosine kinase inhibitor",-0.39791,-0.988,0.42,1106,0.886
"256",1,"-0.5","Cell_No_1","VEGFR inhibitor",-0.26504,-0.684,0.857,1103,0.969
"257",1,"-0.5","Cell_No_1","vitamin D receptor agonist",-0.43182,-1.08,0.356,1020,0.861
"258",1,"-0.5","Cell_No_1","35_random_drugs",-0.65321,-1.67,0.0432,1208,0.928
"259",1,"-0.25","Cell_No_1","EGFR inhibitor",-0.31314,-0.803,0.687,994,0.934
"260",1,"-0.25","Cell_No_1","Abl kinase inhibitor",0.33783,0.865,0.6,464,0.884
"261",1,"-0.25","Cell_No_1","acetylcholine receptor agonist",0.45723,1.18,0.277,462,0.603
"262",1,"-0.25","Cell_No_1","acetylcholine receptor antagonist",-0.52065,-1.33,0.159,880,0.723
"263",1,"-0.25","Cell_No_1","adenosine receptor antagonist",-0.39261,-1,0.432,899,0.878
"264",1,"-0.25","Cell_No_1","adrenergic receptor agonist",0.28757,0.728,0.758,254,0.885
"265",1,"-0.25","Cell_No_1","adrenergic receptor antagonist",-0.18477,-0.467,0.994,1160,1
"266",1,"-0.25","Cell_No_1","AKT inhibitor",-0.53167,-1.34,0.144,875,0.76
"267",1,"-0.25","Cell_No_1","ALK tyrosine kinase receptor inhibitor",-0.33032,-0.851,0.627,1093,0.898
"268",1,"-0.25","Cell_No_1","androgen receptor antagonist",0.57701,1.49,0.0924,37,0.627
"269",1,"-0.25","Cell_No_1","antioxidant",-0.51018,-1.3,0.189,1085,0.684
"270",1,"-0.25","Cell_No_1","AP inhibitor",0.70267,1.82,0.00215,127,0.265
"271",1,"-0.25","Cell_No_1","ATPase inhibitor",0.29803,0.768,0.746,143,0.886
"272",1,"-0.25","Cell_No_1","Aurora kinase inhibitor",-0.16054,-0.405,0.996,980,0.998
"273",1,"-0.25","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",-0.38692,-0.966,0.49,1114,0.858
