"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"103",12,-0.25,-0.76185,-2.02,0.0064,1035,0.142
"104",12,0,0.62011,1.6,0.0578,417,0.864
"105",12,0.25,-0.22974,-0.606,0.907,309,0.958
"106",12,0.5,0.45193,1.17,0.279,171,0.886
"107",12,0.75,0.69564,1.82,0.0187,89,0.706
"108",12,1,0.93457,2.41,0,94,0
"109",13,-1,-0.80743,-2.07,0,1086,0.0372
"110",13,-0.75,-0.7267,-1.82,0.0121,1257,0.243
"111",13,-0.5,-0.57904,-1.48,0.0939,1169,0.723
"112",13,-0.25,-0.64771,-1.59,0.045,1054,1
"113",13,0,0.4879,1.24,0.231,117,1
"114",13,0.25,0.52704,1.34,0.146,324,1
"115",13,0.5,0.64162,1.63,0.0565,72,0.789
"116",13,0.75,0.92499,2.32,0,49,0
"117",13,1,0.85472,2.19,0,29,0.0094
"118",14,-1,-0.73372,-1.84,0.0122,1051,0.239
"119",14,-0.75,-0.7515,-1.9,0.00577,1276,0.279
"120",14,-0.5,-0.70946,-1.78,0.0155,1131,0.38
"121",14,-0.25,-0.55413,-1.39,0.134,1194,1
"122",14,0,-0.4742,-1.21,0.255,1248,0.596
"123",14,0.25,-0.24734,-0.635,0.882,1247,0.911
"124",14,0.5,0.83459,2.2,0,74,0.0119
"125",14,0.75,0.78047,2.01,0.00388,97,0.138
"126",14,1,0.96803,2.44,0,49,0
"127",15,-1,-0.92946,-2.42,0,1309,0
"128",15,-0.75,-0.84581,-2.16,0.002,1218,0.0274
"129",15,-0.5,-0.66449,-1.66,0.0422,1116,0.929
"130",15,-0.25,-0.70544,-1.76,0.0189,1113,1
"131",15,0,0.3128,0.799,0.693,418,0.902
"132",15,0.25,0.28685,0.729,0.785,214,0.962
"133",15,0.5,0.56106,1.43,0.121,259,0.632
"134",15,0.75,0.80264,2.03,0.00192,114,0.0752
"135",15,1,0.81064,2.03,0.00569,185,0.0768
"136",16,-1,-0.792,-1.96,0.00407,1167,0.153
"137",16,-0.75,-0.89457,-2.22,0,1291,0.00369
"138",16,-0.5,-0.69217,-1.76,0.0212,1010,0.371
"139",16,-0.25,-0.45313,-1.12,0.346,874,0.934
"140",16,0,-0.37615,-0.926,0.526,1242,1
"141",16,0.25,0.61438,1.55,0.0562,139,0.823
"142",16,0.5,0.78736,2.01,0,292,0.145
"143",16,0.75,0.83914,2.12,0.00213,188,0.0383
"144",16,1,0.82589,2.07,0,37,0.0824
"145",17,-1,-0.89824,-2.26,0,1329,0.00262
"146",17,-0.75,-0.7989,-2.01,0.00196,1088,0.0906
"147",17,-0.5,-0.5412,-1.34,0.173,1162,0.914
"148",17,-0.25,-0.41682,-1.05,0.381,1111,0.891
"149",17,0,-0.31078,-0.798,0.685,968,0.817
"150",17,0.25,0.38005,0.988,0.452,295,1
"151",17,0.5,0.78662,2.02,0.00202,293,0.0653
"152",17,0.75,0.78883,1.98,0.00633,21,0.111
"153",17,1,0.86241,2.17,0,87,0.0271
"154",18,-1,-0.90219,-2.26,0,1215,0.00107
"155",18,-0.75,-0.8046,-2.06,0,1297,0.0373
"156",18,-0.5,-0.62759,-1.61,0.0593,945,0.578
"157",18,-0.25,-0.63209,-1.6,0.0562,900,0.604
"158",18,0,-0.24872,-0.643,0.857,978,0.97
"159",18,0.25,-0.38311,-0.96,0.491,1131,0.946
"160",18,0.5,0.72984,1.88,0.0157,208,0.433
"161",18,0.75,0.70771,1.84,0.0162,131,0.545
"162",18,1,0.91216,2.28,0,19,0.002
"163",19,-1,-0.90781,-2.28,0,1221,0.00337
"164",19,-0.75,-0.81487,-2.03,0.00204,1096,0.117
"165",19,-0.5,-0.6342,-1.62,0.0583,853,1
"166",19,-0.25,-0.4426,-1.15,0.281,1122,0.856
"167",19,0,-0.53752,-1.36,0.148,1298,0.997
"168",19,0.25,0.41685,1.09,0.346,143,0.914
"169",19,0.5,0.71521,1.84,0.00797,3,0.544
"170",19,0.75,0.85208,2.15,0,152,0.0269
"171",19,1,0.74741,1.93,0.00815,101,0.307
"172",20,-1,-0.81115,-2.05,0.00951,1091,0.0864
"173",20,-0.75,-0.77303,-1.94,0.00192,1328,0.203
"174",20,-0.5,-0.84519,-2.17,0.00184,1269,0.0134
"175",20,-0.25,-0.44617,-1.11,0.323,1290,1
"176",20,0,0.70335,1.73,0.0125,268,1
"177",20,0.25,0.43441,1.1,0.341,204,1
"178",20,0.5,0.55802,1.4,0.127,219,1
"179",20,0.75,0.8804,2.29,0,101,0.00303
"180",20,1,0.95057,2.39,0,43,0
"181",21,-1,-0.83511,-2.13,0,1309,0.0297
"182",21,-0.75,-0.73383,-1.85,0.00763,987,0.495
"183",21,-0.5,-0.82651,-2.09,0,1264,0.0586
"184",21,-0.25,-0.74262,-1.9,0.006,1231,0.344
"185",21,0,0.43376,1.12,0.33,25,1
"186",21,0.25,0.58698,1.48,0.0769,269,0.828
"187",21,0.5,0.73487,1.9,0.00393,268,0.182
"188",21,0.75,0.8052,2.03,0.00192,268,0.0541
"189",21,1,0.79444,1.99,0.00571,268,0.0734
"190",22,-1,-0.84387,-2.1,0.00192,1135,0.0545
"191",22,-0.75,-0.78131,-2.02,0.00209,1143,0.128
"192",22,-0.5,-0.68995,-1.76,0.0216,938,0.359
"193",22,-0.25,-0.3099,-0.801,0.661,1089,0.999
"194",22,0,-0.58987,-1.52,0.0788,1065,0.761
"195",22,0.25,-0.33769,-0.863,0.619,1322,1
"196",22,0.5,0.75029,1.91,0.00931,235,0.123
"197",22,0.75,0.81317,2.05,0.00381,155,0.0698
"198",22,1,0.87239,2.16,0,67,0.0216
"199",23,-1,-0.87017,-2.2,0,1244,0.00652
"200",23,-0.75,-0.84486,-2.16,0,1204,0.0151
"201",23,-0.5,-0.7131,-1.81,0.0201,1168,0.665
"202",23,-0.25,-0.69221,-1.74,0.0258,1287,1
"203",23,0,-0.20586,-0.53,0.965,945,0.988
"204",23,0.25,0.55035,1.4,0.148,165,0.885
"205",23,0.5,0.68163,1.76,0.0244,137,0.302
"206",23,0.75,0.85669,2.11,0.00199,99,0.0158
"207",23,1,0.84327,2.13,0.0021,154,0.0211
"208",24,-1,-0.86589,-2.2,0,1272,0.0116
"209",24,-0.75,-0.83331,-2.15,0,1219,0.0252
"210",24,-0.5,-0.86886,-2.24,0,1209,0.00291
"211",24,-0.25,-0.33982,-0.885,0.606,1306,1
"212",24,0,0.70615,1.82,0.0206,154,0.348
"213",24,0.25,0.26097,0.688,0.87,1000,0.968
"214",24,0.5,0.83094,2.13,0.00193,165,0.0432
"215",24,0.75,0.85427,2.18,0.00206,86,0.0223
"216",24,1,0.7788,1.99,0.0019,36,0.178
"217",25,-1,-0.85831,-2.2,0,1180,0.00802
"218",25,-0.75,-0.82619,-2.13,0,1192,0.0242
"219",25,-0.5,-0.83897,-2.11,0,1136,0.0431
"220",25,-0.25,-0.31899,-0.813,0.674,1089,1
"221",25,0,-0.7188,-1.82,0.0117,1209,0.297
"222",25,0.25,-0.33643,-0.85,0.603,1291,1
"223",25,0.5,0.85799,2.22,0,197,0.0071
"224",25,0.75,0.60978,1.55,0.0797,158,0.897
"225",25,1,0.85056,2.15,0,207,0.028
"226",26,-1,-0.97621,-2.48,0,1313,0
"227",26,-0.75,-0.84188,-2.14,0,1197,0.0207
"228",26,-0.5,-0.75767,-1.95,0.00375,1080,0.0971
"229",26,-0.25,-0.47968,-1.23,0.229,1127,1
"230",26,0,0.55389,1.42,0.111,218,0.939
"231",26,0.25,0.6425,1.63,0.0549,43,1
"232",26,0.5,0.80496,2.08,0,264,0.0823
"233",26,0.75,0.78141,2.04,0.00599,300,0.106
"234",26,1,0.95911,2.5,0,61,0
"235",27,-1,-0.86159,-2.17,0,1243,0.01
"236",27,-0.75,-0.63106,-1.59,0.0504,1118,1
"237",27,-0.5,-0.71144,-1.77,0.0279,1166,0.392
"238",27,-0.25,-0.47113,-1.2,0.25,1208,0.775
"239",27,0,-0.54662,-1.41,0.112,1091,0.489
"240",27,0.25,0.29868,0.726,0.785,171,0.925
"241",27,0.5,0.65565,1.67,0.0187,44,0.293
"242",27,0.75,0.86102,2.21,0,128,0.013
"243",27,1,0.91728,2.35,0,91,0
"244",28,-1,-0.92416,-2.33,0,1243,0
"245",28,-0.75,-0.79647,-1.98,0.00382,1202,0.195
"246",28,-0.5,-0.6235,-1.56,0.0568,860,0.677
"247",28,-0.25,-0.65026,-1.62,0.0465,958,0.491
"248",28,0,-0.42681,-1.01,0.416,1107,0.76
"249",28,0.25,0.37635,0.95,0.482,109,0.959
"250",28,0.5,0.83058,2.09,0,82,0.0457
"251",28,0.75,0.70058,1.76,0.0145,7,0.401
"252",28,1,0.86419,2.19,0,88,0.00856
"253",29,-1,-0.89665,-2.3,0,1206,0.000938
"254",29,-0.75,-0.92327,-2.38,0,1298,0.000955
"255",29,-0.5,-0.76073,-1.9,0.00564,1121,0.337
"256",29,-0.25,-0.52629,-1.34,0.15,1295,0.717
"257",29,0,-0.5503,-1.41,0.127,1298,0.642
"258",29,0.25,-0.21055,-0.527,0.959,902,1
"259",29,0.5,0.78314,2,0.00195,120,0.121
"260",29,0.75,0.80485,2.04,0,66,0.0877
"261",29,1,0.86855,2.12,0,141,0.0329
"262",30,-1,-0.80935,-2.08,0,1283,0.0705
"263",30,-0.75,-0.76134,-1.95,0.00846,1024,0.303
"264",30,-0.5,-0.58491,-1.51,0.076,971,0.941
"265",30,-0.25,-0.72409,-1.87,0.0172,1347,0.484
"266",30,0,0.45443,1.17,0.295,203,0.957
"267",30,0.25,0.8618,2.2,0,64,0.00507
"268",30,0.5,0.57887,1.47,0.092,258,0.894
"269",30,0.75,0.77352,1.99,0.00193,150,0.142
"270",30,1,0.80327,2.06,0.00187,58,0.0706
"271",31,-1,-0.87772,-2.2,0,1303,0.00757
"272",31,-0.75,-0.83866,-2.13,0.00185,1128,0.026
"273",31,-0.5,-0.60682,-1.59,0.0723,1305,0.721
"274",31,-0.25,0.23767,0.622,0.892,335,0.924
"275",31,0,0.36854,0.962,0.472,481,1
"276",31,0.25,-0.28848,-0.728,0.782,388,0.908
"277",31,0.5,0.61526,1.63,0.0323,48,0.642
"278",31,0.75,0.77531,2,0.00628,185,0.166
"279",31,1,0.8709,2.26,0,131,0.00281
"280",32,-1,-0.94126,-2.43,0,1266,0
"281",32,-0.75,-0.88063,-2.25,0,1284,0.0032
"282",32,-0.5,-0.7617,-1.96,0.00605,1127,0.229
"283",32,-0.25,-0.51799,-1.33,0.179,859,1
"284",32,0,0.40631,1.07,0.375,129,0.731
"285",32,0.25,0.49437,1.3,0.18,469,0.954
"286",32,0.5,0.64336,1.69,0.0352,241,0.488
"287",32,0.75,0.82641,2.16,0,55,0.0218
"288",32,1,0.8644,2.23,0,117,0.0149
"289",33,-1,-0.84305,-2.11,0,1217,0.0381
"290",33,-0.75,-0.8621,-2.16,0,1249,0.0142
"291",33,-0.5,-0.80171,-2.05,0,1187,0.0875
"292",33,-0.25,-0.50931,-1.29,0.195,1094,1
"293",33,0,-0.47399,-1.2,0.239,1151,1
"294",33,0.25,-0.28721,-0.76,0.758,1234,0.965
"295",33,0.5,0.44782,1.15,0.281,198,1
"296",33,0.75,0.76372,1.96,0.00611,166,0.198
"297",33,1,0.9197,2.33,0,114,0
"298",34,-1,-0.90277,-2.23,0,1273,0.0113
"299",34,-0.75,-0.78286,-2,0,1190,0.145
"300",34,-0.5,-0.78566,-2.04,0.00201,1174,0.0849
"301",34,-0.25,0.48518,1.23,0.223,10,0.704
"302",34,0,-0.29113,-0.751,0.752,944,0.931
"303",34,0.25,-0.60121,-1.56,0.0509,1088,1
"304",34,0.5,0.66068,1.68,0.0448,259,0.324
"305",34,0.75,0.86766,2.22,0,184,0.00643
"306",34,1,0.89071,2.27,0,153,0
"307",35,-1,-0.9627,-2.38,0,1306,0
"308",35,-0.75,-0.73899,-1.84,0.0134,1022,0.501
"309",35,-0.5,-0.76018,-1.89,0.00435,1245,0.308
"310",35,-0.25,-0.51476,-1.3,0.182,1017,1
"311",35,0,-0.59137,-1.47,0.0911,1256,0.95
"312",35,0.25,-0.41216,-1.04,0.392,1258,0.909
"313",35,0.5,0.50398,1.26,0.216,361,0.909
"314",35,0.75,0.89002,2.22,0,131,0.00428
"315",35,1,0.75836,1.91,0.0127,331,0.27
"316",36,-1,-0.88876,-2.25,0,1295,0.00319
"317",36,-0.75,-0.88138,-2.23,0,1269,0.00103
"318",36,-0.5,-0.59249,-1.5,0.0943,1086,0.776
"319",36,-0.25,-0.32874,-0.833,0.622,1099,1
"320",36,0,0.3459,0.861,0.617,100,0.973
"321",36,0.25,0.6663,1.64,0.0585,143,0.38
"322",36,0.5,0.78587,1.99,0.00383,158,0.135
"323",36,0.75,0.84197,2.11,0,139,0.0269
"324",36,1,0.93462,2.3,0,41,0.00102
"325",37,-1,-0.94277,-2.36,0,1339,0
"326",37,-0.75,-0.81293,-2.06,0.00193,1223,0.0779
"327",37,-0.5,-0.89181,-2.3,0,1235,0.00207
"328",37,-0.25,-0.71232,-1.79,0.0265,1094,0.289
"329",37,0,0.51116,1.31,0.19,166,0.548
"330",37,0.25,0.49115,1.23,0.242,145,0.588
"331",37,0.5,0.71931,1.83,0.0123,239,0.3
"332",37,0.75,0.66651,1.69,0.0288,380,0.478
"333",37,1,0.91524,2.37,0,120,0
"334",38,-1,-0.80815,-2.1,0.00387,1222,0.0344
"335",38,-0.75,-0.82825,-2.06,0.00202,1114,0.0607
"336",38,-0.5,-0.62915,-1.57,0.0708,942,1
"337",38,-0.25,-0.73155,-1.83,0.00994,1298,0.275
"338",38,0,0.55215,1.39,0.136,117,1
"339",38,0.25,0.59579,1.53,0.0713,242,0.862
"340",38,0.5,0.86625,2.15,0,98,0.0218
"341",38,0.75,0.97026,2.45,0,46,0
"342",38,1,0.86174,2.17,0,139,0.00927
"343",39,-1,-0.84305,-2.15,0,1230,0.0239
"344",39,-0.75,-0.7567,-1.94,0.00578,1244,0.137
"345",39,-0.5,-0.55248,-1.4,0.127,1209,0.655
"346",39,-0.25,0.56765,1.47,0.108,3,1
"347",39,0,-0.34414,-0.887,0.576,1208,0.884
"348",39,0.25,0.84253,2.1,0.002,154,0.0343
"349",39,0.5,0.63547,1.61,0.0607,217,1
"350",39,0.75,0.8741,2.22,0,166,0.0108
"351",39,1,0.85459,2.15,0,57,0.013
"352",40,-1,-0.86756,-2.25,0,1226,0.00487
"353",40,-0.75,-0.90996,-2.35,0,1293,0
"354",40,-0.5,-0.5839,-1.47,0.114,984,0.695
"355",40,-0.25,-0.34027,-0.892,0.582,910,0.992
"356",40,0,-0.56472,-1.47,0.0804,1291,0.84
"357",40,0.25,0.4939,1.27,0.206,191,0.729
"358",40,0.5,0.68291,1.74,0.019,294,0.559
"359",40,0.75,0.62273,1.59,0.056,314,0.653
"360",40,1,0.70944,1.81,0.0175,321,0.704
"361",41,-1,-0.91152,-2.31,0,1226,0
"362",41,-0.75,-0.71058,-1.71,0.0277,1230,1
"363",41,-0.5,-0.64862,-1.59,0.0655,1324,0.657
"364",41,-0.25,-0.82264,-2.06,0,1239,0.0549
"365",41,0,0.49619,1.27,0.203,274,0.751
"366",41,0.25,-0.29314,-0.73,0.774,1180,1
"367",41,0.5,0.86617,2.16,0,186,0.0198
"368",41,0.75,0.7948,2.04,0.0041,282,0.0756
"369",41,1,0.92788,2.36,0,103,0
"370",42,-1,-0.67389,-1.68,0.0307,1215,0.393
"371",42,-0.75,-0.7829,-1.96,0.00387,1053,0.171
"372",42,-0.5,-0.7541,-1.9,0.0116,1125,0.335
"373",42,-0.25,-0.81859,-2.06,0.00196,1101,0.0528
"374",42,0,0.35316,0.89,0.579,876,0.855
"375",42,0.25,0.86752,2.24,0,87,0.00464
"376",42,0.5,0.77257,1.96,0.0125,31,0.0895
"377",42,0.75,0.69617,1.72,0.0255,237,0.572
"378",42,1,0.91098,2.26,0,37,0.00473
"379",43,-1,-0.82454,-2.1,0.00202,1109,0.0389
"380",43,-0.75,-0.86285,-2.2,0,1176,0.00617
"381",43,-0.5,-0.71967,-1.86,0.0104,1184,0.424
"382",43,-0.25,-0.66135,-1.67,0.0353,994,0.422
"383",43,0,0.23634,0.582,0.942,160,1
"384",43,0.25,0.77737,1.92,0,213,0.231
"385",43,0.5,0.82991,2.05,0.00191,43,0.0858
"386",43,0.75,0.80618,2,0,175,0.121
"387",43,1,0.94572,2.38,0,79,0
"388",44,-1,-0.81041,-2.01,0,1090,0.12
"389",44,-0.75,-0.82332,-2.03,0.00368,1262,0.0928
"390",44,-0.5,-0.82084,-2.02,0.00392,1191,0.0853
"391",44,-0.25,-0.42692,-1.06,0.392,1025,1
"392",44,0,0.30929,0.785,0.742,935,1
"393",44,0.25,0.59222,1.5,0.0887,396,0.828
"394",44,0.5,0.6509,1.64,0.0513,66,0.601
"395",44,0.75,0.77201,1.98,0.00626,104,0.0825
"396",44,1,0.86895,2.19,0,18,0.00277
"397",45,-1,-0.96803,-2.45,0,1302,0
"398",45,-0.75,-0.67557,-1.73,0.036,1059,0.636
"399",45,-0.5,-0.5505,-1.39,0.145,1259,0.843
"400",45,-0.25,-0.34005,-0.891,0.552,1326,0.95
"401",45,0,0.44753,1.1,0.348,14,0.823
"402",45,0.25,0.43092,1.08,0.352,257,0.774
"403",45,0.5,0.66166,1.63,0.0409,81,0.638
"404",45,0.75,0.84021,2.08,0,180,0.0406
"405",45,1,0.92538,2.33,0,39,0
"406",46,-1,-0.88848,-2.24,0,1195,0.0068
"407",46,-0.75,-0.84111,-2.14,0,1204,0.0413
"408",46,-0.5,-0.76487,-1.92,0.00192,1209,0.157
"409",46,-0.25,-0.27913,-0.735,0.798,919,1
"410",46,0,0.62053,1.61,0.0495,203,1
"411",46,0.25,0.40997,1.06,0.375,238,1
"412",46,0.5,0.57785,1.48,0.098,120,1
"413",46,0.75,0.80967,2.06,0.00213,262,0.0779
"414",46,1,0.88629,2.33,0,39,0.000945
"415",47,-1,-0.937,-2.39,0,1295,0.00114
"416",47,-0.75,-0.82683,-2.07,0,1266,0.0595
"417",47,-0.5,-0.73335,-1.87,0.0104,1068,0.454
"418",47,-0.25,0.46685,1.18,0.254,9,0.934
"419",47,0,0.51707,1.33,0.16,198,0.883
"420",47,0.25,0.69101,1.77,0.0173,109,0.811
"421",47,0.5,0.75688,1.91,0.00798,333,0.294
"422",47,0.75,0.69401,1.74,0.024,344,0.98
"423",47,1,0.79053,2.02,0.00398,111,0.0825
"424",48,-1,-0.76534,-1.95,0.00586,1143,0.197
"425",48,-0.75,-0.77114,-1.98,0.00584,1126,0.17
"426",48,-0.5,-0.4222,-1.11,0.342,825,0.978
"427",48,-0.25,-0.7821,-1.99,0.00402,1133,0.142
"428",48,0,-0.52549,-1.33,0.161,1323,1
"429",48,0.25,0.54679,1.42,0.118,282,0.598
"430",48,0.5,0.78562,2.05,0,203,0.113
"431",48,0.75,0.71152,1.82,0.0118,394,0.387
"432",48,1,0.94022,2.39,0,38,0
"433",49,-1,-0.90374,-2.21,0,1273,0.00507
"434",49,-0.75,-0.81285,-1.97,0.00179,1186,0.125
"435",49,-0.5,-0.72926,-1.81,0.0129,1191,0.597
"436",49,-0.25,-0.57115,-1.41,0.124,1274,0.741
"437",49,0,0.47654,1.21,0.244,317,1
"438",49,0.25,0.31473,0.791,0.685,75,0.937
"439",49,0.5,0.91659,2.3,0,83,0.00486
"440",49,0.75,0.8317,2.13,0,133,0.0196
"441",49,1,0.84703,2.16,0,178,0.0266
"442",50,-1,-0.73903,-1.89,0.00408,1034,0.32
"443",50,-0.75,-0.81022,-2.08,0,1162,0.0507
"444",50,-0.5,-0.84369,-2.14,0,1257,0.0183
"445",50,-0.25,-0.71896,-1.8,0.0176,1000,0.681
"446",50,0,-0.311,-0.789,0.695,1225,0.982
"447",50,0.25,0.46576,1.19,0.26,403,0.654
"448",50,0.5,0.79289,2.02,0.00195,42,0.101
"449",50,0.75,0.74602,1.85,0.00422,297,0.291
"450",50,1,0.80074,2.08,0,274,0.0652
