"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"145",17,-1,-0.88772,-2.22,0,1186,0.00886
"146",17,-0.75,-0.81255,-2.09,0,1140,0.0463
"147",17,-0.5,-0.73501,-1.88,0.0111,1111,0.418
"148",17,-0.25,-0.3871,-0.997,0.448,945,0.939
"149",17,0,-0.53965,-1.42,0.135,971,1
"150",17,0.25,0.54363,1.37,0.154,202,0.759
"151",17,0.5,0.66728,1.64,0.033,270,0.447
"152",17,0.75,0.72281,1.8,0.0146,308,0.151
"153",17,1,0.81533,2.05,0,171,0.0452
"154",18,-1,-0.88716,-2.28,0,1212,0.00315
"155",18,-0.75,-0.82187,-2.14,0,1122,0.0197
"156",18,-0.5,-0.64232,-1.63,0.0521,1230,0.713
"157",18,-0.25,-0.44728,-1.17,0.281,1112,0.742
"158",18,0,-0.24581,-0.638,0.903,1187,0.971
"159",18,0.25,0.40812,1.05,0.4,262,0.85
"160",18,0.5,0.70117,1.79,0.0307,348,0.279
"161",18,0.75,0.75194,1.93,0.00183,144,0.129
"162",18,1,0.86266,2.19,0.00184,121,0.00984
"163",19,-1,-0.8115,-2.03,0.00366,1128,0.128
"164",19,-0.75,-0.82358,-2.04,0.00187,1233,0.0906
"165",19,-0.5,-0.66351,-1.76,0.0247,1143,1
"166",19,-0.25,-0.64636,-1.66,0.0466,1086,0.995
"167",19,0,0.44964,1.12,0.301,474,0.869
"168",19,0.25,0.46347,1.19,0.264,158,0.83
"169",19,0.5,0.72529,1.84,0.00947,147,0.216
"170",19,0.75,0.70935,1.81,0.0173,61,0.295
"171",19,1,0.78668,2.02,0.00388,300,0.0891
"172",20,-1,-0.86718,-2.21,0,1234,0.00654
"173",20,-0.75,-0.8415,-2.09,0,1164,0.0351
"174",20,-0.5,-0.40041,-1.01,0.418,1124,0.902
"175",20,-0.25,-0.5537,-1.42,0.131,1017,0.608
"176",20,0,0.41875,1.07,0.368,120,1
"177",20,0.25,0.29684,0.758,0.743,193,0.921
"178",20,0.5,0.81679,2.06,0,168,0.0614
"179",20,0.75,0.82825,2.11,0,81,0.0432
"180",20,1,0.88976,2.22,0,132,0.0072
"181",21,-1,-0.89918,-2.22,0,1209,0.00202
"182",21,-0.75,-0.79414,-1.96,0.00537,1167,0.187
"183",21,-0.5,-0.6701,-1.65,0.0394,934,0.609
"184",21,-0.25,-0.50284,-1.29,0.165,877,0.96
"185",21,0,0.32548,0.824,0.675,213,0.88
"186",21,0.25,0.56358,1.44,0.124,376,0.683
"187",21,0.5,0.62416,1.59,0.0549,183,0.499
"188",21,0.75,0.76402,1.94,0.013,203,0.233
"189",21,1,0.7457,1.93,0.00583,48,0.236
"190",22,-1,-0.8657,-2.18,0,1225,0.00938
"191",22,-0.75,-0.726,-1.82,0.0134,1077,0.299
"192",22,-0.5,-0.69186,-1.7,0.0314,1109,0.284
"193",22,-0.25,-0.41049,-1.04,0.398,1131,0.791
"194",22,0,-0.2619,-0.661,0.879,921,0.977
"195",22,0.25,0.65032,1.66,0.0384,274,1
"196",22,0.5,0.61444,1.58,0.0904,286,1
"197",22,0.75,0.79804,2.02,0,140,0.0743
"198",22,1,0.86003,2.16,0,202,0.00794
"199",23,-1,-0.85297,-2.15,0,1283,0.0226
"200",23,-0.75,-0.73376,-1.9,0.00195,1047,0.316
"201",23,-0.5,-0.5669,-1.43,0.125,1115,1
"202",23,-0.25,-0.52137,-1.35,0.146,1030,1
"203",23,0,0.24647,0.627,0.91,299,0.987
"204",23,0.25,0.43054,1.14,0.27,324,1
"205",23,0.5,0.79433,2,0.00792,236,0.139
"206",23,0.75,0.831,2.15,0.00196,175,0.0284
"207",23,1,0.92509,2.34,0,65,0.00198
"208",24,-1,-0.85752,-2.18,0,1291,0.0103
"209",24,-0.75,-0.82545,-2.09,0,1225,0.0304
"210",24,-0.5,-0.80997,-2.05,0.00368,1277,0.0611
"211",24,-0.25,-0.55001,-1.4,0.144,1230,0.634
"212",24,0,-0.31444,-0.804,0.702,1093,0.815
"213",24,0.25,0.67334,1.7,0.0237,152,0.349
"214",24,0.5,0.66241,1.7,0.0295,79,0.318
"215",24,0.75,0.72066,1.87,0.011,99,0.294
"216",24,1,0.93663,2.36,0,43,0.0012
"217",25,-1,-0.84006,-2.16,0,1168,0.0147
"218",25,-0.75,-0.79647,-2,0.0042,1122,0.122
"219",25,-0.5,-0.72735,-1.84,0.0147,1154,0.551
"220",25,-0.25,-0.43541,-1.12,0.319,1299,0.87
"221",25,0,-0.34496,-0.885,0.608,910,0.919
"222",25,0.25,0.52325,1.35,0.145,252,1
"223",25,0.5,0.64107,1.65,0.0416,140,0.968
"224",25,0.75,0.77111,1.92,0,211,0.275
"225",25,1,0.84805,2.11,0,218,0.0475
"226",26,-1,-0.90054,-2.24,0,1255,0.00317
"227",26,-0.75,-0.82727,-2.03,0,1230,0.0986
"228",26,-0.5,-0.65213,-1.68,0.0198,1043,0.805
"229",26,-0.25,-0.57784,-1.5,0.0795,840,0.986
"230",26,0,0.27252,0.705,0.802,236,0.973
"231",26,0.25,0.6429,1.68,0.0532,373,1
"232",26,0.5,0.67842,1.74,0.0246,381,1
"233",26,0.75,0.79095,2.01,0.00391,71,0.145
"234",26,1,0.7927,1.99,0.00202,144,0.154
"235",27,-1,-0.81433,-2.06,0.00196,1210,0.0656
"236",27,-0.75,-0.76383,-1.93,0.00376,1054,0.244
"237",27,-0.5,-0.54069,-1.35,0.155,924,0.833
"238",27,-0.25,-0.57722,-1.44,0.126,1242,0.936
"239",27,0,0.3808,0.96,0.525,197,0.836
"240",27,0.25,0.52666,1.33,0.16,271,0.752
"241",27,0.5,0.75488,1.9,0.00388,331,0.185
"242",27,0.75,0.75884,1.87,0.0151,150,0.209
"243",27,1,0.84281,2.08,0,225,0.0282
"244",28,-1,-0.81301,-2.1,0.00179,1226,0.0385
"245",28,-0.75,-0.79023,-2.01,0,1164,0.0516
"246",28,-0.5,-0.77762,-1.97,0.00375,1082,0.0879
"247",28,-0.25,-0.35532,-0.895,0.571,1036,0.943
"248",28,0,0.3474,0.878,0.615,317,1
"249",28,0.25,0.62324,1.63,0.0392,292,0.709
"250",28,0.5,0.73774,1.85,0.0236,215,0.252
"251",28,0.75,0.79893,2.06,0.00419,190,0.0742
"252",28,1,0.86338,2.14,0,156,0.0245
"253",29,-1,-0.88805,-2.26,0,1254,0.00213
"254",29,-0.75,-0.85037,-2.14,0,1257,0.0145
"255",29,-0.5,-0.76305,-1.93,0.00364,1083,0.133
"256",29,-0.25,-0.64364,-1.63,0.06,1092,0.56
"257",29,0,0.42989,1.1,0.344,117,0.704
"258",29,0.25,0.25874,0.657,0.847,206,0.991
"259",29,0.5,0.77628,1.99,0.0078,222,0.173
"260",29,0.75,0.89347,2.28,0,125,0.00291
"261",29,1,0.88263,2.22,0,114,0.00679
"262",30,-1,-0.91625,-2.31,0,1271,0.00177
"263",30,-0.75,-0.78021,-1.95,0.00524,1078,0.192
"264",30,-0.5,-0.74926,-1.86,0.00933,1068,0.392
"265",30,-0.25,-0.31294,-0.791,0.686,1230,0.825
"266",30,0,0.25167,0.639,0.869,62,1
"267",30,0.25,0.54683,1.38,0.152,253,0.764
"268",30,0.5,0.61868,1.63,0.0442,173,0.596
"269",30,0.75,0.78575,1.98,0,87,0.239
"270",30,1,0.94536,2.41,0,88,0
"271",31,-1,-0.84846,-2.15,0,1232,0.0254
"272",31,-0.75,-0.81761,-2.04,0,1152,0.0875
"273",31,-0.5,-0.6388,-1.62,0.052,1186,0.747
"274",31,-0.25,-0.65369,-1.69,0.0307,1046,0.73
"275",31,0,0.22214,0.598,0.931,332,1
"276",31,0.25,0.72314,1.88,0.0105,260,0.493
"277",31,0.5,0.76027,1.96,0.00661,239,0.238
"278",31,0.75,0.74687,1.93,0.00419,307,0.303
"279",31,1,0.8956,2.3,0,137,0.00514
"280",32,-1,-0.88507,-2.3,0,1222,0.00578
"281",32,-0.75,-0.78932,-2.02,0.00196,1238,0.133
"282",32,-0.5,-0.68957,-1.86,0.0125,1245,0.267
"283",32,-0.25,-0.56383,-1.48,0.0947,990,0.549
"284",32,0,-0.3903,-1,0.44,1160,1
"285",32,0.25,0.17528,0.456,0.99,420,0.989
"286",32,0.5,0.71054,1.84,0.0138,97,0.3
"287",32,0.75,0.82088,2.11,0,131,0.0484
"288",32,1,0.84886,2.25,0,113,0.00433
"289",33,-1,-0.83068,-2.11,0.00193,1191,0.0389
"290",33,-0.75,-0.8248,-2.12,0,1130,0.0411
"291",33,-0.5,-0.69071,-1.79,0.0231,1152,0.797
"292",33,-0.25,-0.35945,-0.912,0.561,1058,0.846
"293",33,0,-0.27267,-0.701,0.84,1166,0.929
"294",33,0.25,0.30356,0.785,0.712,65,0.921
"295",33,0.5,0.5208,1.32,0.166,423,0.73
"296",33,0.75,0.7183,1.86,0.00911,179,0.253
"297",33,1,0.84286,2.18,0.00192,49,0.0136
"298",34,-1,-0.81842,-2.04,0,1152,0.058
"299",34,-0.75,-0.68053,-1.73,0.0229,1240,0.566
"300",34,-0.5,-0.64131,-1.62,0.0432,1014,0.721
"301",34,-0.25,-0.25107,-0.644,0.904,1248,0.945
"302",34,0,-0.29948,-0.746,0.749,1187,0.932
"303",34,0.25,0.53169,1.34,0.183,355,0.778
"304",34,0.5,0.67974,1.71,0.0252,102,0.684
"305",34,0.75,0.80788,2.07,0,103,0.0532
"306",34,1,0.90576,2.25,0,77,0.00218
"307",35,-1,-0.82375,-2.13,0,1259,0.0269
"308",35,-0.75,-0.89581,-2.24,0,1236,0.00777
"309",35,-0.5,-0.76221,-1.95,0.0019,1209,0.258
"310",35,-0.25,-0.42151,-1.11,0.339,1083,1
"311",35,0,0.41619,1.08,0.375,317,0.937
"312",35,0.25,0.39823,1.03,0.388,341,0.933
"313",35,0.5,0.69977,1.81,0.0172,319,0.328
"314",35,0.75,0.85253,2.18,0,156,0.0153
"315",35,1,0.75152,1.94,0.012,162,0.221
"316",36,-1,-0.88289,-2.28,0,1200,0.00353
"317",36,-0.75,-0.78753,-2.08,0.00587,1167,0.0611
"318",36,-0.5,-0.5916,-1.53,0.0913,1206,1
"319",36,-0.25,-0.56371,-1.44,0.117,1072,1
"320",36,0,0.59697,1.57,0.0565,359,0.843
"321",36,0.25,0.51837,1.32,0.174,73,0.912
"322",36,0.5,0.7057,1.85,0.0158,125,0.31
"323",36,0.75,0.82326,2.1,0.00192,78,0.05
"324",36,1,0.8529,2.21,0,163,0.00723
"325",37,-1,-0.86822,-2.22,0,1226,0.00757
"326",37,-0.75,-0.79625,-1.99,0.0038,1108,0.0831
"327",37,-0.5,-0.63829,-1.62,0.0434,1104,0.465
"328",37,-0.25,-0.39605,-1.04,0.373,1321,1
"329",37,0,-0.24154,-0.618,0.889,1082,0.943
"330",37,0.25,0.35744,0.901,0.546,275,0.966
"331",37,0.5,0.72681,1.81,0.02,362,0.204
"332",37,0.75,0.90868,2.34,0,137,0.00267
"333",37,1,0.86468,2.18,0,146,0.0152
"334",38,-1,-0.87215,-2.2,0,1180,0.00487
"335",38,-0.75,-0.85549,-2.15,0.00202,1190,0.0221
"336",38,-0.5,-0.64407,-1.61,0.0536,1168,1
"337",38,-0.25,-0.52256,-1.33,0.16,945,0.798
"338",38,0,-0.30848,-0.777,0.727,903,0.88
"339",38,0.25,0.44605,1.12,0.299,96,0.799
"340",38,0.5,0.7246,1.83,0.00579,202,0.289
"341",38,0.75,0.74299,1.86,0.011,76,0.428
"342",38,1,0.84918,2.1,0,29,0.0296
"343",39,-1,-0.82591,-2.05,0,1248,0.069
"344",39,-0.75,-0.76901,-1.95,0.00803,1120,0.202
"345",39,-0.5,-0.7474,-1.92,0.0124,1126,0.309
"346",39,-0.25,-0.56335,-1.44,0.115,1114,0.728
"347",39,0,-0.22962,-0.595,0.911,1038,0.927
"348",39,0.25,0.63235,1.59,0.0624,283,0.386
"349",39,0.5,0.74985,1.88,0.00353,142,0.371
"350",39,0.75,0.76318,1.94,0.00562,236,0.256
"351",39,1,0.85737,2.17,0,162,0.00942
"352",40,-1,-0.74503,-1.93,0.00594,1068,0.293
"353",40,-0.75,-0.74487,-1.89,0.00189,1152,0.432
"354",40,-0.5,-0.56551,-1.46,0.0946,1202,1
"355",40,-0.25,-0.48624,-1.22,0.249,915,1
"356",40,0,0.20389,0.52,0.974,234,0.998
"357",40,0.25,0.5824,1.54,0.0683,192,0.912
"358",40,0.5,0.64462,1.64,0.0539,48,1
"359",40,0.75,0.73428,1.89,0.00196,278,0.322
"360",40,1,0.86798,2.24,0,170,0.00766
"361",41,-1,-0.85726,-2.24,0,1202,0.00719
"362",41,-0.75,-0.86848,-2.21,0,1243,0.00617
"363",41,-0.5,-0.67947,-1.72,0.0326,1038,0.304
"364",41,-0.25,-0.58748,-1.52,0.081,1157,0.517
"365",41,0,-0.43438,-1.15,0.293,1088,0.755
"366",41,0.25,0.49137,1.25,0.222,380,0.712
"367",41,0.5,0.61579,1.6,0.06,353,1
"368",41,0.75,0.79258,2.12,0,145,0.0392
"369",41,1,0.87172,2.27,0,127,0.00615
"370",42,-1,-0.87949,-2.29,0,1175,0.000908
"371",42,-0.75,-0.8524,-2.21,0,1174,0.0132
"372",42,-0.5,-0.61391,-1.61,0.0588,1114,0.67
"373",42,-0.25,-0.46025,-1.19,0.248,1060,0.936
"374",42,0,-0.37619,-0.995,0.434,1052,1
"375",42,0.25,0.30728,0.803,0.694,166,1
"376",42,0.5,0.57679,1.48,0.0998,387,0.731
"377",42,0.75,0.82925,2.06,0.00185,57,0.0808
"378",42,1,0.81807,2.01,0.00555,253,0.126
"379",43,-1,-0.87646,-2.28,0,1270,0.00099
"380",43,-0.75,-0.75523,-1.96,0.00766,1177,0.224
"381",43,-0.5,-0.68744,-1.77,0.016,1028,0.878
"382",43,-0.25,-0.2415,-0.634,0.921,987,1
"383",43,0,0.33235,0.843,0.657,247,0.953
"384",43,0.25,0.37308,0.957,0.51,216,0.719
"385",43,0.5,0.50691,1.25,0.227,304,0.723
"386",43,0.75,0.79407,2.02,0.00205,223,0.124
"387",43,1,0.84566,2.18,0,163,0.0174
"388",44,-1,-0.81865,-2.09,0,1126,0.0477
"389",44,-0.75,-0.85932,-2.17,0.00207,1222,0.0224
"390",44,-0.5,-0.73835,-1.93,0.00982,1193,0.131
"391",44,-0.25,-0.3398,-0.855,0.62,1246,0.825
"392",44,0,0.30163,0.744,0.754,411,0.994
"393",44,0.25,0.61174,1.56,0.0745,464,0.764
"394",44,0.5,0.63759,1.61,0.0417,61,0.763
"395",44,0.75,0.82947,2.1,0.00204,96,0.0281
"396",44,1,0.89137,2.25,0,96,0.00304
"397",45,-1,-0.86704,-2.17,0,1206,0.0103
"398",45,-0.75,-0.76239,-2.01,0,1137,0.0717
"399",45,-0.5,-0.67628,-1.71,0.0381,1196,0.3
"400",45,-0.25,-0.61771,-1.61,0.0638,1079,0.497
"401",45,0,0.31136,0.812,0.673,5,1
"402",45,0.25,0.5605,1.47,0.117,247,1
"403",45,0.5,0.72267,1.84,0.0136,208,0.252
"404",45,0.75,0.64734,1.65,0.0517,439,0.585
"405",45,1,0.83344,2.15,0,194,0.0286
"406",46,-1,-0.76379,-1.89,0.00545,1120,0.388
"407",46,-0.75,-0.69745,-1.78,0.0226,1238,0.894
"408",46,-0.5,-0.70722,-1.75,0.0195,1254,1
"409",46,-0.25,-0.65324,-1.62,0.0391,971,1
"410",46,0,-0.28085,-0.706,0.788,1229,1
"411",46,0.25,0.31043,0.79,0.683,449,0.974
"412",46,0.5,0.73643,1.89,0.0102,112,0.351
"413",46,0.75,0.6541,1.69,0.0444,296,1
"414",46,1,0.9077,2.25,0,91,0.00553
"415",47,-1,-0.82705,-2.06,0,1176,0.114
"416",47,-0.75,-0.842,-2.21,0,1219,0.00827
"417",47,-0.5,-0.76265,-1.99,0.00204,1165,0.172
"418",47,-0.25,-0.61212,-1.63,0.0479,1143,0.72
"419",47,0,0.49793,1.29,0.201,373,0.823
"420",47,0.25,0.54492,1.4,0.138,358,1
"421",47,0.5,0.69257,1.8,0.0133,200,0.348
"422",47,0.75,0.77778,2,0.00384,45,0.121
"423",47,1,0.82839,2.16,0,64,0.0156
"424",48,-1,-0.79113,-1.96,0.00369,1220,0.0665
"425",48,-0.75,-0.91623,-2.22,0,1238,0.00474
"426",48,-0.5,-0.66375,-1.63,0.0441,1019,0.458
"427",48,-0.25,-0.49457,-1.23,0.229,1067,0.926
"428",48,0,-0.28364,-0.711,0.808,1126,1
"429",48,0.25,0.4751,1.2,0.247,361,1
"430",48,0.5,0.64384,1.62,0.0472,287,1
"431",48,0.75,0.80034,2.06,0,206,0.0539
"432",48,1,0.88357,2.22,0,121,0.00447
"433",49,-1,-0.82205,-2.1,0,1119,0.0453
"434",49,-0.75,-0.70946,-1.77,0.0206,1115,1
"435",49,-0.5,-0.60445,-1.53,0.08,1232,1
"436",49,-0.25,-0.59116,-1.5,0.094,1076,1
"437",49,0,0.53346,1.33,0.16,234,0.826
"438",49,0.25,0.7101,1.8,0.0194,126,0.33
"439",49,0.5,0.73692,1.87,0.0126,341,0.412
"440",49,0.75,0.74577,1.87,0.00794,304,0.354
"441",49,1,0.75044,1.84,0.0118,98,0.472
"442",50,-1,-0.75945,-1.95,0.00385,1306,0.191
"443",50,-0.75,-0.71567,-1.84,0.0144,1251,0.279
"444",50,-0.5,-0.77321,-1.97,0,1232,0.189
"445",50,-0.25,-0.31803,-0.836,0.631,1090,0.874
"446",50,0,0.40873,1.05,0.39,208,1
"447",50,0.25,0.36187,0.893,0.579,253,1
"448",50,0.5,0.55084,1.41,0.123,212,0.952
"449",50,0.75,0.75521,1.92,0.00198,136,0.285
"450",50,1,0.85856,2.17,0,175,0.0188
