Number of Drugs in Set,Simulation Number,values.to.vary,ES,NES,p,pos_at_max,q
5,8,-0.25,-0.6161,-1.59,0.0453,1087,0.956
5,8,0,0.77851,2,0,77,0.167
5,8,0.25,0.74405,1.96,0.00426,284,0.235
5,8,0.5,0.79445,2.06,0,145,0.101
5,8,0.75,0.7219,1.88,0.00805,14,0.449
5,8,1,0.89376,2.33,0,148,0.00384
5,9,-1,-0.92125,-2.29,0,1240,0
5,9,-0.75,-0.63819,-1.67,0.0523,1314,0.433
5,9,-0.5,-0.8529,-2.14,0,1148,0.013
5,9,-0.25,-0.52195,-1.33,0.179,969,1
5,9,0,-0.32009,-0.797,0.706,1060,0.99
5,9,0.25,-0.49143,-1.24,0.215,1332,0.895
5,9,0.5,0.7502,1.86,0.00929,334,0.476
5,9,0.75,0.92051,2.38,0,112,0
5,9,1,0.94354,2.37,0,81,0
5,10,-1,-0.74869,-1.82,0.0125,1122,0.622
5,10,-0.75,-0.93611,-2.36,0,1260,0
5,10,-0.5,-0.76895,-1.91,0.00529,1035,0.288
5,10,-0.25,-0.69564,-1.74,0.0312,1172,1
5,10,0,-0.40789,-1.04,0.404,1279,0.85
5,10,0.25,0.85759,2.25,0.00222,118,0.013
5,10,0.5,0.74111,1.9,0.0136,50,0.384
5,10,0.75,0.67369,1.71,0.021,13,0.452
5,10,1,0.9687,2.49,0,23,0
5,11,-1,-0.97251,-2.42,0,1309,0
5,11,-0.75,-0.9101,-2.3,0,1225,0
5,11,-0.5,-0.78432,-2.01,0.00368,1123,0.133
5,11,-0.25,-0.29765,-0.746,0.758,870,1
5,11,0,0.4872,1.23,0.214,184,0.729
5,11,0.25,0.66939,1.68,0.0383,450,0.633
5,11,0.5,0.44106,1.12,0.309,320,0.713
5,11,0.75,0.75005,1.95,0.00828,251,0.163
5,11,1,0.96657,2.39,0,50,0.000814
5,12,-1,-0.90883,-2.31,0.00171,1314,0.000994
5,12,-0.75,-0.88482,-2.21,0,1281,0.011
5,12,-0.5,-0.71397,-1.82,0.018,961,0.715
5,12,-0.25,-0.59508,-1.54,0.068,1349,0.806
5,12,0,0.54689,1.42,0.119,212,1
5,12,0.25,-0.31204,-0.802,0.664,420,1
5,12,0.5,0.77624,1.98,0.00222,143,0.22
5,12,0.75,0.84774,2.21,0,86,0.0167
5,12,1,0.91018,2.41,0,35,0
5,13,-1,-0.96657,-2.41,0,1301,0
5,13,-0.75,-0.86042,-2.22,0,1299,0.0106
5,13,-0.5,-0.87186,-2.23,0,1319,0.00783
5,13,-0.25,-0.61192,-1.52,0.0794,1171,0.899
5,13,0,-0.42537,-1.08,0.346,1264,0.661
5,13,0.25,0.64847,1.65,0.0462,175,0.473
5,13,0.5,0.73322,1.9,0.00428,261,0.395
5,13,0.75,0.73902,1.87,0.0221,170,0.507
5,13,1,0.94018,2.45,0,76,0
5,14,-1,-0.88039,-2.28,0,1185,0.00309
5,14,-0.75,-0.44285,-1.14,0.292,1056,1
5,14,-0.5,-0.57735,-1.45,0.105,923,0.553
5,14,-0.25,-0.63296,-1.6,0.0611,1092,0.63
5,14,0,-0.38476,-0.989,0.448,1196,0.997
5,14,0.25,0.35352,0.917,0.563,370,0.878
5,14,0.5,0.57099,1.42,0.127,506,0.716
5,14,0.75,0.76746,1.95,0.00194,318,0.225
5,14,1,0.90789,2.27,0,74,0.00198
5,15,-1,-0.82102,-2.08,0.00195,1240,0.0439
5,15,-0.75,-0.8781,-2.16,0.00196,1237,0.0185
5,15,-0.5,-0.75199,-1.89,0.00954,1244,0.316
5,15,-0.25,-0.53194,-1.36,0.153,1018,0.618
5,15,0,-0.50452,-1.25,0.246,1021,0.665
5,15,0.25,0.6402,1.6,0.0634,407,0.58
5,15,0.5,0.8051,2.04,0.00205,36,0.0865
5,15,0.75,0.80375,2.03,0.00593,150,0.11
5,15,1,0.8893,2.3,0,154,0
5,16,-1,-0.85884,-2.13,0,1156,0.0393
5,16,-0.75,-0.65983,-1.67,0.0423,1342,0.605
5,16,-0.5,-0.84734,-2.18,0.00212,1208,0.0187
5,16,-0.25,-0.61616,-1.58,0.0481,995,0.588
5,16,0,0.45714,1.14,0.3,252,0.693
5,16,0.25,0.38478,0.986,0.455,501,0.757
5,16,0.5,0.86666,2.23,0,56,0.00356
5,16,0.75,0.81352,2.05,0.00382,256,0.0723
5,16,1,0.81798,1.98,0,250,0.06
5,17,-1,-0.80561,-2.02,0.00786,1207,0.118
5,17,-0.75,-0.83822,-2.12,0,1295,0.0347
5,17,-0.5,-0.81502,-2.06,0.0039,1257,0.0836
5,17,-0.25,-0.69688,-1.75,0.0212,938,0.994
5,17,0,0.42681,1.09,0.35,114,1
5,17,0.25,0.26329,0.663,0.869,387,0.958
5,17,0.5,0.4795,1.19,0.261,28,1
5,17,0.75,0.91753,2.26,0,116,0.00926
5,17,1,0.8857,2.21,0,47,0.0102
5,18,-1,-0.86404,-2.18,0,1163,0.02
5,18,-0.75,-0.82739,-2.12,0,1292,0.0332
5,18,-0.5,-0.87519,-2.21,0,1178,0.00951
5,18,-0.25,-0.60763,-1.58,0.0692,839,0.692
5,18,0,-0.59827,-1.53,0.0801,1153,0.869
5,18,0.25,0.45116,1.16,0.284,285,0.749
5,18,0.5,0.80647,2.05,0.00798,71,0.0981
5,18,0.75,0.70261,1.82,0.0204,232,0.328
5,18,1,0.86692,2.26,0,55,0.00201
5,19,-1,-0.84028,-2.2,0,1262,0.0127
5,19,-0.75,-0.8895,-2.29,0,1220,0
5,19,-0.5,-0.79639,-2.03,0.00391,1340,0.145
5,19,-0.25,0.28356,0.73,0.783,291,0.95
5,19,0,-0.69417,-1.83,0.0243,1009,0.232
5,19,0.25,0.60976,1.6,0.0538,49,0.79
5,19,0.5,0.60917,1.57,0.0704,298,0.716
5,19,0.75,0.84888,2.18,0,46,0.0254
5,19,1,0.87147,2.29,0,178,0.00196
5,20,-1,-0.92923,-2.37,0,1306,0.00105
5,20,-0.75,-0.85736,-2.24,0.00202,1154,0.00961
5,20,-0.5,-0.72698,-1.87,0.0171,1134,0.49
5,20,-0.25,-0.7643,-1.96,0.00588,1084,0.24
5,20,0,-0.69589,-1.76,0.0126,984,0.522
5,20,0.25,0.72022,1.82,0.0136,374,0.203
5,20,0.5,0.5831,1.47,0.0893,477,0.863
5,20,0.75,0.75356,1.9,0.00193,110,0.297
5,20,1,0.95617,2.44,0,64,0
5,21,-1,-0.98588,-2.51,0,1327,0
5,21,-0.75,-0.66084,-1.71,0.0249,944,0.513
5,21,-0.5,-0.52423,-1.35,0.164,1194,1
5,21,-0.25,-0.61151,-1.6,0.0496,1094,0.678
5,21,0,-0.44,-1.12,0.324,1098,1
5,21,0.25,0.5608,1.42,0.121,34,0.524
5,21,0.5,0.73342,1.87,0.00394,139,0.133
5,21,0.75,0.84496,2.12,0.00198,191,0.0156
5,21,1,0.91331,2.27,0,21,0.00186
5,22,-1,-0.94915,-2.47,0,1301,0
5,22,-0.75,-0.90639,-2.34,0,1220,0.00212
5,22,-0.5,-0.61728,-1.57,0.0632,908,0.783
5,22,-0.25,0.34018,0.874,0.563,78,0.945
5,22,0,0.29409,0.741,0.779,126,0.952
5,22,0.25,0.73394,1.92,0.006,219,0.14
5,22,0.5,0.77692,1.99,0.00193,279,0.17
5,22,0.75,0.87681,2.24,0.00196,157,0.00823
5,22,1,0.79718,2.06,0,278,0.0825
5,23,-1,-0.83772,-2.18,0,1272,0.0153
5,23,-0.75,-0.90193,-2.32,0,1214,0.00383
5,23,-0.5,-0.85046,-2.18,0,1191,0.0173
5,23,-0.25,-0.32306,-0.825,0.646,1052,0.988
5,23,0,-0.42198,-1.09,0.328,1049,0.82
5,23,0.25,0.61235,1.53,0.0578,347,1
5,23,0.5,0.75168,1.82,0.0152,25,0.597
5,23,0.75,0.75085,1.86,0.00708,250,0.47
5,23,1,0.854,2.2,0.00185,112,0.00634
5,24,-1,-0.7704,-1.94,0.00564,1087,0.317
5,24,-0.75,-0.98886,-2.51,0,1331,0
5,24,-0.5,-0.78338,-1.97,0.00205,1139,0.189
5,24,-0.25,-0.23731,-0.594,0.933,987,0.965
5,24,0,0.25854,0.659,0.872,1003,1
5,24,0.25,0.57272,1.43,0.111,145,0.705
5,24,0.5,0.68796,1.77,0.018,425,0.775
5,24,0.75,0.82904,2.11,0,78,0.0226
5,24,1,0.92681,2.38,0,101,0
5,25,-1,-0.84461,-2.13,0,1343,0.0209
5,25,-0.75,-0.8194,-2.02,0.00204,1194,0.098
5,25,-0.5,-0.78079,-1.97,0.0103,1083,0.181
5,25,-0.25,-0.51309,-1.28,0.2,1048,0.863
5,25,0,-0.74813,-1.85,0.0124,1144,0.262
5,25,0.25,0.68227,1.72,0.0414,324,0.614
5,25,0.5,0.71387,1.77,0.0179,310,0.44
5,25,0.75,0.67477,1.69,0.03,211,0.726
5,25,1,0.86067,2.17,0,68,0.0105
5,26,-1,-0.94313,-2.37,0,1323,0
5,26,-0.75,-0.76824,-1.93,0.0146,1065,0.296
5,26,-0.5,-0.64713,-1.62,0.0541,1086,0.576
5,26,-0.25,-0.30292,-0.763,0.747,775,0.979
5,26,0,-0.48559,-1.28,0.194,770,0.861
5,26,0.25,0.66995,1.71,0.0277,383,0.656
5,26,0.5,0.7379,1.95,0.00602,118,0.201
5,26,0.75,0.82521,2.09,0.0019,144,0.0602
5,26,1,0.98143,2.49,0,30,0
5,27,-1,-0.90765,-2.39,0,1332,0
5,27,-0.75,-0.75295,-1.95,0.0143,1148,0.29
5,27,-0.5,-0.81608,-2.12,0,1213,0.0423
5,27,-0.25,-0.63353,-1.66,0.0447,1207,1
5,27,0,-0.55634,-1.46,0.114,1189,1
5,27,0.25,0.39233,1.01,0.411,80,1
5,27,0.5,0.35115,0.906,0.543,364,1
5,27,0.75,0.70877,1.84,0.0151,397,0.285
5,27,1,0.96062,2.46,0,58,0.00104
5,28,-1,-0.9215,-2.25,0,1324,0.00945
5,28,-0.75,-0.86622,-2.17,0,1338,0.0197
5,28,-0.5,-0.70362,-1.8,0.0225,1145,0.267
5,28,-0.25,-0.36012,-0.938,0.515,1070,0.861
5,28,0,0.76028,1.95,0.00607,258,0.23
5,28,0.25,0.61834,1.59,0.0619,435,0.896
5,28,0.5,0.82541,2.17,0.00204,240,0.0306
5,28,0.75,0.82296,2.11,0,44,0.0403
5,28,1,0.87221,2.27,0,177,0.00914
5,29,-1,-0.92125,-2.32,0,1240,0.00207
5,29,-0.75,-0.84168,-2.13,0.00194,1227,0.0269
5,29,-0.5,-0.57666,-1.44,0.118,1152,1
5,29,-0.25,-0.49745,-1.24,0.222,1034,1
5,29,0,-0.52096,-1.32,0.161,1243,1
5,29,0.25,0.64104,1.62,0.0508,197,1
5,29,0.5,0.6687,1.7,0.0393,360,0.694
5,29,0.75,0.71817,1.83,0.0181,284,0.622
5,29,1,0.97251,2.45,0,42,0
5,30,-1,-0.89153,-2.19,0,1200,0.00827
5,30,-0.75,-0.75334,-1.86,0.00546,1014,0.487
5,30,-0.5,-0.84186,-2.11,0,1183,0.0351
5,30,-0.25,-0.59568,-1.48,0.0951,933,1
5,30,0,-0.41481,-1.02,0.425,797,1
5,30,0.25,0.80155,2.05,0.00445,82,0.0846
5,30,0.5,0.77656,2.04,0,25,0.0811
5,30,0.75,0.91159,2.29,0,124,0.00259
5,30,1,0.91562,2.36,0,78,0.000871
5,31,-1,-0.78083,-1.95,0.00584,1051,0.225
5,31,-0.75,-0.83338,-2.09,0.0021,1164,0.0495
5,31,-0.5,-0.76665,-1.95,0.00206,1285,0.208
5,31,-0.25,-0.69527,-1.79,0.0279,1033,0.824
5,31,0,0.35067,0.895,0.576,879,0.889
5,31,0.25,0.4575,1.15,0.3,154,0.802
5,31,0.5,0.60579,1.53,0.0739,54,1
5,31,0.75,0.83885,2.13,0.00197,56,0.0279
5,31,1,0.87637,2.21,0,47,0.0112
5,32,-1,-0.85141,-2.11,0.00363,1146,0.0205
5,32,-0.75,-0.84459,-2.12,0.00184,1263,0.0264
5,32,-0.5,-0.73992,-1.81,0.0214,1205,0.309
5,32,-0.25,-0.58177,-1.45,0.112,1348,1
5,32,0,-0.37522,-0.937,0.492,818,1
5,32,0.25,0.90186,2.33,0,71,0.00106
5,32,0.5,0.64376,1.64,0.0546,300,0.398
5,32,0.75,0.66611,1.71,0.0346,422,0.274
5,32,1,0.9317,2.37,0,55,0
5,33,-1,-0.86528,-2.29,0,1277,0.00685
5,33,-0.75,-0.84175,-2.18,0,1133,0.0155
5,33,-0.5,-0.88388,-2.27,0,1214,0.00486
5,33,-0.25,-0.64554,-1.62,0.0481,892,0.517
5,33,0,0.39599,1.01,0.447,818,0.777
5,33,0.25,0.65552,1.67,0.0318,313,0.571
5,33,0.5,0.66261,1.66,0.0366,449,0.443
5,33,0.75,0.78232,1.99,0.00192,298,0.0618
5,33,1,0.94354,2.35,0,81,0
5,34,-1,-0.88971,-2.24,0,1279,0.00383
5,34,-0.75,-0.89148,-2.25,0,1278,0.00285
5,34,-0.5,-0.74937,-1.86,0.0184,1066,0.415
5,34,-0.25,-0.70681,-1.78,0.0101,1282,0.752
5,34,0,-0.57341,-1.44,0.104,827,0.951
5,34,0.25,0.46272,1.18,0.265,58,1
5,34,0.5,0.71824,1.83,0.0164,55,0.687
5,34,0.75,0.78538,1.99,0,86,0.169
5,34,1,0.87296,2.24,0,176,0.0104
5,35,-1,-0.91686,-2.3,0,1312,0.00211
5,35,-0.75,-0.75854,-1.9,0.00805,1021,0.348
5,35,-0.5,-0.65936,-1.69,0.0385,1015,0.512
5,35,-0.25,-0.60253,-1.54,0.0782,811,0.836
5,35,0,-0.8088,-2.03,0.00383,1163,0.0894
5,35,0.25,0.31149,0.801,0.68,322,1
5,35,0.5,0.64041,1.65,0.052,488,0.425
5,35,0.75,0.82686,2.08,0.00195,93,0.0522
5,35,1,0.85016,2.1,0,80,0.0371
5,36,-1,-0.96285,-2.42,0,1296,0
5,36,-0.75,-0.75615,-1.88,0.00402,1244,0.326
5,36,-0.5,-0.49988,-1.26,0.202,965,0.824
5,36,-0.25,-0.80572,-2.08,0.00386,1247,0.0358
5,36,0,-0.66562,-1.7,0.0459,1231,0.636
5,36,0.25,-0.42504,-1.08,0.35,1053,0.764
5,36,0.5,0.72078,1.82,0.0142,86,0.685
5,36,0.75,0.87422,2.26,0,45,0.00442
5,36,1,0.956,2.42,0,63,0
5,37,-1,-0.83876,-2.15,0,1151,0.0319
5,37,-0.75,-0.59045,-1.52,0.0787,1307,1
5,37,-0.5,-0.80742,-2.12,0,1146,0.0408
5,37,-0.25,-0.35429,-0.921,0.528,1090,1
5,37,0,0.38817,0.984,0.46,435,0.919
5,37,0.25,0.52074,1.34,0.158,449,0.815
5,37,0.5,0.74288,1.88,0.00561,283,0.373
5,37,0.75,0.91307,2.36,0,68,0
5,37,1,0.87284,2.23,0,85,0.00454
5,38,-1,-0.9153,-2.33,0,1232,0
5,38,-0.75,-0.72745,-1.8,0.0135,1048,0.335
5,38,-0.5,-0.77533,-1.94,0.00795,1273,0.224
5,38,-0.25,-0.79367,-1.97,0.00398,1290,0.152
5,38,0,-0.27786,-0.706,0.808,374,1
5,38,0.25,0.59407,1.47,0.0983,210,0.525
5,38,0.5,0.76226,1.92,0.00385,325,0.126
5,38,0.75,0.68065,1.74,0.0175,135,0.337
5,38,1,0.76523,1.89,0.0163,321,0.162
5,39,-1,-0.99108,-2.55,0,1334,0
5,39,-0.75,-0.82577,-2.13,0,1332,0.0416
5,39,-0.5,-0.70458,-1.81,0.0157,1160,0.735
5,39,-0.25,-0.60525,-1.56,0.0644,1045,0.536
5,39,0,0.44787,1.13,0.323,251,0.958
5,39,0.25,-0.48519,-1.26,0.21,1184,0.997
5,39,0.5,0.88179,2.23,0,162,0.00333
5,39,0.75,0.84938,2.15,0,168,0.0251
5,39,1,0.79421,1.98,0.00368,282,0.168
5,40,-1,-0.96023,-2.48,0,1333,0
5,40,-0.75,-0.78023,-2.01,0.00792,1171,0.0582
5,40,-0.5,-0.8425,-2.11,0,1134,0.0287
5,40,-0.25,-0.45108,-1.15,0.281,1123,1
5,40,0,0.46536,1.21,0.239,82,0.817
5,40,0.25,0.35233,0.919,0.512,509,1
5,40,0.5,0.86539,2.19,0,73,0.0262
5,40,0.75,0.90454,2.38,0,86,0.00121
5,40,1,0.88456,2.25,0,17,0.0121
5,41,-1,-0.9084,-2.28,0,1329,0.000905
5,41,-0.75,-0.87147,-2.18,0,1173,0.00503
5,41,-0.5,-0.83375,-2.09,0,1275,0.0404
5,41,-0.25,-0.31616,-0.819,0.664,932,1
5,41,0,0.35661,0.91,0.522,871,1
5,41,0.25,0.5389,1.34,0.163,207,1
5,41,0.5,0.80008,2.07,0,140,0.0697
5,41,0.75,0.67876,1.73,0.0233,270,1
5,41,1,0.91679,2.34,0,117,0
5,42,-1,-0.90045,-2.28,0,1212,0.000921
5,42,-0.75,-0.65511,-1.62,0.0501,1318,0.493
5,42,-0.5,-0.49282,-1.25,0.21,1183,0.66
5,42,-0.25,-0.81886,-1.99,0.00581,1107,0.143
5,42,0,0.79743,2.02,0.00616,149,0.122
5,42,0.25,0.79265,2.03,0.00423,21,0.102
5,42,0.5,0.77973,1.96,0.00209,158,0.213
5,42,0.75,0.48583,1.2,0.268,93,1
5,42,1,0.88195,2.19,0.00204,6,0.0172
5,43,-1,-0.86896,-2.23,0,1268,0.00386
5,43,-0.75,-0.80535,-2.09,0.00198,1084,0.0481
5,43,-0.5,0.27281,0.716,0.802,465,1
5,43,-0.25,-0.36476,-0.916,0.511,1145,0.869
5,43,0,-0.4187,-1.1,0.312,1293,0.62
5,43,0.25,0.77162,1.99,0.00408,290,0.241
5,43,0.5,0.55458,1.46,0.0984,271,0.932
5,43,0.75,0.83429,2.15,0,123,0.0328
5,43,1,0.93002,2.43,0,19,0.00125
5,44,-1,-0.86057,-2.22,0,1270,0.00803
5,44,-0.75,-0.7201,-1.86,0.0156,1250,0.248
5,44,-0.5,-0.77356,-1.98,0.00389,1324,0.145
5,44,-0.25,-0.77163,-1.95,0.00414,1156,0.23
5,44,0,0.37049,0.958,0.482,192,1
5,44,0.25,0.50174,1.29,0.192,153,1
5,44,0.5,0.56296,1.45,0.105,353,1
5,44,0.75,0.75166,1.93,0.0125,208,0.341
5,44,1,0.8945,2.28,0.00204,147,0.00313
5,45,-1,-0.84655,-2.12,0,1231,0.033
5,45,-0.75,-0.76288,-1.98,0.002,1139,0.146
5,45,-0.5,-0.78198,-1.95,0.00187,1259,0.168
5,45,-0.25,-0.76262,-1.92,0.00545,1139,0.125
5,45,0,0.58094,1.49,0.111,299,1
5,45,0.25,0.5903,1.51,0.0771,31,1
5,45,0.5,0.7803,1.99,0.0063,191,0.155
5,45,0.75,0.84785,2.21,0.00215,90,0.00449
5,45,1,0.98143,2.57,0,30,0
5,46,-1,-0.9386,-2.37,0,1328,0.000987
5,46,-0.75,-0.83878,-2.09,0.00195,1129,0.0711
5,46,-0.5,-0.79009,-2.01,0.00196,1188,0.129
5,46,-0.25,-0.55757,-1.41,0.136,1091,1
5,46,0,-0.64814,-1.67,0.0339,1195,0.893
5,46,0.25,0.66726,1.72,0.0248,15,0.641
5,46,0.5,0.80015,2.05,0.00195,274,0.0807
5,46,0.75,0.85757,2.12,0,62,0.0502
5,46,1,0.97474,2.45,0,39,0.00101
5,47,-1,-0.88782,-2.21,0,1195,0.0204
5,47,-0.75,-0.83083,-2.11,0.00189,1250,0.0362
5,47,-0.5,-0.88484,-2.21,0,1191,0.0103
5,47,-0.25,-0.33754,-0.839,0.652,1188,1
5,47,0,0.39237,0.995,0.427,41,0.732
5,47,0.25,0.71214,1.81,0.0162,80,0.304
5,47,0.5,0.6923,1.78,0.0402,377,0.335
5,47,0.75,0.65585,1.64,0.0503,3,0.824
5,47,1,0.9688,2.52,0,47,0
5,48,-1,-0.87667,-2.16,0,1180,0.0173
5,48,-0.75,-0.80752,-2.02,0.00202,1284,0.102
5,48,-0.5,-0.58464,-1.47,0.094,1187,1
5,48,-0.25,-0.60735,-1.55,0.0556,1028,1
5,48,0,0.53868,1.36,0.153,49,0.854
5,48,0.25,0.53578,1.36,0.164,455,1
5,48,0.5,0.62086,1.54,0.0549,238,0.859
5,48,0.75,0.94166,2.36,0,64,0
5,48,1,0.73374,1.85,0.00542,129,0.482
5,49,-1,-0.84398,-2.12,0,1136,0.0253
5,49,-0.75,-0.71943,-1.83,0.0256,1053,0.604
5,49,-0.5,-0.59159,-1.46,0.101,1018,0.649
5,49,-0.25,-0.62436,-1.56,0.0582,1339,0.422
5,49,0,0.47962,1.17,0.289,193,0.671
5,49,0.25,0.68921,1.71,0.0348,354,0.582
5,49,0.5,0.8737,2.17,0,175,0.00945
5,49,0.75,0.80809,2.05,0.00188,151,0.0579
5,49,1,0.95319,2.43,0,68,0
5,50,-1,-0.83719,-2.06,0.00181,1225,0.0524
5,50,-0.75,-0.86068,-2.15,0,1219,0.0176
5,50,-0.5,-0.81379,-2.11,0.00179,1174,0.0341
5,50,-0.25,-0.4775,-1.18,0.265,828,1
5,50,0,0.36813,0.935,0.516,41,0.985
5,50,0.25,0.68381,1.76,0.0328,195,0.479
5,50,0.5,0.86018,2.21,0,163,0.0178
5,50,0.75,0.78054,1.95,0.00423,253,0.248
5,50,1,0.97623,2.45,0,37,0
6,1,-1,-0.8829,-2.26,0,1278,0.00336
6,1,-0.75,-0.86325,-2.19,0,1301,0.0055
6,1,-0.5,-0.81784,-2.03,0.002,1100,0.0816
6,1,-0.25,-0.47176,-1.2,0.287,1181,1
6,1,0,0.4529,1.15,0.296,216,1
6,1,0.25,0.5391,1.36,0.13,380,1
6,1,0.5,0.72825,1.82,0.0206,169,0.735
6,1,0.75,0.89368,2.28,0,149,0.00121
6,1,1,0.82208,2.05,0.0018,184,0.0905
6,2,-1,-0.87747,-2.21,0,1340,0.00525
6,2,-0.75,-0.64576,-1.63,0.0478,912,1
6,2,-0.5,-0.7258,-1.84,0.0144,1197,0.507
6,2,-0.25,-0.49424,-1.28,0.177,1015,1
6,2,0,-0.503,-1.29,0.178,1323,1
6,2,0.25,0.48273,1.25,0.199,264,0.715
6,2,0.5,0.41871,1.08,0.368,319,0.744
6,2,0.75,0.59944,1.55,0.0607,353,0.504
6,2,1,0.87658,2.27,0,172,0.00603
6,3,-1,-0.8461,-2.15,0,1138,0.0233
6,3,-0.75,-0.7439,-1.84,0.00414,1289,0.288
6,3,-0.5,-0.87558,-2.23,0,1304,0.0111
6,3,-0.25,-0.57872,-1.49,0.0984,1122,0.55
6,3,0,-0.5759,-1.48,0.0954,1150,0.581
6,3,0.25,-0.229,-0.6,0.927,308,0.943
6,3,0.5,0.65992,1.65,0.042,297,0.451
6,3,0.75,0.65343,1.63,0.0456,62,0.43
6,3,1,0.84946,2.12,0,121,0.0335
6,4,-1,-0.88104,-2.25,0,1185,0.00503
6,4,-0.75,-0.85554,-2.18,0,1332,0.0152
6,4,-0.5,0.30364,0.797,0.695,70,1
6,4,-0.25,0.5638,1.46,0.0996,143,0.741
6,4,0,-0.49913,-1.29,0.177,1139,1
6,4,0.25,0.32946,0.84,0.639,421,0.973
6,4,0.5,0.65631,1.68,0.0346,149,0.535
6,4,0.75,0.84952,2.2,0,72,0.0211
6,4,1,0.83898,2.14,0,122,0.0294
6,5,-1,-0.92119,-2.41,0,1239,0
6,5,-0.75,-0.65046,-1.66,0.0364,980,0.864
6,5,-0.5,-0.7483,-1.92,0.00408,1194,0.324
6,5,-0.25,-0.59703,-1.58,0.0695,1294,1
6,5,0,0.54045,1.39,0.132,251,0.634
6,5,0.25,0.39836,1.05,0.365,326,1
6,5,0.5,0.50288,1.3,0.173,269,0.877
6,5,0.75,0.76583,2.03,0.00186,84,0.126
6,5,1,0.98662,2.55,0,24,0
6,6,-1,-0.8616,-2.25,0,1229,0.00212
6,6,-0.75,-0.70867,-1.81,0.0252,1179,0.25
6,6,-0.5,-0.71012,-1.81,0.0156,1331,0.235
