"","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"33","norm_cs","Adenosine receptor agonist",-0.25527,-0.668,0.833,2995,0.997
"34","norm_cs","Radiopaque medium",-0.56749,-1.45,0.128,3012,0.58
"35","norm_cs","Opioid receptor agonist",-0.2809,-0.714,0.807,2997,1
"36","norm_cs","EGFR inhibitor",0.4497,1.13,0.31,812,0.648
"37","norm_cs","Carcinogen",0.31618,0.778,0.715,1033,0.893
"38","norm_cs","PDGFR inhibitor",0.37941,0.955,0.488,294,0.732
"39","norm_cs","Tyrosine kinase inhibitor",0.36322,0.925,0.537,559,0.718
"40","norm_cs","Protein tyrosine kinase inhibitor",0.49313,1.23,0.253,370,0.611
"41","norm_cs","SIRT inhibitor",0.48379,1.23,0.244,122,0.611
"42","norm_cs","Membrane integrity inhibitor",0.37895,0.97,0.455,794,0.733
"43","norm_cs","Sodium channel inhibitor",0.24515,0.61,0.911,476,1
"44","norm_cs","Serotonin receptor antagonist",-0.19283,-0.49,0.991,2637,1
"45","norm_cs","ALK inhibitor",0.68087,1.72,0.0292,90,0.213
"46","norm_cs","Bone resorption inhibitor",0.50613,1.26,0.225,165,0.642
"47","norm_cs","GABA receptor agonist",-0.24045,-0.621,0.896,3072,1
"48","norm_cs","Histamine receptor agonist",-0.29989,-0.776,0.708,2699,0.96
"49","norm_cs","Aurora kinase inhibitor",0.49121,1.21,0.241,521,0.609
"50","norm_cs","Dipeptidyl peptidase inhibitor",-0.6203,-1.58,0.0648,2501,0.507
"51","norm_cs","Estrogen receptor agonist",-0.5055,-1.29,0.19,2846,0.593
"52","norm_cs","Benzodiazepine receptor agonist",0.2068,0.523,0.976,627,0.993
"53","norm_cs","Prostanoid receptor agonist",-0.46266,-1.18,0.259,2481,0.633
"54","norm_cs","Aldose reductase inhibitor",-0.5555,-1.41,0.124,3113,0.54
"55","norm_cs","Diuretic",0.4919,1.24,0.231,406,0.633
"56","norm_cs","Progestogen hormone",-0.53593,-1.41,0.14,3543,0.54
"57","norm_cs","Muscle relaxant",-0.29039,-0.769,0.717,2595,0.96
"58","norm_cs","HSP inhibitor",0.7249,1.84,0.0146,561,0.145
"59","norm_cs","CDK inhibitor",0.53039,1.35,0.153,480,0.497
"60","norm_cs","Lipoxygenase inhibitor",-0.2183,-0.567,0.943,2011,0.998
"61","norm_cs","Cannabinoid receptor antagonist",0.47881,1.21,0.263,110,0.609
"62","norm_cs","Potassium channel antagonist",0.48599,1.2,0.266,940,0.61
"63","norm_cs","Endothelin receptor antagonist",-0.24138,-0.627,0.872,2288,1
"64","norm_cs","Glucocorticoid receptor agonist",0.36899,0.945,0.504,963,0.723
"65","norm_cs","CC chemokine receptor antagonist",-0.33901,-0.866,0.575,2289,0.862
"66","norm_cs","MDM inhibitor",0.67726,1.69,0.0407,457,0.231
"67","norm_cs","TRPV antagonist",-0.35115,-0.911,0.559,2801,0.807
"68","norm_cs","Src inhibitor",0.56765,1.42,0.134,624,0.42
"69","norm_cs","Calcium channel blocker",0.16884,0.419,0.996,959,1
"70","norm_cs","Topoisomerase inhibitor",0.64642,1.65,0.044,749,0.265
"71","norm_cs","Norepinephrine inhibitor",0.28517,0.725,0.758,2636,0.951
"72","norm_cs","Glutamate receptor agonist",-0.20278,-0.512,0.974,745,1
"73","norm_cs","Bacterial cell wall synthesis inhibitor",-0.26292,-0.669,0.845,3112,1
"74","norm_cs","HIV inhibitor",-0.18625,-0.485,0.991,3498,1
"75","norm_cs","Phosphodiesterase inhibitor",0.22584,0.576,0.931,439,1
"76","norm_cs","Caspase activator",0.43415,1.12,0.297,425,0.65
"77","norm_cs","Anesthetic - local",0.34352,0.864,0.581,436,0.793
"78","norm_cs","Cannabinoid receptor agonist",-0.37348,-0.947,0.48,2247,0.767
"79","norm_cs","Aromatase inhibitor",-0.4321,-1.1,0.346,2783,0.708
"80","norm_cs","Androgen receptor antagonist",-0.29282,-0.756,0.747,2632,0.969
"81","norm_cs","Cytochrome P450 inhibitor",-0.52735,-1.37,0.162,3189,0.576
"82","norm_cs","GABA receptor antagonist",0.20732,0.535,0.955,348,1
"83","norm_cs","Angiogenesis inhibitor",-0.57693,-1.49,0.0903,3136,0.545
"84","norm_cs","Antimalarial",0.37293,0.966,0.465,97,0.727
"85","norm_cs","Sigma receptor antagonist",-0.52132,-1.33,0.168,2826,0.573
"86","norm_cs","Tachykinin antagonist",0.43487,1.08,0.355,1145,0.656
"87","norm_cs","GSK inhibitor",-0.59614,-1.51,0.1,3238,0.564
"88","norm_cs","MEK inhibitor",0.74813,1.86,0.011,742,0.145
"89","norm_cs","Farnesyltransferase inhibitor",0.44184,1.09,0.34,210,0.669
"90","norm_cs","Phospholipase inhibitor",-0.28694,-0.744,0.752,3500,0.976
"91","norm_cs","TRPV agonist",-0.62612,-1.6,0.0493,2399,0.671
"92","norm_cs","JNK inhibitor",-0.48928,-1.24,0.236,3454,0.633
"93","norm_cs","Androgen receptor agonist",-0.65451,-1.68,0.0328,2404,0.812
"94","norm_cs","Integrin inhibitor",0.24226,0.606,0.901,696,1
"95","norm_cs","HMGCR inhibitor",0.75528,1.93,0.00386,832,0.147
"96","norm_cs","Mitochondrial inhibitor",0.31882,0.8,0.692,2510,0.873
"97","norm_cs","NFKB inhibitor",-0.38028,-0.97,0.466,2767,0.75
"98","norm_cs","Nitric oxide production inhibitor",-0.37642,-0.97,0.474,3503,0.75
"99","norm_cs","Nucleophosmin inhibitor",0.53992,1.35,0.178,645,0.497
"100","norm_cs","Gamma secretase inhibitor",0.36859,0.931,0.506,764,0.72
"101","norm_cs","ACAT inhibitor",-0.46203,-1.18,0.255,3569,0.633
"102","norm_cs","Caspase inhibitor",-0.49637,-1.3,0.179,2092,0.61
"103","norm_cs","RAF inhibitor",0.65232,1.63,0.0519,827,0.24
"104","norm_cs","JAK inhibitor",0.3828,0.971,0.464,542,0.746
"105","norm_cs","Antiviral",-0.80977,-2.09,0,3588,0.141
"106","norm_cs","PIM inhibitor",0.65362,1.64,0.0404,383,0.243
"107","norm_cs","MTOR inhibitor",0.9611,2.44,0,81,0
"108","norm_cs","FGFR inhibitor",0.40202,1,0.423,517,0.756
"109","norm_cs","PDK inhibitor",0.42171,1.05,0.399,324,0.694
"110","norm_cs","CHK inhibitor",0.75799,1.9,0.00738,357,0.121
"111","norm_cs","Angiotensin receptor antagonist",-0.55222,-1.43,0.126,2551,0.57
"112","norm_cs","Bacterial 50S ribosomal subunit inhibitor",0.20906,0.531,0.957,309,1
"113","norm_cs","PPAR receptor antagonist",-0.63653,-1.63,0.045,3449,0.741
"114","norm_cs","ATPase inhibitor",-0.41994,-1.07,0.378,2657,0.68
"115","norm_cs","RNA polymerase inhibitor",0.45536,1.14,0.297,209,0.646
"116","norm_cs","Matrix metalloprotease inhibitor",-0.65125,-1.66,0.0425,3056,0.753
"117","norm_cs","Syk inhibitor",0.69606,1.76,0.0182,544,0.199
"118","norm_cs","Calcium channel activator",-0.67734,-1.74,0.0339,2984,0.942
"119","norm_cs","Bromodomain inhibitor",0.50212,1.25,0.23,632,0.637
"120","norm_cs","ACE inhibitor",-0.38899,-0.978,0.455,2887,0.76
"121","norm_cs","Chloride channel blocker",-0.23803,-0.6,0.894,875,1
"122","norm_cs","CCK receptor antagonist",-0.26828,-0.684,0.833,3603,1
"123","norm_cs","Anti-inflammatory",0.35034,0.877,0.595,1042,0.785
"124","norm_cs","Calmodulin inhibitor",-0.40568,-1.04,0.382,2609,0.721
"125","norm_cs","PPAR receptor agonist",-0.49993,-1.27,0.206,2410,0.612
"126","norm_cs","PLK inhibitor",-0.56159,-1.42,0.125,2856,0.566
"127","norm_cs","Sterol demethylase inhibitor",-0.24483,-0.621,0.863,899,1
"128","norm_cs","PKC inhibitor",0.37508,0.977,0.477,334,0.75
"129","norm_cs","Potassium channel activator",-0.35931,-0.928,0.536,2854,0.788
"130","norm_cs","IKK inhibitor",-0.41437,-1.08,0.353,3057,0.689
"131","norm_cs","IGF-1 inhibitor",0.75782,1.92,0.00548,292,0.127
"132","norm_cs","Smoothened receptor antagonist",-0.61708,-1.58,0.0664,3082,0.507
"133","norm_cs","Progesterone receptor agonist",-0.40268,-1.07,0.352,2515,0.68
"134","norm_cs","Sigma receptor agonist",-0.63311,-1.59,0.0614,2786,0.577
"135","norm_cs","Protein kinase inhibitor",-0.41351,-1.09,0.332,3264,0.697
"136","norm_cs","Tyrosine phosphatase inhibitor",-0.3652,-0.948,0.502,2813,0.777
"137","norm_cs","Protein synthesis inhibitor",0.38609,0.997,0.447,967,0.745
"138","norm_cs","TNF inhibitor",-0.52054,-1.35,0.146,2330,0.574
"139","norm_cs","Apoptosis stimulant",-0.45262,-1.17,0.288,3184,0.636
"140","norm_cs","Acetylcholinesterase inhibitor",-0.26923,-0.704,0.8,2879,1
"141","norm_cs","Rho associated kinase inhibitor",0.43832,1.1,0.353,600,0.668
"142","norm_cs","Thromboxane receptor antagonist",-0.44675,-1.16,0.298,2312,0.627
"143","norm_cs","Beta amyloid inhibitor",-0.47315,-1.21,0.247,3180,0.639
"144","norm_cs","Immunostimulant",-0.62208,-1.57,0.0673,3199,0.494
"145","norm_cs","STAT inhibitor",-0.44182,-1.14,0.309,2212,0.648
"146","norm_cs","Bacterial DNA inhibitor",-0.42536,-1.09,0.325,3074,0.697
"147","norm_cs","VEGFR inhibitor",0.3757,0.953,0.471,910,0.722
"148","norm_cs","MAP kinase inhibitor",0.47156,1.18,0.277,658,0.609
"149","norm_cs","FLT3 inhibitor",0.64408,1.64,0.0496,490,0.243
"150","norm_cs","Kinesin inhibitor",-0.62382,-1.6,0.0652,3488,0.671
"151","norm_cs","Casein kinase inhibitor",-0.45222,-1.16,0.284,3020,0.627
"152","norm_cs","Imidazoline receptor agonist",-0.51887,-1.33,0.174,2440,0.573
"153","norm_cs","Na/K-ATPase inhibitor",-0.24603,-0.631,0.88,2324,1
"154","norm_cs","Vitamin D receptor agonist",0.63012,1.6,0.0572,1068,0.248
"155","norm_cs","11-beta-HSD1 inhibitor",-0.62716,-1.59,0.0616,3452,0.577
"156","norm_cs","Cholinesterase inhibitor",-0.38638,-0.994,0.436,3381,0.755
"157","norm_cs","Proteasome inhibitor",-0.39019,-1,0.433,2740,0.77
"158","norm_cs","Antioxidant",-0.47007,-1.21,0.247,3187,0.639
"159","norm_cs","Insulin sensitizer",-0.47914,-1.22,0.239,2607,0.653
"160","norm_cs","Adenosine receptor antagonist",0.32167,0.824,0.662,991,0.847
"161","norm_cs","Bacterial 30S ribosomal subunit inhibitor",0.46369,1.17,0.266,160,0.61
"162","norm_cs","Bacterial DNA Gyrase inhibitor",-0.38161,-0.989,0.453,2868,0.752
"163","norm_cs","HCV inhibitor",-0.31019,-0.803,0.646,2163,0.939
"164","norm_cs","Chelating agent",-0.54311,-1.39,0.132,3494,0.558
"165","norm_cs","Ribonucleoside reductase inhibitor",0.36794,0.937,0.5,141,0.723
"166","norm_cs","Estrogen receptor antagonist",0.42786,1.08,0.38,1308,0.656
"167","norm_cs","P38 MAPK inhibitor",0.22899,0.586,0.928,673,1
"168","norm_cs","Beta secretase inhibitor",-0.61086,-1.56,0.0757,2465,0.481
"169","norm_cs","DNA alkylating agent",-0.4942,-1.25,0.216,3061,0.631
"170","norm_cs","Bacterial antifolate",0.81251,2.04,0,182,0.0653
"171","norm_cs","Tricyclic antidepressant",0.62424,1.59,0.0786,1305,0.248
"172","norm_cs","Platelet aggregation inhibitor",-0.55386,-1.43,0.128,2825,0.57
"173","norm_cs","Bcr-Abl inhibitor",0.56771,1.44,0.113,294,0.425
"174","norm_cs","Leukotriene receptor antagonist",0.222,0.564,0.96,776,1
"175","norm_cs","Insulin secretagogue",-0.57823,-1.49,0.102,2771,0.545
"176","norm_cs","Monoamine oxidase inhibitor",-0.35172,-0.869,0.597,3386,0.87
"177","norm_cs","CDC inhibitor",0.23453,0.581,0.914,582,1
"178","norm_cs","Vesicular monoamine transporter inhibitor",-0.42019,-1.08,0.37,3530,0.689
"179","norm_cs","MET inhibitor",0.38609,0.977,0.448,337,0.75
"180","norm_cs","Anthelmintic",-0.60358,-1.48,0.11,2766,0.539
"181","norm_cs","Immunosuppressant",0.56869,1.43,0.139,551,0.422
"182","norm_cs","Dihydrofolate reductase inhibitor",0.70802,1.8,0.0253,783,0.171
"183","norm_cs","Reverse transcriptase inhibitor",-0.73775,-1.94,0.0128,2818,0.33
