Rank_metric,Drug_set,ES,NES,p_value,Position_at_max,FDR_q_value
norm_cs,TGF-beta receptor inhibitor,0.39528,1,0.43,529,1
norm_cs,Adenosine receptor agonist,-0.39028,-1.03,0.427,3092,1
norm_cs,Opioid receptor agonist,0.43103,1.09,0.339,331,0.919
norm_cs,EGFR inhibitor,0.336,0.851,0.621,999,1
norm_cs,Carcinogen,-0.46894,-1.24,0.226,2924,0.981
norm_cs,PDGFR inhibitor,0.33803,0.867,0.589,682,1
norm_cs,Tyrosine kinase inhibitor,0.26016,0.663,0.844,828,0.983
norm_cs,Protein tyrosine kinase inhibitor,0.46834,1.19,0.252,220,0.809
norm_cs,SIRT inhibitor,0.55139,1.42,0.123,71,0.767
norm_cs,Membrane integrity inhibitor,0.67142,1.7,0.0316,1184,0.487
norm_cs,Sodium channel inhibitor,0.21271,0.539,0.964,436,1
norm_cs,Serotonin receptor antagonist,0.17653,0.445,0.997,924,0.993
norm_cs,Glucocorticoid receptor agonist,0.78787,2.03,0.00697,443,0.105
norm_cs,ALK inhibitor,0.56307,1.39,0.134,1219,0.763
norm_cs,GABA receptor agonist,0.30599,0.769,0.715,458,1
norm_cs,Histamine receptor agonist,0.33172,0.836,0.641,15,1
norm_cs,Aurora kinase inhibitor,0.49872,1.29,0.183,925,0.738
norm_cs,Dipeptidyl peptidase inhibitor,-0.44915,-1.17,0.288,3179,0.987
norm_cs,Estrogen receptor agonist,0.20829,0.527,0.962,441,0.997
norm_cs,Benzodiazepine receptor agonist,0.4225,1.1,0.354,480,0.92
norm_cs,Prostanoid receptor agonist,-0.29311,-0.754,0.726,3160,1
norm_cs,Aldose reductase inhibitor,-0.36939,-0.956,0.494,2709,0.973
norm_cs,Diuretic,0.74313,1.9,0.00862,911,0.232
norm_cs,Progestogen hormone,-0.82104,-2.13,0.00236,2991,0.13
norm_cs,Muscle relaxant,-0.41863,-1.13,0.326,2931,0.942
norm_cs,HSP inhibitor,-0.24966,-0.656,0.848,2512,1
norm_cs,CDK inhibitor,-0.31423,-0.82,0.647,3002,0.963
norm_cs,Lipoxygenase inhibitor,-0.24135,-0.628,0.887,2245,1
norm_cs,Cannabinoid receptor antagonist,-0.43618,-1.17,0.25,2892,0.987
norm_cs,Potassium channel antagonist,0.26003,0.656,0.888,233,0.945
norm_cs,Endothelin receptor antagonist,-0.59728,-1.56,0.0791,3202,0.783
norm_cs,CC chemokine receptor antagonist,-0.55472,-1.47,0.109,3290,0.727
norm_cs,Adrenergic receptor agonist,0.29612,0.755,0.749,893,0.977
norm_cs,MDM inhibitor,-0.60377,-1.59,0.0571,2409,0.784
norm_cs,TRPV antagonist,-0.36973,-0.97,0.485,3203,1
norm_cs,Bacterial 30S ribosomal subunit inhibitor,-0.49825,-1.33,0.184,3250,0.941
norm_cs,Src inhibitor,0.3408,0.871,0.58,1170,1
norm_cs,Calcium channel blocker,0.28841,0.739,0.736,800,0.976
norm_cs,Topoisomerase inhibitor,-0.35346,-0.924,0.522,2626,0.915
norm_cs,Norepinephrine inhibitor,-0.67589,-1.78,0.0211,3068,0.557
norm_cs,Glutamate receptor agonist,-0.25098,-0.644,0.873,898,1
norm_cs,Bacterial cell wall synthesis inhibitor,0.40513,1.02,0.43,861,1
norm_cs,Phosphodiesterase inhibitor,0.20086,0.504,0.97,1117,0.997
norm_cs,Anesthetic - local,-0.61174,-1.63,0.0655,3188,0.77
norm_cs,Cannabinoid receptor agonist,-0.35081,-0.943,0.496,2790,0.915
norm_cs,Aromatase inhibitor,0.27638,0.712,0.76,764,0.941
norm_cs,Androgen receptor antagonist,0.31458,0.806,0.685,483,1
norm_cs,Cytochrome P450 inhibitor,0.39271,1.01,0.417,725,1
norm_cs,GABA receptor antagonist,-0.27343,-0.713,0.773,2780,1
norm_cs,Angiogenesis inhibitor,0.31298,0.798,0.667,853,1
norm_cs,Antimalarial,-0.51862,-1.34,0.156,3572,1
norm_cs,Sigma receptor antagonist,-0.4211,-1.1,0.353,3008,0.949
norm_cs,Tachykinin antagonist,-0.25961,-0.7,0.788,2498,1
norm_cs,GSK inhibitor,-0.23715,-0.622,0.908,3477,0.975
norm_cs,MEK inhibitor,0.35863,0.909,0.535,988,1
norm_cs,Farnesyltransferase inhibitor,-0.44499,-1.19,0.252,2877,1
norm_cs,Phospholipase inhibitor,0.55817,1.41,0.13,385,0.748
norm_cs,TRPV agonist,0.5147,1.31,0.201,467,0.75
norm_cs,JNK inhibitor,0.48721,1.24,0.232,825,0.802
norm_cs,Androgen receptor agonist,0.52556,1.32,0.184,852,0.835
norm_cs,HIV inhibitor,-0.18461,-0.476,0.985,2725,0.999
norm_cs,Integrin inhibitor,0.22609,0.565,0.941,1270,0.994
norm_cs,HMGCR inhibitor,0.53237,1.36,0.143,952,0.766
norm_cs,Mitochondrial inhibitor,-0.78571,-2.08,0.00242,3410,0.118
norm_cs,NFKB inhibitor,0.32722,0.826,0.656,710,1
norm_cs,Nitric oxide production inhibitor,0.46042,1.16,0.311,282,0.854
norm_cs,Nucleophosmin inhibitor,0.71448,1.84,0.0165,349,0.281
norm_cs,Gamma secretase inhibitor,0.28621,0.737,0.763,106,0.941
norm_cs,ACAT inhibitor,0.27988,0.723,0.777,1621,0.937
norm_cs,Caspase inhibitor,-0.36415,-0.963,0.486,2579,1
norm_cs,RAF inhibitor,0.36154,0.922,0.567,1206,1
norm_cs,Purinergic receptor antagonist,0.61458,1.52,0.0953,487,0.628
norm_cs,JAK inhibitor,0.50594,1.31,0.181,1126,0.75
norm_cs,MTOR inhibitor,-0.18698,-0.484,0.989,2841,1
norm_cs,FGFR inhibitor,-0.26624,-0.686,0.804,3153,1
norm_cs,PDK inhibitor,0.60466,1.55,0.0595,426,0.597
norm_cs,Angiotensin receptor antagonist,-0.31952,-0.853,0.613,3557,0.969
norm_cs,Bacterial 50S ribosomal subunit inhibitor,-0.25716,-0.684,0.835,2948,1
norm_cs,ATPase inhibitor,-0.21411,-0.564,0.938,765,0.99
norm_cs,RNA polymerase inhibitor,-0.38987,-1.02,0.437,2491,0.974
norm_cs,Matrix metalloprotease inhibitor,0.56442,1.44,0.114,956,0.758
norm_cs,Syk inhibitor,0.2892,0.736,0.752,1416,0.93
norm_cs,Calcium channel activator,-0.38838,-1,0.411,1390,0.996
norm_cs,Bromodomain inhibitor,-0.32326,-0.852,0.646,3242,0.953
norm_cs,ACE inhibitor,-0.36119,-0.961,0.472,3327,0.985
norm_cs,Chloride channel blocker,-0.40445,-1.08,0.346,2987,0.968
norm_cs,CCK receptor antagonist,-0.23179,-0.622,0.902,2686,0.975
norm_cs,Anti-inflammatory,0.44488,1.15,0.293,372,0.827
norm_cs,PPAR receptor agonist,0.36854,0.934,0.515,1033,1
norm_cs,PLK inhibitor,-0.2662,-0.711,0.805,2761,1
norm_cs,Sterol demethylase inhibitor,0.29571,0.757,0.755,1177,1
norm_cs,PKC inhibitor,-0.2654,-0.692,0.794,2576,1
norm_cs,Potassium channel activator,0.30059,0.756,0.734,397,1
norm_cs,IKK inhibitor,0.29095,0.742,0.784,1135,0.985
norm_cs,IGF-1 inhibitor,0.36082,0.925,0.524,1059,1
norm_cs,Progesterone receptor agonist,0.26275,0.656,0.89,1411,0.945
norm_cs,Sigma receptor agonist,-0.3509,-0.914,0.552,3008,0.917
norm_cs,Protein kinase inhibitor,-0.41431,-1.1,0.304,2564,0.949
norm_cs,Tyrosine phosphatase inhibitor,-0.32554,-0.842,0.616,3313,0.955
norm_cs,Protein synthesis inhibitor,0.5105,1.3,0.18,322,0.744
norm_cs,TNF inhibitor,0.48527,1.22,0.263,934,0.794
norm_cs,Apoptosis stimulant,0.27735,0.694,0.812,665,0.955
norm_cs,Acetylcholinesterase inhibitor,-0.33946,-0.907,0.527,2970,0.913
norm_cs,Rho associated kinase inhibitor,0.41439,1.07,0.334,520,0.916
norm_cs,Thromboxane receptor antagonist,0.34989,0.884,0.552,465,1
norm_cs,Selective serotonin reuptake inhibitor (SSRI),-0.36246,-0.951,0.473,3512,0.939
norm_cs,Beta amyloid inhibitor,0.24853,0.635,0.885,1127,0.96
norm_cs,STAT inhibitor,0.35609,0.923,0.523,584,1
norm_cs,Bacterial DNA inhibitor,-0.34527,-0.906,0.511,3235,0.897
norm_cs,MAP kinase inhibitor,0.67303,1.69,0.0358,561,0.386
norm_cs,FLT3 inhibitor,0.30158,0.762,0.745,682,1
norm_cs,Casein kinase inhibitor,-0.2428,-0.646,0.846,868,1
norm_cs,Imidazoline receptor agonist,0.53615,1.38,0.137,556,0.75
norm_cs,Na/K-ATPase inhibitor,0.71777,1.81,0.00993,478,0.283
norm_cs,Vitamin D receptor agonist,0.4462,1.15,0.281,888,0.827
norm_cs,Cholinesterase inhibitor,-0.43078,-1.16,0.262,3111,0.972
norm_cs,Proteasome inhibitor,0.82601,2.09,0.00179,370,0.103
norm_cs,Antioxidant,0.36629,0.939,0.499,165,1
norm_cs,Insulin sensitizer,-0.35179,-0.931,0.487,2679,0.92
norm_cs,Adenosine receptor antagonist,0.19387,0.486,0.979,356,0.993
norm_cs,Bacterial DNA Gyrase inhibitor,0.4797,1.25,0.227,115,0.806
norm_cs,HCV inhibitor,0.32676,0.838,0.621,903,1
norm_cs,Chelating agent,0.32009,0.811,0.653,140,1
norm_cs,Ribonucleoside reductase inhibitor,-0.57151,-1.49,0.0872,2862,0.74
norm_cs,Estrogen receptor antagonist,-0.4903,-1.32,0.177,3274,0.859
norm_cs,Monoamine oxidase inhibitor,-0.35714,-0.95,0.503,2871,0.92
norm_cs,P38 MAPK inhibitor,-0.46695,-1.22,0.247,2586,0.985
norm_cs,Immunosuppressant,0.6408,1.65,0.0532,623,0.434
norm_cs,Smoothened receptor antagonist,-0.29003,-0.75,0.772,1038,1
norm_cs,DNA alkylating agent,-0.46721,-1.26,0.204,2863,0.975
norm_cs,Bacterial antifolate,0.52445,1.31,0.176,409,0.75
norm_cs,Tricyclic antidepressant,0.33002,0.854,0.635,1149,1
norm_cs,Platelet aggregation inhibitor,0.38633,0.979,0.484,640,1
norm_cs,Proton pump inhibitor,-0.31149,-0.801,0.647,2927,0.982
norm_cs,Bcr-Abl inhibitor,0.41825,1.07,0.35,1058,0.916
norm_cs,VEGFR inhibitor,0.25826,0.662,0.861,860,0.972
norm_cs,Leukotriene receptor antagonist,-0.61304,-1.64,0.0476,2461,0.881
norm_cs,Insulin secretagogue,-0.38693,-1.02,0.398,3117,0.974
norm_cs,CDC inhibitor,-0.24307,-0.649,0.863,2463,1
norm_cs,Vesicular monoamine transporter inhibitor,-0.43205,-1.15,0.292,3381,0.961
norm_cs,FAAH inhibitor,-0.60557,-1.55,0.103,3391,0.725
norm_cs,MET inhibitor,-0.22688,-0.597,0.91,812,0.976
norm_cs,Anthelmintic,-0.7351,-1.92,0.00703,3069,0.286
norm_cs,Dihydrofolate reductase inhibitor,-0.383,-1.02,0.415,2900,0.974
norm_cs,Reverse transcriptase inhibitor,-0.35764,-0.954,0.492,1280,0.954
