pert_iname,norm_cs,moa
amisulpride,0.52765,Dopamine receptor antagonist
amitifadine,0.180528571,Serotonin receptor antagonist
amitriptyline,0.0290125,Norepinephrine inhibitor|Norepinephrine reuptake inhibitor|Serotonin receptor antagonist|Serotonin reuptake inhibitor
amlexanox,0.15327,Histamine receptor antagonist
amlodipine,0.115271429,Calcium channel blocker
ammonium-perfluorocaprylate,0,PIM inhibitor
AMN-082,0.20272,Glutamate receptor antagonist
amodiaquine,0.054725,Histamine receptor agonist
amonafide,0.135718182,Topoisomerase inhibitor
amoxapine,-0.36075,Norepinephrine inhibitor
amoxicillin,-0.207025,Penicillin binding protein inhibitor
ampalex,0.235425,Glutamate receptor agonist
amperozide,-0.2318,Dopamine receptor antagonist
ampicillin,-0.2596,Bacterial cell wall synthesis inhibitor
ampiroxicam,-0.083675,Cyclooxygenase inhibitor
amprenavir,0,HIV inhibitor
ampyrone,-0.8612,Cyclooxygenase inhibitor
amrinone,0.1379,Phosphodiesterase inhibitor
amsacrine,0.116222222,Topoisomerase inhibitor
amthamine,0.06708,Histamine receptor agonist
amtolmetin-guacil,0.009311111,Cyclooxygenase inhibitor
amuvatinib,0.132186667,FLT3 inhibitor|KIT inhibitor|PDGFR inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor
amygdalin,0.46485,Caspase activator
amyleine,-0.474342857,Anesthetic - local
AMZ-30,0.305971429,Protein phosphatase inhibitor
anacardic-acid,0.050535714,Glyceraldehyde 3-phosphate dehydrogenase inhibitor
anacetrapib,0.0065,Cholesterol inhibitor
anagrelide,0.026322222,Phosphodiesterase inhibitor
anamorelin,-0.2759,Growth hormone secretagogue receptor agonist
anandamide,-0.262085714,Cannabinoid receptor agonist
anastrozole,-0.146028571,Aromatase inhibitor
andarine,-0.585566667,Androgen receptor antagonist
androstanol,0,CAR antagonist
androstenedione,0.0106,Cytochrome P450 inhibitor
androstenol,-0.421757143,GABA receptor antagonist
anecortave-acetate,0.385481818,Corticosteroid agonist|Angiogenesis inhibitor
anethole,-0.9823,Glutathione transferase stimulant
angiogenesis-inhibitor,0.0376625,Angiogenesis inhibitor
anidulafungin,0.5933375,"Fungal 1,3-beta-D-glucan synthase inhibitor"
aniracetam,0.062088889,Glutamate receptor agonist
anisodamine,-0.220525,Lipid peroxidase inhibitor
anisomycin,0.174157143,DNA inhibitor
anpirtoline,-0.3752,Serotonin receptor agonist
antazoline,0.9706,Antihistamine
anthothecol,-1.1348,Antimalarial
antimycin-a,0.5181,ATP synthase inhibitor
AP-26113,0.23855,ALK inhibitor
apafant,-0.068591667,Platelet activating factor receptor antagonist
APD-668,0.5396,Glucose dependent insulinotropic receptor agonist
aphidicolin,-0.1602,RNA synthesis inhibitor
API-001,0.3261,Sigma receptor antagonist
apicidin,0.8541375,HDAC inhibitor
apigenin,0.136933333,Casein kinase inhibitor|Cell proliferation inhibitor|Cytochrome P450 inhibitor
apixaban,0.176416667,Coagulation factor inhibitor
APO-866,0.024366667,NAMPT inhibitor
apocynin,-0.233033333,NADPH inhibitor
apomorphine,0.5309,Dopamine receptor agonist
apremilast,-0.294814286,Phosphodiesterase inhibitor
aprepitant,-0.1339,Tachykinin antagonist
AQ-RA741,-0.024177778,Acetylcholine receptor antagonist
AR-A014418,-0.04791,GSK inhibitor
AR-C133057XX,-0.119933333,Nitric oxide synthase inhibitor
arachidonamide,-0.4321625,Cannabinoid receptor agonist
arbidol,-0.16342,Cytochrome P450 inhibitor
arbutin,0.08675,Melanin inhibitor
ARC-239,0.197471429,Adrenergic receptor antagonist
arctigenin,0.234555556,MEK inhibitor
arcyriaflavin-a,-0.4057,CDK inhibitor
argatroban,0.002422222,Thrombin inhibitor
arglabin,-0.055528571,Farnesyltransferase inhibitor
aripiprazole,0.365728571,Serotonin receptor agonist|Serotonin receptor antagonist
aristolochic-acid,-0.280755556,Phospholipase inhibitor
armodafinil,0.358133333,Adrenergic receptor agonist
ARN-509,-0.343866667,Androgen receptor antagonist
arofylline,0.223475,Phosphodiesterase inhibitor
ARRY-334543,0.1967625,EGFR inhibitor
artemether,0.21184,Antimalarial
artemisinin,0.9325,DNA inhibitor
artesunate,0,DNA synthesis inhibitor
articaine,0.149371429,Anesthetic - local
arvanil,-0.135866667,TRPV agonist
AS-1949490,-1.0099,SHIP2 phosphatase inhibitor
AS-601245,0.376683333,JNK inhibitor
AS-604850,-0.568142857,PI3K inhibitor
AS-605240,-0.013165385,PI3K inhibitor
AS-703026,-0.107777778,MEK inhibitor
ASA-404,0.06795,Angiogenesis inhibitor
ASC-J9,0.546525,Androgen receptor agonist
asenapine,0,Dopamine receptor antagonist|Serotonin receptor antagonist
asiatic-acid,0,Apoptosis stimulant
asiaticoside,-0.256925,Carcinogen
ASP-3026,0,ALK inhibitor
aspirin,0.12343,Cyclooxygenase inhibitor
AST-1306,0.371971429,EGFR inhibitor
astemizole,0.4241,Histamine receptor antagonist
asymmetrical-dimethylarginine,-0.117966667,Nitric oxide synthase inhibitor
AT-13387,-0.137071429,HSP inhibitor
AT-406,-0.677071429,IAP antagonist
AT-7519,0.019326667,CDK inhibitor|Cell cycle inhibitor
AT-7867,-0.302246667,AKT inhibitor
AT-9283,-0.312122222,Aurora kinase inhibitor|Abl inhibitor|Bcr-Abl inhibitor|FLT3 inhibitor|JAK inhibitor|Protein kinase inhibitor|Tubulin inhibitor
ataluren,0.166283333,CFTR channel agonist|Dystrophin stimulant
atazanavir,-0.4316,HIV inhibitor
atipamezole,-0.175471429,Adrenergic receptor antagonist
ATN-161,0.0652625,Integrin inhibitor
atomoxetine,0.003466667,Norepinephrine inhibitor
atorvastatin,0.04634375,HMGCR inhibitor
atovaquone,0.080033333,Mitochondrial inhibitor
ATPA,0.25765,Glutamate receptor agonist
atracurium,-0.207377778,Acetylcholine receptor antagonist
atrasentan,-0.061728571,Endothelin receptor antagonist
auranofin,0.157366667,NFKB inhibitor
auraptene,0.001355556,Nitric oxide production inhibitor
austricine,-0.243366667,Hypolipidemic
AV-412,0.19034,Receptor tyrosine protein kinase inhibitor
AV-608,0.123566667,Tachykinin antagonist
AVA,0.5590625,Nucleophosmin inhibitor
avagacestat,0.067309091,Gamma secretase inhibitor
avanafil,0.0239,Phosphodiesterase inhibitor
avasimibe,-0.000718182,ACAT inhibitor
avicin-d,1.0526,NFKB inhibitor
avicin-g,0,NFKB inhibitor
AVL-292,0.254309091,BTK inhibitor
AVN-944,0,Inosine monophosphate dehydrogenase inhibitor
axitinib,0.0776125,VEGFR inhibitor|PDGFR inhibitor
AZ-10417808,-0.211611111,Caspase inhibitor
AZ-20,0.001558333,ATR kinase inhibitor
AZ-628,0.0303,RAF inhibitor
AZ-960,0,JAK inhibitor
azacitidine,0.242769231,DNA inhibitor
azacyclonol,0.049971429,Histamine receptor antagonist
azaperone,0,Dopamine receptor antagonist
azasetron,-0.004114286,Serotonin receptor antagonist
azathioprine,0.1506375,Dehydrogenase inhibitor
azauridine,-0.6652625,Antiviral
AZD-1208,-0.256725,PIM inhibitor
AZD-1283,0.4506,Purinergic receptor antagonist
AZD-1480,0.187608333,JAK inhibitor
AZD-1981,0.13566,CRTH receptor antagonist
AZD-2014,-0.1506,MTOR inhibitor
AZD-2461,0.561766667,PARP inhibitor
AZD-3463,0,ALK inhibitor|IGF-1 inhibitor
AZD-3514,0.117425,Drugs Acting on Androgen Receptor
AZD-4547,0.107466667,FGFR inhibitor
AZD-5363,0.03565,AKT inhibitor
AZD-5438,-0.380910526,CDK inhibitor
AZD-6482,0.405542857,PI3K inhibitor
AZD-7545,0.435066667,PDK inhibitor
AZD-7687,0.260728571,Diacylglycerol O acyltransferase inhibitor
AZD-7762,0.18993,CHK inhibitor
AZD-8055,0.257855,MTOR inhibitor
AZD-8330,0.26186,MEK inhibitor
AZD-8931,-0.5938,EGFR inhibitor
AZD-9291,0.341216667,EGFR inhibitor
AZD-9668,0.292285714,Elastase inhibitor
azelaic-acid,0.221375,Tyrosinase inhibitor
azelastine,-0.16954,Histamine receptor antagonist
azilsartan,-1.04395,Angiotensin receptor antagonist
azilsartan-medoxomil,0,ACE inhibitor|Angiotensin receptor antagonist|Insulin sensitizer
azithromycin,0.04915625,Bacterial 50S ribosomal subunit inhibitor
baccatin-III,0.2931,Paclitaxel precursor
baclofen,0.414533333,GABA receptor agonist
BADGE,0.221183333,PPAR receptor antagonist
baeomycesic-acid,-0.34266,Lipoxygenase inhibitor
BAFILOMYCIN-A1,0.296816667,ATPase inhibitor
baicalin,-0.1784,Beta glucuronidase inhibitor
balaglitazone,0.222428571,Insulin sensitizer|PPAR receptor agonist
balapiravir,-0.01184,RNA polymerase inhibitor
balicatib,0.226425,Cathepsin inhibitor
balsalazide,0.2578875,Cyclooxygenase inhibitor
BAM-7,-0.3881,BAX activator
bambuterol,-0.231725,Adrenergic receptor agonist
BAPTA-AM,0.1023625,Potassium channel antagonist
barasertib,-0.22715,Aurora kinase inhibitor
barasertib-HQPA,0.095457895,Aurora kinase inhibitor
baricitinib,0.125788235,JAK inhibitor
BAS-09104376,-0.7523,HIV inhibitor
basimglurant,0.636081818,Glutamate receptor antagonist
batimastat,-0.189411765,Matrix metalloprotease inhibitor
bavisant,0.06003,Histamine receptor antagonist
BAY-11-7082,-0.041091667,NFKB inhibitor
BAY-36-7620,0.278371429,Glutamate receptor antagonist
BAY-59-3074,0.185011111,Cannabinoid receptor antagonist
BAY-61-3606,0.183515385,Syk inhibitor
BAY-87-2243,0.119275,HIF Inhibitor
BAY-K8644,-0.11135,Calcium channel activator
BAZ2-ICR,-0.52245,Bromodomain inhibitor
bazedoxifene,-0.20686,Selective estrogen receptor modulator (SERM)
BCI-540,0.1927,Glutamate receptor agonist
BCI-hydrochloride,-0.120511111,Protein phosphatase inhibitor
BCL2-inhibitor,0.152433333,BCL inhibitor
BD-1008,-0.000542857,Sigma receptor antagonist
BD-1047,-0.4636125,Adrenergic receptor antagonist
BD-1063,-0.6113,Sigma receptor antagonist
BE-2254,0.613714286,Adrenergic receptor antagonist
beclometasone,0.4465,Glucocorticoid receptor agonist
beclomethasone-dipropionate,0.350157143,Immunosuppressant|Glucocorticoid receptor agonist
belinostat,0.398484615,HDAC inhibitor
bemegride,-0.06114,Chemoreceptor agonist
bemesetron,-0.274144444,Serotonin receptor antagonist
benactyzine,-0.403133333,Butyrylcholinesterase inhibitor
benazepril,0.38998,ACE inhibitor
bendamustine,-0.1249,DNA inhibitor
bendroflumethiazide,-0.433772727,Sodium channel inhibitor
benfluorex,-0.11925,Gluconeogenesis inhibitor
benperidol,0.051175,Dopamine receptor antagonist
benproperine,-0.37848,Antitussive
benzamil,0.508666667,Sodium channel inhibitor
benzanthrone,-0.0523,Aromatic hydrocarbon derivative
benzbromarone,-0.50765,Chloride channel blocker
benzethonium,0,Sodium channel inhibitor
benzocaine,0.953,Sodium channel inhibitor
benzofuran,-0.03122,Carcinogen
benzohydroxamic-acid,-0.24658,Antifungal
benzonatate,0.20684,Anesthetic - local
benzopurpurin-4b,-0.208371429,Binds HIV gp120 and inhibits HIV-1 entry into the neural cell line SK-N-MC
benzotript,-0.242066667,CCK receptor antagonist
benzoxiquine,-0.20474,Anti-inflammatory
benzthiazide,-0.104266667,Carbonic anhydrase inhibitor
benzydamine,-0.7584,Prostanoid receptor antagonist
benzyl-alcohol,0.2372,Anesthetic - local
benzylpenicillin,-0.269242857,Penicillin binding protein inhibitor
bepotastine,-0.119144444,Histamine receptor antagonist
bepridil,0.378725,Calcium channel blocker
berbamine,0.298657143,Calmodulin inhibitor
berberine,-0.20766,LDL receptor activator
beta-alanine,0.8438,Glycine receptor agonist
beta-CCP,0.16649,"Indoleamine 2,3-dioxygenase inhibitor"
beta-funaltrexamine,-0.529,Opioid receptor antagonist
betaescin,0,Interleukin inhibitor
betahistine,-0.138942857,Histamine receptor agonist|Histamine receptor antagonist
betamethasone,0.423446667,Glucocorticoid receptor agonist
betamethasone-acetate,0.9825,Glucocorticoid receptor agonist
betamethasone-valerate,0,Glucocorticoid receptor agonist
betaxolol,-0.216511111,Adrenergic receptor antagonist
betazole,-0.01655,Histamine receptor agonist
bethanechol,0.400328571,Acetylcholine receptor agonist
betrixaban,-0.2492,Coagulation factor inhibitor
betulinic-acid,0.012245455,Apoptosis stimulant|Caspase activator|Diacylglycerol O acyltransferase inhibitor|HIV inhibitor|NFKB activator|SARS coronavirus 3C-like protease inhibitor|Topoisomerase inhibitor
bevirimat-dimeglumine,0.15955,HIV inhibitor
bexarotene,0.29848,Retinoid receptor agonist
bezafibrate,0.21711,PPAR receptor agonist
BGT-226,-0.059315385,PI3K inhibitor
BH3I-1,0.118675,BCL inhibitor
BI-2536,0.27673,PLK inhibitor
BI-78D3,-0.244233333,JNK inhibitor
BI-D1870,0.02046,Ribosomal protein inhibitor
BIBR-1532,0.076557143,Telomerase inhibitor
BIBU-1361,0.378485714,EGFR inhibitor
BIBX-1382,-0.26641,EGFR inhibitor|Tyrosine kinase inhibitor
bicalutamide,-0.011111111,Androgen receptor antagonist
bicuculline,-0.158066667,GABA receptor antagonist
bietaserpine,0,Vesicular monoamine transporter inhibitor
bifemelane,0.560814286,Acetylcholine receptor agonist
bifonazole,-0.12218,Sterol demethylase inhibitor
BIIB-021,0.185554545,HSP inhibitor
bilobalide,0,GABA receptor modulator
bimatoprost,0.402275,Prostanoid receptor agonist
bindarit,0.791366667,NFKB inhibitor
biochanin-a,-0.127088889,Estrogen receptor agonist
biotin,-0.52515,Vitamin B
biperiden,-0.034025,Acetylcholine receptor antagonist
birinapant,-0.30739,XIAP inhibitor
bis-tyrphostin,0.43995,EGFR inhibitor
bisacodyl,0.012514286,Laxative
bisbenzimide,-0.016785714,DNA binding agent
bisindolylmaleimide-ix,-0.431216667,PKC inhibitor
bisoprolol,-0.433766667,Adrenergic receptor antagonist
bisphenol-a,-0.129925,Synthetic estrogen
bithionol,0.1304,Autotaxin inhibitor
bitopertin,-0.09145,Glycine transporter inhibitor
BIX-01294,0.148492857,DNA inhibitor|Histone lysine methyltransferase inhibitor
BIX-01338,0.2353625,Histone lysine methyltransferase inhibitor
BIX-02188,0.486271429,MEK inhibitor
BIX-02189,0.57285625,MEK inhibitor
blebbistatin,-0.312542857,ATPase inhibitor
blonanserin,0.495975,Dopamine receptor antagonist|Serotonin receptor antagonist
BML-190,0.0250125,Cannabinoid receptor antagonist
BML-210,-0.7738,HDAC inhibitor
BML-257,-0.118875,AKT inhibitor|HCV inhibitor
BML-259,-0.547408333,CDK inhibitor
BML-266,0.9111,SIRT inhibitor
BML-284,0,WNT agonist
BML-286,0.6685,WNT inhibitor
BMS-182874,0.101871429,Endothelin receptor antagonist
BMS-191011,0.101615385,Potassium channel activator
BMS-265246,-0.494875,CDK inhibitor
BMS-299897,0.0791,Gamma secretase inhibitor
BMS-345541,0.184715789,IKK inhibitor
BMS-387032,0.12905,CDK inhibitor|Cell cycle inhibitor|MCL1 inhibitor
BMS-509744,0.14098,ITK inhibitor
BMS-536924,0.208123077,IGF-1 inhibitor
BMS-599626,0.239175,EGFR inhibitor|Receptor tyrosine protein kinase inhibitor
BMS-641988,0.275533333,Androgen receptor antagonist
BMS-707035,0.1822,HIV inhibitor
BMS-754807,0.219466667,IGF-1 inhibitor
BMS-777607,-0.093444444,AXL kinase inhibitor|FLT3 inhibitor|HGF receptor inhibitor|Macrophage inhibitor|MET inhibitor|Tyrosine kinase inhibitor
BMS-833923,0,Smoothened receptor antagonist
BMS-906024,-0.1804,Gamma secretase inhibitor
BMS-927711,0.3130625,Calcitonin antagonist
BMY-14802,-0.09148,Sigma receptor antagonist
BMY-45778,0.3246,IP1 prostacyclin receptor agonist
BMY-7378,0.10412,Adrenergic receptor antagonist|Serotonin receptor antagonist
BNTX,-0.20534,Opioid receptor antagonist
boldine,-0.097033333,Acetylcholine receptor antagonist|Dopamine receptor antagonist
bongkrek-acid,-0.56424,Mitochondrial inhibitor
bopindolol,0.539333333,Adrenergic receptor antagonist
bortezomib,0.580292857,NFKB inhibitor|Proteasome inhibitor
bosentan,-0.66839,Endothelin receptor antagonist
bosutinib,0.286944,Src inhibitor|Abl inhibitor|Bcr-Abl inhibitor
BP-554,-0.19586,Serotonin receptor agonist
BP-897,0.1910125,Dopamine receptor agonist
brazilin,0.7935375,Nitric oxide production inhibitor
BRD-A01295252,0.008183333,Dopamine receptor antagonist
BRD-A01317026,-0.623114286,Dihydroneopterin aldolase inhibitor
BRD-A01593789,-0.131533333,5-alpha reductase inhibitor
BRD-A02367930,-0.068528571,Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives
BRD-A04553218,0.401325,Histamine receptor antagonist
BRD-A07765530,0.598833333,Carbonic anhydrase activator
BRD-A13133631,1.0397625,Glucocorticoid receptor agonist
BRD-A15914070,0.6713,Carcinogen
BRD-A18763547,0.091023077,Cytochrome P450 inhibitor
BRD-A20131130,-0.451228571,Adenylyl cyclase inhibitor
BRD-A20239487,0.24614,Adrenergic receptor antagonist
BRD-A27924917,-0.3006,GABA receptor antagonist
BRD-A29731977,0.060614286,Progesterone receptor agonist
BRD-A36707673,-0.3728,LXR agonist
BRD-A38706605,0.6377,Androgen receptor antagonist
BRD-A39415247,0.142041667,Progesterone receptor agonist
BRD-A39747742,0.511014286,Estrogen receptor agonist
BRD-A42831637,0.5627125,Anti-inflammatory|Cannabinoid metabolite
BRD-A47144777,0.1556,HSP inhibitor
BRD-A47364545,-0.309057143,Sigma receptor agonist
BRD-A48015106,0,Serotonin receptor agonist
BRD-A49447682,0.913116667,Glucocorticoid receptor agonist
BRD-A49544621,1.1209,Urotensin receptor agonist
BRD-A49680073,0.5385375,JAK inhibitor|Lipocortin synthesis stimulant|STAT inhibitor
BRD-A49765801,1.033566667,Glucocorticoid receptor agonist
BRD-A49906757,0.0162,Acetylcholine receptor antagonist
BRD-A53131506,0.5699,Inactive testosterone analog
BRD-A57798559,0.144566667,GABA receptor antagonist
BRD-A63236097,-0.083244444,Tumor necrosis factor production inhibitor
BRD-A66025870,0.5581,Bacterial cell wall synthesis inhibitor
BRD-A66861218,0.391175,Anti-inflammatory agent
BRD-A68039575,-0.037483333,Aromatase inhibitor
BRD-A70731303,0.054933333,Nucleophosmin inhibitor
BRD-A71657825,0.380657143,Matrix metalloprotease inhibitor
BRD-A77577770,0.024883333,Protein kinase inhibitor
BRD-A79314293,0.269233333,Bacterial cell wall synthesis inhibitor
