"","pert_iname","query","moa"
"54","emetine",0.6752,"Protein synthesis inhibitor"
"55","zaldaride",-0.9508,"Calmodulin antagonist"
"56","lestaurtinib",1.1757,"FLT3 inhibitor|Growth factor receptor inhibitor|JAK inhibitor"
"57","alexidine",0.5878,"Phosphatidylglycerophosphatase inhibitor"
"58","prednisolone",0.7437,"Glucocorticoid receptor agonist"
"59","MTPG",0.8717,"Glutamate receptor antagonist"
"60","PKI-179",-0.7924,"MTOR inhibitor|PI3K inhibitor"
"61","paclitaxel",1.0275,"Tubulin inhibitor"
"62","puromycin",1.0191,"Protein synthesis inhibitor"
"63","bicalutamide",0.9637,"Androgen receptor antagonist"
"64","florfenicol",0.5111,"Protein synthesis inhibitor"
"65","mozavaptan",1.0065,"Vasopressin receptor antagonist"
"66","methocarbamol",-2.0409,"Muscle relaxant"
"67","etoposide",1.0317,"Topoisomerase inhibitor"
"68","lacitol",0.975,"Osmosis stimulant"
"69","teniposide",0.9134,"Topoisomerase inhibitor"
"70","bruceantin",0.9017,"Protein synthesis inhibitor"
"71","buphenine",0.9562,"Adrenergic receptor agonist"
"72","oprozomib",0.7602,"Proteasome inhibitor"
"73","ketoconazole",0.6269,"Sterol demethylase inhibitor"
"74","rabeprazole",-1.1285,"ATPase inhibitor|Gastrin inhibitor"
"75","norethisterone",0.8392,"Progesterone receptor agonist"
"76","efonidipine-monoethanolate",-1.3494,"L-type calcium channel blocker|T-type calcium channel blocker"
"77","teroxirone",0.9352,"DNA inhibitor"
"78","cefpiramide",0.9507,"Bacterial cell wall synthesis inhibitor"
"79","practolol",-1.0853,"Adrenergic receptor antagonist"
"80","teriflunomide",1.2228,"Dihydroorotate dehydrogenase inhibitor"
"81","melengestrol-acetate",0.9865,"Progesterone receptor agonist"
"82","linalool",0.8597,"Anticonvulsant"
"83","oxprenolol",0.7269,"Adrenergic receptor antagonist"
"84","indoprofen",1.4301,"Cyclooxygenase inhibitor|Prostanoid receptor antagonist"
"85","FLI-06",0.5518,"Notch signaling inhibitor"
"86","WYE-125132",-0.778,"MTOR inhibitor"
"87","iododexetimide",1.0191,"Acetylcholine receptor antagonist"
"88","mitomycin-c",-0.8836,"DNA alkylating drug|DNA inhibitor|DNA alkylating agent|DNA synthesis inhibitor"
"89","ajmaline",0.493,"Sodium channel blocker"
"90","metacycline",1.2288,"Bacterial 50S ribosomal subunit inhibitor"
"91","ciprofibrate",1.0427,"PPAR receptor agonist"
"92","fludroxycortide",0.9646,"Glucocorticoid receptor agonist"
"93","oxazepam",0.6165,"GABA benzodiazepine site receptor agonist"
"94","terbutaline",-0.802,"Adrenergic receptor agonist"
"95","meclizine",-0.7127,"Constitutive androstane receptor (CAR) agonist"
"96","hypoestoxide",1.0663,"IKK inhibitor"
"97","thiostrepton",0.7046,"FOXM1 inhibitor|Protein synthesis inhibitor"
"98","halofantrine",1.0988,"Antimalarial agent"
"99","Ro-106-9920",1.2959,"NFkB pathway inhibitor"
"100","golgicide-a",0.894,"ARF inhibitor"
"101","butylscopolamine-bromide",0.8897,"Cholinergic receptor antagonist"
"102","lanoconazole",1.0485,"Sterol demethylase inhibitor"
"103","KF-38789",0.4419,"P selectin inhibitor"
"104","methotrexate",0.9346,"Dihydrofolate reductase inhibitor"
"105","BNTX",1.0675,"Opioid receptor antagonist"
"106","primaquine",1.0379,"Antimalarial agent|DNA inhibitor"
"107","omeprazole",1.3924,"ATPase inhibitor"
"108","PD-318088",-1.3398,"MEK inhibitor"
"109","oxyphencyclimine",1.1911,"Cholinergic receptor antagonist"
"110","selamectin",-1.2246,"Nematocide"
"111","amisulpride",1.0275,"Dopamine receptor antagonist"
"112","8-hydroxy-PIPAT",0.8723,"Dopamine receptor ligand"
"113","sodium-stibogluconate",-0.6927,"Tyrosine phosphatase inhibitor"
"114","Ro-04-5595",1.1189,"Glutamate receptor antagonist"
"115","sangivamycin",0.7664,"DNA inhibitor"
"116","mexiletine",1.4763,"Sodium channel blocker"
"117","lanatoside-c",0.8453,"Cardiac glycoside"
"118","DPI-201106",0.7154,"Sodium channel activator"
"119","EMD-53998",0.8521,"Phosphodiesterase inhibitor"
"120","ixazomib-citrate",1.1282,"Proteasome inhibitor"
"121","ifosfamide",1.0184,"DNA alkylating agent"
"122","lafutidine",0.958,"Histamine receptor antagonist"
"123","K-858",0.7381,"Kinesin-like spindle protein inhibitor"
"124","daunorubicin",0.9017,"RNA synthesis inhibitor|Topoisomerase inhibitor"
"125","pranidipine",0.8514,"Calcium channel blocker"
"126","BTS-54505",0.6516,"Dopamine reuptake inhibitor|Adrenergic transmitter uptake inhibitor|Norepinephrine reputake inhibitor|Serotonin reuptake inhibitor"
"127","nanchangmycin",0.6556,"Other antibiotic"
"128","evodiamine",0.9431,"ATPase inhibitor|TRPV agonist"
"129","ouabain",0.8719,"ATPase inhibitor"
"130","echinomycin",-0.8548,"DNA intercalating agent"
"131","minocycline",-1.0181,"Bacterial 30S ribosomal subunit inhibitor"
"132","cyclosporin-a",1.2162,"Calcineurin inhibitor"
"133","secnidazole",0.9101,"Acetylcholinesterase inhibitor|Microtubule inhibitor"
"134","sulconazole",0.6459,"Sterol demethylase inhibitor"
"135","estramustine",1.7279,"DNA alkylating drug"
"136","fendiline",-1.3302,"Calcium channel blocker"
"137","SKF-96365",0.6501,"Calcium channel blocker"
"138","lasalocid",1.2624,"Bacterial permeability inducer"
"139","peruvoside",1.0005,"Cardiac glycoside"
"140","adaprev",0.5784,"TGF beta receptor inhibitor"
"141","tagatose",-0.6819,"Phosphorylase inhibitor"
"142","exemestane",0.9269,"Aromatase inhibitor"
"143","CGP-54626",1.233,"GABA receptor antagonist"
"144","ibutilide",1.1085,"Potassium channel blocker"
"145","pralatrexate",1.0947,"Dihydrofolate reductase inhibitor"
"146","clenbuterol",0.7488,"Adrenergic receptor agonist"
"147","lomefloxacin",0.8235,"Bacterial DNA gyrase inhibitor"
"148","gambogic-acid",-1.3206,"Caspase activator|HSP inhibitor|MYC expression inhibitor|Telomerase reverse transcriptase expression inhibitor|Topoisomerase inhibitor"
"149","enocitabine",-1.0901,"DNA synthesis inhibitor"
"150","hyoscyamine",0.5726,"Acetylcholine receptor antagonist"
"151","prednisolone-hemisuccinate",0.9856,"Glucocorticoid receptor agonist"
"152","tropisetron",-0.9412,"Serotonin receptor antagonist"
"153","midodrine",1.4763,"Adrenergic receptor agonist"
"154","NSC-23766",-1.9161,"Ras GTPase inhibitor"
"155","fenoprofen",0.994,"Prostagladin inhibitor"
"156","BI-D1870",-0.9172,"Ribosomal protein inhibitor"
"157","saxagliptin",0.7713,"Dipeptidyl peptidase inhibitor"
"158","mephenytoin",1.3903,"Hydantoin antiepileptic"
"159","meloxicam",0.8962,"Cyclooxygenase inhibitor"
"160","brefeldin-a",0.9085,"Protein synthesis inhibitor|Brefeldin A inhibited guanine nucleotide exchange protein inhibitors|Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor inhibitor"
"161","idoxuridin",1.0061,"DNA synthesis inhibitor"
"162","clopamide",0.8289,"Sodium/chloride cotransporter inhibitor"
"163","tetrahydrouridine",-0.8272,"Cytidine deaminase inhibitor"
"164","CGP-37849",-1.407,"Glutamate receptor antagonist"
"165","eptifibatide",-0.6867,"Platelet aggregation inhibitor"
"166","eprinomectin",0.6333,"GABA receptor agonist"
"167","capecitabine",0.9738,"DNA synthesis inhibitor|Thymidylate synthase inhibitor"
"168","danazol",-0.7876,"Estrogen receptor antagonist|Progesterone receptor agonist"
"169","trimebutine",1.106,"Opioid receptor agonist"
"170","temazepam",-1.6135,"GABA receptor agonist"
"171","digitoxin",1.1058,"ATPase inhibitor"
"172","PETCM",0.791,"Caspase activator"
"173","nicotine",0.6081,"Acetylcholine receptor agonist"
"174","bucladesine",1.3966,"Adenosine receptor agonist|CAMP stimulant"
"175","ginkgolide-a",-0.5715,"GABA receptor antagonist"
"176","digoxin",1.0614,"ATPase inhibitor"
"177","colfosceril-palmitate",-1.772,"Pulmonary surfactant"
"178","tacrolimus",1.1198,"Calcineurin inhibitor"
"179","pindolol",0.9125,"Adrenergic receptor antagonist"
"180","ketoprofen",0.973,"Cyclooxygenase inhibitor"
"181","hydroxytacrine-maleate-(r,s)",1.158,"Cholinesterase inhibitor"
"182","paliperidone",1.2666,"Dopamine receptor antagonist|Serotonin receptor antagonist"
"183","estramustine-phosphate",1.6482,"DNA synthesis inhibitor|Microtubule inhibitor|DNA alkylating drug|DNA inhibitor|Estrogen receptor agonist"
"184","adarotene",0.8765,"Retinoid receptor agonist"
"185","colchicine",0.5281,"Microtubule inhibitor"
"186","PPT",0.7246,"Estrogen receptor agonist"
"187","RITA",1.2682,"MDM inhibitor"
"188","trovafloxacin",1.233,"Bacterial DNA gyrase inhibitor"
"189","AG-14361",0.9826,"PARP inhibitor"
"190","CL-218872",1.1617,"GABA receptor agonist"
"191","famotidine",1.1827,"Histamine receptor antagonist"
"192","nitisinone",-1.7144,"Hydroxyphenylpyruvate dioxygenase inhibitor"
"193","SB-590885",0.8642,"RAF inhibitor"
"194","triapine",0.767,"Ribonucleoside reductase inhibitor"
"195","TAK-901",1.0695,"Aurora kinase inhibitor"
"196","artemisinin",1.0281,"DNA synthesis inhibitor"
"197","UNC-2250",-1.2534,"MER tyrosine kinase inhibitor"
"198","olaparib",1.1408,"PARP inhibitor"
"199","panobinostat",0.8746,"HDAC inhibitor"
"200","CHIR-124",1.2506,"CHK inhibitor"
"201","parbendazole",0.994,"Tubulin inhibitor"
"202","sulfanilamide",0.5654,"Carbonic anhydrase inhibitor"
"203","methiazole",0.6066,"Anthelmintic agent"
"204","kifunensine",1.5224,"Mannosidase inhibitor"
"205","clofoctol",-0.8596,"Protein synthesis inhibitor"
"206","PF-477736",0.8143,"CHK inhibitor"
"207","NSC-663284",-0.7636,"CDC inhibitor"
"208","trifluridine",-0.826,"DNA directed DNA polymerase inhibitor|Thymidylate synthase inhibitor"
"209","1-azakenpaullone",1.1366,"Glycogen synthase kinase inhibitor"
"210","CCT-137690",-0.7155,"Aurora kinase inhibitor"
"211","NU-6027",0.812,"CDK inhibitor"
"212","roquinimex",0.9594,"Angiogenesis inhibitor|TNF production inhibitor"
"213","cobimetinib",-0.922,"MEK inhibitor"
"214","foretinib",1.2917,"VEGFR inhibitor"
"215","XL-388",0.8933,"MTOR inhibitor"
"216","ixabepilone",0.9143,"Microtubule stabilizing agent"
"217","raclopride",1.4092,"Dopamine receptor antagonist"
"218","drospirenone",0.8136,"Mineralocorticoid receptor antagonist"
"219","octenidine",0.6543,"Membrane integrity inhibitor"
"220","YO-01027",-0.9893,"Gamma secretase inhibitor"
"221","BIBR-1532",0.8178,"Telomerase inhibitor"
"222","GSK-1904529A",0.7524,"Insulin growth factor receptor inhibitor|Insulin receptor ligand|IGF-1 inhibitor"
"223","GSK-3-inhibitor-IX",0.671,"Glycogen synthase kinase inhibitor|Lipoxygenase inhibitor"
"224","LY-2334737",0.7748,"Antitumor agent|Ribonucleoside reductase inhibitor"
"225","PD-184352",-0.9941,"MEK inhibitor"
"226","E-7449",1.4259,"PARP inhibitor"
"227","WP-1066",0.7271,"STAT inhibitor"
"228","dronedarone",0.9824,"Adrenergic receptor antagonist"
"229","sevoflurane",1.4176,"Membrane integrity inhibitor"
"230","PSI-7976",-1.3638,"HCV inhibitor"
"231","AZ-628",-0.9172,"RAF inhibitor"
"232","methoxyflurane",1.1701,"Membrane permeability inhibitor"
"233","posaconazole",-1.6087,"Sterol demethylase inhibitor"
"234","LY-364947",1.0401,"P38 MAPK inhibitor|TGF beta receptor inhibitor"
"235","UK-383367",1.1366,"Procollagen C-Endopeptidase Inhibitors"
"236","ryuvidine",-0.7417,"Histone lysine methyltransferase inhibitor"
"237","bisindolylmaleimide-ix",-0.5844,"PKC inhibitor"
"238","LE-135",0.973,"Retinoid receptor agonist"
"239","GSK-1838705A",-1.0277,"Insulin growth factor receptor inhibitor"
"240","nobiletin",1.493,"MEK inhibitor"
"241","fosbretabulin",1.315,"Tubulin inhibitor|VE-cadherin antagonist"
"242","AM-580",-1.0325,"Retinoid receptor agonist"
"243","cabazitaxel",1.0736,"Microtubule inhibitor"
"244","BMS-599626",1.4511,"EGFR inhibitor|Receptor tyrosine protein kinase inhibitor"
"245","frentizole",1.1461,"Immunosuppressant"
"246","dexrazoxane",0.801,"Chelating agent|Topoisomerase inhibitor"
"247","PF-04691502",-0.9412,"MTOR inhibitor|PI3K inhibitor"
"248","BAM7",0.9972,"BAX activator"
"249","WHI-P154",1.0777,"JAK inhibitor"
"250","curcumin",1.0736,"Cyclooxygenase inhibitor|Histone acetyltransferase inhibitor|Lipoxygenase inhibitor|NFkB pathway inhibitor"
"251","sparfloxacin",0.8891,"Bacterial DNA gyrase inhibitor"
"252","VX-702",0.8599,"P38 MAPK inhibitor"
"253","aminopurvalanol-a",1.1939,"Tyrosine kinase inhibitor|CDK inhibitor"
"254","danusertib",0.8598,"Aurora kinase inhibitor|Growth factor receptor inhibitor"
"255","PF-05212384",1.0569,"MTOR inhibitor|PI3K inhibitor"
"256","GSK-2126458",0.8412,"PI3K inhibitor|MTOR inhibitor"
"257","tetrandrine",1.1259,"Calcium channel blocker"
"258","I-BET-762",0.6805,"Bromodomain inhibitor"
"259","LCL-161",1.2246,"XIAP inhibitor"
"260","chlorpyrifos",1.2708,"Acetylcholinesterase inhibitor"
"261","sarafloxacin",-0.898,"Bacterial DNA gyrase inhibitor"
"262","irinotecan",0.7293,"Topoisomerase inhibitor"
"263","ramatroban",1.0359,"Prostanoid receptor antagonist"
"264","thioproperazine",0.9185,"Dopamine receptor antagonist"
"265","tremorine",0.7968,"Acetylcholine receptor agonist"
"266","3-amino-benzamide",0.8769,"PARP inhibitor"
"267","pelitinib",1.5537,"EGFR inhibitor"
"268","DU-728",-0.9172,"Structural glycoprotein antagonist"
"269","CCG-50014",0.6878,"G protein signaling inhibitor"
"270","zolantidine",0.6979,"Histamine receptor antagonist"
"271","deforolimus",0.8472,"MTOR inhibitor"
"272","CP-945598",1.4259,"Cannabinoid receptor antagonist"
"273","D-4476",-0.7539,"TGF beta receptor inhibitor"
"274","merimepodib",0.8107,"Inosine monophosphate dehydrogenase inhibitor"
"275","SR-57227A",1.1324,"Serotonin receptor agonist"
"276","lovastatin",0.7231,"HMGCR inhibitor"
"277","TAS-103",0.7049,"Topoisomerase inhibitor"
"278","PHA-680632",0.7307,"Aurora kinase inhibitor"
"279","mibefradil",1.248,"T-type calcium channel blocker"
"280","forskolin",-1.6472,"Adenylyl cyclase activator"
"281","VS-4718",0.89,"Focal adhesion kinase inhibitor"
"282","caffeic-acid",1.0488,"HIV integrase inhibitor|Lipoxygenase inhibitor|Nitric oxide production inhibitor|NFkB pathway inhibitor|PPAR receptor modulator|Tumor necrosis factor production inhibitor|TNF production inhibitor"
"283","dabrafenib",1.0224,"RAF inhibitor"
"284","sulfasalazine",1.0128,"Antirheumatic drug|NFkB pathway inhibitor"
"285","GW-405833",0.7968,"Cannabinoid receptor agonist"
"286","temocapril",0.9059,"Angiotensin converting enzyme inhibitor"
"287","phenylbutazone",0.8841,"Cyclooxygenase inhibitor|Prostanoid receptor antagonist"
"288","tiludronate",0.8774,"Bone resorption inhibitor|Osteoclast inhibitor"
"289","latanoprost",-1.0085,"Prostanoid receptor agonist"
"290","CPI-1189",0.8881,"Tumor necrosis factor release inhibitor"
"291","norfloxacin",0.8923,"Bacterial DNA gyrase inhibitor"
"292","tazemetostat",0.671,"Histone lysine methyltransferase inhibitor"
"293","ambazone",1.0778,"DNA damage inducer"
"294","alectinib",0.9436,"ALK tyrosine kinase receptor inhibitor"
"295","aspirin",0.8664,"Cyclooxygenase inhibitor"
"296","teprenone",0.562,"Mucus protecting agent"
"297","carmofur",0.9636,"Thymidylate synthase inhibitor"
"298","JNJ-7706621",-0.6723,"CDK inhibitor"
"299","pyroxamide",0.9325,"HDAC inhibitor"
"300","PJ-34",0.9646,"PARP inhibitor"
"301","ER-27319",-0.5042,"Mediator release inhibitor|SYK inhibitor"
"302","tipiracil",1.0149,"Thymidine phosphorylase inhibitor"
"303","LY-2608204",1.1025,"Glucokinase activator"
"304","NVP-BEZ235",0.7633,"MTOR inhibitor|PI3K inhibitor"
"305","MEK1-2-inhibitor",0.4676,"MEK inhibitor"
"306","trametinib",-0.7251,"MEK inhibitor"
"307","TG-101348",0.7834,"FLT3 inhibitor|JAK inhibitor"
"308","nocodazole",0.7641,"Tubulin inhibitor"
"309","CX-5461",0.6039,"RNA polymerase inhibitor"
"310","mechlorethamine",1.0742,"DNA inhibitor"
"311","PCI-24781",1.1282,"HDAC inhibitor"
"312","dapivirine",1.0778,"Non-nucleoside reverse transcriptase inhibitor"
"313","YM-976",1.1659,"Phosphodiesterase inhibitor"
"314","ciclopirox",0.9887,"Membrane integrity inhibitor"
"315","uridine",0.776,"Dopamine receptor agonist"
"316","acivicin",0.8425,"Gamma glutamyltransferase Inhibitors"
"317","CGP-52411",1.3224,"EGFR inhibitor"
"318","PFI-1",1.0862,"Bromodomain inhibitor"
"319","everolimus",0.6378,"MTOR inhibitor"
"320","AR-42",0.9339,"HDAC inhibitor"
"321","NSC-3852",-1.0901,"HDAC inhibitor"
"322","pentamidine",0.7591,"Anti-pneumocystis agent"
"323","piperazine",-0.7118,"GABA receptor agonist"
"324","ebastine",1.0736,"Histamine receptor antagonist"
"325","thonzonium",0.801,"ATPase inhibitor"
"326","AT-7519",1.1971,"CDK inhibitor|Cell cycle inhibitor"
"327","BMS-345541",-0.6531,"IKK inhibitor"
"328","pepstatin",1.0569,"Aspartic protease inhibitor"
"329","P-5091",0.8697,"Ubiquitin specific protease inhibitor"
"330","midostaurin",1.3714,"FLT3 inhibitor|KIT inhibitor|PKC inhibitor"
"331","dinaciclib",0.8537,"CDK inhibitor"
"332","bitopertin",0.753,"Glycine transporter inhibitor|GlyT-1 inhibitor"
"333","givinostat",0.7274,"HDAC inhibitor"
"334","tenovin-6",0.6668,"SIRT inhibitor"
"335","ritodrine",-1.3206,"Adrenergic receptor agonist"
"336","LY-2603618",1.4176,"CHK inhibitor"
"337","MK-0812",1.1282,"CC chemokine receptor antagonist"
"338","TG-02",0.5578,"CDK inhibitor|FLT3 inhibitor|JAK inhibitor"
"339","IKK-16",0.671,"IKK inhibitor"
"340","berberine",-1.2294,"LDL receptor activator"
"341","GSK-650394",0.7735,"Serum/glucocorticoid regulated kinase inhibitor"
"342","BAY-11-7082",0.9478,"NFkB pathway inhibitor"
"343","tiotidine",1.1869,"Histamine receptor antagonist"
"344","gemcitabine",1.2037,"Ribonucleotide reductase inhibitor"
"345","carfilzomib",1.254,"Proteasome inhibitor"
"346","penfluridol",0.7764,"T-type calcium channel blocker"
"347","SB-228357",0.9371,"Serotonin receptor antagonist"
"348","papaverine",1.3211,"Phosphodiesterase inhibitor"
"349","obatoclax",1.1491,"BCL inhibitor"
"350","clotrimazole",1.0275,"Cytochrome P450 inhibitor|Imidazoline ligand"
"351","abiraterone-acetate",-0.6865,"17,20 lyase inhibitor|Cytochrome P450 inhibitor|Steroid sulfatase inhibitor|Androgen biosynthesis inhibitor"
"352","pyrithione-zinc",1.0718,"ATP synthase inhibitor"
"353","CHIR-99021",1.0583,"Glycogen synthase kinase inhibitor"
"354","oxymetazoline",0.8443,"Adrenergic receptor agonist"
"355","piperacetazine",1.3756,"Dopamine receptor antagonist"
"356","PLX-4720",0.792,"RAF inhibitor"
"357","mocetinostat",0.9413,"HDAC inhibitor"
"358","evacetrapib",0.8255,"Cholesteryl ester transfer protein inhibitor"
"359","GTP-14564",0.6501,"FLT3 inhibitor|Tyrosine kinase inhibitor"
"360","regorafenib",0.7861,"FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor"
"361","pibenzimol",0.8059,"DNA inhibitor"
"362","bendamustine",-0.946,"DNA inhibitor"
"363","chloroxine",0.9352,"Opioid receptor antagonist"
"364","LY-2874455",0.973,"FGFR antagonist"
"365","penicillamine-(D)",0.7339,"Chelating agent"
"366","talmapimod",0.6934,"P38 MAPK inhibitor"
"367","PD-168393",1.6398,"EGFR inhibitor"
"368","JTC-801",-0.7398,"Opioid receptor antagonist"
"369","belinostat",0.843,"HDAC inhibitor"
"370","tranilast",1.1198,"Angiogenesis inhibitor"
"371","indirubin",0.6836,"CDK inhibitor|Glycogen synthase kinase inhibitor"
"372","artesunate",1.0065,"DNA synthesis inhibitor"
"373","eprobemide",0.7724,"Monoamine oxidase inhibitor"
"374","fdcyd",1.1739,"DNA methyltransferase inhibitor"
"375","HA-14-1",0.9436,"BCL inhibitor"
"376","propoxycaine",-1.7432,"Local anesthetic"
"377","TG-100572",0.7256,"Src inhibitor|VEGFR inhibitor"
"378","digitoxigenin",1.0042,"ATPase inhibitor"
"379","nafcillin",-0.9508,"Bacterial cell wall synthesis inhibitor"
"380","digoxigenin",-0.8884,"Steroid"
"381","bifemelane",-1.4887,"Acetylcholine release stimulant"
"382","U-0126",-0.97,"MEK inhibitor"
"383","LB-42708",1.4008,"Farnesyltransferase inhibitor"
"384","estradiol",-1.4551,"Estrogen receptor agonist"
"385","LY-2801653",-0.97,"MET inhibitor"
"386","pacritinib",0.8105,"FLT3 inhibitor|JAK inhibitor"
"387","mubritinib",1.0591,"Receptor tyrosine protein kinase inhibitor"
"388","darapladib",0.9185,"Phospholipase inhibitor"
"389","salvinorin-a",-0.8212,"Opioid receptor agonist"
"390","gossypol",-0.5257,"BCL inhibitor|MCL1 inhibitor"
"391","FR-139317",1.1701,"Endothelin receptor antagonist"
"392","RKI-1447",-1.3398,"Rho associated kinase inhibitor"
"393","colforsin-daproate",0.807,"Adenylyl cyclase activator|Adenylate cyclase stimulant"
"394","SB-242235",-0.8836,"P38 MAPK inhibitor"
"395","saracatinib",1.2319,"Src inhibitor"
"396","GGTI-298",0.5872,"GGTase inhibitor"
"397","lapatinib",1.3421,"EGFR inhibitor|ErbB2 inhibitor"
"398","eplerenone",1.1291,"Cytochrome P450 inhibitor"
"399","sonidegib",-1.1477,"Smoothened receptor antagonist"
"400","CCMI",1.0191,"Acetylcholine receptor allosteric modulator"
"401","fostamatinib",1.6021,"SYK inhibitor"
"402","BIX-02188",1.2444,"MEK inhibitor"
"403","rutin",1.1502,"Antioxidant|Capillary stabilizing agent|Nitric oxide scavenger"
"404","bardoxolone",0.9336,"Nuclear factor erythroid derived, like (NRF2) activator"
"405","NSC-697923",1.0695,"Ubiquitin-conjugating enzyme inhibitor"
"406","mefexamide",0.9814,"Psychoactive drug"
"407","CEP-32496",1.5518,"RAF inhibitor"
"408","SKI-II",1.3421,"Sphingosine kinase inhibitor"
"409","TH-302",1.5266,"DNA alkylating drug"
"410","NVP-TAE226",1.2576,"Protein tyrosine kinase inhibitor"
"411","riluzole",1.2498,"Glutamate inhibitor"
"412","selinexor",-1.1093,"Exportin antagonist"
"413","marimastat",0.9991,"Matrix metalloprotease inhibitor"
"414","desonide",1.0557,"Glucocorticoid receptor agonist"
"415","cariporide",0.9898,"Sodium/hydrogen exchanger inhibitor"
"416","mitoxantrone",0.6668,"Topoisomerase inhibitor"
"417","KW-2449",0.8975,"Abl kinase inhibitor|Aurora kinase inhibitor|FLT3 inhibitor"
"418","AMG-900",0.8598,"Aurora kinase inhibitor"
"419","AMG-458",1.0189,"MET inhibitor"
"420","loxistatin-acid",0.5451,"Cysteine peptidase inhibitor"
"421","U-18666A",0.9856,"Oxidosqualene cyclase inhibitor"
"422","crenolanib",1.0942,"PDGFR tyrosine kinase receptor inhibitor"
"423","simvastatin",0.9478,"HMGCR inhibitor"
"424","LY-303511",0.7627,"Casein kinase inhibitor|PI3K inhibitor"
"425","scriptaid",-1.1333,"HDAC inhibitor"
"426","odanacatib",-1.1717,"Cathepsin inhibitor"
"427","bardoxolone-methyl",0.6956,"Apoptosis stimulant|BCL inhibitor|Glutathione Reductase (NADPH) Activators|Heme Oxygenase Activators|IKK-1 (IKK-alpha) Inhibitors|NFkB pathway inhibitor|Nitric oxide production inhibitor|PPAR receptor agonist|Reducing agent|Nuclear factor erythroid derived, like (NRF2) activator"
"428","AV-412",1.6734,"Receptor tyrosine protein kinase inhibitor"
"429","busulfan",0.9476,"DNA inhibitor"
"430","GDC-0980",0.6509,"MTOR inhibitor|PI3K inhibitor"
"431","broxyquinoline",0.7451,"Antiprotozoal agent"
"432","CYT-997",0.9856,"Tubulin inhibitor"
"433","benzyldimethylhexadecylammonium",0.8028,"Cationic surfactant"
"434","nilutamide",-1.7,"Androgen receptor antagonist"
