pert_iname,query,moa
EMD-53998,0.6265,Phosphodiesterase inhibitor
ixazomib-citrate,1.0316,Proteasome inhibitor
ifosfamide,0.7748,DNA alkylating agent
lafutidine,0.9155,Histamine receptor antagonist
K-858,1.0346,Kinesin-like spindle protein inhibitor
daunorubicin,1.0544,RNA synthesis inhibitor|Topoisomerase inhibitor
pranidipine,1.1875,Calcium channel blocker
BTS-54505,1.1235,Dopamine reuptake inhibitor|Adrenergic transmitter uptake inhibitor|Norepinephrine reputake inhibitor|Serotonin reuptake inhibitor
nanchangmycin,0.7746,Other antibiotic
evodiamine,1.1302,ATPase inhibitor|TRPV agonist
ouabain,1.0372,ATPase inhibitor
echinomycin,0.6772,DNA intercalating agent
minocycline,0.9206,Bacterial 30S ribosomal subunit inhibitor
cyclosporin-a,1.1896,Calcineurin inhibitor
secnidazole,1.0605,Acetylcholinesterase inhibitor|Microtubule inhibitor
sulconazole,0.7288,Sterol demethylase inhibitor
estramustine,1.083,DNA alkylating drug
fendiline,0.5336,Calcium channel blocker
SKF-96365,1.1274,Calcium channel blocker
lasalocid,1.1033,Bacterial permeability inducer
peruvoside,1.3052,Cardiac glycoside
adaprev,0.9599,TGF beta receptor inhibitor
tagatose,0.8465,Phosphorylase inhibitor
exemestane,0.8129,Aromatase inhibitor
CGP-54626,1.0149,GABA receptor antagonist
ibutilide,0.9564,Potassium channel blocker
pralatrexate,0.6468,Dihydrofolate reductase inhibitor
clenbuterol,1.0244,Adrenergic receptor agonist
lomefloxacin,1.2849,Bacterial DNA gyrase inhibitor
gambogic-acid,0.482,Caspase activator|HSP inhibitor|MYC expression inhibitor|Telomerase reverse transcriptase expression inhibitor|Topoisomerase inhibitor
enocitabine,0.8163,DNA synthesis inhibitor
hyoscyamine,1.0285,Acetylcholine receptor antagonist
prednisolone-hemisuccinate,1.1747,Glucocorticoid receptor agonist
tropisetron,0.9585,Serotonin receptor antagonist
midodrine,1.4709,Adrenergic receptor agonist
NSC-23766,-1.027,Ras GTPase inhibitor
fenoprofen,0.5122,Prostagladin inhibitor
BI-D1870,1.0419,Ribosomal protein inhibitor
saxagliptin,0.754,Dipeptidyl peptidase inhibitor
mephenytoin,0.5585,Hydantoin antiepileptic
meloxicam,0.904,Cyclooxygenase inhibitor
brefeldin-a,0.9569,Protein synthesis inhibitor|Brefeldin A inhibited guanine nucleotide exchange protein inhibitors|Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor inhibitor
idoxuridin,0.9941,DNA synthesis inhibitor
clopamide,1.2872,Sodium/chloride cotransporter inhibitor
tetrahydrouridine,0.5204,Cytidine deaminase inhibitor
CGP-37849,0.5088,Glutamate receptor antagonist
eptifibatide,0.5096,Platelet aggregation inhibitor
eprinomectin,1.2457,GABA receptor agonist
capecitabine,0.7249,DNA synthesis inhibitor|Thymidylate synthase inhibitor
danazol,0.6979,Estrogen receptor antagonist|Progesterone receptor agonist
trimebutine,1.097,Opioid receptor agonist
temazepam,0.6953,GABA receptor agonist
digitoxin,1.255,ATPase inhibitor
PETCM,1.0797,Caspase activator
nicotine,1.2049,Acetylcholine receptor agonist
bucladesine,0.9313,Adenosine receptor agonist|CAMP stimulant
ginkgolide-a,1.3203,GABA receptor antagonist
digoxin,1.0119,ATPase inhibitor
colfosceril-palmitate,0.549,Pulmonary surfactant
tacrolimus,1.2891,Calcineurin inhibitor
pindolol,0.5565,Adrenergic receptor antagonist
ketoprofen,0.9103,Cyclooxygenase inhibitor
"hydroxytacrine-maleate-(r,s)",1.0892,Cholinesterase inhibitor
paliperidone,1.0745,Dopamine receptor antagonist|Serotonin receptor antagonist
estramustine-phosphate,1.3959,DNA synthesis inhibitor|Microtubule inhibitor|DNA alkylating drug|DNA inhibitor|Estrogen receptor agonist
adarotene,0.5912,Retinoid receptor agonist
colchicine,0.7366,Microtubule inhibitor
PPT,0.8755,Estrogen receptor agonist
RITA,0.912,MDM inhibitor
trovafloxacin,0.8948,Bacterial DNA gyrase inhibitor
AG-14361,1.4057,PARP inhibitor
CL-218872,1.2097,GABA receptor agonist
famotidine,1.1847,Histamine receptor antagonist
nitisinone,0.4593,Hydroxyphenylpyruvate dioxygenase inhibitor
SB-590885,0.9773,RAF inhibitor
triapine,1.0111,Ribonucleoside reductase inhibitor
TAK-901,1.5319,Aurora kinase inhibitor
artemisinin,0.8812,DNA synthesis inhibitor
UNC-2250,1.3439,MER tyrosine kinase inhibitor
olaparib,1.1897,PARP inhibitor
panobinostat,0.8855,HDAC inhibitor
CHIR-124,0.7948,CHK inhibitor
parbendazole,1.1197,Tubulin inhibitor
sulfanilamide,1.0057,Carbonic anhydrase inhibitor
methiazole,1.0109,Anthelmintic agent
kifunensine,1.467,Mannosidase inhibitor
clofoctol,1.0967,Protein synthesis inhibitor
PF-477736,0.9432,CHK inhibitor
NSC-663284,0.9724,CDC inhibitor
trifluridine,1.2405,DNA directed DNA polymerase inhibitor|Thymidylate synthase inhibitor
1-azakenpaullone,0.8812,Glycogen synthase kinase inhibitor
CCT-137690,1.1692,Aurora kinase inhibitor
NU-6027,-1.5505,CDK inhibitor
roquinimex,0.6722,Angiogenesis inhibitor|TNF production inhibitor
cobimetinib,1.108,MEK inhibitor
foretinib,1.1393,VEGFR inhibitor
XL-388,0.5917,MTOR inhibitor
ixabepilone,1.2169,Microtubule stabilizing agent
raclopride,0.8875,Dopamine receptor antagonist
drospirenone,1.1952,Mineralocorticoid receptor antagonist
octenidine,1.1732,Membrane integrity inhibitor
YO-01027,1.1395,Gamma secretase inhibitor
BIBR-1532,1.4134,Telomerase inhibitor
GSK-1904529A,1.1225,Insulin growth factor receptor inhibitor|Insulin receptor ligand|IGF-1 inhibitor
GSK-3-inhibitor-IX,0.9022,Glycogen synthase kinase inhibitor|Lipoxygenase inhibitor
LY-2334737,1.1295,Antitumor agent|Ribonucleoside reductase inhibitor
PD-184352,1.0126,MEK inhibitor
E-7449,1.0929,PARP inhibitor
WP-1066,0.44,STAT inhibitor
dronedarone,0.6876,Adrenergic receptor antagonist
sevoflurane,1.1182,Membrane integrity inhibitor
PSI-7976,0.8636,HCV inhibitor
AZ-628,0.8114,RAF inhibitor
methoxyflurane,1.4337,Membrane permeability inhibitor
posaconazole,0.9532,Sterol demethylase inhibitor
LY-364947,1.2152,P38 MAPK inhibitor|TGF beta receptor inhibitor
UK-383367,0.7935,Procollagen C-Endopeptidase Inhibitors
ryuvidine,0.8557,Histone lysine methyltransferase inhibitor
bisindolylmaleimide-ix,0.8063,PKC inhibitor
LE-135,0.9469,Retinoid receptor agonist
GSK-1838705A,0.4962,Insulin growth factor receptor inhibitor
nobiletin,1.0434,MEK inhibitor
fosbretabulin,1.1203,Tubulin inhibitor|VE-cadherin antagonist
AM-580,0.9008,Retinoid receptor agonist
cabazitaxel,1.268,Microtubule inhibitor
BMS-599626,1.2842,EGFR inhibitor|Receptor tyrosine protein kinase inhibitor
frentizole,1.2209,Immunosuppressant
dexrazoxane,1.0963,Chelating agent|Topoisomerase inhibitor
PF-04691502,1.2224,MTOR inhibitor|PI3K inhibitor
BAM7,1.3355,BAX activator
WHI-P154,1.199,JAK inhibitor
curcumin,0.729,Cyclooxygenase inhibitor|Histone acetyltransferase inhibitor|Lipoxygenase inhibitor|NFkB pathway inhibitor
sparfloxacin,1.0206,Bacterial DNA gyrase inhibitor
VX-702,1.1623,P38 MAPK inhibitor
aminopurvalanol-a,0.9809,Tyrosine kinase inhibitor|CDK inhibitor
danusertib,0.9668,Aurora kinase inhibitor|Growth factor receptor inhibitor
PF-05212384,0.803,MTOR inhibitor|PI3K inhibitor
GSK-2126458,0.7346,PI3K inhibitor|MTOR inhibitor
tetrandrine,1.0259,Calcium channel blocker
I-BET-762,0.7018,Bromodomain inhibitor
LCL-161,1.2635,XIAP inhibitor
chlorpyrifos,1.1418,Acetylcholinesterase inhibitor
sarafloxacin,0.8616,Bacterial DNA gyrase inhibitor
irinotecan,1.0458,Topoisomerase inhibitor
ramatroban,1.2432,Prostanoid receptor antagonist
thioproperazine,1.0561,Dopamine receptor antagonist
tremorine,1.0571,Acetylcholine receptor agonist
3-amino-benzamide,0.739,PARP inhibitor
pelitinib,0.5976,EGFR inhibitor
DU-728,0.8209,Structural glycoprotein antagonist
CCG-50014,0.5416,G protein signaling inhibitor
zolantidine,0.9168,Histamine receptor antagonist
deforolimus,1.1526,MTOR inhibitor
CP-945598,1.2425,Cannabinoid receptor antagonist
D-4476,1.2114,TGF beta receptor inhibitor
merimepodib,0.8638,Inosine monophosphate dehydrogenase inhibitor
SR-57227A,1.0385,Serotonin receptor agonist
lovastatin,2.1062,HMGCR inhibitor
TAS-103,1.0231,Topoisomerase inhibitor
PHA-680632,0.734,Aurora kinase inhibitor
mibefradil,1.1164,T-type calcium channel blocker
forskolin,1.5623,Adenylyl cyclase activator
VS-4718,1.0093,Focal adhesion kinase inhibitor
caffeic-acid,0.959,HIV integrase inhibitor|Lipoxygenase inhibitor|Nitric oxide production inhibitor|NFkB pathway inhibitor|PPAR receptor modulator|Tumor necrosis factor production inhibitor|TNF production inhibitor
dabrafenib,1.1747,RAF inhibitor
sulfasalazine,1.3427,Antirheumatic drug|NFkB pathway inhibitor
GW-405833,1.0919,Cannabinoid receptor agonist
temocapril,1.0397,Angiotensin converting enzyme inhibitor
phenylbutazone,0.9764,Cyclooxygenase inhibitor|Prostanoid receptor antagonist
tiludronate,1.0839,Bone resorption inhibitor|Osteoclast inhibitor
latanoprost,0.922,Prostanoid receptor agonist
CPI-1189,0.8344,Tumor necrosis factor release inhibitor
norfloxacin,0.6929,Bacterial DNA gyrase inhibitor
tazemetostat,0.9456,Histone lysine methyltransferase inhibitor
ambazone,1.3021,DNA damage inducer
alectinib,1.073,ALK tyrosine kinase receptor inhibitor
aspirin,0.9476,Cyclooxygenase inhibitor
teprenone,0.915,Mucus protecting agent
carmofur,0.9877,Thymidylate synthase inhibitor
JNJ-7706621,0.6682,CDK inhibitor
pyroxamide,1.1272,HDAC inhibitor
PJ-34,1.0845,PARP inhibitor
ER-27319,1.0422,Mediator release inhibitor|SYK inhibitor
tipiracil,0.8758,Thymidine phosphorylase inhibitor
LY-2608204,0.9762,Glucokinase activator
NVP-BEZ235,1.0523,MTOR inhibitor|PI3K inhibitor
MEK1-2-inhibitor,0.9515,MEK inhibitor
trametinib,1.1068,MEK inhibitor
TG-101348,1.2547,FLT3 inhibitor|JAK inhibitor
nocodazole,1.0268,Tubulin inhibitor
CX-5461,1.1921,RNA polymerase inhibitor
mechlorethamine,0.7818,DNA inhibitor
PCI-24781,0.8512,HDAC inhibitor
dapivirine,1.0395,Non-nucleoside reverse transcriptase inhibitor
YM-976,1.3859,Phosphodiesterase inhibitor
ciclopirox,0.9444,Membrane integrity inhibitor
uridine,1.5963,Dopamine receptor agonist
acivicin,0.8902,Gamma glutamyltransferase Inhibitors
CGP-52411,1.1186,EGFR inhibitor
PFI-1,0.9207,Bromodomain inhibitor
everolimus,1.5049,MTOR inhibitor
AR-42,0.9668,HDAC inhibitor
NSC-3852,0.8227,HDAC inhibitor
pentamidine,1.3091,Anti-pneumocystis agent
piperazine,0.4057,GABA receptor agonist
ebastine,0.7374,Histamine receptor antagonist
thonzonium,1.0233,ATPase inhibitor
AT-7519,0.9354,CDK inhibitor|Cell cycle inhibitor
BMS-345541,0.6605,IKK inhibitor
pepstatin,1.0069,Aspartic protease inhibitor
P-5091,0.682,Ubiquitin specific protease inhibitor
midostaurin,1.5332,FLT3 inhibitor|KIT inhibitor|PKC inhibitor
dinaciclib,0.7775,CDK inhibitor
bitopertin,0.8788,Glycine transporter inhibitor|GlyT-1 inhibitor
givinostat,0.9486,HDAC inhibitor
tenovin-6,1.0233,SIRT inhibitor
ritodrine,1.5445,Adrenergic receptor agonist
LY-2603618,0.6635,CHK inhibitor
MK-0812,0.9907,CC chemokine receptor antagonist
TG-02,1.0279,CDK inhibitor|FLT3 inhibitor|JAK inhibitor
IKK-16,0.8692,IKK inhibitor
berberine,0.5624,LDL receptor activator
GSK-650394,1.2913,Serum/glucocorticoid regulated kinase inhibitor
BAY-11-7082,0.4243,NFkB pathway inhibitor
tiotidine,0.8142,Histamine receptor antagonist
gemcitabine,1.0625,Ribonucleotide reductase inhibitor
carfilzomib,0.6073,Proteasome inhibitor
penfluridol,0.7713,T-type calcium channel blocker
SB-228357,0.6877,Serotonin receptor antagonist
papaverine,0.9365,Phosphodiesterase inhibitor
obatoclax,0.6749,BCL inhibitor
clotrimazole,1.148,Cytochrome P450 inhibitor|Imidazoline ligand
abiraterone-acetate,0.6972,"17,20 lyase inhibitor|Cytochrome P450 inhibitor|Steroid sulfatase inhibitor|Androgen biosynthesis inhibitor"
pyrithione-zinc,-1.0577,ATP synthase inhibitor
CHIR-99021,1.3645,Glycogen synthase kinase inhibitor
oxymetazoline,1.5456,Adrenergic receptor agonist
piperacetazine,1.0475,Dopamine receptor antagonist
PLX-4720,1.3273,RAF inhibitor
mocetinostat,0.8852,HDAC inhibitor
evacetrapib,1.3409,Cholesteryl ester transfer protein inhibitor
GTP-14564,1.3123,FLT3 inhibitor|Tyrosine kinase inhibitor
regorafenib,0.7701,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
pibenzimol,1.1922,DNA inhibitor
bendamustine,0.948,DNA inhibitor
chloroxine,0.9321,Opioid receptor antagonist
LY-2874455,1.1508,FGFR antagonist
penicillamine-(D),0.8673,Chelating agent
talmapimod,0.9743,P38 MAPK inhibitor
PD-168393,1.1595,EGFR inhibitor
JTC-801,0.8885,Opioid receptor antagonist
belinostat,1.2136,HDAC inhibitor
tranilast,0.9172,Angiogenesis inhibitor
indirubin,1.5766,CDK inhibitor|Glycogen synthase kinase inhibitor
artesunate,1.074,DNA synthesis inhibitor
eprobemide,0.7884,Monoamine oxidase inhibitor
fdcyd,1.144,DNA methyltransferase inhibitor
HA-14-1,0.6945,BCL inhibitor
propoxycaine,0.831,Local anesthetic
TG-100572,0.9382,Src inhibitor|VEGFR inhibitor
digitoxigenin,0.899,ATPase inhibitor
nafcillin,0.9057,Bacterial cell wall synthesis inhibitor
digoxigenin,0.9863,Steroid
bifemelane,0.8106,Acetylcholine release stimulant
U-0126,1.0463,MEK inhibitor
LB-42708,1.4421,Farnesyltransferase inhibitor
estradiol,0.8885,Estrogen receptor agonist
LY-2801653,0.9145,MET inhibitor
pacritinib,0.3906,FLT3 inhibitor|JAK inhibitor
mubritinib,1.2409,Receptor tyrosine protein kinase inhibitor
darapladib,0.7229,Phospholipase inhibitor
salvinorin-a,0.7985,Opioid receptor agonist
gossypol,0.7118,BCL inhibitor|MCL1 inhibitor
FR-139317,0.7964,Endothelin receptor antagonist
RKI-1447,1.3104,Rho associated kinase inhibitor
colforsin-daproate,1.4289,Adenylyl cyclase activator|Adenylate cyclase stimulant
SB-242235,0.5161,P38 MAPK inhibitor
saracatinib,1.4525,Src inhibitor
GGTI-298,1.0254,GGTase inhibitor
lapatinib,0.8958,EGFR inhibitor|ErbB2 inhibitor
eplerenone,0.8157,Cytochrome P450 inhibitor
sonidegib,0.8332,Smoothened receptor antagonist
CCMI,1.2187,Acetylcholine receptor allosteric modulator
fostamatinib,1.4791,SYK inhibitor
BIX-02188,0.9341,MEK inhibitor
rutin,0.8562,Antioxidant|Capillary stabilizing agent|Nitric oxide scavenger
bardoxolone,1.0117,"Nuclear factor erythroid derived, like (NRF2) activator"
NSC-697923,-0.6324,Ubiquitin-conjugating enzyme inhibitor
mefexamide,1.0326,Psychoactive drug
CEP-32496,1.1043,RAF inhibitor
SKI-II,1.0119,Sphingosine kinase inhibitor
TH-302,0.9223,DNA alkylating drug
NVP-TAE226,0.7574,Protein tyrosine kinase inhibitor
riluzole,1.3391,Glutamate inhibitor
selinexor,0.8557,Exportin antagonist
marimastat,1.0364,Matrix metalloprotease inhibitor
desonide,0.5675,Glucocorticoid receptor agonist
cariporide,1.6554,Sodium/hydrogen exchanger inhibitor
mitoxantrone,1.5039,Topoisomerase inhibitor
KW-2449,1.0551,Abl kinase inhibitor|Aurora kinase inhibitor|FLT3 inhibitor
AMG-900,1.3094,Aurora kinase inhibitor
AMG-458,1.1122,MET inhibitor
loxistatin-acid,1.1627,Cysteine peptidase inhibitor
U-18666A,0.8593,Oxidosqualene cyclase inhibitor
crenolanib,1.4059,PDGFR tyrosine kinase receptor inhibitor
simvastatin,1.8024,HMGCR inhibitor
LY-303511,1.0922,Casein kinase inhibitor|PI3K inhibitor
scriptaid,0.5805,HDAC inhibitor
odanacatib,0.8762,Cathepsin inhibitor
bardoxolone-methyl,0.5622,"Apoptosis stimulant|BCL inhibitor|Glutathione Reductase (NADPH) Activators|Heme Oxygenase Activators|IKK-1 (IKK-alpha) Inhibitors|NFkB pathway inhibitor|Nitric oxide production inhibitor|PPAR receptor agonist|Reducing agent|Nuclear factor erythroid derived, like (NRF2) activator"
AV-412,0.6489,Receptor tyrosine protein kinase inhibitor
busulfan,1.1546,DNA inhibitor
GDC-0980,0.9574,MTOR inhibitor|PI3K inhibitor
broxyquinoline,0.9925,Antiprotozoal agent
CYT-997,0.9666,Tubulin inhibitor
benzyldimethylhexadecylammonium,0.6743,Cationic surfactant
nilutamide,-1.4656,Androgen receptor antagonist
voreloxin,1.279,Topoisomerase inhibitor
dichlorvos,1.1305,Acetylcholinesterase inhibitor
sorafenib,0.8597,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
VU-0238429,1.0605,Acetylcholine receptor allosteric modulator
deoxycorticosterone-acetate,1.187,Progestogen hormone
ETP-46464,0.737,ATR kinase inhibitor
AT-9283,1.0924,Aurora kinase inhibitor|JAK inhibitor|Abl kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|Mitotic inhibitor|Protein kinase inhibitor
AZD-3463,1.1875,ALK tyrosine kinase receptor inhibitor|Insulin growth factor receptor inhibitor
phlorizin,1.2949,Sodium/glucose cotransporter inhibitor
5-hydroxymethyl-tolterodine,1.5183,Acetylcholine receptor antagonist
NVP-AEW541,0.6729,IGF-1 inhibitor
ethacridine-lactate-monohydrate,0.9791,DNA intercalating agent
fluorouracil,1.1046,RNA synthesis inhibitor|Thymidylate synthase inhibitor
CNX-2006,0.9377,EGFR inhibitor
pirenperone,1.1223,Serotonin receptor antagonist
apatinib,0.9191,RET tyrosine kinase inhibitor
MK-8745,1.0077,Aurora kinase inhibitor
OSI-930,1.0604,KIT inhibitor|VEGFR inhibitor
GSK-2110183,0.797,AKT inhibitor
maprotiline,1.1014,Norepinephrine reputake inhibitor|Tricyclic antidepressant
LY-2784544,0.7258,JAK inhibitor
4-iodo-6-phenylpyrimidine,1.0961,Macrophage inhibitor
josamycin,1.1917,Bacterial 50S ribosomal subunit inhibitor
licochalcone-a,1.0718,Topoisomerase inhibitor
NMS-873,1.1809,ATPase inhibitor
K-Ras(G12C)-inhibitor-6,1.3576,K-ras inhibitor
PD-153035,0.8959,EGFR inhibitor
thiocolchicoside,1.0272,GABA receptor antagonist
imiquimod,0.741,Interferon inducer|TLR agonist
TAK-733,1.1385,MEK inhibitor
VX-765,0.9038,Caspase inhibitor
VE-821,0.4746,ATR kinase inhibitor
BIX-01294,1.1268,DNA methyltransferase inhibitor|Histone lysine methyltransferase inhibitor
GW-842166,1.08,Cannabinoid receptor agonist
azomycin-(2-nitroimidazole),0.3539,Protein synthesis inhibitor
costunolide,0.8051,Telomerase inhibitor
AST-1306,0.9722,EGFR inhibitor
D-64131,1.0759,Microtubule inhibitor
metatinib,0.853,Bcr-Abl kinase inhibitor
levocetirizine,1.147,Histamine receptor antagonist
butamben,0.9081,Sodium channel blocker
calcitriol,0.8252,Vitamin D receptor agonist
nomegestrol-acetate,1.2366,Progesterone receptor agonist
cyclovirobuxin-d,1.2412,Calcium channel modulator
cyproheptadine,-1.1056,Histamine receptor antagonist
spiradoline,0.8354,Opioid receptor agonist
flutamide,1.056,Androgen receptor antagonist
CH-5132799,0.9459,PI3K inhibitor
TW-37,0.6826,BCL inhibitor
nitrocaramiphen,0.7412,Cholinergic receptor antagonist
benzydamine,0.8557,Prostanoid receptor antagonist
A-803467,0.7325,Sodium channel blocker
cilostamide,0.5987,Phosphodiesterase inhibitor
resminostat,0.511,HDAC inhibitor
genipin,1.2932,Choleretic agent
CD-437,0.6287,Retinoid receptor agonist
BVD-523,0.7859,MAP kinase inhibitor
isoflupredone-acetate,0.7157,Glucocorticoid receptor agonist
BGT-226,0.6761,PI3K inhibitor
chlorambucil,0.9203,DNA inhibitor
1-naphthyl-PP1,1.0466,Src inhibitor
ziprasidone,0.7112,Dopamine receptor antagonist|Serotonin receptor antagonist
MK-8245,0.9063,Stearoyl-CoA desaturase inhibitor
hypericin,0.5486,Tyrosine kinase inhibitor
axitinib,1.0294,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
clomifene,0.5595,Estrogen receptor antagonist
KX2-391,1.2419,Src inhibitor|Tubulin inhibitor
torasemide,1.047,Electrolyte reabsorption inhibitor|Thromboxane receptor antagonist
homoquinolinic-acid,1.183,Glutamate receptor agonist
SB-216641,0.4558,Serotonin receptor antagonist
UNBS-5162,1.1975,CC chemokine receptor antagonist
lucitanib,0.8533,FGFR inhibitor|VEGFR inhibitor
AZD-9668,0.9313,Elastase inhibitor
1-phenylbiguanide,1.4691,Serotonin receptor agonist
rimexolone,0.8917,Glucocorticoid receptor agonist
icotinib,1.2501,EGFR inhibitor
levobunolol,0.8492,Adrenergic receptor antagonist
TAK-632,0.7731,RAF inhibitor
barasertib,1.0058,Aurora kinase inhibitor
temozolomide,1.2287,DNA alkylating drug
