pert_iname,query,moa
Ro-106-9920,1.2959,NFkB pathway inhibitor
golgicide-a,0.894,ARF inhibitor
butylscopolamine-bromide,0.8897,Cholinergic receptor antagonist
lanoconazole,1.0485,Sterol demethylase inhibitor
KF-38789,0.4419,P selectin inhibitor
methotrexate,0.9346,Dihydrofolate reductase inhibitor
BNTX,1.0675,Opioid receptor antagonist
primaquine,1.0379,Antimalarial agent|DNA inhibitor
omeprazole,1.3924,ATPase inhibitor
PD-318088,-1.3398,MEK inhibitor
oxyphencyclimine,1.1911,Cholinergic receptor antagonist
selamectin,-1.2246,Nematocide
amisulpride,1.0275,Dopamine receptor antagonist
8-hydroxy-PIPAT,0.8723,Dopamine receptor ligand
sodium-stibogluconate,-0.6927,Tyrosine phosphatase inhibitor
Ro-04-5595,1.1189,Glutamate receptor antagonist
sangivamycin,0.7664,DNA inhibitor
mexiletine,1.4763,Sodium channel blocker
lanatoside-c,0.8453,Cardiac glycoside
DPI-201106,0.7154,Sodium channel activator
EMD-53998,0.8521,Phosphodiesterase inhibitor
ixazomib-citrate,1.1282,Proteasome inhibitor
ifosfamide,1.0184,DNA alkylating agent
lafutidine,0.958,Histamine receptor antagonist
K-858,0.7381,Kinesin-like spindle protein inhibitor
daunorubicin,0.9017,RNA synthesis inhibitor|Topoisomerase inhibitor
pranidipine,0.8514,Calcium channel blocker
BTS-54505,0.6516,Dopamine reuptake inhibitor|Adrenergic transmitter uptake inhibitor|Norepinephrine reputake inhibitor|Serotonin reuptake inhibitor
nanchangmycin,0.6556,Other antibiotic
evodiamine,0.9431,ATPase inhibitor|TRPV agonist
ouabain,0.8719,ATPase inhibitor
echinomycin,-0.8548,DNA intercalating agent
minocycline,-1.0181,Bacterial 30S ribosomal subunit inhibitor
cyclosporin-a,1.2162,Calcineurin inhibitor
secnidazole,0.9101,Acetylcholinesterase inhibitor|Microtubule inhibitor
sulconazole,0.6459,Sterol demethylase inhibitor
estramustine,1.7279,DNA alkylating drug
fendiline,-1.3302,Calcium channel blocker
SKF-96365,0.6501,Calcium channel blocker
lasalocid,1.2624,Bacterial permeability inducer
peruvoside,1.0005,Cardiac glycoside
adaprev,0.5784,TGF beta receptor inhibitor
tagatose,-0.6819,Phosphorylase inhibitor
exemestane,0.9269,Aromatase inhibitor
CGP-54626,1.233,GABA receptor antagonist
ibutilide,1.1085,Potassium channel blocker
pralatrexate,1.0947,Dihydrofolate reductase inhibitor
clenbuterol,0.7488,Adrenergic receptor agonist
lomefloxacin,0.8235,Bacterial DNA gyrase inhibitor
gambogic-acid,-1.3206,Caspase activator|HSP inhibitor|MYC expression inhibitor|Telomerase reverse transcriptase expression inhibitor|Topoisomerase inhibitor
enocitabine,-1.0901,DNA synthesis inhibitor
hyoscyamine,0.5726,Acetylcholine receptor antagonist
prednisolone-hemisuccinate,0.9856,Glucocorticoid receptor agonist
tropisetron,-0.9412,Serotonin receptor antagonist
midodrine,1.4763,Adrenergic receptor agonist
NSC-23766,-1.9161,Ras GTPase inhibitor
fenoprofen,0.994,Prostagladin inhibitor
BI-D1870,-0.9172,Ribosomal protein inhibitor
saxagliptin,0.7713,Dipeptidyl peptidase inhibitor
mephenytoin,1.3903,Hydantoin antiepileptic
meloxicam,0.8962,Cyclooxygenase inhibitor
brefeldin-a,0.9085,Protein synthesis inhibitor|Brefeldin A inhibited guanine nucleotide exchange protein inhibitors|Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor inhibitor
idoxuridin,1.0061,DNA synthesis inhibitor
clopamide,0.8289,Sodium/chloride cotransporter inhibitor
tetrahydrouridine,-0.8272,Cytidine deaminase inhibitor
CGP-37849,-1.407,Glutamate receptor antagonist
eptifibatide,-0.6867,Platelet aggregation inhibitor
eprinomectin,0.6333,GABA receptor agonist
capecitabine,0.9738,DNA synthesis inhibitor|Thymidylate synthase inhibitor
danazol,-0.7876,Estrogen receptor antagonist|Progesterone receptor agonist
trimebutine,1.106,Opioid receptor agonist
temazepam,-1.6135,GABA receptor agonist
digitoxin,1.1058,ATPase inhibitor
PETCM,0.791,Caspase activator
nicotine,0.6081,Acetylcholine receptor agonist
bucladesine,1.3966,Adenosine receptor agonist|CAMP stimulant
ginkgolide-a,-0.5715,GABA receptor antagonist
digoxin,1.0614,ATPase inhibitor
colfosceril-palmitate,-1.772,Pulmonary surfactant
tacrolimus,1.1198,Calcineurin inhibitor
pindolol,0.9125,Adrenergic receptor antagonist
ketoprofen,0.973,Cyclooxygenase inhibitor
"hydroxytacrine-maleate-(r,s)",1.158,Cholinesterase inhibitor
paliperidone,1.2666,Dopamine receptor antagonist|Serotonin receptor antagonist
estramustine-phosphate,1.6482,DNA synthesis inhibitor|Microtubule inhibitor|DNA alkylating drug|DNA inhibitor|Estrogen receptor agonist
adarotene,0.8765,Retinoid receptor agonist
colchicine,0.5281,Microtubule inhibitor
PPT,0.7246,Estrogen receptor agonist
RITA,1.2682,MDM inhibitor
trovafloxacin,1.233,Bacterial DNA gyrase inhibitor
AG-14361,0.9826,PARP inhibitor
CL-218872,1.1617,GABA receptor agonist
famotidine,1.1827,Histamine receptor antagonist
nitisinone,-1.7144,Hydroxyphenylpyruvate dioxygenase inhibitor
SB-590885,0.8642,RAF inhibitor
triapine,0.767,Ribonucleoside reductase inhibitor
TAK-901,1.0695,Aurora kinase inhibitor
artemisinin,1.0281,DNA synthesis inhibitor
UNC-2250,-1.2534,MER tyrosine kinase inhibitor
olaparib,1.1408,PARP inhibitor
panobinostat,0.8746,HDAC inhibitor
CHIR-124,1.2506,CHK inhibitor
parbendazole,0.994,Tubulin inhibitor
sulfanilamide,0.5654,Carbonic anhydrase inhibitor
methiazole,0.6066,Anthelmintic agent
kifunensine,1.5224,Mannosidase inhibitor
clofoctol,-0.8596,Protein synthesis inhibitor
PF-477736,0.8143,CHK inhibitor
NSC-663284,-0.7636,CDC inhibitor
trifluridine,-0.826,DNA directed DNA polymerase inhibitor|Thymidylate synthase inhibitor
1-azakenpaullone,1.1366,Glycogen synthase kinase inhibitor
CCT-137690,-0.7155,Aurora kinase inhibitor
NU-6027,0.812,CDK inhibitor
roquinimex,0.9594,Angiogenesis inhibitor|TNF production inhibitor
cobimetinib,-0.922,MEK inhibitor
foretinib,1.2917,VEGFR inhibitor
XL-388,0.8933,MTOR inhibitor
ixabepilone,0.9143,Microtubule stabilizing agent
raclopride,1.4092,Dopamine receptor antagonist
drospirenone,0.8136,Mineralocorticoid receptor antagonist
octenidine,0.6543,Membrane integrity inhibitor
YO-01027,-0.9893,Gamma secretase inhibitor
BIBR-1532,0.8178,Telomerase inhibitor
GSK-1904529A,0.7524,Insulin growth factor receptor inhibitor|Insulin receptor ligand|IGF-1 inhibitor
GSK-3-inhibitor-IX,0.671,Glycogen synthase kinase inhibitor|Lipoxygenase inhibitor
LY-2334737,0.7748,Antitumor agent|Ribonucleoside reductase inhibitor
PD-184352,-0.9941,MEK inhibitor
E-7449,1.4259,PARP inhibitor
WP-1066,0.7271,STAT inhibitor
dronedarone,0.9824,Adrenergic receptor antagonist
sevoflurane,1.4176,Membrane integrity inhibitor
PSI-7976,-1.3638,HCV inhibitor
AZ-628,-0.9172,RAF inhibitor
methoxyflurane,1.1701,Membrane permeability inhibitor
posaconazole,-1.6087,Sterol demethylase inhibitor
LY-364947,1.0401,P38 MAPK inhibitor|TGF beta receptor inhibitor
UK-383367,1.1366,Procollagen C-Endopeptidase Inhibitors
ryuvidine,-0.7417,Histone lysine methyltransferase inhibitor
bisindolylmaleimide-ix,-0.5844,PKC inhibitor
LE-135,0.973,Retinoid receptor agonist
GSK-1838705A,-1.0277,Insulin growth factor receptor inhibitor
nobiletin,1.493,MEK inhibitor
fosbretabulin,1.315,Tubulin inhibitor|VE-cadherin antagonist
AM-580,-1.0325,Retinoid receptor agonist
cabazitaxel,1.0736,Microtubule inhibitor
BMS-599626,1.4511,EGFR inhibitor|Receptor tyrosine protein kinase inhibitor
frentizole,1.1461,Immunosuppressant
dexrazoxane,0.801,Chelating agent|Topoisomerase inhibitor
PF-04691502,-0.9412,MTOR inhibitor|PI3K inhibitor
BAM7,0.9972,BAX activator
WHI-P154,1.0777,JAK inhibitor
curcumin,1.0736,Cyclooxygenase inhibitor|Histone acetyltransferase inhibitor|Lipoxygenase inhibitor|NFkB pathway inhibitor
sparfloxacin,0.8891,Bacterial DNA gyrase inhibitor
VX-702,0.8599,P38 MAPK inhibitor
aminopurvalanol-a,1.1939,Tyrosine kinase inhibitor|CDK inhibitor
danusertib,0.8598,Aurora kinase inhibitor|Growth factor receptor inhibitor
PF-05212384,1.0569,MTOR inhibitor|PI3K inhibitor
GSK-2126458,0.8412,PI3K inhibitor|MTOR inhibitor
tetrandrine,1.1259,Calcium channel blocker
I-BET-762,0.6805,Bromodomain inhibitor
LCL-161,1.2246,XIAP inhibitor
chlorpyrifos,1.2708,Acetylcholinesterase inhibitor
sarafloxacin,-0.898,Bacterial DNA gyrase inhibitor
irinotecan,0.7293,Topoisomerase inhibitor
ramatroban,1.0359,Prostanoid receptor antagonist
thioproperazine,0.9185,Dopamine receptor antagonist
tremorine,0.7968,Acetylcholine receptor agonist
3-amino-benzamide,0.8769,PARP inhibitor
pelitinib,1.5537,EGFR inhibitor
DU-728,-0.9172,Structural glycoprotein antagonist
CCG-50014,0.6878,G protein signaling inhibitor
zolantidine,0.6979,Histamine receptor antagonist
deforolimus,0.8472,MTOR inhibitor
CP-945598,1.4259,Cannabinoid receptor antagonist
D-4476,-0.7539,TGF beta receptor inhibitor
merimepodib,0.8107,Inosine monophosphate dehydrogenase inhibitor
SR-57227A,1.1324,Serotonin receptor agonist
lovastatin,0.7231,HMGCR inhibitor
TAS-103,0.7049,Topoisomerase inhibitor
PHA-680632,0.7307,Aurora kinase inhibitor
mibefradil,1.248,T-type calcium channel blocker
forskolin,-1.6472,Adenylyl cyclase activator
VS-4718,0.89,Focal adhesion kinase inhibitor
caffeic-acid,1.0488,HIV integrase inhibitor|Lipoxygenase inhibitor|Nitric oxide production inhibitor|NFkB pathway inhibitor|PPAR receptor modulator|Tumor necrosis factor production inhibitor|TNF production inhibitor
dabrafenib,1.0224,RAF inhibitor
sulfasalazine,1.0128,Antirheumatic drug|NFkB pathway inhibitor
GW-405833,0.7968,Cannabinoid receptor agonist
temocapril,0.9059,Angiotensin converting enzyme inhibitor
phenylbutazone,0.8841,Cyclooxygenase inhibitor|Prostanoid receptor antagonist
tiludronate,0.8774,Bone resorption inhibitor|Osteoclast inhibitor
latanoprost,-1.0085,Prostanoid receptor agonist
CPI-1189,0.8881,Tumor necrosis factor release inhibitor
norfloxacin,0.8923,Bacterial DNA gyrase inhibitor
tazemetostat,0.671,Histone lysine methyltransferase inhibitor
ambazone,1.0778,DNA damage inducer
alectinib,0.9436,ALK tyrosine kinase receptor inhibitor
aspirin,0.8664,Cyclooxygenase inhibitor
teprenone,0.562,Mucus protecting agent
carmofur,0.9636,Thymidylate synthase inhibitor
JNJ-7706621,-0.6723,CDK inhibitor
pyroxamide,0.9325,HDAC inhibitor
PJ-34,0.9646,PARP inhibitor
ER-27319,-0.5042,Mediator release inhibitor|SYK inhibitor
tipiracil,1.0149,Thymidine phosphorylase inhibitor
LY-2608204,1.1025,Glucokinase activator
NVP-BEZ235,0.7633,MTOR inhibitor|PI3K inhibitor
MEK1-2-inhibitor,0.4676,MEK inhibitor
trametinib,-0.7251,MEK inhibitor
TG-101348,0.7834,FLT3 inhibitor|JAK inhibitor
nocodazole,0.7641,Tubulin inhibitor
CX-5461,0.6039,RNA polymerase inhibitor
mechlorethamine,1.0742,DNA inhibitor
PCI-24781,1.1282,HDAC inhibitor
dapivirine,1.0778,Non-nucleoside reverse transcriptase inhibitor
YM-976,1.1659,Phosphodiesterase inhibitor
ciclopirox,0.9887,Membrane integrity inhibitor
uridine,0.776,Dopamine receptor agonist
acivicin,0.8425,Gamma glutamyltransferase Inhibitors
CGP-52411,1.3224,EGFR inhibitor
PFI-1,1.0862,Bromodomain inhibitor
everolimus,0.6378,MTOR inhibitor
AR-42,0.9339,HDAC inhibitor
NSC-3852,-1.0901,HDAC inhibitor
pentamidine,0.7591,Anti-pneumocystis agent
piperazine,-0.7118,GABA receptor agonist
ebastine,1.0736,Histamine receptor antagonist
thonzonium,0.801,ATPase inhibitor
AT-7519,1.1971,CDK inhibitor|Cell cycle inhibitor
BMS-345541,-0.6531,IKK inhibitor
pepstatin,1.0569,Aspartic protease inhibitor
P-5091,0.8697,Ubiquitin specific protease inhibitor
midostaurin,1.3714,FLT3 inhibitor|KIT inhibitor|PKC inhibitor
dinaciclib,0.8537,CDK inhibitor
bitopertin,0.753,Glycine transporter inhibitor|GlyT-1 inhibitor
givinostat,0.7274,HDAC inhibitor
tenovin-6,0.6668,SIRT inhibitor
ritodrine,-1.3206,Adrenergic receptor agonist
LY-2603618,1.4176,CHK inhibitor
MK-0812,1.1282,CC chemokine receptor antagonist
TG-02,0.5578,CDK inhibitor|FLT3 inhibitor|JAK inhibitor
IKK-16,0.671,IKK inhibitor
berberine,-1.2294,LDL receptor activator
GSK-650394,0.7735,Serum/glucocorticoid regulated kinase inhibitor
BAY-11-7082,0.9478,NFkB pathway inhibitor
tiotidine,1.1869,Histamine receptor antagonist
gemcitabine,1.2037,Ribonucleotide reductase inhibitor
carfilzomib,1.254,Proteasome inhibitor
penfluridol,0.7764,T-type calcium channel blocker
SB-228357,0.9371,Serotonin receptor antagonist
papaverine,1.3211,Phosphodiesterase inhibitor
obatoclax,1.1491,BCL inhibitor
clotrimazole,1.0275,Cytochrome P450 inhibitor|Imidazoline ligand
abiraterone-acetate,-0.6865,"17,20 lyase inhibitor|Cytochrome P450 inhibitor|Steroid sulfatase inhibitor|Androgen biosynthesis inhibitor"
pyrithione-zinc,1.0718,ATP synthase inhibitor
CHIR-99021,1.0583,Glycogen synthase kinase inhibitor
oxymetazoline,0.8443,Adrenergic receptor agonist
piperacetazine,1.3756,Dopamine receptor antagonist
PLX-4720,0.792,RAF inhibitor
mocetinostat,0.9413,HDAC inhibitor
evacetrapib,0.8255,Cholesteryl ester transfer protein inhibitor
GTP-14564,0.6501,FLT3 inhibitor|Tyrosine kinase inhibitor
regorafenib,0.7861,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
pibenzimol,0.8059,DNA inhibitor
bendamustine,-0.946,DNA inhibitor
chloroxine,0.9352,Opioid receptor antagonist
LY-2874455,0.973,FGFR antagonist
penicillamine-(D),0.7339,Chelating agent
talmapimod,0.6934,P38 MAPK inhibitor
PD-168393,1.6398,EGFR inhibitor
JTC-801,-0.7398,Opioid receptor antagonist
belinostat,0.843,HDAC inhibitor
tranilast,1.1198,Angiogenesis inhibitor
indirubin,0.6836,CDK inhibitor|Glycogen synthase kinase inhibitor
artesunate,1.0065,DNA synthesis inhibitor
eprobemide,0.7724,Monoamine oxidase inhibitor
fdcyd,1.1739,DNA methyltransferase inhibitor
HA-14-1,0.9436,BCL inhibitor
propoxycaine,-1.7432,Local anesthetic
TG-100572,0.7256,Src inhibitor|VEGFR inhibitor
digitoxigenin,1.0042,ATPase inhibitor
nafcillin,-0.9508,Bacterial cell wall synthesis inhibitor
digoxigenin,-0.8884,Steroid
bifemelane,-1.4887,Acetylcholine release stimulant
U-0126,-0.97,MEK inhibitor
LB-42708,1.4008,Farnesyltransferase inhibitor
estradiol,-1.4551,Estrogen receptor agonist
LY-2801653,-0.97,MET inhibitor
pacritinib,0.8105,FLT3 inhibitor|JAK inhibitor
mubritinib,1.0591,Receptor tyrosine protein kinase inhibitor
darapladib,0.9185,Phospholipase inhibitor
salvinorin-a,-0.8212,Opioid receptor agonist
gossypol,-0.5257,BCL inhibitor|MCL1 inhibitor
FR-139317,1.1701,Endothelin receptor antagonist
RKI-1447,-1.3398,Rho associated kinase inhibitor
colforsin-daproate,0.807,Adenylyl cyclase activator|Adenylate cyclase stimulant
SB-242235,-0.8836,P38 MAPK inhibitor
saracatinib,1.2319,Src inhibitor
GGTI-298,0.5872,GGTase inhibitor
lapatinib,1.3421,EGFR inhibitor|ErbB2 inhibitor
eplerenone,1.1291,Cytochrome P450 inhibitor
sonidegib,-1.1477,Smoothened receptor antagonist
CCMI,1.0191,Acetylcholine receptor allosteric modulator
fostamatinib,1.6021,SYK inhibitor
BIX-02188,1.2444,MEK inhibitor
rutin,1.1502,Antioxidant|Capillary stabilizing agent|Nitric oxide scavenger
bardoxolone,0.9336,"Nuclear factor erythroid derived, like (NRF2) activator"
NSC-697923,1.0695,Ubiquitin-conjugating enzyme inhibitor
mefexamide,0.9814,Psychoactive drug
CEP-32496,1.5518,RAF inhibitor
SKI-II,1.3421,Sphingosine kinase inhibitor
TH-302,1.5266,DNA alkylating drug
NVP-TAE226,1.2576,Protein tyrosine kinase inhibitor
riluzole,1.2498,Glutamate inhibitor
selinexor,-1.1093,Exportin antagonist
marimastat,0.9991,Matrix metalloprotease inhibitor
desonide,1.0557,Glucocorticoid receptor agonist
cariporide,0.9898,Sodium/hydrogen exchanger inhibitor
mitoxantrone,0.6668,Topoisomerase inhibitor
KW-2449,0.8975,Abl kinase inhibitor|Aurora kinase inhibitor|FLT3 inhibitor
AMG-900,0.8598,Aurora kinase inhibitor
AMG-458,1.0189,MET inhibitor
loxistatin-acid,0.5451,Cysteine peptidase inhibitor
U-18666A,0.9856,Oxidosqualene cyclase inhibitor
crenolanib,1.0942,PDGFR tyrosine kinase receptor inhibitor
simvastatin,0.9478,HMGCR inhibitor
LY-303511,0.7627,Casein kinase inhibitor|PI3K inhibitor
scriptaid,-1.1333,HDAC inhibitor
odanacatib,-1.1717,Cathepsin inhibitor
bardoxolone-methyl,0.6956,"Apoptosis stimulant|BCL inhibitor|Glutathione Reductase (NADPH) Activators|Heme Oxygenase Activators|IKK-1 (IKK-alpha) Inhibitors|NFkB pathway inhibitor|Nitric oxide production inhibitor|PPAR receptor agonist|Reducing agent|Nuclear factor erythroid derived, like (NRF2) activator"
AV-412,1.6734,Receptor tyrosine protein kinase inhibitor
busulfan,0.9476,DNA inhibitor
GDC-0980,0.6509,MTOR inhibitor|PI3K inhibitor
broxyquinoline,0.7451,Antiprotozoal agent
CYT-997,0.9856,Tubulin inhibitor
benzyldimethylhexadecylammonium,0.8028,Cationic surfactant
nilutamide,-1.7,Androgen receptor antagonist
voreloxin,1.0485,Topoisomerase inhibitor
dichlorvos,1.0988,Acetylcholinesterase inhibitor
sorafenib,1.3972,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
VU-0238429,1.4385,Acetylcholine receptor allosteric modulator
deoxycorticosterone-acetate,0.7461,Progestogen hormone
ETP-46464,-0.7636,ATR kinase inhibitor
AT-9283,-1.0901,Aurora kinase inhibitor|JAK inhibitor|Abl kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|Mitotic inhibitor|Protein kinase inhibitor
AZD-3463,1.1186,ALK tyrosine kinase receptor inhibitor|Insulin growth factor receptor inhibitor
phlorizin,0.9539,Sodium/glucose cotransporter inhibitor
5-hydroxymethyl-tolterodine,1.0148,Acetylcholine receptor antagonist
NVP-AEW541,-0.91,IGF-1 inhibitor
ethacridine-lactate-monohydrate,-0.9316,DNA intercalating agent
fluorouracil,0.6904,RNA synthesis inhibitor|Thymidylate synthase inhibitor
CNX-2006,1.9208,EGFR inhibitor
pirenperone,0.8742,Serotonin receptor antagonist
apatinib,1.4297,RET tyrosine kinase inhibitor
MK-8745,0.6962,Aurora kinase inhibitor
OSI-930,-1.2726,KIT inhibitor|VEGFR inhibitor
GSK-2110183,0.5047,AKT inhibitor
maprotiline,0.9382,Norepinephrine reputake inhibitor|Tricyclic antidepressant
LY-2784544,0.7847,JAK inhibitor
4-iodo-6-phenylpyrimidine,1.1295,Macrophage inhibitor
josamycin,0.8975,Bacterial 50S ribosomal subunit inhibitor
licochalcone-a,1.3756,Topoisomerase inhibitor
NMS-873,0.8806,ATPase inhibitor
K-Ras(G12C)-inhibitor-6,1.275,K-ras inhibitor
PD-153035,1.5149,EGFR inhibitor
thiocolchicoside,-0.7684,GABA receptor antagonist
imiquimod,0.9755,Interferon inducer|TLR agonist
TAK-733,-1.4359,MEK inhibitor
VX-765,1.6524,Caspase inhibitor
VE-821,0.9059,ATR kinase inhibitor
BIX-01294,-0.704,DNA methyltransferase inhibitor|Histone lysine methyltransferase inhibitor
GW-842166,0.7475,Cannabinoid receptor agonist
azomycin-(2-nitroimidazole),1.254,Protein synthesis inhibitor
costunolide,0.5746,Telomerase inhibitor
AST-1306,1.5657,EGFR inhibitor
D-64131,0.6887,Microtubule inhibitor
metatinib,1.1004,Bcr-Abl kinase inhibitor
levocetirizine,1.3672,Histamine receptor antagonist
butamben,1.0736,Sodium channel blocker
calcitriol,0.6836,Vitamin D receptor agonist
nomegestrol-acetate,1.22,Progesterone receptor agonist
cyclovirobuxin-d,-0.8068,Calcium channel modulator
cyproheptadine,-0.97,Histamine receptor antagonist
spiradoline,0.8388,Opioid receptor agonist
flutamide,0.8005,Androgen receptor antagonist
CH-5132799,0.684,PI3K inhibitor
TW-37,-0.5998,BCL inhibitor
nitrocaramiphen,0.6369,Cholinergic receptor antagonist
benzydamine,1.4763,Prostanoid receptor antagonist
A-803467,1.0805,Sodium channel blocker
cilostamide,0.7461,Phosphodiesterase inhibitor
resminostat,0.7686,HDAC inhibitor
genipin,-0.9652,Choleretic agent
CD-437,1.1785,Retinoid receptor agonist
BVD-523,-1.0661,MAP kinase inhibitor
isoflupredone-acetate,0.7645,Glucocorticoid receptor agonist
BGT-226,-0.6195,PI3K inhibitor
chlorambucil,-0.6579,DNA inhibitor
1-naphthyl-PP1,1.3504,Src inhibitor
ziprasidone,1.0249,Dopamine receptor antagonist|Serotonin receptor antagonist
MK-8245,0.7349,Stearoyl-CoA desaturase inhibitor
hypericin,-0.9412,Tyrosine kinase inhibitor
axitinib,-0.8788,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
clomifene,0.6794,Estrogen receptor antagonist
KX2-391,0.5906,Src inhibitor|Tubulin inhibitor
torasemide,1.1588,Electrolyte reabsorption inhibitor|Thromboxane receptor antagonist
homoquinolinic-acid,1.2028,Glutamate receptor agonist
SB-216641,0.7638,Serotonin receptor antagonist
UNBS-5162,-1.4839,CC chemokine receptor antagonist
lucitanib,1.1671,FGFR inhibitor|VEGFR inhibitor
AZD-9668,-0.898,Elastase inhibitor
1-phenylbiguanide,1.0736,Serotonin receptor agonist
rimexolone,1.2288,Glucocorticoid receptor agonist
icotinib,1.8957,EGFR inhibitor
