"","pert_iname","norm_cs","moa"
"53","acemetacin",0.15855,"Cyclooxygenase inhibitor"
"54","acenocoumarol",-0.0111,"Vitamin K antagonist"
"55","acepromazine",0.171025,"Dopamine receptor antagonist"
"56","acetaldehyde",-0.0070333333333333,"Metabolite of ethanol with a role in ethanol addiction"
"57","acetamide",0.10904,"Solvent"
"58","acetazolamide",-0.181642857142857,"Carbonic anhydrase inhibitor"
"59","acetohexamide",-0.00217500000000004,"ATP channel blocker"
"60","acetylcholine",-0.26475,"Acetylcholine receptor agonist"
"61","acetylsalicylsalicylic-acid",0.43325,"Cyclooxygenase inhibitor"
"62","acexamic-acid",0.1979375,"Gastrin inhibitor|5-alpha reductase inhibitor|Reducing agent"
"63","acifran",0.456533333333333,"Cholesterol inhibitor"
"64","acipimox",-0.113766666666667,"Cholesterol inhibitor"
"65","acitretin",-0.137928571428571,"Retinoid receptor agonist"
"66","acivicin",0.101642857142857,"Gamma glutamyltransferase Inhibitors"
"67","aclidinium",-0.595916666666667,"Acetylcholine receptor antagonist"
"68","acrivastine",-0.03373,"Histamine receptor antagonist"
"69","actarit",-0.136,"Interleukin inhibitor"
"70","ACY-1215",0.325576923076923,"HDAC inhibitor"
"71","acyclovir",0.0696111111111111,"DNA inhibitor"
"72","adapalene",-0.249,"Retinoid receptor agonist"
"73","adaprev",0,"TGF-beta receptor inhibitor"
"74","adarotene",-0.7908,"Retinoid receptor agonist"
"75","adatanserin",-0.301785714285714,"Serotonin receptor agonist|Serotonin receptor antagonist"
"76","adenosine",0.399175,"Adenosine receptor agonist"
"77","adiphenine",0.0276333333333333,"Acetylcholine receptor antagonist"
"78","adipiodone",-0.59304,"Radiopaque medium"
"79","ADL-5859",0,"Opioid receptor agonist"
"80","adoprazine",0.20415,"Dopamine receptor antagonist|Serotonin receptor agonist"
"81","AEE-788",0.83324,"EGFR inhibitor|VEGFR inhibitor"
"82","AEG-3482",-1.28234,"HSP inducer|Protein kinase inhibitor"
"83","afatinib",0.308476470588235,"EGFR inhibitor"
"84","aflatoxin-b1",-0.470975,"Carcinogen"
"85","afloqualone",0.5562,"Acetylcholine receptor antagonist"
"86","AG-1024",0,"IGF-1 inhibitor"
"87","AG-14361",-0.197478571428571,"PARP inhibitor"
"88","AG-370",-0.424657142857143,"PDGFR inhibitor"
"89","AG-490",-0.277875,"EGFR inhibitor|ERBB2 inhibitor|JAK inhibitor"
"90","AG-494",-0.38325,"EGFR inhibitor|Tyrosine kinase inhibitor"
"91","AG-592",-0.261844444444444,"Tyrosine kinase inhibitor"
"92","AG-879",0.6204,"Tyrosine kinase inhibitor|Angiogenesis inhibitor|VEGFR inhibitor"
"93","AG-957",-0.660644444444444,"Protein tyrosine kinase inhibitor"
"94","AG-99",0.1566,"Tyrosine kinase inhibitor"
"95","AGI-5198",0,"Isocitrate dehydrogenase inhibitor"
"96","AGI-6780",0.256125,"Isocitrate dehydrogenase inhibitor"
"97","AGK-2",-0.247490909090909,"SIRT inhibitor"
"98","AGN-192403",0.00424285714285714,"Imidazoline receptor ligand"
"99","agomelatine",-0.4514125,"Melatonin receptor agonist|Serotonin receptor antagonist"
"100","AGP-103",0.53945,"Membrane integrity inhibitor"
"101","AH-11110",-0.768175,"Adrenergic receptor antagonist"
"102","AICA-ribonucleotide",-0.169291666666667,"AMPK activator"
"103","ajmaline",0,"Sodium channel inhibitor"
"104","alagebrium",-0.0256666666666667,"Glycosylation inhibitor"
"105","alaproclate",-0.39,"Serotonin receptor antagonist"
"106","albendazole",-0.171208333333333,"Tubulin inhibitor"
"107","alclometasone",0,"Glucocorticoid receptor agonist"
"108","alda-1",-0.176723076923077,"Aldehyde dehydrogenase activator"
"109","alectinib",-0.467542857142857,"ALK inhibitor"
"110","alendronic-acid",0,"Bone resorption inhibitor"
"111","alfadolone-acetate",-0.0170222222222222,"GABA receptor agonist"
"112","alfaxalone",0.1553,"Chloride channel activator|GABA receptor agonist"
"113","alfuzosin",0.0450875,"Adrenergic receptor antagonist"
"114","alimemazine",0.8231,"Histamine receptor agonist"
"115","alisertib",0.336009090909091,"Aurora kinase inhibitor"
"116","aliskiren",-0.0237333333333333,"Antihypertensive|Peptidase inhibitor|Protease inhibitor|Renin inhibitor"
"117","alitretinoin",0.71934,"Retinoid receptor agonist"
"118","alizapride",-0.14685,"Dopamine receptor antagonist"
"119","allantoin",0.63035,"Product of purine catabolism used in cosmetics"
"120","allopurinol",0.228718181818182,"Xanthine oxidase inhibitor"
"121","almitrine",0.0214857142857143,"Neurotransmitter agonist"
"122","almorexant",0.233933333333333,"Orexin receptor antagonist"
"123","alogliptin",0,"Dipeptidyl peptidase inhibitor"
"124","aloisine",-0.0234,"CDK inhibitor|CFTR channel agonist|GSK inhibitor"
"125","alosetron",-0.166416666666667,"Serotonin receptor antagonist"
"126","alpelisib",0.269427272727273,"PI3K inhibitor"
"127","alpha-estradiol",-0.6781,"Estrogen receptor agonist"
"128","alpha-methylserotonin",0,"Serotonin receptor agonist"
"129","alprazolam",-0.02458,"Benzodiazepine receptor agonist"
"130","alprenolol",-0.2148,"Adrenergic receptor antagonist"
"131","alprostadil",0.135293333333333,"Prostanoid receptor agonist"
"132","alrestatin",-0.1594,"Aldose reductase inhibitor"
"133","altanserin",-0.26191,"Serotonin receptor antagonist"
"134","altizide",0.30432,"Diuretic"
"135","altrenogest",0.182825,"Progestogen hormone"
"136","altretamine",0.174461538461538,"DNA inhibitor"
"137","alverine",0.0904857142857143,"Muscle relaxant"
"138","alvespimycin",0.0983111111111111,"HSP inhibitor"
"139","alvimopan",-0.0742666666666667,"Opioid receptor antagonist"
"140","alvocidib",-0.067725,"CDK inhibitor"
"141","ALW-II-38-3",-0.0586166666666667,"Ephrin inhibitor"
"142","ALW-II-49-7",-0.586828571428571,"Ephrin inhibitor"
"143","ALX-5407",0.467463636363636,"Glycine transporter inhibitor"
"144","AM-24",0.100581818181818,"Lipoxygenase inhibitor"
"145","AM-251",0.02397,"Cannabinoid receptor antagonist"
"146","AM-281",-0.4643,"Cannabinoid receptor antagonist"
"147","AM-404",-0.35905,"Cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist"
"148","AM-580",0.186713333333333,"Retinoid receptor agonist"
"149","AM-630",0.30278,"Cannabinoid receptor antagonist"
"150","AM-92016",-0.1059875,"Potassium channel antagonist"
"151","amantadine",-0.0890444444444444,"Glutamate receptor antagonist"
"152","ambelline",0.19808,"Plant alkaloid"
"153","ambrisentan",-0.27392,"Endothelin receptor antagonist"
"154","ambroxol",-0.286353846153846,"Sodium channel inhibitor"
"155","amcinonide",0.293566666666667,"Glucocorticoid receptor agonist"
"156","AMD-11070",0.1212,"CC chemokine receptor antagonist"
"157","amfepramone",0.2449,"Adrenergic receptor agonist"
"158","AMG-208",0.28295,"Tyrosine kinase inhibitor"
"159","AMG-232",0.54245,"MDM inhibitor"
"160","AMG-487",-0.268114285714286,"CC chemokine receptor antagonist"
"161","AMG-517",0.301233333333333,"TRPV antagonist"
"162","AMG-837",0.2798,"Fatty acid receptor agonist"
"163","AMG-900",0.7883,"Aurora kinase inhibitor"
"164","AMG-9810",-0.66795,"TRPV antagonist"
"165","amifostine",0.24575,"Reducing agent"
"166","amikacin",1.1174,"Bacterial 30S ribosomal subunit inhibitor"
"167","amiloride",-0.314107692307692,"Sodium channel inhibitor"
"168","amineptine",0.053,"Dopamine receptor agonist"
"169","aminocaproic-acid",-0.0781444444444444,"Plasminogen activator inhibitor"
"170","aminogenistein",-0.273177777777778,"Src inhibitor"
"171","aminoglutethimide",-0.139177777777778,"Glucocorticoid receptor antagonist"
"172","aminoguanidine",0.219,"Nitric oxide synthase inhibitor"
"173","aminoindazole",0.0482,"Ionophore"
"174","aminolevulinic-acid",-0.00368666666666667,"Oxidizing agent"
"175","aminomethyltransferase",-0.122671428571429,"Nitric oxide synthase inhibitor"
"176","aminopentamide",-0.38542,"Acetylcholine receptor antagonist"
"177","aminopurvalanol-a",-0.10925,"Tyrosine kinase inhibitor|CDK inhibitor"
"178","aminosalicylic-acid",0.24705,"Cyclooxygenase inhibitor"
"179","amiodarone",0.531033333333333,"Potassium channel antagonist"
"180","amiprilose",-0.360111111111111,"CD antagonist"
"181","amisulpride",-0.118233333333333,"Dopamine receptor antagonist"
"182","amitifadine",-0.0118571428571428,"Serotonin receptor antagonist"
"183","amitriptyline",0.2747125,"Norepinephrine inhibitor|Norepinephrine reuptake inhibitor|Serotonin receptor antagonist|Serotonin reuptake inhibitor"
"184","amlexanox",-0.01588,"Histamine receptor antagonist"
"185","amlodipine",0.137642857142857,"Calcium channel blocker"
"186","ammonium-perfluorocaprylate",-0.8702,"PIM inhibitor"
"187","AMN-082",0.10989,"Glutamate receptor antagonist"
"188","amodiaquine",0.09565,"Histamine receptor agonist"
"189","amonafide",-0.221245454545455,"Topoisomerase inhibitor"
"190","amoxapine",0.550908333333333,"Norepinephrine inhibitor"
"191","amoxicillin",-0.014375,"Penicillin binding protein inhibitor"
"192","ampalex",-0.1257625,"Glutamate receptor agonist"
"193","amperozide",-0.144957142857143,"Dopamine receptor antagonist"
"194","ampicillin",0.220625,"Bacterial cell wall synthesis inhibitor"
"195","ampiroxicam",0.137175,"Cyclooxygenase inhibitor"
"196","amprenavir",0,"HIV inhibitor"
"197","ampyrone",-0.96465,"Cyclooxygenase inhibitor"
"198","amrinone",0.214433333333333,"Phosphodiesterase inhibitor"
"199","amsacrine",0.384566666666667,"Topoisomerase inhibitor"
"200","amthamine",0.41871,"Histamine receptor agonist"
"201","amtolmetin-guacil",0.103122222222222,"Cyclooxygenase inhibitor"
"202","amuvatinib",-0.221086666666667,"FLT3 inhibitor|KIT inhibitor|PDGFR inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor"
"203","amygdalin",0,"Caspase activator"
"204","amyleine",0.337457142857143,"Anesthetic - local"
"205","AMZ-30",0.465671428571429,"Protein phosphatase inhibitor"
"206","anacardic-acid",0.13635,"Glyceraldehyde 3-phosphate dehydrogenase inhibitor"
"207","anacetrapib",0.18574,"Cholesterol inhibitor"
"208","anagrelide",-0.296066666666667,"Phosphodiesterase inhibitor"
"209","anamorelin",0.285633333333333,"Growth hormone secretagogue receptor agonist"
"210","anandamide",-0.129128571428571,"Cannabinoid receptor agonist"
"211","anastrozole",-0.2083,"Aromatase inhibitor"
"212","andarine",0.229533333333333,"Androgen receptor antagonist"
"213","androstanol",0,"CAR antagonist"
"214","androstenedione",0.031425,"Cytochrome P450 inhibitor"
"215","androstenol",-0.3949,"GABA receptor antagonist"
"216","anecortave-acetate",-0.105981818181818,"Corticosteroid agonist|Angiogenesis inhibitor"
"217","anethole",0.3921,"Glutathione transferase stimulant"
"218","angiogenesis-inhibitor",-0.3168625,"Angiogenesis inhibitor"
"219","anidulafungin",-0.4002,"Fungal 1,3-beta-D-glucan synthase inhibitor"
"220","aniracetam",-0.0178888888888889,"Glutamate receptor agonist"
"221","anisodamine",-0.4331,"Lipid peroxidase inhibitor"
"222","anisomycin",-0.324385714285714,"DNA inhibitor"
"223","anpirtoline",0.228366666666667,"Serotonin receptor agonist"
"224","antazoline",0.5703,"Antihistamine"
"225","anthothecol",1.1034,"Antimalarial"
"226","antimycin-a",1.11195,"ATP synthase inhibitor"
"227","AP-26113",1.11814,"ALK inhibitor"
"228","apafant",-0.3475,"Platelet activating factor receptor antagonist"
"229","APD-668",0.6513,"Glucose dependent insulinotropic receptor agonist"
"230","aphidicolin",0.17812,"RNA synthesis inhibitor"
"231","API-001",0.0958166666666666,"Sigma receptor antagonist"
"232","apicidin",1.2912625,"HDAC inhibitor"
"233","apigenin",0.0680666666666667,"Casein kinase inhibitor|Cell proliferation inhibitor|Cytochrome P450 inhibitor"
"234","apixaban",0.1138,"Coagulation factor inhibitor"
"235","APO-866",-0.161393333333333,"NAMPT inhibitor"
"236","apocynin",0.0190166666666667,"NADPH inhibitor"
"237","apomorphine",0.41485,"Dopamine receptor agonist"
"238","apremilast",-0.151185714285714,"Phosphodiesterase inhibitor"
"239","aprepitant",-0.210271428571429,"Tachykinin antagonist"
"240","AQ-RA741",0.383211111111111,"Acetylcholine receptor antagonist"
"241","AR-A014418",-0.69358,"GSK inhibitor"
"242","AR-C133057XX",-0.104058333333333,"Nitric oxide synthase inhibitor"
"243","arachidonamide",-0.227825,"Cannabinoid receptor agonist"
"244","arbidol",0.2603,"Cytochrome P450 inhibitor"
"245","arbutin",-0.201975,"Melanin inhibitor"
"246","ARC-239",0.211014285714286,"Adrenergic receptor antagonist"
"247","arctigenin",-0.542122222222222,"MEK inhibitor"
"248","arcyriaflavin-a",-0.199866666666667,"CDK inhibitor"
"249","argatroban",0.0373111111111111,"Thrombin inhibitor"
"250","arglabin",-0.676357142857143,"Farnesyltransferase inhibitor"
"251","aripiprazole",0.137257142857143,"Serotonin receptor agonist|Serotonin receptor antagonist"
"252","aristolochic-acid",-0.0860444444444445,"Phospholipase inhibitor"
"253","armodafinil",0.1372,"Adrenergic receptor agonist"
"254","ARN-509",0.436233333333333,"Androgen receptor antagonist"
"255","arofylline",0,"Phosphodiesterase inhibitor"
"256","ARRY-334543",0.3600125,"EGFR inhibitor"
"257","artemether",-0.18046,"Antimalarial"
"258","artemisinin",-0.8609,"DNA inhibitor"
"259","artesunate",-0.396075,"DNA synthesis inhibitor"
"260","articaine",-0.07,"Anesthetic - local"
"261","arvanil",-0.470622222222222,"TRPV agonist"
"262","AS-1949490",-0.4315,"SHIP2 phosphatase inhibitor"
"263","AS-601245",-0.406041666666667,"JNK inhibitor"
"264","AS-604850",-0.211942857142857,"PI3K inhibitor"
"265","AS-605240",1.03699230769231,"PI3K inhibitor"
"266","AS-703026",1.44517777777778,"MEK inhibitor"
"267","ASA-404",-0.071225,"Angiogenesis inhibitor"
"268","ASC-J9",-0.642675,"Androgen receptor agonist"
"269","asenapine",0.15362,"Dopamine receptor antagonist|Serotonin receptor antagonist"
"270","asiatic-acid",0,"Apoptosis stimulant"
"271","asiaticoside",-0.1060625,"Carcinogen"
"272","ASP-3026",1.1387,"ALK inhibitor"
"273","aspirin",-0.04718,"Cyclooxygenase inhibitor"
"274","AST-1306",0.520392857142857,"EGFR inhibitor"
"275","astemizole",1.1923,"Histamine receptor antagonist"
"276","asymmetrical-dimethylarginine",0.293616666666667,"Nitric oxide synthase inhibitor"
"277","AT-13387",0.3991,"HSP inhibitor"
"278","AT-406",-0.668771428571429,"IAP antagonist"
"279","AT-7519",-0.26558,"CDK inhibitor|Cell cycle inhibitor"
"280","AT-7867",0.10838,"AKT inhibitor"
"281","AT-9283",-0.0432666666666667,"Aurora kinase inhibitor|Abl inhibitor|Bcr-Abl inhibitor|FLT3 inhibitor|JAK inhibitor|Protein kinase inhibitor|Tubulin inhibitor"
"282","ataluren",-0.275166666666667,"CFTR channel agonist|Dystrophin stimulant"
"283","atazanavir",0,"HIV inhibitor"
"284","atipamezole",-0.1218,"Adrenergic receptor antagonist"
"285","ATN-161",0.09065,"Integrin inhibitor"
"286","atomoxetine",0.1231,"Norepinephrine inhibitor"
"287","atorvastatin",0.53254375,"HMGCR inhibitor"
"288","atovaquone",0.327333333333333,"Mitochondrial inhibitor"
"289","ATPA",-0.114825,"Glutamate receptor agonist"
"290","atracurium",-0.168244444444444,"Acetylcholine receptor antagonist"
"291","atrasentan",0.0697142857142857,"Endothelin receptor antagonist"
"292","auranofin",0.18625,"NFKB inhibitor"
"293","auraptene",-0.218822222222222,"Nitric oxide production inhibitor"
"294","austricine",0.266933333333333,"Hypolipidemic"
"295","AV-412",0.23546,"Receptor tyrosine protein kinase inhibitor"
"296","AV-608",0.15345,"Tachykinin antagonist"
"297","AVA",0.38165,"Nucleophosmin inhibitor"
"298","avagacestat",0.00965454545454545,"Gamma secretase inhibitor"
"299","avanafil",0.60145,"Phosphodiesterase inhibitor"
"300","avasimibe",-0.336363636363636,"ACAT inhibitor"
"301","avicin-d",0.36405,"NFKB inhibitor"
"302","avicin-g",0,"NFKB inhibitor"
"303","AVL-292",0.434127272727273,"BTK inhibitor"
"304","AVN-944",0,"Inosine monophosphate dehydrogenase inhibitor"
"305","axitinib",0.3425125,"VEGFR inhibitor|PDGFR inhibitor"
"306","AZ-10417808",-0.0443111111111111,"Caspase inhibitor"
"307","AZ-20",-0.274641666666667,"ATR kinase inhibitor"
"308","AZ-628",1.44985294117647,"RAF inhibitor"
"309","AZ-960",0,"JAK inhibitor"
"310","azacitidine",-0.152384615384615,"DNA inhibitor"
"311","azacyclonol",0.4645,"Histamine receptor antagonist"
"312","azaperone",-0.00603333333333333,"Dopamine receptor antagonist"
"313","azasetron",-0.3698,"Serotonin receptor antagonist"
"314","azathioprine",-0.043675,"Dehydrogenase inhibitor"
"315","azauridine",0.1241375,"Antiviral"
"316","AZD-1208",-0.20355,"PIM inhibitor"
"317","AZD-1283",0.38435,"Purinergic receptor antagonist"
"318","AZD-1480",-0.32375,"JAK inhibitor"
"319","AZD-1981",0.6696,"CRTH receptor antagonist"
"320","AZD-2014",-0.0815833333333333,"MTOR inhibitor"
"321","AZD-2461",-0.305833333333333,"PARP inhibitor"
"322","AZD-3463",1.57263333333333,"ALK inhibitor|IGF-1 inhibitor"
"323","AZD-3514",0.6584875,"Drugs Acting on Androgen Receptor"
"324","AZD-4547",1.00986666666667,"FGFR inhibitor"
"325","AZD-5363",0.012475,"AKT inhibitor"
"326","AZD-5438",-0.564289473684211,"CDK inhibitor"
"327","AZD-6482",0.52945,"PI3K inhibitor"
"328","AZD-7545",0.2842,"PDK inhibitor"
"329","AZD-7687",-0.179428571428571,"Diacylglycerol O acyltransferase inhibitor"
"330","AZD-7762",0.77373,"CHK inhibitor"
"331","AZD-8055",0.83331,"MTOR inhibitor"
"332","AZD-8330",1.43806666666667,"MEK inhibitor"
"333","AZD-8931",0.686266666666667,"EGFR inhibitor"
"334","AZD-9291",0.493858333333333,"EGFR inhibitor"
"335","AZD-9668",-0.165657142857143,"Elastase inhibitor"
"336","azelaic-acid",0.281875,"Tyrosinase inhibitor"
"337","azelastine",0.07958,"Histamine receptor antagonist"
"338","azilsartan",0.5148,"Angiotensin receptor antagonist"
"339","azilsartan-medoxomil",1.03035,"ACE inhibitor|Angiotensin receptor antagonist|Insulin sensitizer"
"340","azithromycin",-0.1623375,"Bacterial 50S ribosomal subunit inhibitor"
"341","baccatin-III",-0.1323375,"Paclitaxel precursor"
"342","baclofen",0.268666666666667,"GABA receptor agonist"
"343","BADGE",-0.317116666666667,"PPAR receptor antagonist"
"344","baeomycesic-acid",0.4027,"Lipoxygenase inhibitor"
"345","BAFILOMYCIN-A1",-0.0138166666666667,"ATPase inhibitor"
"346","baicalin",0.0357625,"Beta glucuronidase inhibitor"
"347","balaglitazone",0.201157142857143,"Insulin sensitizer|PPAR receptor agonist"
"348","balapiravir",0.34514,"RNA polymerase inhibitor"
"349","balicatib",0.1899,"Cathepsin inhibitor"
"350","balsalazide",0.00902500000000001,"Cyclooxygenase inhibitor"
"351","BAM-7",-1.06406666666667,"BAX activator"
"352","bambuterol",-0.28175,"Adrenergic receptor agonist"
"353","BAPTA-AM",-0.1307125,"Potassium channel antagonist"
"354","barasertib",0.462775,"Aurora kinase inhibitor"
"355","barasertib-HQPA",-0.103310526315789,"Aurora kinase inhibitor"
"356","baricitinib",0.116152941176471,"JAK inhibitor"
"357","BAS-09104376",-0.167533333333333,"HIV inhibitor"
"358","basimglurant",-0.291245454545455,"Glutamate receptor antagonist"
"359","batimastat",0.312417647058824,"Matrix metalloprotease inhibitor"
"360","bavisant",-0.05669,"Histamine receptor antagonist"
"361","BAY-11-7082",-0.422216666666667,"NFKB inhibitor"
"362","BAY-36-7620",0.517942857142857,"Glutamate receptor antagonist"
"363","BAY-59-3074",-0.385811111111111,"Cannabinoid receptor antagonist"
"364","BAY-61-3606",-0.167192307692308,"Syk inhibitor"
"365","BAY-87-2243",0.065425,"HIF Inhibitor"
"366","BAY-K8644",0.0803,"Calcium channel activator"
"367","BAZ2-ICR",-0.84045,"Bromodomain inhibitor"
"368","bazedoxifene",0.9085,"Selective estrogen receptor modulator (SERM)"
"369","BCI-540",-0.64965,"Glutamate receptor agonist"
"370","BCI-hydrochloride",-0.00448888888888889,"Protein phosphatase inhibitor"
"371","BCL2-inhibitor",-0.512233333333333,"BCL inhibitor"
"372","BD-1008",0.442642857142857,"Sigma receptor antagonist"
"373","BD-1047",0.4232125,"Adrenergic receptor antagonist"
"374","BD-1063",0.081475,"Sigma receptor antagonist"
"375","BE-2254",-0.622628571428571,"Adrenergic receptor antagonist"
"376","beclometasone",0.333,"Glucocorticoid receptor agonist"
"377","beclomethasone-dipropionate",0.367635714285714,"Immunosuppressant|Glucocorticoid receptor agonist"
"378","belinostat",0.4341,"HDAC inhibitor"
"379","bemegride",0.20804,"Chemoreceptor agonist"
"380","bemesetron",0.218355555555556,"Serotonin receptor antagonist"
"381","benactyzine",0.4146,"Butyrylcholinesterase inhibitor"
"382","benazepril",0.16568,"ACE inhibitor"
"383","bendamustine",0.244383333333333,"DNA inhibitor"
"384","bendroflumethiazide",-0.1144,"Sodium channel inhibitor"
"385","benfluorex",0.52815,"Gluconeogenesis inhibitor"
"386","benperidol",-0.184725,"Dopamine receptor antagonist"
"387","benproperine",0.67164,"Antitussive"
"388","benzamil",0.27755,"Sodium channel inhibitor"
"389","benzanthrone",-0.0174666666666667,"Aromatic hydrocarbon derivative"
"390","benzbromarone",0.48715,"Chloride channel blocker"
"391","benzethonium",1.28035,"Sodium channel inhibitor"
"392","benzocaine",0,"Sodium channel inhibitor"
"393","benzofuran",-0.37178,"Carcinogen"
"394","benzohydroxamic-acid",0.29948,"Antifungal"
"395","benzonatate",0.34246,"Anesthetic - local"
"396","benzopurpurin-4b",0.136371428571429,"Binds HIV gp120 and inhibits HIV-1 entry into the neural cell line SK-N-MC"
"397","benzotript",-0.1808,"CCK receptor antagonist"
"398","benzoxiquine",0.69104,"Anti-inflammatory"
"399","benzthiazide",-0.0275666666666667,"Carbonic anhydrase inhibitor"
"400","benzydamine",-0.579975,"Prostanoid receptor antagonist"
"401","benzyl-alcohol",-0.290833333333333,"Anesthetic - local"
"402","benzylpenicillin",0.201157142857143,"Penicillin binding protein inhibitor"
"403","bepotastine",-0.345766666666667,"Histamine receptor antagonist"
"404","bepridil",0.27625,"Calcium channel blocker"
"405","berbamine",0.596414285714286,"Calmodulin inhibitor"
"406","berberine",-0.03958,"LDL receptor activator"
"407","beta-alanine",0,"Glycine receptor agonist"
"408","beta-CCP",-0.21672,"Indoleamine 2,3-dioxygenase inhibitor"
"409","beta-funaltrexamine",-0.4064,"Opioid receptor antagonist"
"410","betaescin",0,"Interleukin inhibitor"
"411","betahistine",0.479071428571429,"Histamine receptor agonist|Histamine receptor antagonist"
"412","betamethasone",0.36814,"Glucocorticoid receptor agonist"
"413","betamethasone-acetate",0.239,"Glucocorticoid receptor agonist"
"414","betamethasone-valerate",0,"Glucocorticoid receptor agonist"
"415","betaxolol",0.264433333333333,"Adrenergic receptor antagonist"
"416","betazole",0.72335,"Histamine receptor agonist"
"417","bethanechol",0.357985714285714,"Acetylcholine receptor agonist"
"418","betrixaban",0.0107222222222222,"Coagulation factor inhibitor"
"419","betulinic-acid",-0.183254545454545,"Apoptosis stimulant|Caspase activator|Diacylglycerol O acyltransferase inhibitor|HIV inhibitor|NFKB activator|SARS coronavirus 3C-like protease inhibitor|Topoisomerase inhibitor"
"420","bevirimat-dimeglumine",-0.612025,"HIV inhibitor"
"421","bexarotene",0.05147,"Retinoid receptor agonist"
"422","bezafibrate",-0.17713,"PPAR receptor agonist"
"423","BGT-226",0.130838461538462,"PI3K inhibitor"
"424","BH3I-1",-0.196775,"BCL inhibitor"
"425","BI-2536",0.25565,"PLK inhibitor"
"426","BI-78D3",0.218088888888889,"JNK inhibitor"
"427","BI-D1870",0.51404,"Ribosomal protein inhibitor"
"428","BIBR-1532",0.276135714285714,"Telomerase inhibitor"
"429","BIBU-1361",1.35308571428571,"EGFR inhibitor"
"430","BIBX-1382",0.59203,"EGFR inhibitor|Tyrosine kinase inhibitor"
"431","bicalutamide",-0.0189222222222222,"Androgen receptor antagonist"
"432","bicuculline",-0.633866666666667,"GABA receptor antagonist"
"433","bietaserpine",0,"Vesicular monoamine transporter inhibitor"
"434","bifemelane",0.620357142857143,"Acetylcholine receptor agonist"
"435","bifonazole",0.08252,"Sterol demethylase inhibitor"
"436","BIIB-021",0.536109090909091,"HSP inhibitor"
"437","bilobalide",0.91465,"GABA receptor modulator"
