Drug,Pearson.est,Pearson.p,Pearson.q,Spearman.est,Spearman.p,Spearman.q,Slope,Intercept,R.squared,Rank.slope,Rank.intercept,Rank.R.squared,N
acetylcysteine,-0.066078896,0.271339735,0.533831435,-0.057182088,0.341289757,0.583456398,-4.41E-05,1.213203895,0.00436642,-0.057182088,148.0054924,0.003269791,279
acetylsalicylsalicylic.acid,-0.106330649,0.066797061,0.246882014,-0.088528888,0.127304483,0.332738071,-6.47E-05,1.099242843,0.011306207,-0.088528888,162.7350688,0.007837364,298
acipimox,-0.134524156,0.019349617,0.138108615,-0.166085727,0.003798575,0.048904391,-0.000113923,1.047466751,0.018096748,-0.166085727,176.6619876,0.027584469,302
acivicin,-0.00754543,0.903999346,0.953430612,0.022125219,0.723562772,0.852893414,-4.25E-06,0.839715434,5.69E-05,0.022125219,126.6347842,0.000489525,258
ACY.1215,0.047838723,0.400499559,0.667687021,0.048989492,0.389250536,0.622459814,2.31E-05,0.944347182,0.002288543,0.048989492,148.3576392,0.00239997,311
adapalene,0.048975836,0.401963668,0.667687021,0.056543607,0.333134429,0.575630851,1.93E-05,1.129706781,0.002398633,0.056543607,139.6315462,0.003197179,295
adaprev,-0.115344953,0.039502257,0.194555333,-0.091627358,0.102357447,0.296740087,-7.41E-05,0.907349051,0.013304458,-0.091627358,174.6603774,0.008395573,319
adarotene,-0.138806771,0.262614142,0.525714105,-0.143387341,0.247034691,0.480142594,-3.53E-05,0.703961386,0.01926732,-0.143387341,38.87516961,0.02055993,67
adefovir.dipivoxil,-0.061929651,0.32461211,0.590698947,-0.041342925,0.511032349,0.708788162,-2.81E-05,0.838406053,0.003835282,-0.041342925,133.2918944,0.001709237,255
ADL5859,0.030090439,0.613579203,0.798856401,0.030866995,0.604451904,0.785678956,2.60E-05,1.320351685,0.000905435,0.030866995,138.1014532,0.000952771,284
AEE788,0.029356528,0.610749699,0.797855135,0.026905483,0.64086508,0.814352087,2.25E-05,1.060020529,0.000861806,0.026905483,147.9103665,0.000723905,303
AEG3482,-0.058308277,0.311714093,0.580903483,-0.072672543,0.207149182,0.439168397,-3.95E-05,1.044103528,0.003399855,-0.072672543,163.0462265,0.005281298,303
afatinib,0.108636581,0.058498531,0.232708442,0.116276235,0.042778097,0.183806185,5.57E-05,0.861596072,0.011801907,0.11604725,134.8027944,0.013520163,304
afobazole,-0.094415898,0.097588997,0.297043642,-0.120771493,0.033826105,0.161723787,-7.00E-05,1.181719134,0.008914362,-0.120771493,173.7195814,0.014585753,309
AG.14361,-0.140472295,0.020010789,0.139978853,-0.169726624,0.004845957,0.056066323,-8.79E-05,1.156947307,0.019732466,-0.169726624,160.8374108,0.028807127,274
ajmaline,-0.115135617,0.055627465,0.22753833,-0.115385137,0.055095979,0.216176378,-9.49E-05,1.079271722,0.01325621,-0.115385137,155.038534,0.01331373,277
albendazole,-0.021910593,0.707828496,0.848023742,-0.082487122,0.157609516,0.37215211,-1.32E-05,0.816631177,0.000480074,-0.082487122,160.2080941,0.006804125,295
alectinib,0.017923503,0.762796361,0.879116634,-0.00984129,0.868387966,0.932116957,3.55E-06,0.962477083,0.000321252,-0.00938984,144.847442,9.69E-05,286
alexidine,0.032375154,0.569497208,0.775267868,-0.00590467,0.91739823,0.961210302,7.39E-06,0.897216656,0.001048151,-0.00590467,156.9211285,3.49E-05,311
alfacalcidol,-0.027813454,0.628499276,0.807512823,-0.035019202,0.542352287,0.736703669,-2.03E-05,1.000018304,0.000773588,-0.035019202,158.3579379,0.001226344,305
alisertib,-0.048442868,0.386268426,0.654087754,-0.031586064,0.572258535,0.762309438,-3.92E-05,0.776127095,0.002346711,-0.031586064,166.6011494,0.000997679,322
almorexant,-0.068397089,0.235988274,0.491790684,-0.063931105,0.268064769,0.507224555,-5.10E-05,1.318792848,0.004678162,-0.063931105,161.1855625,0.004087186,302
alogliptin,0.055007993,0.384550745,0.654087754,0.035800333,0.571619097,0.76221065,4.69E-05,1.220452518,0.003025879,0.035800333,121.9712578,0.001281664,252
alpelisib,0.100977061,0.088276941,0.279093911,0.098307886,0.097059838,0.289182398,3.06E-05,0.932866378,0.010196367,0.096547099,129.6454914,0.00966444,286
altretamine,0.011880038,0.901061579,0.952362895,0.024780469,0.795365508,0.893470531,1.17E-05,1.159364565,0.000141135,0.024780469,55.09990347,0.000614072,112
alvespimycin,-0.039866487,0.492976394,0.733636428,-0.024547099,0.673002153,0.832200784,-1.46E-05,0.841991612,0.001589337,-0.024534587,153.1679208,0.00060256,298
alvocidib,0.01597062,0.78545149,0.889236714,0.014989974,0.79833341,0.893470531,6.39E-06,0.694364947,0.000255061,0.014989824,144.7964959,0.000224699,293
AM.251,-0.044354842,0.436465378,0.696037299,-0.053692815,0.346079827,0.587483692,-2.34E-05,0.994463711,0.001967352,-0.053692815,163.8492327,0.002882918,310
AM.404,0.049718936,0.525957833,0.754793798,0.000221729,0.997744771,0.998434297,4.09E-05,1.051173759,0.002471973,0.000221729,82.98159645,4.92E-08,165
AM.580,-0.042271232,0.489955344,0.733636428,0.052679601,0.389467259,0.622459814,-2.29E-05,0.961916029,0.001786857,0.052679601,127.8882539,0.00277514,269
ambazone,-0.100811626,0.087684076,0.278435399,-0.11849051,0.044517104,0.188481772,-7.45E-05,1.147279858,0.010162984,-0.11849051,161.6218786,0.014040001,288
amfenac,-0.018398897,0.748544489,0.875518917,0.014657038,0.798446732,0.893470531,-1.08E-05,0.970124557,0.000338519,0.014657038,151.2501446,0.000214829,306
AMG.208,-0.123309847,0.036810553,0.186670548,-0.13497935,0.022184589,0.124937575,-0.0001274,1.300437279,0.015205318,-0.13497935,163.4370264,0.018219425,287
AMG.232,-0.144966083,0.013150462,0.115405269,-0.180149446,0.0019981,0.034443438,-0.000124128,1.032643852,0.021015165,-0.180149446,172.8918938,0.032453823,292
AMG458,-0.046343359,0.417680904,0.683392033,-0.037625004,0.510625361,0.708788162,-3.10E-05,1.073073531,0.002147707,-0.037625004,160.3130632,0.001415641,308
AMG900,-0.023349903,0.682652625,0.837695763,-0.006812386,0.905063933,0.9531146,-1.87E-05,0.660118542,0.000545218,-0.006812386,156.0559198,4.64E-05,309
aminoglutethimide,-0.000137132,0.998167496,0.998816149,-0.048148099,0.419747408,0.647995856,-2.15E-08,0.967463214,1.88E-08,-0.045205751,148.4192166,0.002318239,283
aminopurvalanol.a,0.016095149,0.77529755,0.882393315,-0.018985082,0.7363319,0.860539622,9.24E-06,0.936176921,0.000259054,-0.018985082,162.018628,0.000360433,317
amisulpride,-0.222112881,0.000234323,0.012566651,-0.199818928,0.000961747,0.024972649,-0.000137743,1.141464805,0.049334132,-0.199818928,162.5754647,0.039927604,270
amonafide,-0.133850831,0.0183843,0.1344468,-0.143006355,0.011712705,0.087256995,-0.00015094,1.087934335,0.017916045,-0.143006355,177.7374883,0.020450818,310
amoxicillin,-0.026764215,0.650476056,0.819712685,-0.045117925,0.444825649,0.669550457,-1.66E-05,1.143514,0.000716323,-0.045117925,151.5420992,0.002035627,289
amprolium,-0.128050228,0.036870012,0.186670548,-0.166661619,0.006440909,0.063016458,-8.34E-05,1.392441562,0.016396861,-0.166661619,155.7493261,0.027776095,266
amsacrine,-0.109814583,0.064120822,0.241160908,-0.112167521,0.05859017,0.220933767,-4.44E-05,0.657566254,0.012059243,-0.112167521,159.0399555,0.012581553,285
anagrelide,-0.014291913,0.809496198,0.90373978,-0.016563714,0.779936594,0.88299311,-5.74E-06,0.906248607,0.000204259,-0.016475902,146.3725299,0.000274357,287
anastrozole,-0.095511246,0.134422701,0.356198444,-0.102536496,0.107933116,0.302724999,-8.15E-05,1.28621899,0.009122398,-0.102536496,136.7145255,0.010513733,247
anguidine,-0.064107199,0.259679013,0.522258685,-0.08831473,0.120133371,0.321539965,-1.89E-05,0.604239926,0.004109733,-0.08831473,169.7770978,0.007799491,311
anisomycin,-0.150077341,0.007530797,0.087097301,-0.174791929,0.001815273,0.033421719,-4.27E-05,0.705147511,0.022523208,-0.174791929,186.2045208,0.030552219,316
AP26113,0.07061355,0.218815284,0.472222516,0.073533641,0.200309197,0.432907042,5.36E-05,0.940454492,0.004986273,0.073533641,141.7493529,0.005407196,305
apatinib,-0.090977434,0.114626205,0.321986924,-0.064023905,0.267369305,0.506741824,-6.56E-05,1.034442974,0.008276893,-0.064023905,161.1996216,0.00409906,302
aphidicolin,-0.037588092,0.537804993,0.757530769,-0.023605986,0.698858948,0.837940017,-1.48E-05,0.752746688,0.001412865,-0.023605986,139.2104141,0.000557243,271
AR.12,-0.069446237,0.230422581,0.485665062,-0.057517084,0.320764351,0.565732985,-2.94E-05,0.819132654,0.00482278,-0.057517084,159.1563211,0.003308215,300
AR.42,-0.017432825,0.757558827,0.879116634,-0.010050903,0.858750302,0.926580058,-7.73E-06,0.764515505,0.000303903,-0.010050903,160.0930681,0.000101021,316
arctigenin,-0.122116747,0.029207056,0.167652164,-0.071475572,0.202942768,0.436200823,-7.60E-05,0.964894459,0.0149125,-0.071475572,171.4360916,0.005108757,319
arcyriaflavin.a,-0.063522104,0.26796791,0.528634242,-0.059774238,0.297284216,0.54146861,-5.13E-05,1.051267728,0.004035058,-0.059774238,162.6753455,0.00357296,306
aripiprazole,-0.18823192,0.440280673,0.699809456,-0.18245614,0.454686131,0.678048936,-3.04E-05,0.91514504,0.035431256,-0.18245614,11.8245614,0.033290243,19
ARRY.334543,0.095755949,0.097838561,0.297043642,0.071649053,0.215935594,0.44542159,3.57E-05,0.863732745,0.009169202,0.071628351,139.7199331,0.005133587,300
artemisinin,-0.118526598,0.03730511,0.188215328,-0.137078268,0.015898247,0.103696677,-7.44E-05,1.013219072,0.014048554,-0.137078268,176.2471315,0.018790452,309
artesunate,-0.160871437,0.005073515,0.078994089,-0.156998365,0.006256985,0.062191874,-0.000147685,1.156062362,0.025879619,-0.156998365,175.2852522,0.024648487,302
AS.1949490,-0.048789654,0.406990748,0.671210254,-0.084639808,0.149805696,0.360929529,-3.25E-05,1.066421274,0.00238043,-0.084639808,158.357412,0.007163897,291
AS.703026,-0.17867046,0.001731599,0.044774202,-0.17707044,0.001907489,0.034126061,-0.000127809,0.814861693,0.031923133,-0.175003807,179.7755824,0.031353941,305
aspirin,-0.037721463,0.529610366,0.7555663,-0.013371437,0.82372544,0.904647183,-2.80E-05,1.038570247,0.001422909,-0.013371435,142.3786866,0.000178795,280
AST.1306,0.030352279,0.676003059,0.833199981,0.001690381,0.981435167,0.992932553,1.74E-05,0.920022443,0.000921261,0.001690381,96.33687827,2.86E-06,192
astemizole,-0.16063801,0.005686779,0.083660877,-0.17378958,0.002743681,0.040244588,-0.000110578,1.152365847,0.02580457,-0.17378958,173.7208578,0.030202818,295
asymmetrical.dimethylarginine,-0.02334573,0.687149266,0.838947839,-0.034868832,0.54743538,0.739446297,-1.40E-05,0.869420636,0.000545023,-0.034868832,155.7477592,0.001215835,300
AT.7519,0.038834894,0.495710985,0.735089249,0.085207818,0.134418924,0.344310834,1.48E-05,0.779585964,0.001508149,0.085194603,142.2522393,0.007260372,310
AT.9283,-0.067819273,0.265894473,0.527095647,-0.081315872,0.18199034,0.407928811,-4.18E-05,0.783415707,0.004599454,-0.081315872,147.0589586,0.006612271,271
AT13387,-0.066778345,0.262857053,0.525714105,-0.086265173,0.14776213,0.360690954,-3.63E-05,0.727380129,0.004459347,-0.08624206,154.2463725,0.00744168,283
AT7867,-0.01950355,0.767617482,0.879116634,-0.024962088,0.705269769,0.841485582,-1.74E-05,1.169295972,0.000380388,-0.024962088,119.4080833,0.000623106,232
atenolol....,-0.055194059,0.375420823,0.64408691,-0.059555729,0.338804796,0.581956518,-5.81E-05,1.445356658,0.003046384,-0.059555729,138.2720226,0.003546885,260
atenolol......,-0.013120397,0.827289393,0.91374145,0.00833582,0.889756014,0.941953176,-6.94E-06,1.023452807,0.000172145,0.00833582,138.8329852,6.95E-05,279
atipamezole,-0.182273216,0.001363362,0.038708781,-0.181761052,0.001407317,0.028731425,-0.000133548,1.030341287,0.033223525,-0.181761052,181.4003214,0.03303708,306
atiprimod,0.00536023,0.926336551,0.962220463,-0.013905851,0.810436847,0.900322351,1.97E-06,0.867083686,2.87E-05,-0.013882376,152.5892977,0.000193373,300
atorvastatin,-0.175656167,0.002340394,0.051346818,-0.18736375,0.001155545,0.027193609,-0.000173352,1.120210659,0.030855089,-0.18736375,177.5108806,0.035105175,298
aurora.a.inhibitor.i,0.102740225,0.071315371,0.252480824,0.030308195,0.595604405,0.780049291,3.05E-05,0.880987277,0.010555554,0.030308182,150.3022317,0.000918587,309
AV.412,0.063899804,0.259686639,0.522258685,0.112906659,0.045942941,0.192054852,1.55E-05,0.880605466,0.004083185,0.112906659,139.2736545,0.012747914,313
avanafil,0.03585217,0.558971533,0.768415131,0.032588197,0.595322305,0.780049291,1.83E-05,1.100272077,0.001285378,0.032588197,130.1168875,0.001061991,268
AVL.292,0.05695394,0.324721244,0.590698947,0.036919315,0.523422475,0.721824518,1.60E-05,0.922419935,0.003243751,0.036705903,145.4574086,0.001363036,301
AVN.944,-0.072143795,0.212773643,0.46324088,-0.081680757,0.15818414,0.372440056,-2.70E-05,0.89617372,0.005204727,-0.080678674,162.6421405,0.006671746,300
axitinib,0.027334059,0.640662928,0.813919961,0.042352208,0.469421794,0.68148609,9.35E-06,0.905074544,0.000747151,0.042040084,141.2990876,0.001793709,294
AZ.628,-0.224092933,0.000125394,0.008646215,-0.202097173,0.000559635,0.01976467,-9.90E-05,0.907530374,0.050217643,-0.191887802,172.2277875,0.040843267,288
AZ20,0.008383961,0.883115343,0.943031723,0.003188446,0.95541212,0.981160816,2.81E-06,0.829695348,7.03E-05,0.003188446,155.0041967,1.02E-05,310
AZ3146,-0.154322635,0.006655375,0.084534934,-0.120521173,0.034493904,0.16234405,-9.90E-05,0.954011236,0.023815476,-0.120521173,173.1205212,0.014525353,308
AZ960,-0.05415969,0.342682362,0.61148827,-0.068834423,0.227614614,0.463552689,-2.76E-05,0.816480524,0.002933272,-0.068834423,165.6693355,0.004738178,309
azacitidine,-0.013367784,0.81884936,0.909274443,-0.046154944,0.428861432,0.657032476,-3.44E-06,0.942503381,0.000178698,-0.045082756,155.1947893,0.002130279,296
azalomycin.b,-0.030712172,0.585307576,0.783295166,-0.069806824,0.214440722,0.444220551,-7.27E-06,0.734138055,0.000943238,-0.069806824,170.6341884,0.004872993,318
azathioprine,-0.14804873,0.010236409,0.102183759,-0.172817476,0.002669635,0.040244588,-0.000122706,1.082060647,0.021918426,-0.172817476,176.5090301,0.02986588,300
AZD1480,-0.043572042,0.476684778,0.729640126,-0.072517832,0.235857947,0.470956672,-2.48E-05,1.007539146,0.001898523,-0.072517832,144.7899073,0.005258836,269
AZD2014,-0.119326671,0.038220015,0.190180693,-0.115128623,0.045600014,0.192054852,-5.56E-05,0.846443204,0.014238854,-0.11467643,168.8734791,0.0132546,302
AZD2461,-0.105282597,0.067226347,0.246882014,-0.104458206,0.069409048,0.240485785,-9.16E-05,1.05432627,0.011084425,-0.104458206,167.8776474,0.010911517,303
AZD2858,0.040089669,0.486910005,0.733636428,0.05851989,0.309958269,0.553088439,2.25E-05,0.873747775,0.001607182,0.05851989,143.1049767,0.003424578,303
AZD3463,-0.164032118,0.003612551,0.066214862,-0.147950638,0.008754797,0.07483469,-5.88E-05,0.727899556,0.026906536,-0.147950638,180.2282502,0.021889391,313
AZD4547,0.048968706,0.452095382,0.711003307,0.021721628,0.738847445,0.862087913,4.84E-05,1.269064627,0.002397934,0.021721628,116.9042655,0.000471829,238
AZD5363,-0.09517096,0.092272315,0.286717407,-0.039234235,0.488481235,0.694062318,-7.77E-05,0.982615906,0.009057512,-0.039234235,163.679392,0.001539325,314
AZD5438,-0.061089957,0.285965983,0.549905369,-0.103514133,0.070112406,0.241720867,-1.00E-05,0.820611844,0.003731983,-0.103514133,169.9411765,0.010715176,307
AZD6482,0.033905646,0.543737257,0.759972537,0.023679546,0.671578133,0.832059618,9.99E-06,0.771125014,0.001149593,0.023679546,158.1639136,0.000560721,323
AZD7762,0.105249109,0.061660664,0.236133169,0.104136694,0.064476862,0.231095287,3.99E-05,0.545218132,0.011077375,0.104136694,141.9943339,0.010844451,316
AZD8055,-0.011194282,0.845122345,0.923575212,-0.048870718,0.393492355,0.624071117,-3.90E-06,0.626281375,0.000125312,-0.048870718,161.5260906,0.002388347,307
AZD8330,-0.2351063,2.15E-05,0.004406758,-0.239477192,1.49E-05,0.001960084,-0.000183891,0.536414906,0.055274972,-0.239477192,198.9360893,0.057349326,320
AZD8931,0.215915993,0.000228298,0.012566651,0.207979015,0.000389832,0.016374125,0.000114804,0.885403014,0.046619716,0.200621787,115.1104627,0.043255271,287
AZD9668,-0.126366323,0.028112356,0.164804418,-0.144103181,0.012177474,0.088607949,-0.000109768,1.031269954,0.015968448,-0.144103181,173.3316319,0.020765727,302
azilsartan,-0.026041345,0.654348117,0.820342921,0.100029951,0.08473429,0.268479762,-1.17E-05,0.95223592,0.000678152,0.100029951,134.5455223,0.010005991,298
azithromycin,0.005875993,0.920773183,0.962180193,-0.011162152,0.850139769,0.921408971,1.87E-06,0.883389346,3.45E-05,-0.011162152,146.6185121,0.000124594,289
azodicarbonamide,-0.026014276,0.651966156,0.819712685,-0.017245634,0.764959581,0.875760727,-1.90E-05,1.216329464,0.000676743,-0.017245634,154.6213363,0.000297412,303
azomycin..2.nitroimidazole.,-0.051271794,0.397901266,0.666082119,-0.058797553,0.332214806,0.575230089,-3.03E-05,1.150853556,0.002628797,-0.058797553,145.5846635,0.003457152,274
aztreonam,-0.107377197,0.065972383,0.246842404,-0.103399393,0.076706321,0.253695008,-6.65E-05,1.04637506,0.011529862,-0.103399393,162.7514105,0.010691434,294
bafetinib,-0.084575007,0.136074938,0.35874086,-0.101212287,0.074232701,0.249974306,-3.85E-05,0.960630863,0.007152932,-0.101212287,172.339723,0.010243927,312
baicalein,-0.03867007,0.504619646,0.739626798,-0.009972555,0.863427379,0.928168408,-3.05E-05,1.175518969,0.001495374,-0.009972555,152.0008696,9.95E-05,300
baicalin,-0.005794558,0.924213968,0.962180193,-0.012702244,0.834811712,0.91230744,-3.76E-06,1.000619416,3.36E-05,-0.012702242,138.2338561,0.000161347,272
balapiravir,-0.114355891,0.045631552,0.204630295,-0.120920303,0.034485502,0.16234405,-0.000103993,1.016168421,0.01307727,-0.120920303,172.0612665,0.01462172,306
BAM7,-0.068588796,0.23545743,0.491790684,-0.077845592,0.177981528,0.403313385,-7.58E-05,1.169157765,0.004704423,-0.077845592,162.7546844,0.006059936,301
BAN.ORL.24,-0.099630512,0.092051119,0.286645204,-0.098229514,0.096739556,0.288822428,-6.81E-05,1.461706379,0.009926239,-0.098229514,158.1450501,0.009649037,287
barasertib,0.010109342,0.862729327,0.930180242,-0.04216412,0.470639565,0.68148609,3.86E-06,0.913326883,0.000102199,-0.041025737,154.0718091,0.001777813,295
barasertib.HQPA,-0.028772646,0.616699813,0.800880116,-0.041548241,0.469715735,0.68148609,-2.39E-05,0.815155846,0.000827865,-0.041548241,159.3568809,0.001726256,305
bardoxolone,-0.052720303,0.44727945,0.705518656,-0.103400466,0.135312242,0.344310834,-2.99E-05,0.72866091,0.00277943,-0.103400466,116.4087491,0.010691656,210
bardoxolone.methyl,0.045835008,0.43443433,0.694327714,0.035871125,0.540811081,0.735299949,1.71E-05,0.764616643,0.002100848,0.035870765,141.7269975,0.001286738,293
baricitinib,0.004564341,0.937039574,0.968474878,0.001318142,0.981800325,0.992932553,3.27E-06,0.938463904,2.08E-05,0.001318142,151.3003014,1.74E-06,302
batimastat,0.058108866,0.313374642,0.582498692,0.059509796,0.301831133,0.545632311,1.73E-05,0.926756123,0.00337664,0.05855591,143.0995017,0.003541416,303
BAY.11.7082,-0.03830733,0.508628242,0.741685493,0.013288371,0.818705223,0.902195709,-8.19E-06,0.910984787,0.001467452,0.01328837,148.5001003,0.000176581,300
BAY.11.7085,-0.023304067,0.683241896,0.837708946,0.009382131,0.869528035,0.932649329,-1.09E-05,0.849591886,0.00054308,0.009382131,153.5457698,8.80E-05,309
BAY.87.2243,-0.098271578,0.083086424,0.270357623,-0.169974294,0.002593251,0.040244588,-5.89E-05,0.568733996,0.009657303,-0.169974294,183.100977,0.028891261,312
BAY.K.8644..s.....,-0.056785584,0.345527358,0.61148827,-0.081391507,0.175992017,0.400057206,-3.97E-05,1.292470578,0.003224603,-0.081391507,150.8541153,0.006624577,278
beclomethasone.dipropionate,-0.12013159,0.047369776,0.209120233,-0.070712564,0.244237414,0.477913211,-0.000127566,1.007457477,0.014431599,-0.070712564,146.6876212,0.005000267,273
bekanamycin,-0.069709365,0.226324743,0.481938569,-0.076366865,0.184921737,0.411948731,-6.27E-05,1.194123846,0.004859396,-0.076366865,163.6077634,0.005831898,303
belinostat,0.030395245,0.605580851,0.797855135,0.007346071,0.900700174,0.951286544,1.21E-05,0.861715927,0.000923871,0.007333369,144.9293281,5.40E-05,291
bendamustine,0.006219303,0.912593472,0.958256234,0.016442676,0.771645982,0.879431092,3.95E-06,1.07750911,3.87E-05,0.016442676,154.9102786,0.000270362,314
bendroflumethiazide,-0.052307411,0.392830577,0.661007147,-0.044513492,0.467203783,0.680594646,-4.33E-05,1.384536053,0.002736065,-0.044513492,141.0093214,0.001981451,269
benfotiamine,-0.017551936,0.77735603,0.882393315,-0.024412735,0.694080317,0.835822411,-1.34E-05,1.378544915,0.00030807,-0.024412735,134.7102746,0.000595982,262
bentazepam,0.134730791,0.022198711,0.146775036,0.152854973,0.009375805,0.076701498,4.92E-05,0.961179268,0.018152386,0.152854973,122.4124564,0.023364643,288
benzethonium,-0.250504794,5.41E-05,0.006525671,-0.278026901,6.85E-06,0.001240622,-0.000161887,0.7265452,0.062752652,-0.278026901,162.9484299,0.077298958,254
benzocaine,0.020298483,0.766223024,0.879116634,0.018867703,0.782273161,0.883565942,1.47E-05,1.215208308,0.000412028,0.018867703,106.9434204,0.00035599,217
benzydamine,-0.158469776,0.006564466,0.084534934,-0.185696729,0.001408792,0.028731425,-0.00014047,1.15450734,0.02511267,-0.185696729,174.2974192,0.034483275,293
benzyldimethylhexadecylammonium,-0.011238746,0.844767234,0.923575212,0.004276304,0.940613364,0.972395347,-6.53E-06,1.037014663,0.000126309,0.004276304,152.8435873,1.83E-05,306
bephenium.hydroxynaphthoate,-0.097186128,0.112438274,0.321986924,-0.104234477,0.088557228,0.273413362,-5.88E-05,1.215686611,0.009445143,-0.104234477,148.5195371,0.010864826,268
berberine,-0.125933524,0.025409591,0.155902914,-0.163844385,0.003544138,0.048414269,-4.92E-05,0.82128086,0.015859252,-0.163844385,183.8874128,0.026844982,315
beta.lapachone,0.032773202,0.560374797,0.769121049,-0.004131154,0.941504335,0.972395347,5.72E-06,0.774276663,0.001074083,-0.004131154,160.1589191,1.71E-05,318
betamethasone,-0.018274458,0.763308995,0.879116634,-0.0029305,0.961487715,0.986001566,-1.71E-05,1.106597874,0.000333956,-0.0029305,137.9029438,8.59E-06,274
betamethasone.dipropionate,-0.088487755,0.121828921,0.334106587,-0.089177157,0.11893861,0.320512153,-9.04E-05,1.077894841,0.007830083,-0.089177157,167.7332822,0.007952565,307
betulinic.acid,-0.141576214,0.021142881,0.143060244,-0.122696321,0.045993264,0.192054852,-8.73E-05,0.943648338,0.020043824,-0.122696321,149.3186106,0.015054387,265
bexarotene,0.014732323,0.802061645,0.901533073,0.015234797,0.795457214,0.893470531,3.84E-06,0.933846892,0.000217041,0.01508893,144.2894718,0.000232099,292
BF2.649,-0.134028584,0.017855031,0.133268478,-0.158007095,0.005152324,0.056186849,-0.000157784,1.207253364,0.017963661,-0.158007095,181.2281103,0.024966242,312
BGT226,-0.053002339,0.358666982,0.628082565,-0.083368424,0.148374267,0.360690954,-1.49E-05,0.411045312,0.002809248,-0.083368424,164.1303162,0.006950294,302
BI.2536,-0.042568576,0.449373385,0.708044245,-0.048015316,0.39346178,0.624071117,-3.04E-05,0.550677837,0.001812084,-0.048015316,167.1584429,0.002305471,318
BI.78D3,0.102482225,0.076344264,0.260722864,0.093317037,0.106728737,0.300939453,2.30E-05,0.857719953,0.010502606,0.093317037,136.455786,0.008708069,300
BI.D1870,-0.161371567,0.005233137,0.079764023,-0.183075848,0.001503721,0.029424165,-0.000145946,1.215088431,0.026040783,-0.183075848,176.8698393,0.033516766,298
BIBR.1532,-0.030723766,0.584571825,0.78303423,-0.021239723,0.705499652,0.841485582,-1.79E-05,0.918025218,0.00094395,-0.021239723,163.3983557,0.000451126,319
BIBU.1361,-0.104366494,0.066483015,0.246882014,-0.105634814,0.06322872,0.229527637,-8.40E-05,1.006889942,0.010892365,-0.105634814,171.9262136,0.011158714,310
BIBX.1382,-0.048832849,0.402538174,0.667687021,-0.071988784,0.216866175,0.44542159,-3.03E-05,0.978418691,0.002384647,-0.071988784,159.1903344,0.005182385,296
bicalutamide,-0.073146427,0.239857606,0.49616259,-0.117013338,0.059542015,0.222208343,-4.29E-05,1.138522589,0.0053504,-0.117013338,145.7702406,0.013692121,260
bifemelane,-0.106133113,0.069188479,0.249167198,-0.09455802,0.10565124,0.299379639,-6.94E-05,1.077425569,0.011264238,-0.09455802,161.4473079,0.008941219,294
BIIB021,-0.009031993,0.874763372,0.93881414,-0.042019235,0.463218666,0.679157877,-4.00E-06,0.818099548,8.16E-05,-0.041943813,160.4593473,0.001765616,307
