"","file","V1","Correlation","ES","NES","p","q","N","expr.string","expr.value","AUC.string","AUC.value","Average.NES","SD.NES","Average.q","SD.q","percent.q0.05","percent.q0.25"
"11","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",11,"expr_value_added_0_WGV_AUC_value_added_0.1_correlation",0.89635,2.25,0,0.00489,"1_","expr_value_added_0_WGV_",0,"AUC_value_added_0.1_correla",0.1,2.1896,0.199815833574166,0.07855668,0.166389682900142,78,86
"12","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",12,"expr_value_added_0.01_WGV_AUC_value_added_0_correlation",0.40111,1.01,0.448,1,"1_","expr_value_added_0.01_W",0.01,"GV_AUC_value_added_0_correl",0,0.04692,1.09773835847777,0.91214,0.154676094745485,0,2
"13","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",13,"expr_value_added_0.01_WGV_AUC_value_added_0.01_correlation",-0.25163,-0.636,0.9,1,"1_","expr_value_added_0.01_W",0.01,"GV_AUC_value_added_0.01_cor",0.01,0.49852,0.93034444444309,0.91688,0.134531938397466,0,0
"14","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",14,"expr_value_added_0.01_WGV_AUC_value_added_0.02_correlation",0.74149,1.91,0.00794,0.26,"1_","expr_value_added_0.01_W",0.01,"GV_AUC_value_added_0.02_cor",0.02,1.1689,0.701558418298658,0.805132,0.246630049677815,2,4
"15","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",15,"expr_value_added_0.01_WGV_AUC_value_added_0.03_correlation",0.7606,1.88,0.0185,0.346,"1_","expr_value_added_0.01_W",0.01,"GV_AUC_value_added_0.03_cor",0.03,1.4428,0.450694384890059,0.735514,0.30514083333331,0,12
"16","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",16,"expr_value_added_0.01_WGV_AUC_value_added_0.04_correlation",0.79318,2.04,0,0.0872,"1_","expr_value_added_0.01_W",0.01,"GV_AUC_value_added_0.04_cor",0.04,1.7288,0.240828840906244,0.5193796,0.323827926705098,4,30
"17","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",17,"expr_value_added_0.01_WGV_AUC_value_added_0.05_correlation",0.76643,2.01,0.00386,0.0986,"1_","expr_value_added_0.01_W",0.01,"GV_AUC_value_added_0.05_cor",0.05,1.79348,0.327169383827836,0.4145302,0.344659470578052,18,36
"18","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",18,"expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation",0.82431,2.04,0,0.0668,"1_","expr_value_added_0.01_W",0.01,"GV_AUC_value_added_0.06_cor",0.06,1.9258,0.201606709476948,0.27089526,0.27924555255997,18,62
"19","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",19,"expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation",0.84972,2.16,0,0.0162,"1_","expr_value_added_0.01_W",0.01,"GV_AUC_value_added_0.07_cor",0.07,2.048,0.165886609908512,0.1412927,0.181140420412886,40,80
"20","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",20,"expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation",0.89515,2.33,0,0,"1_","expr_value_added_0.01_W",0.01,"GV_AUC_value_added_0.08_cor",0.08,2.0766,0.229281130350262,0.13746368,0.198975394748917,56,78
"21","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",21,"expr_value_added_0.01_WGV_AUC_value_added_0.09_correlation",0.8874,2.22,0,0.00267,"1_","expr_value_added_0.01_W",0.01,"GV_AUC_value_added_0.09_cor",0.09,2.1512,0.200322596970843,0.08226022,0.153139079087098,70,90
"22","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",22,"expr_value_added_0.01_WGV_AUC_value_added_0.1_correlation",0.94588,2.4,0,0,"1_","expr_value_added_0.01_W",0.01,"GV_AUC_value_added_0.1_corr",0.1,2.1668,0.20081913885537,0.0745754,0.120839026898581,60,92
"23","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",23,"expr_value_added_0.02_WGV_AUC_value_added_0_correlation",0.28561,0.724,0.759,0.991,"1_","expr_value_added_0.02_W",0.02,"GV_AUC_value_added_0_correl",0,0.17546,1.03750586347003,0.90244,0.143427029018457,0,0
"24","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",24,"expr_value_added_0.02_WGV_AUC_value_added_0.01_correlation",0.55889,1.43,0.129,0.508,"1_","expr_value_added_0.02_W",0.02,"GV_AUC_value_added_0.01_cor",0.01,0.89536,0.770495514031624,0.8691,0.174830676101542,0,0
"25","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",25,"expr_value_added_0.02_WGV_AUC_value_added_0.02_correlation",0.57125,1.45,0.11,0.538,"1_","expr_value_added_0.02_W",0.02,"GV_AUC_value_added_0.02_cor",0.02,1.14218,0.717678021433693,0.77666,0.235776667935691,0,2
"26","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",26,"expr_value_added_0.02_WGV_AUC_value_added_0.03_correlation",0.72264,1.82,0.00766,0.345,"1_","expr_value_added_0.02_W",0.02,"GV_AUC_value_added_0.03_cor",0.03,1.44546,0.567513668270174,0.615656,0.285577164353174,2,12
"27","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",27,"expr_value_added_0.02_WGV_AUC_value_added_0.04_correlation",0.67217,1.72,0.0161,0.421,"1_","expr_value_added_0.02_W",0.02,"GV_AUC_value_added_0.04_cor",0.04,1.7457,0.421108849663963,0.439998,0.302813592886341,4,32
"28","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",28,"expr_value_added_0.02_WGV_AUC_value_added_0.05_correlation",0.63508,1.65,0.0297,0.623,"1_","expr_value_added_0.02_W",0.02,"GV_AUC_value_added_0.05_cor",0.05,1.843,0.293787720114024,0.3753866,0.33280192073873,24,44
"29","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",29,"expr_value_added_0.02_WGV_AUC_value_added_0.06_correlation",0.87305,2.19,0,0.015,"1_","expr_value_added_0.02_W",0.02,"GV_AUC_value_added_0.06_cor",0.06,1.9378,0.225554102293052,0.2896302,0.30582629585216,26,60
"30","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",30,"expr_value_added_0.02_WGV_AUC_value_added_0.07_correlation",0.7194,1.79,0.0121,0.287,"1_","expr_value_added_0.02_W",0.02,"GV_AUC_value_added_0.07_cor",0.07,2.041,0.201040659914296,0.18298,0.269999218736587,50,76
"31","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",31,"expr_value_added_0.02_WGV_AUC_value_added_0.08_correlation",0.81052,2.05,0.00409,0.0754,"1_","expr_value_added_0.02_W",0.02,"GV_AUC_value_added_0.08_cor",0.08,2.0898,0.224303820925174,0.14055112,0.243990874758826,60,82
"32","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",32,"expr_value_added_0.02_WGV_AUC_value_added_0.09_correlation",0.86767,2.18,0.00192,0.00611,"1_","expr_value_added_0.02_W",0.02,"GV_AUC_value_added_0.09_cor",0.09,2.1528,0.180023127765885,0.08360206,0.180282436047669,68,90
"33","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",33,"expr_value_added_0.02_WGV_AUC_value_added_0.1_correlation",0.87484,2.19,0.00194,0.0139,"1_","expr_value_added_0.02_W",0.02,"GV_AUC_value_added_0.1_corr",0.1,2.1882,0.203085284186376,0.0800202,0.190406977829284,72,90
"34","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",34,"expr_value_added_0.03_WGV_AUC_value_added_0_correlation",-0.53883,-1.37,0.124,0.725,"1_","expr_value_added_0.03_W",0.03,"GV_AUC_value_added_0_correl",0,-0.10954,0.994231283608659,0.92698,0.113064274658628,0,0
"35","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",35,"expr_value_added_0.03_WGV_AUC_value_added_0.01_correlation",0.20956,0.553,0.94,1,"1_","expr_value_added_0.03_W",0.03,"GV_AUC_value_added_0.01_cor",0.01,0.62798,0.96588828715608,0.88166,0.143141803531908,0,0
"36","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",36,"expr_value_added_0.03_WGV_AUC_value_added_0.02_correlation",0.64257,1.66,0.0345,0.861,"1_","expr_value_added_0.03_W",0.03,"GV_AUC_value_added_0.02_cor",0.02,1.36828,0.452583830998891,0.73138,0.261065781842392,0,8
"37","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",37,"expr_value_added_0.03_WGV_AUC_value_added_0.03_correlation",0.54451,1.38,0.143,0.696,"1_","expr_value_added_0.03_W",0.03,"GV_AUC_value_added_0.03_cor",0.03,1.41934,0.4842681248386,0.6511008,0.296624650246807,2,12
"38","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",38,"expr_value_added_0.03_WGV_AUC_value_added_0.04_correlation",0.78864,2,0,0.141,"1_","expr_value_added_0.03_W",0.03,"GV_AUC_value_added_0.04_cor",0.04,1.7728,0.284648297133892,0.428955,0.337306109120484,12,40
"39","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",39,"expr_value_added_0.03_WGV_AUC_value_added_0.05_correlation",0.80312,2.07,0.00209,0.0527,"1_","expr_value_added_0.03_W",0.03,"GV_AUC_value_added_0.05_cor",0.05,1.8956,0.235252014240222,0.3083154,0.305221602594988,20,56
"40","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",40,"expr_value_added_0.03_WGV_AUC_value_added_0.06_correlation",0.86258,2.25,0,0.0051,"1_","expr_value_added_0.03_W",0.03,"GV_AUC_value_added_0.06_cor",0.06,1.99,0.238010461097484,0.2088044,0.260620832050341,38,72
"41","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",41,"expr_value_added_0.03_WGV_AUC_value_added_0.07_correlation",0.80802,2.02,0,0.14,"1_","expr_value_added_0.03_W",0.03,"GV_AUC_value_added_0.07_cor",0.07,2.1046,0.212643325015081,0.1071476,0.181873092135978,60,86
"42","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",42,"expr_value_added_0.03_WGV_AUC_value_added_0.08_correlation",0.8255,2.08,0.00194,0.0536,"1_","expr_value_added_0.03_W",0.03,"GV_AUC_value_added_0.08_cor",0.08,2.1318,0.197274179863499,0.10021296,0.180408280380687,54,86
"43","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",43,"expr_value_added_0.03_WGV_AUC_value_added_0.09_correlation",0.92095,2.38,0,0,"1_","expr_value_added_0.03_W",0.03,"GV_AUC_value_added_0.09_cor",0.09,2.238,0.156583419770226,0.0284219,0.0479355623844369,76,100
"44","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",44,"expr_value_added_0.03_WGV_AUC_value_added_0.1_correlation",0.91459,2.33,0,0.00206,"1_","expr_value_added_0.03_W",0.03,"GV_AUC_value_added_0.1_corr",0.1,2.2484,0.169155887528972,0.0379365,0.091747211488571,84,94
"45","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",45,"expr_value_added_0.04_WGV_AUC_value_added_0_correlation",-0.27436,-0.706,0.797,1,"1_","expr_value_added_0.04_W",0.04,"GV_AUC_value_added_0_correl",0,0.09218,1.01185583570235,0.92448,0.107453690072533,0,0
"46","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",46,"expr_value_added_0.04_WGV_AUC_value_added_0.01_correlation",0.50416,1.26,0.212,0.795,"1_","expr_value_added_0.04_W",0.04,"GV_AUC_value_added_0.01_cor",0.01,0.76918,0.87966655765299,0.87108,0.159641286665334,0,0
"47","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",47,"expr_value_added_0.04_WGV_AUC_value_added_0.02_correlation",0.43136,1.1,0.335,1,"1_","expr_value_added_0.04_W",0.04,"GV_AUC_value_added_0.02_cor",0.02,1.40652,0.457383474175641,0.732264,0.303415642554794,0,10
"48","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",48,"expr_value_added_0.04_WGV_AUC_value_added_0.03_correlation",0.54801,1.36,0.138,1,"1_","expr_value_added_0.04_W",0.04,"GV_AUC_value_added_0.03_cor",0.03,1.68706,0.415096173267382,0.5040156,0.31951866082747,6,26
"49","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",49,"expr_value_added_0.04_WGV_AUC_value_added_0.04_correlation",0.76707,1.96,0.00181,0.173,"1_","expr_value_added_0.04_W",0.04,"GV_AUC_value_added_0.04_cor",0.04,1.8346,0.235261122836663,0.412664,0.348701666395414,12,46
"50","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",50,"expr_value_added_0.04_WGV_AUC_value_added_0.05_correlation",0.66126,1.65,0.0321,0.638,"1_","expr_value_added_0.04_W",0.04,"GV_AUC_value_added_0.05_cor",0.05,1.9632,0.229830816214085,0.26950808,0.296032538200279,34,58
"51","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",51,"expr_value_added_0.04_WGV_AUC_value_added_0.06_correlation",0.70186,1.75,0.0213,0.527,"1_","expr_value_added_0.04_W",0.04,"GV_AUC_value_added_0.06_cor",0.06,2.0772,0.193581075141816,0.14747282,0.212346362496218,52,78
"52","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",52,"expr_value_added_0.04_WGV_AUC_value_added_0.07_correlation",0.74398,1.86,0.00528,0.439,"1_","expr_value_added_0.04_W",0.04,"GV_AUC_value_added_0.07_cor",0.07,2.1654,0.17368996540282,0.07603672,0.129140041795962,62,88
"53","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",53,"expr_value_added_0.04_WGV_AUC_value_added_0.08_correlation",0.72754,1.81,0.0105,0.686,"1_","expr_value_added_0.04_W",0.04,"GV_AUC_value_added_0.08_cor",0.08,2.2282,0.186817492516638,0.04863198,0.108822000929151,70,98
"54","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",54,"expr_value_added_0.04_WGV_AUC_value_added_0.09_correlation",0.79142,1.97,0.0036,0.17,"1_","expr_value_added_0.04_W",0.04,"GV_AUC_value_added_0.09_cor",0.09,2.2614,0.191044497434498,0.0441215,0.0926570942280499,80,94
"55","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",55,"expr_value_added_0.04_WGV_AUC_value_added_0.1_correlation",0.87676,2.17,0,0.0106,"1_","expr_value_added_0.04_W",0.04,"GV_AUC_value_added_0.1_corr",0.1,2.314,0.138239661753177,0.01254198,0.0289980656740467,90,100
"56","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",56,"expr_value_added_0.05_WGV_AUC_value_added_0_correlation",-0.42931,-1.11,0.345,0.795,"1_","expr_value_added_0.05_W",0.05,"GV_AUC_value_added_0_correl",0,-0.00748,1.08310065561982,0.89744,0.137233327302259,0,0
"57","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",57,"expr_value_added_0.05_WGV_AUC_value_added_0.01_correlation",0.50796,1.33,0.173,0.918,"1_","expr_value_added_0.05_W",0.05,"GV_AUC_value_added_0.01_cor",0.01,0.80306,0.896962047521453,0.88592,0.175185830197653,0,0
"58","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",58,"expr_value_added_0.05_WGV_AUC_value_added_0.02_correlation",-0.40061,-1.02,0.414,0.968,"1_","expr_value_added_0.05_W",0.05,"GV_AUC_value_added_0.02_cor",0.02,1.35754,0.584058153730239,0.718378,0.280412279047863,0,12
"59","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",59,"expr_value_added_0.05_WGV_AUC_value_added_0.03_correlation",0.68151,1.74,0.029,0.593,"1_","expr_value_added_0.05_W",0.05,"GV_AUC_value_added_0.03_cor",0.03,1.7218,0.239835743110716,0.534292,0.299834318766555,6,18
"60","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",60,"expr_value_added_0.05_WGV_AUC_value_added_0.04_correlation",0.74414,1.89,0.0159,0.189,"1_","expr_value_added_0.05_W",0.05,"GV_AUC_value_added_0.04_cor",0.04,1.8884,0.24203524789685,0.352394,0.343468437435357,24,54
"61","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",61,"expr_value_added_0.05_WGV_AUC_value_added_0.05_correlation",0.75904,1.92,0.00401,0.311,"1_","expr_value_added_0.05_W",0.05,"GV_AUC_value_added_0.05_cor",0.05,1.9828,0.196198982709714,0.2259038,0.233325682105857,38,60
"62","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",62,"expr_value_added_0.05_WGV_AUC_value_added_0.06_correlation",0.84979,2.21,0,0.0134,"1_","expr_value_added_0.05_W",0.05,"GV_AUC_value_added_0.06_cor",0.06,2.1282,0.174375737874234,0.1015166,0.18514577926056,64,88
"63","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",63,"expr_value_added_0.05_WGV_AUC_value_added_0.07_correlation",0.73638,1.89,0.00193,0.378,"1_","expr_value_added_0.05_W",0.05,"GV_AUC_value_added_0.07_cor",0.07,2.2006,0.186289329500415,0.05583478,0.132500766165099,80,92
"64","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",64,"expr_value_added_0.05_WGV_AUC_value_added_0.08_correlation",0.8752,2.28,0,0.00306,"1_","expr_value_added_0.05_W",0.05,"GV_AUC_value_added_0.08_cor",0.08,2.2922,0.157910979830474,0.02134156,0.0832082587102889,92,98
"65","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",65,"expr_value_added_0.05_WGV_AUC_value_added_0.09_correlation",0.8933,2.29,0,0.00307,"1_","expr_value_added_0.05_W",0.05,"GV_AUC_value_added_0.09_cor",0.09,2.3118,0.120300474153815,0.007809,0.0193324636826457,96,100
"66","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",66,"expr_value_added_0.05_WGV_AUC_value_added_0.1_correlation",0.88145,2.25,0,0.0052,"1_","expr_value_added_0.05_W",0.05,"GV_AUC_value_added_0.1_corr",0.1,2.367,0.116850680925072,0.00338508,0.0110036098860366,98,100
"67","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",67,"expr_value_added_0.06_WGV_AUC_value_added_0_correlation",-0.51776,-1.35,0.134,0.898,"1_","expr_value_added_0.06_W",0.06,"GV_AUC_value_added_0_correl",0,-0.0252,1.09036404705128,0.9269,0.106718827595065,0,0
"68","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",68,"expr_value_added_0.06_WGV_AUC_value_added_0.01_correlation",0.35608,0.893,0.561,1,"1_","expr_value_added_0.06_W",0.06,"GV_AUC_value_added_0.01_cor",0.01,0.92744,0.830871982575277,0.83978,0.204648857054902,0,2
"69","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",69,"expr_value_added_0.06_WGV_AUC_value_added_0.02_correlation",-0.24609,-0.637,0.877,0.952,"1_","expr_value_added_0.06_W",0.06,"GV_AUC_value_added_0.02_cor",0.02,1.50096,0.600153788454191,0.667602,0.321178610420801,2,16
"70","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",70,"expr_value_added_0.06_WGV_AUC_value_added_0.03_correlation",0.58357,1.46,0.0927,0.637,"1_","expr_value_added_0.06_W",0.06,"GV_AUC_value_added_0.03_cor",0.03,1.79584,0.279648420670801,0.463986,0.355929050491349,14,38
"71","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",71,"expr_value_added_0.06_WGV_AUC_value_added_0.04_correlation",0.9105,2.3,0,0.000979,"1_","expr_value_added_0.06_W",0.06,"GV_AUC_value_added_0.04_cor",0.04,1.97394,0.283759484962393,0.20983618,0.256656389412683,34,74
"72","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",72,"expr_value_added_0.06_WGV_AUC_value_added_0.05_correlation",0.78569,2.01,0.0038,0.117,"1_","expr_value_added_0.06_W",0.06,"GV_AUC_value_added_0.05_cor",0.05,2.0804,0.201311617516076,0.14784184,0.211360652273028,54,80
"73","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",73,"expr_value_added_0.06_WGV_AUC_value_added_0.06_correlation",0.91949,2.3,0,0.000997,"1_","expr_value_added_0.06_W",0.06,"GV_AUC_value_added_0.06_cor",0.06,2.1704,0.152889983121117,0.06802878,0.146787680297197,76,94
"74","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",74,"expr_value_added_0.06_WGV_AUC_value_added_0.07_correlation",0.87361,2.24,0,0.00716,"1_","expr_value_added_0.06_W",0.06,"GV_AUC_value_added_0.07_cor",0.07,2.2524,0.162047612050991,0.0357276,0.0790135970223364,82,96
"75","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",75,"expr_value_added_0.06_WGV_AUC_value_added_0.08_correlation",0.92038,2.36,0,0,"1_","expr_value_added_0.06_W",0.06,"GV_AUC_value_added_0.08_cor",0.08,2.3286,0.138505286129138,0.01140694,0.0420559426461168,96,98
"76","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",76,"expr_value_added_0.06_WGV_AUC_value_added_0.09_correlation",0.95749,2.44,0,0,"1_","expr_value_added_0.06_W",0.06,"GV_AUC_value_added_0.09_cor",0.09,2.3414,0.134392207014106,0.0108964,0.0426376691153707,98,98
"77","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",77,"expr_value_added_0.06_WGV_AUC_value_added_0.1_correlation",0.919,2.28,0,0.00099,"1_","expr_value_added_0.06_W",0.06,"GV_AUC_value_added_0.1_corr",0.1,2.3972,0.108741220616767,0.00204564,0.00534765104550491,100,100
"78","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",78,"expr_value_added_0.07_WGV_AUC_value_added_0_correlation",0.40705,1.05,0.374,0.911,"1_","expr_value_added_0.07_W",0.07,"GV_AUC_value_added_0_correl",0,0.23692,1.03387783670243,0.92458,0.133207999085671,0,0
"79","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",79,"expr_value_added_0.07_WGV_AUC_value_added_0.01_correlation",0.33189,0.853,0.612,1,"1_","expr_value_added_0.07_W",0.07,"GV_AUC_value_added_0.01_cor",0.01,0.94806,0.700449663445139,0.86902,0.1699103593195,0,2
"80","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",80,"expr_value_added_0.07_WGV_AUC_value_added_0.02_correlation",0.69333,1.72,0.0258,1,"1_","expr_value_added_0.07_W",0.07,"GV_AUC_value_added_0.02_cor",0.02,1.57022,0.423774549707261,0.631602,0.328864539131174,2,22
"81","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",81,"expr_value_added_0.07_WGV_AUC_value_added_0.03_correlation",0.60926,1.57,0.055,1,"1_","expr_value_added_0.07_W",0.07,"GV_AUC_value_added_0.03_cor",0.03,1.8442,0.247411827213046,0.3894494,0.326840930569522,14,40
"82","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",82,"expr_value_added_0.07_WGV_AUC_value_added_0.04_correlation",0.83488,2.13,0.00196,0.0255,"1_","expr_value_added_0.07_W",0.07,"GV_AUC_value_added_0.04_cor",0.04,2.0404,0.25257821581055,0.1738312,0.257342973819067,48,82
"83","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",83,"expr_value_added_0.07_WGV_AUC_value_added_0.05_correlation",0.79472,1.99,0.00211,0.155,"1_","expr_value_added_0.07_W",0.07,"GV_AUC_value_added_0.05_cor",0.05,2.1574,0.191809961223316,0.07089694,0.13393310440335,68,94
"84","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",84,"expr_value_added_0.07_WGV_AUC_value_added_0.06_correlation",0.91495,2.33,0,0,"1_","expr_value_added_0.07_W",0.07,"GV_AUC_value_added_0.06_cor",0.06,2.2662,0.138547715202219,0.02726938,0.0830859678854673,88,96
