"","correlation","Sample","Drug.Set","KS","KS_Normalized","p_value","Position_at_max","FDR_q_value"
"30","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","DNA methyltransferase inhibitor",-0.3688,-0.93,0.529,1164,1
"31","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","DNA polymerase inhibitor",0.48144,1.23,0.229,278,1
"32","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","DNA synthesis inhibitor",-0.32999,-0.835,0.633,1176,0.996
"33","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","dopamine receptor antagonist",0.36373,0.945,0.495,260,1
"34","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","estrogen receptor agonist",-0.26389,-0.659,0.864,944,1
"35","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","estrogen receptor antagonist",-0.3905,-0.991,0.45,1321,1
"36","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","FGFR inhibitor",-0.37109,-0.955,0.504,916,1
"37","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","FLT3 inhibitor",-0.3558,-0.914,0.53,1067,1
"38","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","glucocorticoid receptor agonist",-0.24105,-0.623,0.897,912,0.997
"39","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","glutamate receptor antagonist",-0.24206,-0.615,0.91,990,0.983
"40","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","glycogen synthase kinase inhibitor",-0.42481,-1.09,0.342,1330,1
"41","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","growth factor receptor inhibitor",-0.37727,-0.971,0.473,1067,1
"42","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","HCV inhibitor",0.35566,0.901,0.548,244,1
"43","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","HDAC inhibitor",-0.22153,-0.556,0.956,1192,0.972
"44","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","histamine receptor antagonist",0.21933,0.575,0.945,453,0.995
"45","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","histone lysine methyltransferase inhibitor",-0.64555,-1.69,0.0351,965,1
"46","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","HMGCR inhibitor",-0.42287,-1.07,0.363,1153,1
"47","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","HSP inhibitor",-0.36108,-0.927,0.503,1254,1
"48","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","JAK inhibitor",-0.19175,-0.482,0.99,1333,0.985
"49","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","KIT inhibitor",-0.35141,-0.907,0.556,1266,1
"50","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","MDM inhibitor",0.83581,2.17,0.00197,167,0.0174
"51","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","MEK inhibitor",0.2332,0.599,0.907,61,1
"52","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","MET inhibitor",-0.3411,-0.861,0.586,900,1
"53","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","microtubule inhibitor",-0.50306,-1.29,0.203,1070,1
"54","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","mTOR inhibitor",-0.2746,-0.693,0.815,1285,1
"55","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","NFkB pathway inhibitor",-0.26787,-0.696,0.844,956,1
"56","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","opioid receptor agonist",0.36504,0.931,0.494,121,1
"57","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","p38 MAPK inhibitor",0.45845,1.2,0.237,23,0.977
"58","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","PARP inhibitor",-0.41158,-1.04,0.402,1206,1
"59","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","PDGFR tyrosine kinase receptor inhibitor",0.20538,0.529,0.99,417,0.966
"60","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","phosphatase inhibitor",0.45385,1.13,0.299,278,0.974
"61","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","phosphodiesterase inhibitor",0.38853,0.981,0.451,237,1
"62","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","PI3K inhibitor",-0.31117,-0.791,0.681,1064,1
"63","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","PLK inhibitor",-0.45434,-1.17,0.273,1310,1
"64","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","potassium channel blocker",0.27314,0.705,0.793,63,1
"65","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","PPAR receptor agonist",-0.52627,-1.34,0.159,1041,1
"66","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","progesterone receptor agonist",0.59911,1.58,0.0494,133,0.529
"67","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","proteasome inhibitor",-0.64759,-1.64,0.0381,1119,1
"68","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","protein synthesis inhibitor",0.2829,0.723,0.798,26,1
"69","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","protein tyrosine kinase inhibitor",-0.36012,-0.891,0.575,1056,1
"70","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","RAF inhibitor",0.24759,0.642,0.892,387,1
"71","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","RET tyrosine kinase inhibitor",0.38278,0.973,0.5,417,1
"72","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","retinoid receptor agonist",0.35579,0.9,0.553,365,1
"73","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","ribonucleotide reductase inhibitor",-0.33198,-0.841,0.669,1082,1
"74","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","serotonin receptor agonist",-0.37823,-0.964,0.465,1323,1
"75","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","serotonin receptor antagonist",0.60959,1.58,0.0554,487,0.529
"76","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","sodium channel blocker",-0.39982,-1.01,0.418,1280,1
"77","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","src inhibitor",0.516,1.34,0.17,332,0.944
"78","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","sterol demethylase inhibitor",-0.29717,-0.769,0.704,1151,1
"79","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","SYK inhibitor",-0.45859,-1.17,0.263,1334,1
"80","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","TGF beta receptor inhibitor",-0.55312,-1.37,0.144,1059,1
"81","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","thymidylate synthase inhibitor",-0.59252,-1.51,0.0794,953,1
"82","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","topoisomerase inhibitor",0.24956,0.64,0.882,445,1
"83","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","tubulin polymerization inhibitor",-0.22421,-0.575,0.929,1083,0.978
"84","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","tyrosine kinase inhibitor",0.21407,0.557,0.968,271,0.978
"85","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","VEGFR inhibitor",-0.25035,-0.625,0.893,1223,1
"86","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","vitamin D receptor agonist",0.61453,1.58,0.0645,188,0.529
"87","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","Synthetic_Drug_Set",-0.24138,-0.634,0.885,1281,1
"88","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","EGFR inhibitor",0.24262,0.617,0.906,139,1
"89","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","Abl kinase inhibitor",-0.59591,-1.5,0.0785,962,0.874
"90","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","acetylcholine receptor agonist",-0.51448,-1.31,0.184,841,1
"91","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","acetylcholine receptor antagonist",-0.29386,-0.733,0.745,948,1
"92","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","adenosine receptor antagonist",0.53959,1.39,0.127,223,0.943
"93","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","adrenergic receptor agonist",0.28906,0.731,0.771,208,1
"94","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","adrenergic receptor antagonist",0.2578,0.664,0.858,99,1
"95","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","AKT inhibitor",-0.41118,-1.04,0.405,1316,1
"96","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","ALK tyrosine kinase receptor inhibitor",-0.27404,-0.71,0.792,1074,1
"97","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","androgen receptor antagonist",-0.4164,-1.06,0.374,1249,1
"98","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","antioxidant",-0.49125,-1.27,0.192,1318,1
"99","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","AP inhibitor",0.48482,1.22,0.207,131,1
"100","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","ATPase inhibitor",-0.29369,-0.738,0.776,1106,1
"101","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","Aurora kinase inhibitor",-0.28429,-0.731,0.771,1040,1
"102","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","bacterial 50S ribosomal subunit inhibitor",0.27258,0.689,0.81,55,1
"103","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","bacterial DNA gyrase inhibitor",-0.30003,-0.773,0.729,1276,1
"104","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","BCL inhibitor",0.43997,1.12,0.318,382,1
"105","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","Bcr.Abl kinase inhibitor",-0.62275,-1.61,0.0573,962,0.876
"106","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","benzodiazepine receptor agonist",0.31416,0.804,0.706,144,1
"107","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","bromodomain inhibitor",-0.43132,-1.12,0.305,947,1
"108","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","calcium channel blocker",-0.48971,-1.25,0.216,1223,0.994
"109","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","CC chemokine receptor antagonist",0.33824,0.857,0.616,551,1
"110","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","CDK inhibitor",-0.22731,-0.569,0.939,1304,0.984
"111","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","CHK inhibitor",0.41134,1.05,0.38,307,1
"112","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","cyclooxygenase inhibitor",-0.29538,-0.745,0.745,1201,1
"113","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","cytochrome P450 inhibitor",0.3107,0.815,0.661,286,1
"114","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","DNA alkylating agent",0.31659,0.81,0.688,33,1
"115","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","DNA inhibitor",0.25273,0.627,0.862,201,1
"116","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","DNA methyltransferase inhibitor",-0.36806,-0.923,0.534,1163,1
"117","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","DNA polymerase inhibitor",0.48144,1.23,0.242,278,1
"118","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","DNA synthesis inhibitor",-0.32924,-0.85,0.602,1175,0.995
"119","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","dopamine receptor antagonist",0.36373,0.931,0.539,260,1
"120","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","estrogen receptor agonist",-0.27001,-0.693,0.827,946,0.98
"121","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","estrogen receptor antagonist",-0.3905,-1.01,0.423,1321,1
"122","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","FGFR inhibitor",-0.37184,-0.945,0.494,917,1
"123","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","FLT3 inhibitor",-0.3573,-0.895,0.537,1069,0.996
"124","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","glucocorticoid receptor agonist",-0.24181,-0.629,0.892,913,1
"125","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","glutamate receptor antagonist",-0.24355,-0.618,0.925,992,0.983
"126","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","glycogen synthase kinase inhibitor",-0.42481,-1.07,0.382,1330,1
"127","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","growth factor receptor inhibitor",-0.37876,-0.951,0.498,1069,1
"128","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","HCV inhibitor",0.35566,0.888,0.575,244,1
"129","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","HDAC inhibitor",-0.22078,-0.556,0.944,1191,0.973
"130","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","histamine receptor antagonist",0.21933,0.563,0.955,453,1
"131","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","histone lysine methyltransferase inhibitor",-0.64704,-1.67,0.0356,967,1
"132","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","HMGCR inhibitor",-0.42212,-1.07,0.376,1152,1
"133","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","HSP inhibitor",-0.36033,-0.939,0.513,1253,1
"134","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","JAK inhibitor",-0.19175,-0.503,0.985,1333,0.979
"135","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","KIT inhibitor",-0.35066,-0.902,0.534,1265,1
"136","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","MDM inhibitor",0.83581,2.14,0.00195,167,0.0248
"137","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","MEK inhibitor",0.2332,0.593,0.934,61,1
"138","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","MET inhibitor",-0.34184,-0.874,0.589,901,1
"139","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","microtubule inhibitor",-0.50456,-1.29,0.208,1072,1
"140","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","mTOR inhibitor",-0.28313,-0.698,0.808,1285,1
"141","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","NFkB pathway inhibitor",-0.26936,-0.694,0.841,958,1
"142","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","opioid receptor agonist",0.36504,0.928,0.525,121,1
"143","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","p38 MAPK inhibitor",0.45845,1.17,0.257,23,1
"144","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","PARP inhibitor",-0.41083,-1.03,0.426,1205,1
"145","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","PDGFR tyrosine kinase receptor inhibitor",0.20538,0.531,0.965,417,0.965
"146","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","phosphatase inhibitor",0.45385,1.15,0.284,278,1
"147","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","phosphodiesterase inhibitor",0.38853,0.998,0.451,237,1
"148","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","PI3K inhibitor",-0.31549,-0.796,0.711,1284,1
"149","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","PLK inhibitor",-0.45434,-1.13,0.296,1310,1
"150","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","potassium channel blocker",0.27314,0.695,0.833,63,1
"151","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","PPAR receptor agonist",-0.52775,-1.32,0.169,1043,1
"152","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","progesterone receptor agonist",0.59417,1.54,0.0652,134,0.648
"153","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","proteasome inhibitor",-0.64759,-1.61,0.052,1119,0.876
"154","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","protein synthesis inhibitor",0.2829,0.715,0.803,26,1
"155","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","protein tyrosine kinase inhibitor",-0.36161,-0.908,0.532,1058,1
"156","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","RAF inhibitor",0.24759,0.625,0.891,387,1
"157","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","RET tyrosine kinase inhibitor",0.38278,0.998,0.426,417,1
"158","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","retinoid receptor agonist",0.35579,0.913,0.56,365,1
"159","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","ribonucleotide reductase inhibitor",-0.33347,-0.853,0.611,1084,1
"160","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","serotonin receptor agonist",-0.37823,-0.971,0.485,1323,1
"161","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","serotonin receptor antagonist",0.60884,1.57,0.0724,488,1
"162","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","sodium channel blocker",-0.39907,-1.01,0.43,1279,1
"163","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","src inhibitor",0.516,1.33,0.142,332,0.964
"164","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","sterol demethylase inhibitor",-0.29642,-0.75,0.771,1150,1
"165","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","SYK inhibitor",-0.45859,-1.15,0.283,1334,1
"166","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","TGF beta receptor inhibitor",-0.55461,-1.4,0.142,1061,1
"167","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","thymidylate synthase inhibitor",-0.594,-1.52,0.0907,955,1
"168","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","topoisomerase inhibitor",0.31166,0.818,0.682,445,1
"169","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","tubulin polymerization inhibitor",-0.22572,-0.574,0.935,1085,1
"170","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","tyrosine kinase inhibitor",0.21407,0.544,0.954,271,0.986
"171","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","VEGFR inhibitor",-0.24959,-0.628,0.894,1222,0.995
"172","expr_value_added_0_WGV_AUC_value_added_0.01_correlation","Estimate","vitamin D receptor agonist",0.61453,1.56,0.0747,188,0.787
"173","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","Synthetic_Drug_Set",0.62867,1.64,0.0478,312,0.89
"174","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","EGFR inhibitor",0.23842,0.608,0.905,141,1
"175","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","Abl kinase inhibitor",-0.59591,-1.54,0.0891,962,0.867
"176","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","acetylcholine receptor agonist",-0.51597,-1.34,0.156,843,0.942
"177","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","acetylcholine receptor antagonist",-0.29386,-0.751,0.771,948,1
"178","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","adenosine receptor antagonist",0.53662,1.34,0.162,227,1
"179","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","adrenergic receptor agonist",0.28681,0.743,0.775,211,1
"180","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","adrenergic receptor antagonist",0.2563,0.647,0.876,101,1
"181","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","AKT inhibitor",-0.41118,-1.06,0.361,1316,0.925
"182","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","ALK tyrosine kinase receptor inhibitor",-0.27479,-0.691,0.813,1075,0.995
"183","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","androgen receptor antagonist",-0.41714,-1.08,0.367,1250,1
"184","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","antioxidant",-0.49125,-1.27,0.211,1318,0.95
"185","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","AP inhibitor",0.48333,1.25,0.224,133,1
"186","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","ATPase inhibitor",0.27883,0.716,0.804,276,1
"187","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","Aurora kinase inhibitor",-0.28504,-0.738,0.766,1041,0.974
"188","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","bacterial 50S ribosomal subunit inhibitor",0.27183,0.693,0.804,56,1
"189","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","bacterial DNA gyrase inhibitor",-0.26916,-0.696,0.826,1277,1
"190","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","BCL inhibitor",0.43625,1.12,0.29,387,1
"191","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","Bcr.Abl kinase inhibitor",-0.62275,-1.56,0.0668,962,1
"192","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","benzodiazepine receptor agonist",0.31266,0.784,0.718,146,1
"193","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","bromodomain inhibitor",-0.43132,-1.12,0.309,947,1
"194","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","calcium channel blocker",-0.49046,-1.25,0.21,1224,0.921
"195","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","CC chemokine receptor antagonist",0.33452,0.841,0.649,556,1
"196","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","CDK inhibitor",-0.22731,-0.572,0.921,1304,0.983
"197","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","CHK inhibitor",0.40836,1.03,0.434,311,1
"198","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","cyclooxygenase inhibitor",-0.29613,-0.758,0.747,1202,1
"199","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","cytochrome P450 inhibitor",0.30773,0.774,0.733,290,1
"200","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","DNA alkylating agent",0.31659,0.807,0.694,33,1
"201","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","DNA inhibitor",0.25048,0.643,0.887,204,1
"202","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","DNA methyltransferase inhibitor",-0.3688,-0.943,0.513,1164,0.95
"203","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","DNA polymerase inhibitor",0.47846,1.22,0.237,282,1
"204","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","DNA synthesis inhibitor",-0.32999,-0.835,0.623,1176,0.943
"205","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","dopamine receptor antagonist",0.36073,0.93,0.534,264,1
"206","expr_value_added_0_WGV_AUC_value_added_0.02_correlation","Estimate","estrogen receptor agonist",0.21977,0.553,0.942,312,1
