"","Correlation","ES","NES","p","q"
"59","expr_value_added_0.05_WGV_AUC_value_added_0.03_correlation",0.55694,1.45,0.101,0.801
"60","expr_value_added_0.05_WGV_AUC_value_added_0.04_correlation",0.79246,2.01,0,0.159
"61","expr_value_added_0.05_WGV_AUC_value_added_0.05_correlation",0.78481,2.05,0.00193,0.0489
"62","expr_value_added_0.05_WGV_AUC_value_added_0.06_correlation",0.74124,1.95,0.0108,0.123
"63","expr_value_added_0.05_WGV_AUC_value_added_0.07_correlation",0.87081,2.27,0,0.00435
"64","expr_value_added_0.05_WGV_AUC_value_added_0.08_correlation",0.86281,2.21,0,0.0156
"65","expr_value_added_0.05_WGV_AUC_value_added_0.09_correlation",0.84167,2.14,0,0.0383
"66","expr_value_added_0.05_WGV_AUC_value_added_0.1_correlation",0.88886,2.25,0,0.00737
"67","expr_value_added_0.06_WGV_AUC_value_added_0_correlation",-0.45539,-1.15,0.295,0.71
"68","expr_value_added_0.06_WGV_AUC_value_added_0.01_correlation",-0.3115,-0.803,0.675,0.927
"69","expr_value_added_0.06_WGV_AUC_value_added_0.02_correlation",0.63998,1.67,0.033,1
"70","expr_value_added_0.06_WGV_AUC_value_added_0.03_correlation",0.55811,1.46,0.0916,0.712
"71","expr_value_added_0.06_WGV_AUC_value_added_0.04_correlation",0.49503,1.28,0.202,0.872
"72","expr_value_added_0.06_WGV_AUC_value_added_0.05_correlation",0.62113,1.58,0.0651,0.59
"73","expr_value_added_0.06_WGV_AUC_value_added_0.06_correlation",0.86652,2.2,0,0.00777
"74","expr_value_added_0.06_WGV_AUC_value_added_0.07_correlation",0.82198,2.08,0.00398,0.0608
"75","expr_value_added_0.06_WGV_AUC_value_added_0.08_correlation",0.89933,2.36,0,0
"76","expr_value_added_0.06_WGV_AUC_value_added_0.09_correlation",0.85296,2.18,0,0.0122
"77","expr_value_added_0.06_WGV_AUC_value_added_0.1_correlation",0.8776,2.24,0,0.00887
"78","expr_value_added_0.07_WGV_AUC_value_added_0_correlation",-0.24793,-0.618,0.884,1
"79","expr_value_added_0.07_WGV_AUC_value_added_0.01_correlation",0.32791,0.837,0.627,1
"80","expr_value_added_0.07_WGV_AUC_value_added_0.02_correlation",0.71159,1.79,0.0125,0.357
"81","expr_value_added_0.07_WGV_AUC_value_added_0.03_correlation",0.59944,1.54,0.0675,0.917
"82","expr_value_added_0.07_WGV_AUC_value_added_0.04_correlation",0.80064,2.05,0,0.04
"83","expr_value_added_0.07_WGV_AUC_value_added_0.05_correlation",0.87255,2.24,0,0.000887
"84","expr_value_added_0.07_WGV_AUC_value_added_0.06_correlation",0.88855,2.21,0,0.00623
"85","expr_value_added_0.07_WGV_AUC_value_added_0.07_correlation",0.97539,2.52,0,0
"86","expr_value_added_0.07_WGV_AUC_value_added_0.08_correlation",0.98658,2.49,0,0
"87","expr_value_added_0.07_WGV_AUC_value_added_0.09_correlation",0.95973,2.44,0,0
"88","expr_value_added_0.07_WGV_AUC_value_added_0.1_correlation",0.97539,2.44,0,0
"89","expr_value_added_0.08_WGV_AUC_value_added_0_correlation",-0.26708,-0.676,0.843,1
"90","expr_value_added_0.08_WGV_AUC_value_added_0.01_correlation",0.34766,0.893,0.576,1
"91","expr_value_added_0.08_WGV_AUC_value_added_0.02_correlation",0.65629,1.69,0.0245,0.677
"92","expr_value_added_0.08_WGV_AUC_value_added_0.03_correlation",0.7174,1.82,0.0153,0.283
"93","expr_value_added_0.08_WGV_AUC_value_added_0.04_correlation",0.79575,2.03,0,0.101
"94","expr_value_added_0.08_WGV_AUC_value_added_0.05_correlation",0.79198,2.07,0.00377,0.0542
"95","expr_value_added_0.08_WGV_AUC_value_added_0.06_correlation",0.94855,2.47,0,0
"96","expr_value_added_0.08_WGV_AUC_value_added_0.07_correlation",0.93464,2.37,0,0
"97","expr_value_added_0.08_WGV_AUC_value_added_0.08_correlation",0.89409,2.28,0,0.00282
"98","expr_value_added_0.08_WGV_AUC_value_added_0.09_correlation",0.97763,2.47,0,0
"99","expr_value_added_0.08_WGV_AUC_value_added_0.1_correlation",0.96943,2.44,0,0
"100","expr_value_added_0.09_WGV_AUC_value_added_0_correlation",-0.29915,-0.75,0.753,0.956
"101","expr_value_added_0.09_WGV_AUC_value_added_0.01_correlation",0.58543,1.5,0.0754,0.859
"102","expr_value_added_0.09_WGV_AUC_value_added_0.02_correlation",0.5459,1.41,0.104,0.982
"103","expr_value_added_0.09_WGV_AUC_value_added_0.03_correlation",0.79391,2.06,0,0.0764
"104","expr_value_added_0.09_WGV_AUC_value_added_0.04_correlation",0.93271,2.37,0,0.000927
"105","expr_value_added_0.09_WGV_AUC_value_added_0.05_correlation",0.89286,2.22,0,0.0131
"106","expr_value_added_0.09_WGV_AUC_value_added_0.06_correlation",0.93545,2.27,0,0.00457
"107","expr_value_added_0.09_WGV_AUC_value_added_0.07_correlation",0.93289,2.33,0,0.000933
"108","expr_value_added_0.09_WGV_AUC_value_added_0.08_correlation",0.96122,2.46,0,0
"109","expr_value_added_0.09_WGV_AUC_value_added_0.09_correlation",0.98061,2.45,0,0
"110","expr_value_added_0.09_WGV_AUC_value_added_0.1_correlation",0.99702,2.46,0,0
"111","expr_value_added_0.1_WGV_AUC_value_added_0_correlation",-0.25429,-0.657,0.872,0.962
"112","expr_value_added_0.1_WGV_AUC_value_added_0.01_correlation",-0.40623,-1.05,0.384,0.806
"113","expr_value_added_0.1_WGV_AUC_value_added_0.02_correlation",0.678,1.77,0.0214,0.479
"114","expr_value_added_0.1_WGV_AUC_value_added_0.03_correlation",0.61729,1.59,0.055,0.68
"115","expr_value_added_0.1_WGV_AUC_value_added_0.04_correlation",0.87784,2.23,0,0.00522
"116","expr_value_added_0.1_WGV_AUC_value_added_0.05_correlation",0.90143,2.26,0,0.00209
"117","expr_value_added_0.1_WGV_AUC_value_added_0.06_correlation",0.93289,2.4,0,0
"118","expr_value_added_0.1_WGV_AUC_value_added_0.07_correlation",0.87878,2.22,0.00184,0.0116
"119","expr_value_added_0.1_WGV_AUC_value_added_0.08_correlation",0.97763,2.43,0,0
"120","expr_value_added_0.1_WGV_AUC_value_added_0.09_correlation",0.99403,2.49,0,0
"121","expr_value_added_0.1_WGV_AUC_value_added_0.1_correlation",0.99478,2.5,0,0
